dataset,family,control_mode,intervention,n,primary_drop_mean,ci95_low,ci95_high,acc_drop_mean,prediction_change_rate_mean,normal_only_correct_rate_mean,intervention_only_correct_rate_mean,wins,ties,losses
Amazon-ratings,iterative_relation_finetune,combined,zero_all,10,0.011464971303939819,0.00048577162989286646,0.02244417097798677,0.011464971303939819,0.09441450089216233,0.038232892751693726,0.026767923682928085,4,6,0
Amazon-ratings,iterative_relation_finetune,combined,zero_layer_0,10,0.008819207549095154,0.0005872408402360189,0.01705117425795429,0.008819207549095154,0.086166912317276,0.03424791693687439,0.025428711622953414,4,6,0
Amazon-ratings,iterative_relation_finetune,combined,zero_layer_1,10,0.0007186025381088257,-0.0006216513005986296,0.002058856376816281,0.0007186025381088257,0.025804343819618224,0.008786542247980833,0.008067940548062324,3,6,1
Amazon-ratings,iterative_relation_finetune,combined,shuffled_reliability,10,0.0012085556983947754,-0.000768925323119254,0.003186036719908805,0.0012085556983947754,0.032353421300649644,0.011138330772519111,0.009929772838950158,3,6,1
Amazon-ratings,iterative_relation_finetune,combined,constant_reliability,10,0.003054061532020569,0.0002023528870261867,0.005905770177014951,0.003054061532020569,0.03145516812801361,0.011677282303571701,0.008623223751783371,4,6,0
Amazon-ratings,iterative_relation_finetune,fixed,zero_all,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10,0
Amazon-ratings,iterative_relation_finetune,fixed,zero_layer_0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10,0
Amazon-ratings,iterative_relation_finetune,fixed,zero_layer_1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10,0
Amazon-ratings,iterative_relation_finetune,fixed,shuffled_reliability,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10,0
Amazon-ratings,iterative_relation_finetune,fixed,constant_reliability,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10,0
Amazon-ratings,iterative_relation_finetune,reliability_only,zero_all,10,0.008296588063240051,0.00027459879970936213,0.01631857732677074,0.008296588063240051,0.08593826591968537,0.03392128050327301,0.02562469393014908,4,6,0
Amazon-ratings,iterative_relation_finetune,reliability_only,zero_layer_0,10,0.007806634902954102,0.0002622406226919947,0.015351029183216208,0.007806634902954102,0.07638412415981292,0.030393597111105917,0.022586966678500176,4,6,0
Amazon-ratings,iterative_relation_finetune,reliability_only,zero_layer_1,10,-0.00040829479694366456,-0.0020662648479342956,0.0012496752540469666,-0.00040829479694366456,0.024465131387114526,0.007937285304069518,0.008345582149922847,1,6,3
Amazon-ratings,iterative_relation_finetune,reliability_only,shuffled_reliability,10,0.0008002638816833497,-0.0006075966547865147,0.002208124418153214,0.0008002638816833497,0.03459088578820228,0.011399640515446664,0.010599379241466523,3,6,1
Amazon-ratings,iterative_relation_finetune,reliability_only,constant_reliability,10,0.0037073343992233276,-0.0001471285533780108,0.007561797351824666,0.0037073343992233276,0.037448962777853013,0.013833088055253028,0.010125755332410336,4,6,0
Amazon-ratings,iterative_relation_frozen,combined,zero_all,10,-0.0008655875921249389,-0.0034704874748838115,0.0017393122906339334,-0.0008655875921249389,0.023697533272206785,0.007479993533343077,0.008345582149922847,3,5,2
Amazon-ratings,iterative_relation_frozen,combined,zero_layer_0,10,-0.0008982539176940918,-0.0032679063075630455,0.0014713984721748616,-0.0008982539176940918,0.019859545258805157,0.006140780670102685,0.007039033260662108,3,5,2
Amazon-ratings,iterative_relation_frozen,combined,zero_layer_1,10,-0.00011432766914367675,-0.0009200985629163592,0.0006914432246290056,-0.00011432766914367675,0.006581740648834966,0.0022701289970427753,0.0023844520561397075,2,7,1
Amazon-ratings,iterative_relation_frozen,combined,shuffled_reliability,10,0.00034296810626983644,-0.00011929987536074191,0.0008052360879004148,0.00034296810626983644,0.004670912842266261,0.0017475093656685204,0.0014045402611372992,5,5,0
Amazon-ratings,iterative_relation_frozen,combined,constant_reliability,10,0.0004736185073852539,-0.00016971859787167525,0.001116955612642183,0.0004736185073852539,0.004670912865549326,0.0018128368392353877,0.0013392127730185166,4,5,1
Amazon-ratings,iterative_relation_frozen,fixed,zero_all,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10,0
Amazon-ratings,iterative_relation_frozen,fixed,zero_layer_0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10,0
