dataset,family,comparison,n,mean_delta,ci95_low,ci95_high,wins,ties,losses,pvalue
Roman-empire,iterative_relation_frozen,reliability_only - fixed,10,0.0171373188495636,0.01433089379517611,0.019943743903951087,10,0,0,2.302262067702002e-07
Roman-empire,iterative_relation_frozen,combined - fixed,10,0.013342738151550293,0.012311534533885471,0.014373941769215115,10,0,0,3.093807161614028e-10
Roman-empire,iterative_relation_finetune,reliability_only - fixed,10,0.02195553183555603,0.016021363595894435,0.027889700075217627,10,0,0,1.540210723506798e-05
Roman-empire,iterative_relation_finetune,combined - fixed,10,0.021761387586593628,0.015854491656321558,0.027668283516865698,10,0,0,1.5942355157581012e-05
Amazon-ratings,iterative_relation_frozen,reliability_only - fixed,10,-0.0006369411945343018,-0.002299665924144979,0.0010257835350763753,2,5,3,0.40868760005334315
Amazon-ratings,iterative_relation_frozen,combined - fixed,10,-0.0008655875921249389,-0.0034704874748838115,0.0017393122906339334,3,5,2,0.47143253778044536
Amazon-ratings,iterative_relation_finetune,reliability_only - fixed,10,-0.0002939760684967041,-0.006064957542370014,0.005477005405376605,5,4,1,0.9107887936419783
Amazon-ratings,iterative_relation_finetune,combined - fixed,10,0.0010452359914779664,-0.003423359350863121,0.005513831333819054,4,4,2,0.6095128245392573
Roman-empire,iterative_relation_protocol,fixed: finetune - frozen,10,0.004712307453155517,0.0019251326036125085,0.007499482302698526,8,2,0,0.004060844884608498
Roman-empire,iterative_relation_protocol,reliability_only: finetune - frozen,10,0.00953052043914795,0.0036978633826329826,0.015363177495662916,10,0,0,0.004948466204897084
Roman-empire,iterative_relation_protocol,combined: finetune - frozen,10,0.013130956888198852,0.00911623891391757,0.017145674862480136,10,0,0,4.108423595545166e-05
Amazon-ratings,iterative_relation_protocol,fixed: finetune - frozen,10,0.0048015743494033815,-0.0004597809037968203,0.010062929602603583,4,5,1,0.06897897354766969
Amazon-ratings,iterative_relation_protocol,reliability_only: finetune - frozen,10,0.005144539475440979,0.0004718597240538011,0.009817219226828157,6,3,1,0.03438837162514732
Amazon-ratings,iterative_relation_protocol,combined: finetune - frozen,10,0.006712397933006287,0.001193245027663126,0.012231550838349448,6,3,1,0.02243136740617277
