dataset,family,control_mode,primary_metric,n,test_primary_mean,test_primary_std,test_acc_mean,test_acc_std,macro_f1_mean,backbone_training_mode,baseline_test_primary_mean,gain_over_own_baseline,base_alpha_mean,alpha_mean,alpha_std,adjustment_mean,adjustment_max,relation_abs_mean,relation_norm_mean,relation_to_base_norm,relation_relative_strength,relation_to_branch_disagreement,relation_state_norm_mean,relation_update_gate_mean,relation_update_gate_std,alpha_corr_local_similarity,alpha_corr_degree,alpha_corr_neighbor_variance,alpha_corr_rwse,alpha_corr_control_input_mean,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters
Amazon-ratings,iterative_relation_finetune,combined,accuracy,10,0.47230115830898284,0.01070489523984042,0.47230115830898284,0.01070489523984042,0.3752867346757386,finetuned,0.4664543479681015,0.0058468103408813475,0.8,0.8178119003772736,0.024685901775956153,0.02760947570204735,0.03996767401695252,0.017508538067340852,0.20435952842235566,0.2316806674003601,0.01793900765478611,0.01875321976840496,4.571732807159424,0.5015519618988037,0.260539373755455,-0.16427808032545183,-0.15944796973861247,0.15106389148349736,-0.4773035756735361,-0.446979189392625,260997.0,166144.0,94853.0
Amazon-ratings,iterative_relation_finetune,fixed,accuracy,10,0.4712559223175049,0.009233569616046674,0.4712559223175049,0.009233569616046674,0.3761860088728665,fixed_finetuned,0.4664543479681015,0.0048015743494033815,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,94853.0,0.0,94853.0
Amazon-ratings,iterative_relation_finetune,reliability_only,accuracy,10,0.47096194624900817,0.0114005415402,0.47096194624900817,0.0114005415402,0.3704407440089354,finetuned,0.4664543479681015,0.004507598280906677,0.8,0.818689489364624,0.02344105690717697,0.027093566954135895,0.03997213840484619,0.017381232231855392,0.20028190910816193,0.2252286434173584,0.017048782482743264,0.017815466970205307,4.289673829078675,0.506291601061821,0.2477562502026558,-0.1392853855713608,-0.09527065216532084,0.11227243564232034,-0.5548006410952169,-0.4902267551586748,260997.0,157568.0,94853.0
Amazon-ratings,iterative_relation_frozen,combined,accuracy,10,0.4655887603759766,0.008316688339031156,0.4655887603759766,0.008316688339031156,0.3592005302664541,frozen,0.4664543479681015,-0.0008655875921249389,0.8,0.7982319951057434,0.005940517270937562,0.0043680445349309595,0.016944777965545655,0.004581322078593075,0.06178542468696833,29757793.324792143,0.008994335518218577,0.010081289568915963,3.2063886523246765,0.49128914773464205,0.16866466403007507,-0.26870885803056677,-0.10531295566954124,0.2179873731404798,-0.17893711502586673,-0.20882639822560323,166144.0,166144.0,0.0
Amazon-ratings,iterative_relation_frozen,fixed,accuracy,10,0.4664543479681015,0.00829634429947219,0.4664543479681015,0.00829634429947219,0.36090331531306136,fixed_frozen,0.4664543479681015,0.0,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0.0
Amazon-ratings,iterative_relation_frozen,reliability_only,accuracy,10,0.4658174067735672,0.00825520582284461,0.4658174067735672,0.00825520582284461,0.36283101530347883,frozen,0.4664543479681015,-0.0006369411945343018,0.8,0.7975827097892761,0.008107352536171675,0.006068061944097281,0.019184964895248412,0.006664119102060795,0.08632219508290291,37285884.83657531,0.011918295221403242,0.013193939719349146,2.9659783840179443,0.49216867685317994,0.17179444134235383,-0.1503208004590249,-0.23078951638377354,0.08205918671336276,-0.2663585442082922,-0.31178019789858996,166144.0,157568.0,0.0
Roman-empire,iterative_relation_finetune,combined,accuracy,10,0.8433991968631744,0.005342200625381826,0.8433991968631744,0.005342200625381826,0.7997045185659315,finetuned,0.8169255018234253,0.026473695039749147,0.775,0.8004541277885437,0.04610627014189959,0.04713375614956021,0.09929499626159669,0.07500910274684429,0.8993790745735168,38607.45347450972,0.03869476728141308,0.03988748788833618,7.043321800231934,0.5071332424879074,0.43920828998088834,0.248907812041507,0.29284894102491343,0.1850296089061074,0.047382151278407024,0.24753331476876222,261842.0,166144.0,95698.0
Roman-empire,iterative_relation_finetune,fixed,accuracy,10,0.8216378092765808,0.008289914627644829,0.8216378092765808,0.008289914627644829,0.770513313929501,fixed_finetuned,0.8169255018234253,0.004712307453155517,0.775,0.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,95698.0,0.0,95698.0
Roman-empire,iterative_relation_finetune,reliability_only,accuracy,10,0.8435933411121368,0.005090669637765932,0.8435933411121368,0.005090669637765932,0.7987782215433668,finetuned,0.8169255018234253,0.026667839288711546,0.775,0.7981062412261963,0.04758689869195223,0.04724842011928558,0.0997283935546875,0.07884464077651501,0.9261753797531128,78658.03297998905,0.04118884056806564,0.04252617806196213,6.695593309402466,0.5256223201751709,0.4303815722465515,0.28642721926979825,0.2949192458483479,0.09434861396384125,0.006092038960913103,0.21210026466897483,261842.0,157568.0,95698.0
Roman-empire,iterative_relation_frozen,combined,accuracy,10,0.8302682399749756,0.005185986908273816,0.8302682399749756,0.005185986908273816,0.7821400177334319,frozen,0.8169255018234253,0.013342738151550293,0.775,0.78338662981987,0.05754010193049908,0.05180628206580877,0.09992713332176209,0.0682799993082881,0.8295337647199631,617523.4389279007,0.052470700442790986,0.05530116930603981,6.363645458221436,0.4678164631128311,0.4113040268421173,0.030389734311769827,0.3151946073357438,0.26207736237422136,0.05419745673505407,0.20701588783355582,166144.0,166144.0,0.0
Roman-empire,iterative_relation_frozen,fixed,accuracy,10,0.8169255018234253,0.005554888980274573,0.8169255018234253,0.005554888980274573,0.7636902008251419,fixed_frozen,0.8169255018234253,0.0,0.775,0.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0.0
Roman-empire,iterative_relation_frozen,reliability_only,accuracy,10,0.8340628206729889,0.006325586797084144,0.8340628206729889,0.006325586797084144,0.7856303783694072,frozen,0.8169255018234253,0.0171373188495636,0.775,0.7829086720943451,0.060062645375728606,0.05331818945705891,0.09998389482498168,0.06950276158750057,0.8376849927008152,522784.4682750106,0.05209137164056301,0.05470811538398266,6.396685075759888,0.48331807255744935,0.42147776782512664,0.017235609496041006,0.23359929929130718,0.13285527819571333,0.004802085526706534,0.11429507095901421,166144.0,157568.0,0.0
