dataset,model,family,control_mode,edge_protocol,run,split,seed,best_epoch,primary_metric,best_val_primary,test_primary_at_best_val,best_val_acc,test_acc_at_best_val,best_val_roc_auc,test_roc_auc_at_best_val,test_macro_f1_at_best_val,backbone_training_mode,base_alpha,baseline_val_acc,baseline_test_acc,baseline_val_primary,baseline_test_primary,baseline_val_roc_auc,baseline_test_roc_auc,baseline_macro_f1,initial_max_abs_logit_delta,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters,max_adjustment,lambda_init,relation_steps,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,control_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,elapsed_sec,alpha_mean,alpha_std,alpha_min,alpha_max,proposal_mean,adjustment_mean,adjustment_max,relation_abs_mean,relation_norm_mean,relation_to_base_norm,relation_state_norm_mean,relation_update_gate_mean,relation_update_gate_std,alpha_corr_raw_degree,alpha_corr_raw_local_similarity,alpha_corr_raw_neighbor_variance,alpha_corr_raw_rwse,alpha_corr_control_input_mean
Amazon-ratings,iterative_relation_finetune_combined,iterative_relation_finetune,combined,undirected,0:0,0,0,-1,accuracy,0.4710109233856201,0.4775436818599701,0.4710109233856201,0.4775436818599701,nan,nan,0.3669840006520091,finetuned,0.75,0.4710109233856201,0.4775436818599701,0.4710109233856201,0.4775436818599701,nan,nan,0.3669840006520091,1.6689300537109375e-06,260997,166144,94853,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,3.7849624156951904,0.75,0.0,0.75,0.75,nan,0.0,0.0,0.0,0.0,0.0,3.190499782562256,0.4961759150028229,0.17065013945102692,nan,nan,nan,nan,nan
Amazon-ratings,iterative_relation_finetune_combined,iterative_relation_finetune,combined,undirected,1:0,1,0,198,accuracy,0.48309651017189026,0.4806467294692993,0.48309651017189026,0.4806467294692993,nan,nan,0.4100478028240298,finetuned,0.75,0.4667646586894989,0.46496814489364624,0.4667646586894989,0.46496814489364624,nan,nan,0.3665667587690266,1.6689300537109375e-06,260997,166144,94853,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,8.715657234191895,0.7992550134658813,0.0588371716439724,0.6516175270080566,0.8499190211296082,nan,0.06987962126731873,0.09991902112960815,0.05124283954501152,0.5908467173576355,0.5929046273231506,7.600884914398193,0.5455537438392639,0.45624634623527527,-0.3105323032374072,0.08026667875077385,-0.0642067403230667,-0.605261469145761,-0.5693500314219908
Amazon-ratings,iterative_relation_finetune_combined,iterative_relation_finetune,combined,undirected,2:0,2,0,-1,accuracy,0.4827698767185211,0.47084760665893555,0.4827698767185211,0.47084760665893555,nan,nan,0.36412438281986587,finetuned,0.75,0.4827698767185211,0.47084760665893555,0.4827698767185211,0.47084760665893555,nan,nan,0.36412438281986587,1.430511474609375e-06,260997,166144,94853,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,2.7640600204467773,0.75,0.0,0.75,0.75,nan,0.0,0.0,0.0,0.0,0.0,3.155271291732788,0.49328407645225525,0.17210403084754944,nan,nan,nan,nan,nan
Amazon-ratings,iterative_relation_finetune_combined,iterative_relation_finetune,combined,undirected,3:0,3,0,-1,accuracy,0.46594804525375366,0.4484729766845703,0.46594804525375366,0.4484729766845703,nan,nan,0.33333179934815227,finetuned,0.5,0.46594804525375366,0.4484729766845703,0.46594804525375366,0.4484729766845703,nan,nan,0.33333179934815227,1.1920928955078125e-06,260997,166144,94853,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,2.7771480083465576,0.5,0.0,0.5,0.5,nan,0.0,0.0,0.0,0.0,0.0,2.8285350799560547,0.4823572635650635,0.15397754311561584,nan,nan,nan,nan,nan
Amazon-ratings,iterative_relation_finetune_combined,iterative_relation_finetune,combined,undirected,4:0,4,0,-1,accuracy,0.4731340706348419,0.4716642200946808,0.4731340706348419,0.4716642200946808,nan,nan,0.37045097629284973,finetuned,1.0,0.4731340706348419,0.4716642200946808,0.4731340706348419,0.4716642200946808,nan,nan,0.37045097629284973,1.1920928955078125e-06,260997,166144,94853,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,2.7711682319641113,1.0,0.0,1.0,1.0,nan,0.0,0.0,0.0,0.0,0.0,2.0209507942199707,0.49580609798431396,0.09469117969274521,nan,nan,nan,nan,nan
Amazon-ratings,iterative_relation_finetune_combined,iterative_relation_finetune,combined,undirected,5:0,5,0,199,accuracy,0.4861995577812195,0.4844030737876892,0.4861995577812195,0.4844030737876892,nan,nan,0.40308661480322544,finetuned,0.75,0.4683978259563446,0.4768904149532318,0.4683978259563446,0.4768904149532318,nan,nan,0.3774703401873754,1.6689300537109375e-06,260997,166144,94853,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,8.738397359848022,0.7936727404594421,0.06018712744116783,0.6516741514205933,0.8499118089675903,nan,0.06648578494787216,0.09991180896759033,0.046445053070783615,0.5414286851882935,0.5825163125991821,7.503806114196777,0.456880122423172,0.4519893229007721,-0.5561678603067193,-0.009416090224644244,-0.039518366342695385,-0.6099494156846236,-0.6709199854464508
Amazon-ratings,iterative_relation_finetune_combined,iterative_relation_finetune,combined,undirected,6:0,6,0,-1,accuracy,0.47672709822654724,0.46692797541618347,0.47672709822654724,0.46692797541618347,nan,nan,0.3587679379968507,finetuned,1.0,0.47672709822654724,0.46692797541618347,0.47672709822654724,0.46692797541618347,nan,nan,0.3587679379968507,1.1920928955078125e-06,260997,166144,94853,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,2.7953147888183594,1.0,0.0,1.0,1.0,nan,0.0,0.0,0.0,0.0,0.0,2.0045673847198486,0.4973319172859192,0.0918673574924469,nan,nan,nan,nan,nan
Amazon-ratings,iterative_relation_finetune_combined,iterative_relation_finetune,combined,undirected,7:0,7,0,-1,accuracy,0.47035765647888184,0.4634982943534851,0.47035765647888184,0.4634982943534851,nan,nan,0.3718889321762172,finetuned,1.0,0.47035765647888184,0.4634982943534851,0.47035765647888184,0.4634982943534851,nan,nan,0.3718889321762172,1.1920928955078125e-06,260997,166144,94853,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,2.7853925228118896,1.0,0.0,1.0,1.0,nan,0.0,0.0,0.0,0.0,0.0,2.0164389610290527,0.494498610496521,0.09297356009483337,nan,nan,nan,nan,nan
Amazon-ratings,iterative_relation_finetune_combined,iterative_relation_finetune,combined,undirected,8:0,8,0,189,accuracy,0.4803200960159302,0.48325982689857483,0.4803200960159302,0.48325982689857483,nan,nan,0.39178878446222987,finetuned,0.75,0.4641515612602234,0.46594804525375366,0.4641515612602234,0.46594804525375366,nan,nan,0.35874470961361193,1.1920928955078125e-06,260997,166144,94853,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,8.760419607162476,0.7912877798080444,0.062011703848838806,0.6511627435684204,0.8499272465705872,nan,0.06705792993307114,0.09992724657058716,0.0413178950548172,0.48009875416755676,0.605573296546936,7.725050926208496,0.5446856617927551,0.4590946137905121,-0.20609231496137165,-0.42691899246579107,0.3654288563708942,-0.6742208416971246,-0.6510294639103003
Amazon-ratings,iterative_relation_finetune_combined,iterative_relation_finetune,combined,undirected,9:0,9,0,192,accuracy,0.4775436818599701,0.4791768789291382,0.4775436818599701,0.4791768789291382,nan,nan,0.38826268632210437,finetuned,0.75,0.46333494782447815,0.457782119512558,0.46333494782447815,0.457782119512558,nan,nan,0.3407033152746546,1.430511474609375e-06,260997,166144,94853,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,8.729161977767944,0.7972407937049866,0.06024206429719925,0.6508122682571411,0.8499304056167603,nan,0.0690934881567955,0.09993040561676025,0.04344815015792847,0.4954051077365875,0.5746146440505981,7.671761512756348,0.5333368182182312,0.46553653478622437,0.1415280262045536,-0.23884070995604212,0.25807394098401054,-0.43047264156101567,-0.3153839298147994
