dataset,model,family,control_mode,edge_protocol,run,split,seed,best_epoch,primary_metric,best_val_primary,test_primary_at_best_val,best_val_acc,test_acc_at_best_val,best_val_roc_auc,test_roc_auc_at_best_val,test_macro_f1_at_best_val,backbone_training_mode,base_alpha,baseline_val_acc,baseline_test_acc,baseline_val_primary,baseline_test_primary,baseline_val_roc_auc,baseline_test_roc_auc,baseline_macro_f1,initial_max_abs_logit_delta,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters,max_adjustment,lambda_init,relation_steps,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,control_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,elapsed_sec,alpha_mean,alpha_std,alpha_min,alpha_max,proposal_mean,adjustment_mean,adjustment_max,relation_abs_mean,relation_norm_mean,relation_to_base_norm,relation_state_norm_mean,relation_update_gate_mean,relation_update_gate_std,alpha_corr_raw_degree,alpha_corr_raw_local_similarity,alpha_corr_raw_neighbor_variance,alpha_corr_raw_rwse,alpha_corr_control_input_mean
Amazon-ratings,iterative_relation_finetune_constant_reliability,iterative_relation_finetune,constant_reliability,undirected,0:0,0,0,192,accuracy,0.4860362410545349,0.48685285449028015,0.4860362410545349,0.48685285449028015,nan,nan,0.39852974198337365,finetuned,0.75,0.4710109233856201,0.4775436818599701,0.4710109233856201,0.4775436818599701,nan,nan,0.3669840006520091,1.6689300537109375e-06,260997,157568,94853,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,9.620561122894287,0.8087717294692993,0.05397537723183632,0.655997097492218,0.8498537540435791,nan,0.07281411439180374,0.0998537540435791,0.05072452872991562,0.6357060670852661,0.625282883644104,7.847818851470947,0.5653791427612305,0.4508007764816284,-0.551097362999792,-0.1453065767798791,0.04710223860010255,-0.576429424088965,nan
Amazon-ratings,iterative_relation_finetune_constant_reliability,iterative_relation_finetune,constant_reliability,undirected,1:0,1,0,163,accuracy,0.4808100461959839,0.4786868989467621,0.4808100461959839,0.4786868989467621,nan,nan,0.40780474189162685,finetuned,0.75,0.4667646586894989,0.46496814489364624,0.4667646586894989,0.46496814489364624,nan,nan,0.3665667587690266,1.6689300537109375e-06,260997,157568,94853,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,8.619141817092896,0.7957014441490173,0.06747403740882874,0.6526090502738953,0.8499217629432678,nan,0.07647756487131119,0.09992176294326782,0.0520513691008091,0.6310684084892273,0.5928727984428406,7.880050182342529,0.5668419003486633,0.45145726203918457,-0.11503677977976282,0.1871047132766319,-0.17436479614732608,-0.033566323752064336,nan
Amazon-ratings,iterative_relation_finetune_constant_reliability,iterative_relation_finetune,constant_reliability,undirected,2:0,2,0,-1,accuracy,0.4827698767185211,0.47084760665893555,0.4827698767185211,0.47084760665893555,nan,nan,0.36412438281986587,finetuned,0.75,0.4827698767185211,0.47084760665893555,0.4827698767185211,0.47084760665893555,nan,nan,0.36412438281986587,1.430511474609375e-06,260997,157568,94853,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,2.7346279621124268,0.75,0.0,0.75,0.75,nan,0.0,0.0,0.0,0.0,0.0,2.8637125492095947,0.4930824637413025,0.1643022745847702,nan,nan,nan,nan,nan
Amazon-ratings,iterative_relation_finetune_constant_reliability,iterative_relation_finetune,constant_reliability,undirected,3:0,3,0,-1,accuracy,0.46594804525375366,0.4484729766845703,0.46594804525375366,0.4484729766845703,nan,nan,0.33333179934815227,finetuned,0.5,0.46594804525375366,0.4484729766845703,0.46594804525375366,0.4484729766845703,nan,nan,0.33333179934815227,9.5367431640625e-07,260997,157568,94853,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,2.728402614593506,0.5,0.0,0.5,0.5,nan,0.0,0.0,0.0,0.0,0.0,2.4646170139312744,0.48116734623908997,0.14363889396190643,nan,nan,nan,nan,nan
Amazon-ratings,iterative_relation_finetune_constant_reliability,iterative_relation_finetune,constant_reliability,undirected,4:0,4,0,-1,accuracy,0.4731340706348419,0.4716642200946808,0.4731340706348419,0.4716642200946808,nan,nan,0.37045097629284973,finetuned,1.0,0.4731340706348419,0.4716642200946808,0.4731340706348419,0.4716642200946808,nan,nan,0.37045097629284973,1.1920928955078125e-06,260997,157568,94853,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,2.7073450088500977,1.0,0.0,1.0,1.0,nan,0.0,0.0,0.0,0.0,0.0,1.514038324356079,0.4966961443424225,0.07337362319231033,nan,nan,nan,nan,nan
Amazon-ratings,iterative_relation_finetune_constant_reliability,iterative_relation_finetune,constant_reliability,undirected,5:0,5,0,185,accuracy,0.4817899763584137,0.4808100461959839,0.4817899763584137,0.4808100461959839,nan,nan,0.39832552722690345,finetuned,0.75,0.4683978259563446,0.4768904149532318,0.4683978259563446,0.4768904149532318,nan,nan,0.3774703401873754,1.1920928955078125e-06,260997,157568,94853,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,8.643936395645142,0.8002391457557678,0.06038758158683777,0.6585621237754822,0.8499066829681396,nan,0.0721527710556984,0.09990668296813965,0.044854748994112015,0.5175699591636658,0.5526999831199646,7.881121635437012,0.5141197443008423,0.46186450123786926,-0.1561930965999493,-0.16837807200907948,0.09259771762387752,-0.23560162064134763,nan
Amazon-ratings,iterative_relation_finetune_constant_reliability,iterative_relation_finetune,constant_reliability,undirected,6:0,6,0,-1,accuracy,0.47672709822654724,0.46692797541618347,0.47672709822654724,0.46692797541618347,nan,nan,0.3587679379968507,finetuned,1.0,0.47672709822654724,0.46692797541618347,0.47672709822654724,0.46692797541618347,nan,nan,0.3587679379968507,1.430511474609375e-06,260997,157568,94853,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,2.719932794570923,1.0,0.0,1.0,1.0,nan,0.0,0.0,0.0,0.0,0.0,1.4970301389694214,0.49844038486480713,0.07000397890806198,nan,nan,nan,nan,nan
Amazon-ratings,iterative_relation_finetune_constant_reliability,iterative_relation_finetune,constant_reliability,undirected,7:0,7,0,-1,accuracy,0.47035765647888184,0.4634982943534851,0.47035765647888184,0.4634982943534851,nan,nan,0.3718889321762172,finetuned,1.0,0.47035765647888184,0.4634982943534851,0.47035765647888184,0.4634982943534851,nan,nan,0.3718889321762172,1.1920928955078125e-06,260997,157568,94853,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,2.7572202682495117,1.0,0.0,1.0,1.0,nan,0.0,0.0,0.0,0.0,0.0,1.5116472244262695,0.495975136756897,0.07152177393436432,nan,nan,nan,nan,nan
Amazon-ratings,iterative_relation_finetune_constant_reliability,iterative_relation_finetune,constant_reliability,undirected,8:0,8,0,187,accuracy,0.4790135622024536,0.47362402081489563,0.4790135622024536,0.47362402081489563,nan,nan,0.3807367651490348,finetuned,0.75,0.4641515612602234,0.46594804525375366,0.4641515612602234,0.46594804525375366,nan,nan,0.35874470961361193,1.1920928955078125e-06,260997,157568,94853,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,8.6083824634552,0.7962830662727356,0.06978808343410492,0.6507825255393982,0.8498942255973816,nan,0.07934603095054626,0.09989422559738159,0.05802341178059578,0.6410874724388123,0.6412302851676941,7.9400315284729,0.5852354764938354,0.45345863699913025,-0.1214613764533834,0.031153844617212306,-0.025253152548271013,-0.12871225779422532,nan
Amazon-ratings,iterative_relation_finetune_constant_reliability,iterative_relation_finetune,constant_reliability,undirected,9:0,9,0,164,accuracy,0.4775436818599701,0.47346070408821106,0.4775436818599701,0.47346070408821106,nan,nan,0.3821332852805264,finetuned,0.75,0.46333494782447815,0.457782119512558,0.46333494782447815,0.457782119512558,nan,nan,0.3407033152746546,1.1920928955078125e-06,260997,157568,94853,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,8.61064863204956,0.7971099019050598,0.06784753501415253,0.6504900455474854,0.8499073386192322,nan,0.07726967334747314,0.09990733861923218,0.04907424747943878,0.5706672668457031,0.5683122277259827,7.876314640045166,0.5785608291625977,0.46627911925315857,-0.08454024973519796,-0.0879915019881202,0.08034071123832995,-0.07709374597097254,nan
