dataset,model,family,control_mode,edge_protocol,run,split,seed,best_epoch,primary_metric,best_val_primary,test_primary_at_best_val,best_val_acc,test_acc_at_best_val,best_val_roc_auc,test_roc_auc_at_best_val,test_macro_f1_at_best_val,backbone_training_mode,base_alpha,baseline_val_acc,baseline_test_acc,baseline_val_primary,baseline_test_primary,baseline_val_roc_auc,baseline_test_roc_auc,baseline_macro_f1,initial_max_abs_logit_delta,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters,max_adjustment,lambda_init,relation_steps,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,control_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,elapsed_sec,alpha_mean,alpha_std,alpha_min,alpha_max,proposal_mean,adjustment_mean,adjustment_max,relation_abs_mean,relation_norm_mean,relation_to_base_norm,relation_state_norm_mean,relation_update_gate_mean,relation_update_gate_std,alpha_corr_raw_degree,alpha_corr_raw_local_similarity,alpha_corr_raw_neighbor_variance,alpha_corr_raw_rwse,alpha_corr_control_input_mean
Amazon-ratings,iterative_relation_finetune_feature_only,iterative_relation_finetune,feature_only,undirected,0:0,0,0,-1,accuracy,0.4710109233856201,0.4775436818599701,0.4710109233856201,0.4775436818599701,nan,nan,0.3669840006520091,finetuned,0.75,0.4710109233856201,0.4775436818599701,0.4710109233856201,0.4775436818599701,nan,nan,0.3669840006520091,1.430511474609375e-06,260997,156544,94853,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,3.788550615310669,0.75,0.0,0.75,0.75,nan,0.0,0.0,0.0,0.0,0.0,2.9368815422058105,0.4951207637786865,0.1627608686685562,nan,nan,nan,nan,nan
Amazon-ratings,iterative_relation_finetune_feature_only,iterative_relation_finetune,feature_only,undirected,1:0,1,0,184,accuracy,0.48260655999183655,0.4808100461959839,0.48260655999183655,0.4808100461959839,nan,nan,0.4044682220987948,finetuned,0.75,0.4667646586894989,0.46496814489364624,0.4667646586894989,0.46496814489364624,nan,nan,0.3665667587690266,1.430511474609375e-06,260997,156544,94853,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,8.637862205505371,0.7936360239982605,0.0636611208319664,0.6524126529693604,0.8499375581741333,nan,0.07021944969892502,0.0999375581741333,0.04698310047388077,0.5696409344673157,0.5767224431037903,7.569047927856445,0.5959097146987915,0.4360409080982208,-0.21246024476668346,0.1872472802139803,-0.19444501667888084,-0.10761902855370382,nan
Amazon-ratings,iterative_relation_finetune_feature_only,iterative_relation_finetune,feature_only,undirected,2:0,2,0,-1,accuracy,0.4827698767185211,0.47084760665893555,0.4827698767185211,0.47084760665893555,nan,nan,0.36412438281986587,finetuned,0.75,0.4827698767185211,0.47084760665893555,0.4827698767185211,0.47084760665893555,nan,nan,0.36412438281986587,1.1920928955078125e-06,260997,156544,94853,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,2.73439884185791,0.75,0.0,0.75,0.75,nan,0.0,0.0,0.0,0.0,0.0,2.8849642276763916,0.4922789931297302,0.16602842509746552,nan,nan,nan,nan,nan
Amazon-ratings,iterative_relation_finetune_feature_only,iterative_relation_finetune,feature_only,undirected,3:0,3,0,-1,accuracy,0.46594804525375366,0.4484729766845703,0.46594804525375366,0.4484729766845703,nan,nan,0.33333179934815227,finetuned,0.5,0.46594804525375366,0.4484729766845703,0.46594804525375366,0.4484729766845703,nan,nan,0.33333179934815227,9.5367431640625e-07,260997,156544,94853,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,2.7766051292419434,0.5,0.0,0.5,0.5,nan,0.0,0.0,0.0,0.0,0.0,2.577512264251709,0.48116570711135864,0.14316658675670624,nan,nan,nan,nan,nan
Amazon-ratings,iterative_relation_finetune_feature_only,iterative_relation_finetune,feature_only,undirected,4:0,4,0,-1,accuracy,0.4731340706348419,0.4716642200946808,0.4731340706348419,0.4716642200946808,nan,nan,0.37045097629284973,finetuned,1.0,0.4731340706348419,0.4716642200946808,0.4731340706348419,0.4716642200946808,nan,nan,0.37045097629284973,1.430511474609375e-06,260997,156544,94853,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,2.7581024169921875,1.0,0.0,1.0,1.0,nan,0.0,0.0,0.0,0.0,0.0,1.658551573753357,0.49454206228256226,0.07794034481048584,nan,nan,nan,nan,nan
Amazon-ratings,iterative_relation_finetune_feature_only,iterative_relation_finetune,feature_only,undirected,5:0,5,0,186,accuracy,0.48423975706100464,0.4861995577812195,0.48423975706100464,0.4861995577812195,nan,nan,0.40167953017230335,finetuned,0.75,0.4683978259563446,0.4768904149532318,0.4683978259563446,0.4768904149532318,nan,nan,0.3774703401873754,1.430511474609375e-06,260997,156544,94853,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,8.619405508041382,0.796043872833252,0.05767900124192238,0.6619971394538879,0.8499176502227783,nan,0.06449730694293976,0.09991765022277832,0.03143720701336861,0.3777772784233093,0.5151600241661072,7.587989330291748,0.5724481344223022,0.43515488505363464,-0.32249774442051266,-0.08195108345993908,-0.016462114845120352,-0.2914195308868874,nan
Amazon-ratings,iterative_relation_finetune_feature_only,iterative_relation_finetune,feature_only,undirected,6:0,6,0,-1,accuracy,0.47672709822654724,0.46692797541618347,0.47672709822654724,0.46692797541618347,nan,nan,0.3587679379968507,finetuned,1.0,0.47672709822654724,0.46692797541618347,0.47672709822654724,0.46692797541618347,nan,nan,0.3587679379968507,1.430511474609375e-06,260997,156544,94853,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,2.7419588565826416,1.0,0.0,1.0,1.0,nan,0.0,0.0,0.0,0.0,0.0,1.6464824676513672,0.49607527256011963,0.07520633935928345,nan,nan,nan,nan,nan
Amazon-ratings,iterative_relation_finetune_feature_only,iterative_relation_finetune,feature_only,undirected,7:0,7,0,-1,accuracy,0.47035765647888184,0.4634982943534851,0.47035765647888184,0.4634982943534851,nan,nan,0.3718889321762172,finetuned,1.0,0.47035765647888184,0.4634982943534851,0.47035765647888184,0.4634982943534851,nan,nan,0.3718889321762172,1.1920928955078125e-06,260997,156544,94853,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,2.7648544311523438,1.0,0.0,1.0,1.0,nan,0.0,0.0,0.0,0.0,0.0,1.6540831327438354,0.4932221472263336,0.07596710324287415,nan,nan,nan,nan,nan
Amazon-ratings,iterative_relation_finetune_feature_only,iterative_relation_finetune,feature_only,undirected,8:0,8,0,182,accuracy,0.47836026549339294,0.48130002617836,0.47836026549339294,0.48130002617836,nan,nan,0.3946363375594859,finetuned,0.75,0.4641515612602234,0.46594804525375366,0.4641515612602234,0.46594804525375366,nan,nan,0.35874470961361193,1.430511474609375e-06,260997,156544,94853,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,8.63154673576355,0.7957623600959778,0.06956646591424942,0.650728702545166,0.8499042391777039,nan,0.07830445468425751,0.09990423917770386,0.05132646858692169,0.5790722370147705,0.578282356262207,7.845443248748779,0.5914949774742126,0.43584567308425903,-0.40390615155771475,0.0569995654708369,-0.13663126019277863,-0.38841989872908417,nan
Amazon-ratings,iterative_relation_finetune_feature_only,iterative_relation_finetune,feature_only,undirected,9:0,9,0,132,accuracy,0.47721704840660095,0.4781969487667084,0.47721704840660095,0.4781969487667084,nan,nan,0.38582403702383494,finetuned,0.75,0.46333494782447815,0.457782119512558,0.46333494782447815,0.457782119512558,nan,nan,0.3407033152746546,1.430511474609375e-06,260997,156544,94853,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,8.298262357711792,0.7944900989532471,0.06885400414466858,0.6507261991500854,0.849887490272522,nan,0.07669436186552048,0.09988749027252197,0.0489424504339695,0.586418628692627,0.5735114812850952,7.8825201988220215,0.6204538941383362,0.45615628361701965,0.03497109260161754,-0.251018100384419,0.18694046126139466,-0.05573033602995845,nan
