dataset,model,family,control_mode,edge_protocol,run,split,seed,best_epoch,primary_metric,best_val_primary,test_primary_at_best_val,best_val_acc,test_acc_at_best_val,best_val_roc_auc,test_roc_auc_at_best_val,test_macro_f1_at_best_val,backbone_training_mode,base_alpha,baseline_val_acc,baseline_test_acc,baseline_val_primary,baseline_test_primary,baseline_val_roc_auc,baseline_test_roc_auc,baseline_macro_f1,initial_max_abs_logit_delta,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters,max_adjustment,lambda_init,relation_steps,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,control_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,elapsed_sec,alpha_mean,alpha_std,alpha_min,alpha_max,proposal_mean,adjustment_mean,adjustment_max,relation_abs_mean,relation_norm_mean,relation_to_base_norm,relation_state_norm_mean,relation_update_gate_mean,relation_update_gate_std,alpha_corr_raw_degree,alpha_corr_raw_local_similarity,alpha_corr_raw_neighbor_variance,alpha_corr_raw_rwse,alpha_corr_control_input_mean
Amazon-ratings,iterative_relation_finetune_shuffled_reliability,iterative_relation_finetune,shuffled_reliability,undirected,0:0,0,0,189,accuracy,0.48521965742111206,0.48423975706100464,0.48521965742111206,0.48423975706100464,nan,nan,0.395798849758018,finetuned,0.75,0.4710109233856201,0.4775436818599701,0.4710109233856201,0.4775436818599701,nan,nan,0.3669840006520091,1.1920928955078125e-06,260997,157568,94853,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,9.563285827636719,0.8014177680015564,0.05442075431346893,0.6550750136375427,0.8498671650886536,nan,0.06630618125200272,0.09986716508865356,0.04514545947313309,0.5468659996986389,0.5890345573425293,7.584925174713135,0.5387805104255676,0.44029515981674194,-0.34669935142158403,-0.0711762413564243,-0.0025446608646734832,-0.31727930022137296,-0.1182844119071289
Amazon-ratings,iterative_relation_finetune_shuffled_reliability,iterative_relation_finetune,shuffled_reliability,undirected,1:0,1,0,174,accuracy,0.4822799265384674,0.4796668291091919,0.4822799265384674,0.4796668291091919,nan,nan,0.39572441464933855,finetuned,0.75,0.4667646586894989,0.46496814489364624,0.4667646586894989,0.46496814489364624,nan,nan,0.3665667587690266,1.430511474609375e-06,260997,157568,94853,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,8.598475933074951,0.7954713106155396,0.06192905455827713,0.6513668298721313,0.8499340415000916,nan,0.07012712210416794,0.09993404150009155,0.04590412974357605,0.5447835326194763,0.5689170956611633,7.597018718719482,0.5282896161079407,0.45220693945884705,-0.19929918144045106,0.09318891747720032,-0.12060164491848165,-0.14401952705736326,0.11725734727050079
Amazon-ratings,iterative_relation_finetune_shuffled_reliability,iterative_relation_finetune,shuffled_reliability,undirected,2:0,2,0,188,accuracy,0.4902825355529785,0.48195329308509827,0.4902825355529785,0.48195329308509827,nan,nan,0.385882779924969,finetuned,0.75,0.4827698767185211,0.47084760665893555,0.4827698767185211,0.47084760665893555,nan,nan,0.36412438281986587,1.1920928955078125e-06,260997,157568,94853,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,8.593606948852539,0.8042694926261902,0.05575612559914589,0.6515112519264221,0.8498870730400085,nan,0.07063960283994675,0.09988707304000854,0.04578135907649994,0.5253925323486328,0.5682668685913086,7.741461277008057,0.5719025135040283,0.4441879689693451,-0.1631015547627148,0.07998919754590617,-0.07255525614019459,-0.14229882430336052,-0.2952503429921712
Amazon-ratings,iterative_relation_finetune_shuffled_reliability,iterative_relation_finetune,shuffled_reliability,undirected,3:0,3,0,-1,accuracy,0.46594804525375366,0.4484729766845703,0.46594804525375366,0.4484729766845703,nan,nan,0.33333179934815227,finetuned,0.5,0.46594804525375366,0.4484729766845703,0.46594804525375366,0.4484729766845703,nan,nan,0.33333179934815227,1.430511474609375e-06,260997,157568,94853,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,2.7570853233337402,0.5,0.0,0.5,0.5,nan,0.0,0.0,0.0,0.0,0.0,2.529668092727661,0.48241281509399414,0.1452055722475052,nan,nan,nan,nan,nan
Amazon-ratings,iterative_relation_finetune_shuffled_reliability,iterative_relation_finetune,shuffled_reliability,undirected,4:0,4,0,-1,accuracy,0.4731340706348419,0.4716642200946808,0.4731340706348419,0.4716642200946808,nan,nan,0.37045097629284973,finetuned,1.0,0.4731340706348419,0.4716642200946808,0.4731340706348419,0.4716642200946808,nan,nan,0.37045097629284973,1.1920928955078125e-06,260997,157568,94853,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,2.766709089279175,1.0,0.0,1.0,1.0,nan,0.0,0.0,0.0,0.0,0.0,1.577697515487671,0.49725157022476196,0.07579120248556137,nan,nan,nan,nan,nan
Amazon-ratings,iterative_relation_finetune_shuffled_reliability,iterative_relation_finetune,shuffled_reliability,undirected,5:0,5,0,178,accuracy,0.48521965742111206,0.4780336320400238,0.48521965742111206,0.4780336320400238,nan,nan,0.3978913900950608,finetuned,0.75,0.4683978259563446,0.4768904149532318,0.4683978259563446,0.4768904149532318,nan,nan,0.3774703401873754,1.430511474609375e-06,260997,157568,94853,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,8.627682209014893,0.7989051342010498,0.05588068813085556,0.6552829742431641,0.8499040603637695,nan,0.06589976698160172,0.09990406036376953,0.036037176847457886,0.4050437808036804,0.5472888946533203,7.545662879943848,0.5181503295898438,0.4453398287296295,-0.07079924057957877,0.029158453353787236,-0.037807243025193144,-0.01686848950661428,0.05840135742430966
Amazon-ratings,iterative_relation_finetune_shuffled_reliability,iterative_relation_finetune,shuffled_reliability,undirected,6:0,6,0,-1,accuracy,0.47672709822654724,0.46692797541618347,0.47672709822654724,0.46692797541618347,nan,nan,0.3587679379968507,finetuned,1.0,0.47672709822654724,0.46692797541618347,0.47672709822654724,0.46692797541618347,nan,nan,0.3587679379968507,9.5367431640625e-07,260997,157568,94853,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,2.765737295150757,1.0,0.0,1.0,1.0,nan,0.0,0.0,0.0,0.0,0.0,1.5501402616500854,0.49882772564888,0.07203596085309982,nan,nan,nan,nan,nan
Amazon-ratings,iterative_relation_finetune_shuffled_reliability,iterative_relation_finetune,shuffled_reliability,undirected,7:0,7,0,-1,accuracy,0.47035765647888184,0.4634982943534851,0.47035765647888184,0.4634982943534851,nan,nan,0.3718889321762172,finetuned,1.0,0.47035765647888184,0.4634982943534851,0.47035765647888184,0.4634982943534851,nan,nan,0.3718889321762172,1.1920928955078125e-06,260997,157568,94853,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,2.7574610710144043,1.0,0.0,1.0,1.0,nan,0.0,0.0,0.0,0.0,0.0,1.5778424739837646,0.49647843837738037,0.07370664179325104,nan,nan,nan,nan,nan
Amazon-ratings,iterative_relation_finetune_shuffled_reliability,iterative_relation_finetune,shuffled_reliability,undirected,8:0,8,0,185,accuracy,0.47656378149986267,0.4817899763584137,0.47656378149986267,0.4817899763584137,nan,nan,0.3879496986408547,finetuned,0.75,0.4641515612602234,0.46594804525375366,0.4641515612602234,0.46594804525375366,nan,nan,0.35874470961361193,1.430511474609375e-06,260997,157568,94853,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,8.626259326934814,0.7980138659477234,0.06724240630865097,0.6506350636482239,0.849901556968689,nan,0.07771545648574829,0.09990155696868896,0.05357550084590912,0.623831033706665,0.5977885723114014,7.868009567260742,0.5814878344535828,0.4423603415489197,0.031930684184696724,-0.018527228992417055,0.020886242711707016,0.0010948495370581243,0.24118509963944193
Amazon-ratings,iterative_relation_finetune_shuffled_reliability,iterative_relation_finetune,shuffled_reliability,undirected,9:0,9,0,175,accuracy,0.4780336320400238,0.47672709822654724,0.4780336320400238,0.47672709822654724,nan,nan,0.38764523965193454,finetuned,0.75,0.46333494782447815,0.457782119512558,0.46333494782447815,0.457782119512558,nan,nan,0.3407033152746546,1.430511474609375e-06,260997,157568,94853,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,8.613839387893677,0.7963000535964966,0.06530507653951645,0.6504926681518555,0.8499131202697754,nan,0.07373026013374329,0.09991312026977539,0.04630746692419052,0.5288721323013306,0.5800318717956543,7.785330772399902,0.601372480392456,0.4556276202201843,-0.14200449419890782,0.04119132174714614,-0.04083033211935588,-0.07752694154580098,-0.12042117250877941
