dataset,model,family,control_mode,edge_protocol,run,split,seed,best_epoch,primary_metric,best_val_primary,test_primary_at_best_val,best_val_acc,test_acc_at_best_val,best_val_roc_auc,test_roc_auc_at_best_val,test_macro_f1_at_best_val,backbone_training_mode,base_alpha,baseline_val_acc,baseline_test_acc,baseline_val_primary,baseline_test_primary,baseline_val_roc_auc,baseline_test_roc_auc,baseline_macro_f1,initial_max_abs_logit_delta,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters,max_adjustment,lambda_init,relation_steps,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,control_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,elapsed_sec,alpha_mean,alpha_std,alpha_min,alpha_max,proposal_mean,adjustment_mean,adjustment_max,relation_abs_mean,relation_norm_mean,relation_to_base_norm,relation_state_norm_mean,relation_update_gate_mean,relation_update_gate_std,alpha_corr_raw_degree,alpha_corr_raw_local_similarity,alpha_corr_raw_neighbor_variance,alpha_corr_raw_rwse,alpha_corr_control_input_mean
Amazon-ratings,iterative_relation_frozen_combined,iterative_relation_frozen,combined,undirected,0:0,0,0,-1,accuracy,0.4710109233856201,0.4775436818599701,0.4710109233856201,0.4775436818599701,nan,nan,0.3669840006520091,frozen,0.75,0.4710109233856201,0.4775436818599701,0.4710109233856201,0.4775436818599701,nan,nan,0.3669840006520091,1.430511474609375e-06,166144,166144,0,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,3.4459760189056396,0.75,0.0,0.75,0.75,nan,0.0,0.0,0.0,0.0,0.0,3.190499782562256,0.4961759150028229,0.17065013945102692,nan,nan,nan,nan,nan
Amazon-ratings,iterative_relation_frozen_combined,iterative_relation_frozen,combined,undirected,1:0,1,0,-1,accuracy,0.4667646586894989,0.46496814489364624,0.4667646586894989,0.46496814489364624,nan,nan,0.3665667587690266,frozen,0.75,0.4667646586894989,0.46496814489364624,0.4667646586894989,0.46496814489364624,nan,nan,0.3665667587690266,1.430511474609375e-06,166144,166144,0,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,2.449148178100586,0.75,0.0,0.75,0.75,nan,0.0,0.0,0.0,0.0,0.0,3.0269253253936768,0.48275840282440186,0.1677202433347702,nan,nan,nan,nan,nan
Amazon-ratings,iterative_relation_frozen_combined,iterative_relation_frozen,combined,undirected,2:0,2,0,1,accuracy,0.48521965742111206,0.4719908535480499,0.48521965742111206,0.4719908535480499,nan,nan,0.3585936880254755,frozen,0.75,0.4827698767185211,0.47084760665893555,0.4827698767185211,0.47084760665893555,nan,nan,0.36412438281986587,1.1920928955078125e-06,166144,166144,0,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,2.49485182762146,0.7493757605552673,0.019222324714064598,0.7155435085296631,0.7843711972236633,nan,0.017773114144802094,0.034456491470336914,0.02132362872362137,0.2551669776439667,0.15909148752689362,5.076709747314453,0.49347084760665894,0.21707721054553986,-0.17225718222757272,-0.09141568522323237,0.05903329609647193,-0.27622896901213934,-0.28867709829220145
Amazon-ratings,iterative_relation_frozen_combined,iterative_relation_frozen,combined,undirected,3:0,3,0,-1,accuracy,0.46594804525375366,0.4484729766845703,0.46594804525375366,0.4484729766845703,nan,nan,0.33333179934815227,frozen,0.5,0.46594804525375366,0.4484729766845703,0.46594804525375366,0.4484729766845703,nan,nan,0.33333179934815227,1.430511474609375e-06,166144,166144,0,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,2.440749168395996,0.5,0.0,0.5,0.5,nan,0.0,0.0,0.0,0.0,0.0,2.8285350799560547,0.4823572635650635,0.15397754311561584,nan,nan,nan,nan,nan
Amazon-ratings,iterative_relation_frozen_combined,iterative_relation_frozen,combined,undirected,4:0,4,0,9,accuracy,0.47460395097732544,0.46072185039520264,0.47460395097732544,0.46072185039520264,nan,nan,0.36574097164242364,frozen,1.0,0.4731340706348419,0.4716642200946808,0.4731340706348419,0.4716642200946808,nan,nan,0.37045097629284973,1.1920928955078125e-06,166144,166144,0,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,2.781400203704834,0.984243631362915,0.02826213464140892,0.910733163356781,1.0,nan,0.015756303444504738,0.089266836643219,0.012001315131783485,0.20358119904994965,291595584.0,4.758688926696777,0.48231518268585205,0.2674503028392792,0.1855306292009673,-0.12169955262768373,0.1255952527559656,0.16165824367094464,0.17743819490206944
Amazon-ratings,iterative_relation_frozen_combined,iterative_relation_frozen,combined,undirected,5:0,5,0,-1,accuracy,0.4683978259563446,0.4768904149532318,0.4683978259563446,0.4768904149532318,nan,nan,0.3774703401873754,frozen,0.75,0.4683978259563446,0.4768904149532318,0.4683978259563446,0.4768904149532318,nan,nan,0.3774703401873754,1.1920928955078125e-06,166144,166144,0,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,2.41744327545166,0.75,0.0,0.75,0.75,nan,0.0,0.0,0.0,0.0,0.0,3.072700023651123,0.4945697784423828,0.1729011982679367,nan,nan,nan,nan,nan
Amazon-ratings,iterative_relation_frozen_combined,iterative_relation_frozen,combined,undirected,6:0,6,0,1,accuracy,0.4768904149532318,0.46643802523612976,0.4768904149532318,0.46643802523612976,nan,nan,0.3470989082787879,frozen,1.0,0.47672709822654724,0.46692797541618347,0.47672709822654724,0.46692797541618347,nan,nan,0.3587679379968507,9.5367431640625e-07,166144,166144,0,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,2.4852957725524902,0.9990718960762024,0.0015690010040998459,0.9823910593986511,1.0,nan,0.0009280537487939,0.017608940601348877,0.0006026776973158121,0.011146048083901405,5932749.0,1.927115559577942,0.4946998059749603,0.10531018674373627,-0.1309898398320427,-0.45140539141974484,0.412520871154731,-0.16218805472506992,-0.21549486418598418
Amazon-ratings,iterative_relation_frozen_combined,iterative_relation_frozen,combined,undirected,7:0,7,0,-1,accuracy,0.47035765647888184,0.4634982943534851,0.47035765647888184,0.4634982943534851,nan,nan,0.3718889321762172,frozen,1.0,0.47035765647888184,0.4634982943534851,0.47035765647888184,0.4634982943534851,nan,nan,0.3718889321762172,1.430511474609375e-06,166144,166144,0,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,2.4342875480651855,1.0,0.0,1.0,1.0,nan,0.0,0.0,0.0,0.0,0.0,2.0164389610290527,0.494498610496521,0.09297356009483337,nan,nan,nan,nan,nan
Amazon-ratings,iterative_relation_frozen_combined,iterative_relation_frozen,combined,undirected,8:0,8,0,0,accuracy,0.4646415114402771,0.4672546088695526,0.4646415114402771,0.4672546088695526,nan,nan,0.36283822164176094,frozen,0.75,0.4641515612602234,0.46594804525375366,0.4641515612602234,0.46594804525375366,nan,nan,0.35874470961361193,1.430511474609375e-06,166144,166144,0,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,2.4833877086639404,0.7497259974479675,0.005154139827936888,0.7357297539710999,0.7646709084510803,nan,0.0045932880602777,0.014670908451080322,0.006188925821334124,0.0785505473613739,0.046907633543014526,3.1055197715759277,0.49196532368659973,0.17008578777313232,-0.1959938310921894,-0.3376536469988004,0.2483153233546371,-0.2695039810892614,-0.32355267092488454
Amazon-ratings,iterative_relation_frozen_combined,iterative_relation_frozen,combined,undirected,9:0,9,0,0,accuracy,0.4634982943534851,0.4582720696926117,0.4634982943534851,0.4582720696926117,nan,nan,0.3416129227381688,frozen,0.75,0.46333494782447815,0.457782119512558,0.46333494782447815,0.457782119512558,nan,nan,0.3407033152746546,1.430511474609375e-06,166144,166144,0,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,2.4640989303588867,0.7499027848243713,0.005197463091462851,0.7365552186965942,0.7630610466003418,nan,0.004629477392882109,0.013444781303405762,0.005696339067071676,0.06940354406833649,0.041922301054000854,3.0606462955474854,0.5000663995742798,0.16849105060100555,-0.21292040887452582,-0.3414359276116511,0.24452736555156304,-0.34845979802457366,-0.3939031985112515
