dataset,model,family,control_mode,edge_protocol,run,split,seed,best_epoch,primary_metric,best_val_primary,test_primary_at_best_val,best_val_acc,test_acc_at_best_val,best_val_roc_auc,test_roc_auc_at_best_val,test_macro_f1_at_best_val,backbone_training_mode,base_alpha,baseline_val_acc,baseline_test_acc,baseline_val_primary,baseline_test_primary,baseline_val_roc_auc,baseline_test_roc_auc,baseline_macro_f1,initial_max_abs_logit_delta,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters,max_adjustment,lambda_init,relation_steps,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,control_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,elapsed_sec,alpha_mean,alpha_std,alpha_min,alpha_max,proposal_mean,adjustment_mean,adjustment_max,relation_abs_mean,relation_norm_mean,relation_to_base_norm,relation_state_norm_mean,relation_update_gate_mean,relation_update_gate_std,alpha_corr_raw_degree,alpha_corr_raw_local_similarity,alpha_corr_raw_neighbor_variance,alpha_corr_raw_rwse,alpha_corr_control_input_mean
Amazon-ratings,iterative_relation_frozen_feature_only,iterative_relation_frozen,feature_only,undirected,0:0,0,0,0,accuracy,0.4711742699146271,0.47721704840660095,0.4711742699146271,0.47721704840660095,nan,nan,0.36952032204735624,frozen,0.75,0.4710109233856201,0.4775436818599701,0.4710109233856201,0.4775436818599701,nan,nan,0.3669840006520091,1.1920928955078125e-06,166144,156544,0,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,3.464176893234253,0.748942494392395,0.005441219545900822,0.7362068891525269,0.7642714977264404,nan,0.004862229805439711,0.01427149772644043,0.007036117371171713,0.0825461745262146,0.047723568975925446,2.927055835723877,0.49514058232307434,0.16223934292793274,-0.31232641581180176,-0.23961825646942958,0.13803300007535924,-0.34277625599900935,nan
Amazon-ratings,iterative_relation_frozen_feature_only,iterative_relation_frozen,feature_only,undirected,1:0,1,0,-1,accuracy,0.4667646586894989,0.46496814489364624,0.4667646586894989,0.46496814489364624,nan,nan,0.3665667587690266,frozen,0.75,0.4667646586894989,0.46496814489364624,0.4667646586894989,0.46496814489364624,nan,nan,0.3665667587690266,1.430511474609375e-06,166144,156544,0,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,2.39560866355896,0.75,0.0,0.75,0.75,nan,0.0,0.0,0.0,0.0,0.0,2.7798078060150146,0.48182591795921326,0.16012592613697052,nan,nan,nan,nan,nan
Amazon-ratings,iterative_relation_frozen_feature_only,iterative_relation_frozen,feature_only,undirected,2:0,2,0,1,accuracy,0.48374977707862854,0.47231748700141907,0.48374977707862854,0.47231748700141907,nan,nan,0.3582937929836228,frozen,0.75,0.4827698767185211,0.47084760665893555,0.4827698767185211,0.47084760665893555,nan,nan,0.36412438281986587,1.430511474609375e-06,166144,156544,0,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,2.4818413257598877,0.7491711974143982,0.017492692917585373,0.7160155773162842,0.783767580986023,nan,0.015781579539179802,0.03398442268371582,0.0206782016903162,0.2482111155986786,0.13714823126792908,4.470500946044922,0.4946572482585907,0.20337563753128052,-0.15233961854586514,0.19769002331155747,-0.19461189020694683,-0.1021223319436942,nan
Amazon-ratings,iterative_relation_frozen_feature_only,iterative_relation_frozen,feature_only,undirected,3:0,3,0,-1,accuracy,0.46594804525375366,0.4484729766845703,0.46594804525375366,0.4484729766845703,nan,nan,0.33333179934815227,frozen,0.5,0.46594804525375366,0.4484729766845703,0.46594804525375366,0.4484729766845703,nan,nan,0.33333179934815227,9.5367431640625e-07,166144,156544,0,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,2.388423204421997,0.5,0.0,0.5,0.5,nan,0.0,0.0,0.0,0.0,0.0,2.577512264251709,0.48116570711135864,0.14316658675670624,nan,nan,nan,nan,nan
Amazon-ratings,iterative_relation_frozen_feature_only,iterative_relation_frozen,feature_only,undirected,4:0,4,0,80,accuracy,0.47460395097732544,0.4652947783470154,0.47460395097732544,0.4652947783470154,nan,nan,0.3732681513794275,frozen,1.0,0.4731340706348419,0.4716642200946808,0.4731340706348419,0.4716642200946808,nan,nan,0.37045097629284973,1.430511474609375e-06,166144,156544,0,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,5.298517465591431,0.9772318601608276,0.03762637451291084,0.9000062346458435,1.0,nan,0.02276814728975296,0.0999937653541565,0.014661361463367939,0.23877130448818207,243178688.0,4.151734352111816,0.5306305289268494,0.3037334680557251,0.028860913064386054,0.0034167883256554007,0.028023659481521353,-0.04517488400127455,nan
Amazon-ratings,iterative_relation_frozen_feature_only,iterative_relation_frozen,feature_only,undirected,5:0,5,0,-1,accuracy,0.4683978259563446,0.4768904149532318,0.4683978259563446,0.4768904149532318,nan,nan,0.3774703401873754,frozen,0.75,0.4683978259563446,0.4768904149532318,0.4683978259563446,0.4768904149532318,nan,nan,0.3774703401873754,1.430511474609375e-06,166144,156544,0,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,2.382424831390381,0.75,0.0,0.75,0.75,nan,0.0,0.0,0.0,0.0,0.0,2.8323042392730713,0.4937927722930908,0.16571983695030212,nan,nan,nan,nan,nan
Amazon-ratings,iterative_relation_frozen_feature_only,iterative_relation_frozen,feature_only,undirected,6:0,6,0,-1,accuracy,0.47672709822654724,0.46692797541618347,0.47672709822654724,0.46692797541618347,nan,nan,0.3587679379968507,frozen,1.0,0.47672709822654724,0.46692797541618347,0.47672709822654724,0.46692797541618347,nan,nan,0.3587679379968507,1.430511474609375e-06,166144,156544,0,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,2.3880343437194824,1.0,0.0,1.0,1.0,nan,0.0,0.0,0.0,0.0,0.0,1.6464824676513672,0.49607524275779724,0.07520633935928345,nan,nan,nan,nan,nan
Amazon-ratings,iterative_relation_frozen_feature_only,iterative_relation_frozen,feature_only,undirected,7:0,7,0,1,accuracy,0.4715009033679962,0.4634982943534851,0.4715009033679962,0.4634982943534851,nan,nan,0.3717538531459813,frozen,1.0,0.47035765647888184,0.4634982943534851,0.47035765647888184,0.4634982943534851,nan,nan,0.3718889321762172,1.1920928955078125e-06,166144,156544,0,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,2.4501917362213135,0.9989061951637268,0.002434484427794814,0.9770817756652832,1.0,nan,0.0010938197374343872,0.022918224334716797,0.0011216806014999747,0.020885109901428223,38655.33984375,1.6490845680236816,0.4900032579898834,0.0870615541934967,-0.25387801466195975,-0.2629096255275468,0.20526488784826966,-0.245287011901957,nan
Amazon-ratings,iterative_relation_frozen_feature_only,iterative_relation_frozen,feature_only,undirected,8:0,8,0,-1,accuracy,0.4641515612602234,0.46594804525375366,0.4641515612602234,0.46594804525375366,nan,nan,0.35874470961361193,frozen,0.75,0.4641515612602234,0.46594804525375366,0.4641515612602234,0.46594804525375366,nan,nan,0.35874470961361193,1.430511474609375e-06,166144,156544,0,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,2.3935303688049316,0.75,0.0,0.75,0.75,nan,0.0,0.0,0.0,0.0,0.0,2.8648173809051514,0.4911437928676605,0.1630416065454483,nan,nan,nan,nan,nan
Amazon-ratings,iterative_relation_frozen_feature_only,iterative_relation_frozen,feature_only,undirected,9:0,9,0,0,accuracy,0.4646415114402771,0.4582720696926117,0.4646415114402771,0.4582720696926117,nan,nan,0.34159787108481043,frozen,0.75,0.46333494782447815,0.457782119512558,0.46333494782447815,0.457782119512558,nan,nan,0.3407033152746546,1.430511474609375e-06,166144,156544,0,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,2.4172656536102295,0.7499025464057922,0.005068549886345863,0.7362004518508911,0.7633683681488037,nan,0.004461295902729034,0.013799548149108887,0.0056685092858970165,0.06897930055856705,0.03948143124580383,2.815375804901123,0.49979525804519653,0.1610962450504303,-0.11392330112368415,-0.2675383683941216,0.1950184578408662,-0.16412103253321345,nan
