dataset,model,family,control_mode,edge_protocol,run,split,seed,best_epoch,primary_metric,best_val_primary,test_primary_at_best_val,best_val_acc,test_acc_at_best_val,best_val_roc_auc,test_roc_auc_at_best_val,test_macro_f1_at_best_val,backbone_training_mode,base_alpha,baseline_val_acc,baseline_test_acc,baseline_val_primary,baseline_test_primary,baseline_val_roc_auc,baseline_test_roc_auc,baseline_macro_f1,initial_max_abs_logit_delta,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters,max_adjustment,lambda_init,relation_steps,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,control_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,elapsed_sec,alpha_mean,alpha_std,alpha_min,alpha_max,proposal_mean,adjustment_mean,adjustment_max,relation_abs_mean,relation_norm_mean,relation_to_base_norm,relation_state_norm_mean,relation_update_gate_mean,relation_update_gate_std,alpha_corr_raw_degree,alpha_corr_raw_local_similarity,alpha_corr_raw_neighbor_variance,alpha_corr_raw_rwse,alpha_corr_control_input_mean
Amazon-ratings,iterative_relation_frozen_reliability_only,iterative_relation_frozen,reliability_only,undirected,0:0,0,0,0,accuracy,0.47133758664131165,0.47672709822654724,0.47133758664131165,0.47672709822654724,nan,nan,0.3680084450962098,frozen,0.75,0.4710109233856201,0.4775436818599701,0.4710109233856201,0.4775436818599701,nan,nan,0.3669840006520091,1.1920928955078125e-06,166144,157568,0,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,3.4222846031188965,0.7489722371101379,0.005235431715846062,0.7365335822105408,0.7638894319534302,nan,0.004402949474751949,0.013889431953430176,0.007013218477368355,0.08213798701763153,0.041029442101716995,2.9123141765594482,0.4953118860721588,0.1636362224817276,-0.3865668186589281,-0.14240378031904652,0.04576896253789347,-0.3551415884222083,-0.43659569492118405
Amazon-ratings,iterative_relation_frozen_reliability_only,iterative_relation_frozen,reliability_only,undirected,1:0,1,0,-1,accuracy,0.4667646586894989,0.46496814489364624,0.4667646586894989,0.46496814489364624,nan,nan,0.3665667587690266,frozen,0.75,0.4667646586894989,0.46496814489364624,0.4667646586894989,0.46496814489364624,nan,nan,0.3665667587690266,1.1920928955078125e-06,166144,157568,0,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,2.352674722671509,0.75,0.0,0.75,0.75,nan,0.0,0.0,0.0,0.0,0.0,2.746997117996216,0.4835977256298065,0.1597379595041275,nan,nan,nan,nan,nan
Amazon-ratings,iterative_relation_frozen_reliability_only,iterative_relation_frozen,reliability_only,undirected,2:0,2,0,0,accuracy,0.48309651017189026,0.4737873673439026,0.48309651017189026,0.4737873673439026,nan,nan,0.3654148288614318,frozen,0.75,0.4827698767185211,0.47084760665893555,0.4827698767185211,0.47084760665893555,nan,nan,0.36412438281986587,1.430511474609375e-06,166144,157568,0,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,2.4330036640167236,0.7496582269668579,0.0053499736823141575,0.7363967895507812,0.7643380761146545,nan,0.004373093601316214,0.014338076114654541,0.006779234856367111,0.07960814237594604,0.034611232578754425,2.88474178314209,0.4940495193004608,0.16501010954380035,-0.2939813525705458,0.08867552703905666,-0.1431099145546467,-0.29862161986200925,-0.33452137636639456
Amazon-ratings,iterative_relation_frozen_reliability_only,iterative_relation_frozen,reliability_only,undirected,3:0,3,0,-1,accuracy,0.46594804525375366,0.4484729766845703,0.46594804525375366,0.4484729766845703,nan,nan,0.33333179934815227,frozen,0.5,0.46594804525375366,0.4484729766845703,0.46594804525375366,0.4484729766845703,nan,nan,0.33333179934815227,1.1920928955078125e-06,166144,157568,0,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,2.4161057472229004,0.5,0.0,0.5,0.5,nan,0.0,0.0,0.0,0.0,0.0,2.52787184715271,0.48235851526260376,0.1451001912355423,nan,nan,nan,nan,nan
Amazon-ratings,iterative_relation_frozen_reliability_only,iterative_relation_frozen,reliability_only,undirected,4:0,4,0,10,accuracy,0.4732973873615265,0.4646415114402771,0.4732973873615265,0.4646415114402771,nan,nan,0.3689099530089158,frozen,1.0,0.4731340706348419,0.4716642200946808,0.4731340706348419,0.4716642200946808,nan,nan,0.37045097629284973,1.430511474609375e-06,166144,157568,0,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,2.807711601257324,0.9817561507225037,0.033472150564193726,0.9051058888435364,1.0,nan,0.018243879079818726,0.09489411115646362,0.01369892805814743,0.2325235903263092,253203280.0,4.441565990447998,0.5151889324188232,0.261941134929657,0.31545928593274725,-0.2655363443248505,0.32446711378620413,0.17270192025341952,0.22718295061923813
Amazon-ratings,iterative_relation_frozen_reliability_only,iterative_relation_frozen,reliability_only,undirected,5:0,5,0,-1,accuracy,0.4683978259563446,0.4768904149532318,0.4683978259563446,0.4768904149532318,nan,nan,0.3774703401873754,frozen,0.75,0.4683978259563446,0.4768904149532318,0.4683978259563446,0.4768904149532318,nan,nan,0.3774703401873754,1.430511474609375e-06,166144,157568,0,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,2.424180030822754,0.75,0.0,0.75,0.75,nan,0.0,0.0,0.0,0.0,0.0,2.777132272720337,0.49591389298439026,0.1632816046476364,nan,nan,nan,nan,nan
Amazon-ratings,iterative_relation_frozen_reliability_only,iterative_relation_frozen,reliability_only,undirected,6:0,6,0,-1,accuracy,0.47672709822654724,0.46692797541618347,0.47672709822654724,0.46692797541618347,nan,nan,0.3587679379968507,frozen,1.0,0.47672709822654724,0.46692797541618347,0.47672709822654724,0.46692797541618347,nan,nan,0.3587679379968507,1.430511474609375e-06,166144,157568,0,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,2.409599542617798,1.0,0.0,1.0,1.0,nan,0.0,0.0,0.0,0.0,0.0,1.5485172271728516,0.4988187253475189,0.07168672978878021,nan,nan,nan,nan,nan
Amazon-ratings,iterative_relation_frozen_reliability_only,iterative_relation_frozen,reliability_only,undirected,7:0,7,0,-1,accuracy,0.47035765647888184,0.4634982943534851,0.47035765647888184,0.4634982943534851,nan,nan,0.3718889321762172,frozen,1.0,0.47035765647888184,0.4634982943534851,0.47035765647888184,0.4634982943534851,nan,nan,0.3718889321762172,1.1920928955078125e-06,166144,157568,0,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,2.4217050075531006,1.0,0.0,1.0,1.0,nan,0.0,0.0,0.0,0.0,0.0,1.5765798091888428,0.4964739680290222,0.07333497703075409,nan,nan,nan,nan,nan
Amazon-ratings,iterative_relation_frozen_reliability_only,iterative_relation_frozen,reliability_only,undirected,8:0,8,0,2,accuracy,0.46447819471359253,0.46333494782447815,0.46447819471359253,0.46333494782447815,nan,nan,0.3751378483857263,frozen,0.75,0.4641515612602234,0.46594804525375366,0.4641515612602234,0.46594804525375366,nan,nan,0.35874470961361193,1.1920928955078125e-06,166144,157568,0,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,2.5135674476623535,0.7490520477294922,0.02906464971601963,0.699913501739502,0.8000524044036865,nan,0.026180079206824303,0.05008649826049805,0.032435595989227295,0.386566162109375,0.2558237910270691,5.264371871948242,0.48634740710258484,0.2606385350227356,-0.11632797961324198,-0.36159633247290346,0.2854845343859011,-0.23263996357710134,-0.2684525093369114
Amazon-ratings,iterative_relation_frozen_reliability_only,iterative_relation_frozen,reliability_only,undirected,9:0,9,0,0,accuracy,0.46431487798690796,0.45794543623924255,0.46431487798690796,0.45794543623924255,nan,nan,0.3413157255667859,frozen,0.75,0.46333494782447815,0.457782119512558,0.46333494782447815,0.457782119512558,nan,nan,0.3407033152746546,1.1920928955078125e-06,166144,157568,0,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,2.466068744659424,0.7498059868812561,0.004935626406222582,0.7364547848701477,0.7627685070037842,nan,0.004063121043145657,0.013545215129852295,0.0057230377569794655,0.06912676244974136,0.03428862988948822,2.780744791030884,0.5004695653915405,0.16058064997196198,-0.18104141476325497,-0.305216821240419,0.20602731722107956,-0.31794504525530415,-0.35726171795368455
