dataset,model,family,control_mode,edge_protocol,run,split,seed,best_epoch,primary_metric,best_val_primary,test_primary_at_best_val,best_val_acc,test_acc_at_best_val,best_val_roc_auc,test_roc_auc_at_best_val,test_macro_f1_at_best_val,backbone_training_mode,base_alpha,baseline_val_acc,baseline_test_acc,baseline_val_primary,baseline_test_primary,baseline_val_roc_auc,baseline_test_roc_auc,baseline_macro_f1,initial_max_abs_logit_delta,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters,max_adjustment,lambda_init,relation_steps,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,control_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,elapsed_sec,alpha_mean,alpha_std,alpha_min,alpha_max,proposal_mean,adjustment_mean,adjustment_max,relation_abs_mean,relation_norm_mean,relation_to_base_norm,relation_state_norm_mean,relation_update_gate_mean,relation_update_gate_std,alpha_corr_raw_degree,alpha_corr_raw_local_similarity,alpha_corr_raw_neighbor_variance,alpha_corr_raw_rwse,alpha_corr_control_input_mean
Amazon-ratings,iterative_relation_frozen_shuffled_reliability,iterative_relation_frozen,shuffled_reliability,undirected,0:0,0,0,-1,accuracy,0.4710109233856201,0.4775436818599701,0.4710109233856201,0.4775436818599701,nan,nan,0.3669840006520091,frozen,0.75,0.4710109233856201,0.4775436818599701,0.4710109233856201,0.4775436818599701,nan,nan,0.3669840006520091,1.430511474609375e-06,166144,157568,0,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,3.340548038482666,0.75,0.0,0.75,0.75,nan,0.0,0.0,0.0,0.0,0.0,2.9215283393859863,0.4953385889530182,0.1639644056558609,nan,nan,nan,nan,nan
Amazon-ratings,iterative_relation_frozen_shuffled_reliability,iterative_relation_frozen,shuffled_reliability,undirected,1:0,1,0,-1,accuracy,0.4667646586894989,0.46496814489364624,0.4667646586894989,0.46496814489364624,nan,nan,0.3665667587690266,frozen,0.75,0.4667646586894989,0.46496814489364624,0.4667646586894989,0.46496814489364624,nan,nan,0.3665667587690266,1.430511474609375e-06,166144,157568,0,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,2.397575616836548,0.75,0.0,0.75,0.75,nan,0.0,0.0,0.0,0.0,0.0,2.7464866638183594,0.4836593270301819,0.15975362062454224,nan,nan,nan,nan,nan
Amazon-ratings,iterative_relation_frozen_shuffled_reliability,iterative_relation_frozen,shuffled_reliability,undirected,2:0,2,0,0,accuracy,0.48309651017189026,0.47460395097732544,0.48309651017189026,0.47460395097732544,nan,nan,0.3658983766274905,frozen,0.75,0.4827698767185211,0.47084760665893555,0.4827698767185211,0.47084760665893555,nan,nan,0.36412438281986587,1.1920928955078125e-06,166144,157568,0,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,2.4217143058776855,0.7496638894081116,0.005367190111428499,0.7360085248947144,0.7645010948181152,nan,0.0044523184187710285,0.014501094818115234,0.006756660528481007,0.07935639470815659,0.03523121401667595,2.8851263523101807,0.49417930841445923,0.1650783270597458,-0.15541147941157177,0.22453117329629874,-0.2207594932367045,-0.10141027822612149,0.10331067335251343
Amazon-ratings,iterative_relation_frozen_shuffled_reliability,iterative_relation_frozen,shuffled_reliability,undirected,3:0,3,0,-1,accuracy,0.46594804525375366,0.4484729766845703,0.46594804525375366,0.4484729766845703,nan,nan,0.33333179934815227,frozen,0.5,0.46594804525375366,0.4484729766845703,0.46594804525375366,0.4484729766845703,nan,nan,0.33333179934815227,1.1920928955078125e-06,166144,157568,0,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,2.3786137104034424,0.5,0.0,0.5,0.5,nan,0.0,0.0,0.0,0.0,0.0,2.529668092727661,0.48241278529167175,0.1452055722475052,nan,nan,nan,nan,nan
Amazon-ratings,iterative_relation_frozen_shuffled_reliability,iterative_relation_frozen,shuffled_reliability,undirected,4:0,4,0,-1,accuracy,0.4731340706348419,0.4716642200946808,0.4731340706348419,0.4716642200946808,nan,nan,0.37045097629284973,frozen,1.0,0.4731340706348419,0.4716642200946808,0.4731340706348419,0.4716642200946808,nan,nan,0.37045097629284973,1.1920928955078125e-06,166144,157568,0,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,2.402766227722168,1.0,0.0,1.0,1.0,nan,0.0,0.0,0.0,0.0,0.0,1.577697515487671,0.49725157022476196,0.07579120248556137,nan,nan,nan,nan,nan
Amazon-ratings,iterative_relation_frozen_shuffled_reliability,iterative_relation_frozen,shuffled_reliability,undirected,5:0,5,0,-1,accuracy,0.4683978259563446,0.4768904149532318,0.4683978259563446,0.4768904149532318,nan,nan,0.3774703401873754,frozen,0.75,0.4683978259563446,0.4768904149532318,0.4683978259563446,0.4768904149532318,nan,nan,0.3774703401873754,1.430511474609375e-06,166144,157568,0,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,2.391469717025757,0.75,0.0,0.75,0.75,nan,0.0,0.0,0.0,0.0,0.0,2.7768936157226562,0.49602577090263367,0.1632193624973297,nan,nan,nan,nan,nan
Amazon-ratings,iterative_relation_frozen_shuffled_reliability,iterative_relation_frozen,shuffled_reliability,undirected,6:0,6,0,-1,accuracy,0.47672709822654724,0.46692797541618347,0.47672709822654724,0.46692797541618347,nan,nan,0.3587679379968507,frozen,1.0,0.47672709822654724,0.46692797541618347,0.47672709822654724,0.46692797541618347,nan,nan,0.3587679379968507,1.430511474609375e-06,166144,157568,0,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,2.41001296043396,1.0,0.0,1.0,1.0,nan,0.0,0.0,0.0,0.0,0.0,1.5501402616500854,0.49882772564888,0.07203596085309982,nan,nan,nan,nan,nan
Amazon-ratings,iterative_relation_frozen_shuffled_reliability,iterative_relation_frozen,shuffled_reliability,undirected,7:0,7,0,-1,accuracy,0.47035765647888184,0.4634982943534851,0.47035765647888184,0.4634982943534851,nan,nan,0.3718889321762172,frozen,1.0,0.47035765647888184,0.4634982943534851,0.47035765647888184,0.4634982943534851,nan,nan,0.3718889321762172,1.430511474609375e-06,166144,157568,0,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,2.417572498321533,1.0,0.0,1.0,1.0,nan,0.0,0.0,0.0,0.0,0.0,1.5778427124023438,0.49647843837738037,0.07370664179325104,nan,nan,nan,nan,nan
Amazon-ratings,iterative_relation_frozen_shuffled_reliability,iterative_relation_frozen,shuffled_reliability,undirected,8:0,8,0,2,accuracy,0.46496814489364624,0.4639882445335388,0.46496814489364624,0.4639882445335388,nan,nan,0.37563211087162507,frozen,0.75,0.4641515612602234,0.46594804525375366,0.4641515612602234,0.46594804525375366,nan,nan,0.35874470961361193,1.430511474609375e-06,166144,157568,0,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,2.491854429244995,0.749068021774292,0.029532313346862793,0.6996657252311707,0.7998550534248352,nan,0.026919379830360413,0.050334274768829346,0.03249192610383034,0.3867265284061432,0.2615603804588318,5.281364917755127,0.49028491973876953,0.2630058825016022,-0.13083046941320123,-0.3096462825220646,0.24085531694692267,-0.19826927990684334,-0.028574593540821213
Amazon-ratings,iterative_relation_frozen_shuffled_reliability,iterative_relation_frozen,shuffled_reliability,undirected,9:0,9,0,0,accuracy,0.4646415114402771,0.4581087529659271,0.4646415114402771,0.4581087529659271,nan,nan,0.3414667934767505,frozen,0.75,0.46333494782447815,0.457782119512558,0.46333494782447815,0.457782119512558,nan,nan,0.3407033152746546,1.430511474609375e-06,166144,157568,0,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,2.3874313831329346,0.7498418688774109,0.004939128179103136,0.7364906668663025,0.7628915309906006,nan,0.004105438012629747,0.01350933313369751,0.005713741760700941,0.06896320730447769,0.03466254845261574,2.781421661376953,0.5005465149879456,0.16081610321998596,-0.1255608638897139,-0.2644293422817578,0.18890632183871034,-0.17592989207970888,-0.046850937196418675
