dataset,model,family,control_mode,edge_protocol,run,split,seed,best_epoch,primary_metric,best_val_primary,test_primary_at_best_val,best_val_acc,test_acc_at_best_val,best_val_roc_auc,test_roc_auc_at_best_val,test_macro_f1_at_best_val,backbone_training_mode,base_alpha,baseline_val_acc,baseline_test_acc,baseline_val_primary,baseline_test_primary,baseline_val_roc_auc,baseline_test_roc_auc,baseline_macro_f1,initial_max_abs_logit_delta,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters,max_adjustment,lambda_init,relation_steps,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,control_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,elapsed_sec,alpha_mean,alpha_std,alpha_min,alpha_max,proposal_mean,adjustment_mean,adjustment_max,relation_abs_mean,relation_norm_mean,relation_to_base_norm,relation_state_norm_mean,relation_update_gate_mean,relation_update_gate_std,alpha_corr_raw_degree,alpha_corr_raw_local_similarity,alpha_corr_raw_neighbor_variance,alpha_corr_raw_rwse,alpha_corr_control_input_mean
Roman-empire,iterative_relation_finetune_combined,iterative_relation_finetune,combined,undirected,0:0,0,0,187,accuracy,0.8446601629257202,0.8374514579772949,0.8446601629257202,0.8374514579772949,nan,nan,0.7932148900860345,finetuned,0.75,0.8222418427467346,0.8090363144874573,0.8222418427467346,0.8090363144874573,nan,nan,0.7501557865885716,4.76837158203125e-06,261842,166144,95698,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,8.956194639205933,0.7832819819450378,0.0485047921538353,0.6528825163841248,0.8492245674133301,nan,0.051937494426965714,0.09922456741333008,0.0566108375787735,0.6325392127037048,0.5488575100898743,7.30192232131958,0.5051848292350769,0.44750672578811646,0.12121385816850663,0.44644963159357426,-0.08536400058116536,-0.40785443982318986,-0.10564076042030479
Roman-empire,iterative_relation_finetune_combined,iterative_relation_finetune,combined,undirected,1:0,1,0,195,accuracy,0.8603706955909729,0.851570725440979,0.8603706955909729,0.851570725440979,nan,nan,0.8032706138817653,finetuned,1.0,0.8234774470329285,0.8212142586708069,0.8234774470329285,0.8212142586708069,nan,nan,0.763139597456932,3.814697265625e-06,261842,166144,95698,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,7.99785852432251,0.9835169911384583,0.02728857472538948,0.9004676342010498,1.0,nan,0.016483088955283165,0.0995323657989502,0.129096120595932,1.6120563745498657,1192671.875,5.725537300109863,0.5074656009674072,0.39902180433273315,0.598400222704517,-0.30285482181803725,0.5564759256331147,0.3495186637488707,0.45305394365795726
Roman-empire,iterative_relation_finetune_combined,iterative_relation_finetune,combined,undirected,2:0,2,0,186,accuracy,0.8457193374633789,0.8429226875305176,0.8457193374633789,0.8429226875305176,nan,nan,0.7975452986251493,finetuned,0.75,0.8213592171669006,0.8155665397644043,0.8213592171669006,0.8155665397644043,nan,nan,0.7659687680704805,5.7220458984375e-06,261842,166144,95698,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,7.985475540161133,0.7793188095092773,0.0491379089653492,0.6532653570175171,0.849523663520813,nan,0.04937716946005821,0.09952366352081299,0.054267846047878265,0.6219590902328491,0.5161253809928894,7.201176643371582,0.48887696862220764,0.44353291392326355,-0.08022007002598347,0.09706301231548332,-0.1652318435451423,-0.30839215182074786,-0.23532057673908113
Roman-empire,iterative_relation_finetune_combined,iterative_relation_finetune,combined,undirected,3:0,3,0,197,accuracy,0.8471314907073975,0.8395693302154541,0.8471314907073975,0.8395693302154541,nan,nan,0.7962132453734081,finetuned,0.75,0.8233009576797485,0.8166254758834839,0.8233009576797485,0.8166254758834839,nan,nan,0.7676235435434108,3.814697265625e-06,261842,166144,95698,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,7.947328567504883,0.7856578826904297,0.05637788027524948,0.6552178859710693,0.8497148156166077,nan,0.06007350608706474,0.09971481561660767,0.0711374282836914,0.8187433481216431,0.6098182797431946,7.505241394042969,0.4880710244178772,0.45710867643356323,0.12635357320837773,0.33845894084853745,0.13633503773175176,0.286710502267724,0.3686939572878736
Roman-empire,iterative_relation_finetune_combined,iterative_relation_finetune,combined,undirected,4:0,4,0,187,accuracy,0.850308895111084,0.8402752876281738,0.850308895111084,0.8402752876281738,nan,nan,0.7996136122971234,finetuned,0.5,0.8225948810577393,0.811683714389801,0.8225948810577393,0.811683714389801,nan,nan,0.7566333462232735,4.76837158203125e-06,261842,166144,95698,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,7.94659686088562,0.5435854196548462,0.048548623919487,0.4024586081504822,0.5988752245903015,nan,0.058014072477817535,0.09887522459030151,0.04723982885479927,0.56382155418396,0.5559784173965454,7.587459564208984,0.5019333362579346,0.4591347575187683,0.5355636999760998,0.32356332945926397,0.3389920849601853,-0.048290133193835946,0.3220834470266647
Roman-empire,iterative_relation_finetune_combined,iterative_relation_finetune,combined,undirected,5:0,5,0,198,accuracy,0.8499558568000793,0.8508647680282593,0.8499558568000793,0.8508647680282593,nan,nan,0.8040691720636658,finetuned,0.75,0.8222418427467346,0.8279209136962891,0.8222418427467346,0.8279209136962891,nan,nan,0.7737918670773842,4.76837158203125e-06,261842,166144,95698,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,7.969628095626831,0.7857603430747986,0.051552802324295044,0.6528958082199097,0.8492206931114197,nan,0.0550864078104496,0.09922069311141968,0.06703578680753708,0.7622989416122437,0.6024731397628784,7.3840765953063965,0.4980318546295166,0.4493073523044586,0.40649318905513726,0.29778994326463915,0.3031836315368503,0.04782491082362762,0.3272698543220246
Roman-empire,iterative_relation_finetune_combined,iterative_relation_finetune,combined,undirected,6:0,6,0,196,accuracy,0.8488967418670654,0.8462759852409363,0.8488967418670654,0.8462759852409363,nan,nan,0.8064527577723761,finetuned,0.75,0.8270079493522644,0.8206847906112671,0.8270079493522644,0.8206847906112671,nan,nan,0.7680228912639914,4.76837158203125e-06,261842,166144,95698,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,7.946176052093506,0.7879728078842163,0.05550175532698631,0.6564892530441284,0.8496128916740417,nan,0.06131371483206749,0.09961289167404175,0.08795582503080368,0.9575073719024658,0.6668222546577454,7.457879066467285,0.5128906965255737,0.44945207238197327,0.4700945610531732,0.3800326281147797,0.2806027450236045,0.0853634712611056,0.393399607205126
Roman-empire,iterative_relation_finetune_combined,iterative_relation_finetune,combined,undirected,7:0,7,0,198,accuracy,0.8444836735725403,0.8406282663345337,0.8444836735725403,0.8406282663345337,nan,nan,0.7998004016636692,finetuned,0.75,0.8197705149650574,0.8199787735939026,0.8197705149650574,0.8199787735939026,nan,nan,0.7677663567943105,4.76837158203125e-06,261842,166144,95698,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,7.989763259887695,0.7852832078933716,0.05238674208521843,0.6552202105522156,0.8482699394226074,nan,0.055799078196287155,0.09826993942260742,0.06362007558345795,0.7230100631713867,0.6053010821342468,7.328990459442139,0.5404574871063232,0.44587060809135437,-0.2692689932668036,0.39881825178601077,-0.21410736748081177,0.15906447000000282,0.09629642368199307
Roman-empire,iterative_relation_finetune_combined,iterative_relation_finetune,combined,undirected,8:0,8,0,158,accuracy,0.8460723757743835,0.8386868834495544,0.8460723757743835,0.8386868834495544,nan,nan,0.79432458150029,finetuned,0.75,0.826654851436615,0.8169784545898438,0.826654851436615,0.8169784545898438,nan,nan,0.7671161612261157,4.76837158203125e-06,261842,166144,95698,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,7.958782196044922,0.7852476835250854,0.04681890085339546,0.6516815423965454,0.8493435382843018,nan,0.05046411603689194,0.09934353828430176,0.057329997420310974,0.684768795967102,0.5907326936721802,7.222869873046875,0.5402424931526184,0.44223517179489136,0.32464106912797586,0.43522993939218124,0.12385407622294851,0.11005075772542662,0.3443670799314463
Roman-empire,iterative_relation_finetune_combined,iterative_relation_finetune,combined,undirected,9:0,9,0,184,accuracy,0.855781078338623,0.8476879596710205,0.855781078338623,0.8476879596710205,nan,nan,0.7994191568423096,finetuned,1.0,0.8218887448310852,0.8095657825469971,0.8218887448310852,0.8095657825469971,nan,nan,0.7566836900069488,5.7220458984375e-06,261842,166144,95698,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,7.988684415817261,0.9844713807106018,0.026158999651670456,0.9003572463989258,1.0,nan,0.015528669580817223,0.09964275360107422,0.12669135630130768,1.6645994186401367,464292.15625,5.65857458114624,0.46897709369659424,0.3889686167240143,0.657099453040218,-0.19317460664875757,0.5374733910979237,0.3195843956637703,0.4829432860275849
