dataset,model,family,control_mode,edge_protocol,run,split,seed,best_epoch,primary_metric,best_val_primary,test_primary_at_best_val,best_val_acc,test_acc_at_best_val,best_val_roc_auc,test_roc_auc_at_best_val,test_macro_f1_at_best_val,backbone_training_mode,base_alpha,baseline_val_acc,baseline_test_acc,baseline_val_primary,baseline_test_primary,baseline_val_roc_auc,baseline_test_roc_auc,baseline_macro_f1,initial_max_abs_logit_delta,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters,max_adjustment,lambda_init,relation_steps,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,control_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,elapsed_sec,alpha_mean,alpha_std,alpha_min,alpha_max,proposal_mean,adjustment_mean,adjustment_max,relation_abs_mean,relation_norm_mean,relation_to_base_norm,relation_state_norm_mean,relation_update_gate_mean,relation_update_gate_std,alpha_corr_raw_degree,alpha_corr_raw_local_similarity,alpha_corr_raw_neighbor_variance,alpha_corr_raw_rwse,alpha_corr_control_input_mean
Roman-empire,iterative_relation_finetune_constant_reliability,iterative_relation_finetune,constant_reliability,undirected,0:0,0,0,-1,accuracy,0.8222418427467346,0.8090363144874573,0.8222418427467346,0.8090363144874573,nan,nan,0.7501557865885716,finetuned,0.75,0.8222418427467346,0.8090363144874573,0.8222418427467346,0.8090363144874573,nan,nan,0.7501557865885716,3.814697265625e-06,261842,157568,95698,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,3.440890312194824,0.75,0.0,0.75,0.75,nan,0.0,0.0,0.0,0.0,0.0,3.6681690216064453,0.4439113140106201,0.24027091264724731,nan,nan,nan,nan,nan
Roman-empire,iterative_relation_finetune_constant_reliability,iterative_relation_finetune,constant_reliability,undirected,1:0,1,0,132,accuracy,0.8310679197311401,0.8263325095176697,0.8310679197311401,0.8263325095176697,nan,nan,0.7746311925824154,finetuned,1.0,0.8234774470329285,0.8212142586708069,0.8234774470329285,0.8212142586708069,nan,nan,0.763139597456932,4.76837158203125e-06,261842,157568,95698,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,7.55789852142334,0.9887556433677673,0.025646494701504707,0.9010888934135437,1.0,nan,0.011244376190006733,0.0989111065864563,0.06292830407619476,1.0096735954284668,838342.3125,4.702617645263672,0.4028432071208954,0.33637282252311707,0.264846965992001,-0.17438062899468224,0.19785131709309448,0.01539994058883379,nan
Roman-empire,iterative_relation_finetune_constant_reliability,iterative_relation_finetune,constant_reliability,undirected,2:0,2,0,180,accuracy,0.8280670642852783,0.8226261734962463,0.8280670642852783,0.8226261734962463,nan,nan,0.7752837676394655,finetuned,0.75,0.8213592171669006,0.8155665397644043,0.8213592171669006,0.8155665397644043,nan,nan,0.7659687680704805,4.76837158203125e-06,261842,157568,95698,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,7.826136350631714,0.789162814617157,0.05376747250556946,0.6716994047164917,0.8482521772384644,nan,0.05924816429615021,0.09825217723846436,0.06267648935317993,0.7067145705223083,0.4909275770187378,6.414704322814941,0.46312403678894043,0.3721867799758911,-0.29168106448216646,-0.07928344418808105,-0.16860283333344003,0.11011423985447166,nan
Roman-empire,iterative_relation_finetune_constant_reliability,iterative_relation_finetune,constant_reliability,undirected,3:0,3,0,183,accuracy,0.8328331708908081,0.8242145776748657,0.8328331708908081,0.8242145776748657,nan,nan,0.7763508459035444,finetuned,0.75,0.8233009576797485,0.8166254758834839,0.8233009576797485,0.8166254758834839,nan,nan,0.7676235435434108,3.814697265625e-06,261842,157568,95698,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,7.828582525253296,0.7970978021621704,0.06595835089683533,0.6538402438163757,0.849631667137146,nan,0.07680798321962357,0.099631667137146,0.10797298699617386,1.257094144821167,0.7569429278373718,7.922386169433594,0.5713440775871277,0.4544323980808258,0.16480534755660156,0.02799751991808706,0.11684707911486095,-0.15118226369245488,nan
Roman-empire,iterative_relation_finetune_constant_reliability,iterative_relation_finetune,constant_reliability,undirected,4:0,4,0,196,accuracy,0.8305383920669556,0.8245675563812256,0.8305383920669556,0.8245675563812256,nan,nan,0.7791237085395265,finetuned,0.5,0.8225948810577393,0.811683714389801,0.8225948810577393,0.811683714389801,nan,nan,0.7566333462232735,4.76837158203125e-06,261842,157568,95698,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,7.829842567443848,0.564375638961792,0.0487445704638958,0.4028905928134918,0.5995867252349854,nan,0.07514714449644089,0.09958672523498535,0.05247409641742706,0.5863873362541199,0.589949369430542,7.8206658363342285,0.5492691993713379,0.4568299651145935,0.30858722234566205,-0.2819271517128181,0.28678170323388774,0.222310972896379,nan
Roman-empire,iterative_relation_finetune_constant_reliability,iterative_relation_finetune,constant_reliability,undirected,5:0,5,0,194,accuracy,0.8317740559577942,0.8393928408622742,0.8317740559577942,0.8393928408622742,nan,nan,0.7859507321975723,finetuned,0.75,0.8222418427467346,0.8279209136962891,0.8222418427467346,0.8279209136962891,nan,nan,0.7737918670773842,4.76837158203125e-06,261842,157568,95698,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,7.858315944671631,0.8018715381622314,0.05869646370410919,0.656884491443634,0.8497195243835449,nan,0.07287810742855072,0.09971952438354492,0.08130946010351181,0.926607608795166,0.6816069483757019,7.866489410400391,0.5605490207672119,0.4490819573402405,-0.3704888684287764,0.06486790122409314,-0.2606642025680399,0.029205897964566244,nan
Roman-empire,iterative_relation_finetune_constant_reliability,iterative_relation_finetune,constant_reliability,undirected,6:0,6,0,180,accuracy,0.833892285823822,0.8321567177772522,0.833892285823822,0.8321567177772522,nan,nan,0.7876117456108611,finetuned,0.75,0.8270079493522644,0.8206847906112671,0.8270079493522644,0.8206847906112671,nan,nan,0.7680228912639914,4.76837158203125e-06,261842,157568,95698,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,7.856642723083496,0.7988927960395813,0.06376232951879501,0.6530110239982605,0.8498402237892151,nan,0.0757022351026535,0.09984022378921509,0.1109573021531105,1.2142491340637207,0.731386661529541,7.865313529968262,0.5714789032936096,0.43839216232299805,0.023618506154304594,0.1174443667453568,-0.06699025526015616,-0.08329294491001099,nan
Roman-empire,iterative_relation_finetune_constant_reliability,iterative_relation_finetune,constant_reliability,undirected,7:0,7,0,174,accuracy,0.8268314003944397,0.8284503817558289,0.8268314003944397,0.8284503817558289,nan,nan,0.7839509109532441,finetuned,0.75,0.8197705149650574,0.8199787735939026,0.8197705149650574,0.8199787735939026,nan,nan,0.7677663567943105,4.76837158203125e-06,261842,157568,95698,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,7.8293092250823975,0.7951844930648804,0.0649564191699028,0.6566683053970337,0.8492121696472168,nan,0.0748879462480545,0.0992121696472168,0.093881756067276,1.0050268173217773,0.7249575853347778,7.580248832702637,0.5580723881721497,0.43132907152175903,-0.03394092648966939,-0.1359281367989674,-0.024852951588302773,0.13134955375223142,nan
Roman-empire,iterative_relation_finetune_constant_reliability,iterative_relation_finetune,constant_reliability,undirected,8:0,8,0,137,accuracy,0.8335392475128174,0.8213907480239868,0.8335392475128174,0.8213907480239868,nan,nan,0.7718190653025049,finetuned,0.75,0.826654851436615,0.8169784545898438,0.826654851436615,0.8169784545898438,nan,nan,0.7671161612261157,4.76837158203125e-06,261842,157568,95698,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,7.760949373245239,0.7997605204582214,0.05064588040113449,0.6661770343780518,0.8489579558372498,nan,0.06441120058298111,0.09895795583724976,0.07357749342918396,0.8467051386833191,0.6356862187385559,7.125622749328613,0.5240315198898315,0.39603158831596375,0.09888531693368047,-0.01843093795258654,0.01511108075029359,-0.10283425875344986,nan
Roman-empire,iterative_relation_finetune_constant_reliability,iterative_relation_finetune,constant_reliability,undirected,9:0,9,0,129,accuracy,0.8289496898651123,0.8194493055343628,0.8289496898651123,0.8194493055343628,nan,nan,0.7704435601472355,finetuned,1.0,0.8218887448310852,0.8095657825469971,0.8218887448310852,0.8095657825469971,nan,nan,0.7566836900069488,4.76837158203125e-06,261842,157568,95698,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,7.4300923347473145,0.9943809509277344,0.01923930086195469,0.9013738632202148,1.0,nan,0.005619129166007042,0.09862613677978516,0.033236004412174225,0.7581619024276733,642251.6875,4.630113124847412,0.41228538751602173,0.32568785548210144,0.10037656817397089,-0.07711921473692802,0.07541344020742581,-0.10501360372245108,nan
