dataset,model,family,control_mode,edge_protocol,run,split,seed,best_epoch,primary_metric,best_val_primary,test_primary_at_best_val,best_val_acc,test_acc_at_best_val,best_val_roc_auc,test_roc_auc_at_best_val,test_macro_f1_at_best_val,backbone_training_mode,base_alpha,baseline_val_acc,baseline_test_acc,baseline_val_primary,baseline_test_primary,baseline_val_roc_auc,baseline_test_roc_auc,baseline_macro_f1,initial_max_abs_logit_delta,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters,max_adjustment,lambda_init,relation_steps,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,control_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,elapsed_sec,alpha_mean,alpha_std,alpha_min,alpha_max,proposal_mean,adjustment_mean,adjustment_max,relation_abs_mean,relation_norm_mean,relation_to_base_norm,relation_state_norm_mean,relation_update_gate_mean,relation_update_gate_std,alpha_corr_raw_degree,alpha_corr_raw_local_similarity,alpha_corr_raw_neighbor_variance,alpha_corr_raw_rwse,alpha_corr_control_input_mean
Roman-empire,iterative_relation_finetune_feature_only,iterative_relation_finetune,feature_only,undirected,0:0,0,0,-1,accuracy,0.8222418427467346,0.8090363144874573,0.8222418427467346,0.8090363144874573,nan,nan,0.7501557865885716,finetuned,0.75,0.8222418427467346,0.8090363144874573,0.8222418427467346,0.8090363144874573,nan,nan,0.7501557865885716,4.76837158203125e-06,261842,156544,95698,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,3.5240206718444824,0.75,0.0,0.75,0.75,nan,0.0,0.0,0.0,0.0,0.0,3.703972101211548,0.44370394945144653,0.24268224835395813,nan,nan,nan,nan,nan
Roman-empire,iterative_relation_finetune_feature_only,iterative_relation_finetune,feature_only,undirected,1:0,1,0,194,accuracy,0.8358340263366699,0.830568253993988,0.8358340263366699,0.830568253993988,nan,nan,0.7813954435328727,finetuned,1.0,0.8234774470329285,0.8212142586708069,0.8234774470329285,0.8212142586708069,nan,nan,0.763139597456932,5.7220458984375e-06,261842,156544,95698,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,7.852558612823486,0.9859682321548462,0.027072543278336525,0.9003357291221619,1.0,nan,0.01403183676302433,0.09966427087783813,0.10252709686756134,1.4911941289901733,334532.28125,4.879547119140625,0.40330103039741516,0.3378027379512787,0.3266469850642252,-0.14491783064518282,0.27836411669604433,0.2710274614531443,nan
Roman-empire,iterative_relation_finetune_feature_only,iterative_relation_finetune,feature_only,undirected,2:0,2,0,181,accuracy,0.8312444686889648,0.8272149562835693,0.8312444686889648,0.8272149562835693,nan,nan,0.7830771893491906,finetuned,0.75,0.8213592171669006,0.8155665397644043,0.8213592171669006,0.8155665397644043,nan,nan,0.7659687680704805,4.76837158203125e-06,261842,156544,95698,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,7.804059028625488,0.7892172336578369,0.05236365646123886,0.6722472906112671,0.8484402894973755,nan,0.057313915342092514,0.09844028949737549,0.056755587458610535,0.6452517509460449,0.48601609468460083,6.253319263458252,0.4831748902797699,0.3783455789089203,0.1285890124351506,-0.12479150220583006,0.1568362941547406,0.13633238520098778,nan
Roman-empire,iterative_relation_finetune_feature_only,iterative_relation_finetune,feature_only,undirected,3:0,3,0,125,accuracy,0.8324801325798035,0.8215672373771667,0.8324801325798035,0.8215672373771667,nan,nan,0.7707766057473431,finetuned,0.75,0.8233009576797485,0.8166254758834839,0.8233009576797485,0.8166254758834839,nan,nan,0.7676235435434108,4.76837158203125e-06,261842,156544,95698,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,7.289392471313477,0.7938621044158936,0.06597023457288742,0.6538473963737488,0.8496657013893127,nan,0.07470877468585968,0.09966570138931274,0.10367203503847122,1.2310572862625122,0.7419389486312866,7.919312953948975,0.5696707963943481,0.46170613169670105,-0.003016431967857803,-0.04420025236925343,0.13061894798775728,0.12883224944780688,nan
Roman-empire,iterative_relation_finetune_feature_only,iterative_relation_finetune,feature_only,undirected,4:0,4,0,106,accuracy,0.8298322558403015,0.820861279964447,0.8298322558403015,0.820861279964447,nan,nan,0.7708996253045088,finetuned,0.5,0.8225948810577393,0.811683714389801,0.8225948810577393,0.811683714389801,nan,nan,0.7566333462232735,5.7220458984375e-06,261842,156544,95698,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,6.59870457649231,0.5537437796592712,0.05404346436262131,0.4025709331035614,0.5995580554008484,nan,0.06973850727081299,0.09955805540084839,0.047073844820261,0.5468009114265442,0.5530189871788025,7.711811065673828,0.5529440641403198,0.452496737241745,-0.01927950644708287,-0.22022628673483935,0.08465042744227594,0.16240769261554214,nan
Roman-empire,iterative_relation_finetune_feature_only,iterative_relation_finetune,feature_only,undirected,5:0,5,0,198,accuracy,0.8305383920669556,0.8413342237472534,0.8305383920669556,0.8413342237472534,nan,nan,0.7915385460741369,finetuned,0.75,0.8222418427467346,0.8279209136962891,0.8222418427467346,0.8279209136962891,nan,nan,0.7737918670773842,5.7220458984375e-06,261842,156544,95698,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,7.8736395835876465,0.801177978515625,0.058740537613630295,0.6571098566055298,0.849729061126709,nan,0.0718705952167511,0.09972906112670898,0.07519839704036713,0.8672085404396057,0.6652205586433411,7.762395858764648,0.5315143465995789,0.4435601830482483,-0.17531095831083074,-0.019053965806316558,-0.06983184001182619,0.13069930349113504,nan
Roman-empire,iterative_relation_finetune_feature_only,iterative_relation_finetune,feature_only,undirected,6:0,6,0,195,accuracy,0.8333627581596375,0.8284503817558289,0.8333627581596375,0.8284503817558289,nan,nan,0.7831201028198004,finetuned,0.75,0.8270079493522644,0.8206847906112671,0.8270079493522644,0.8206847906112671,nan,nan,0.7680228912639914,4.76837158203125e-06,261842,156544,95698,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,7.833707571029663,0.7996789813041687,0.06382329016923904,0.6532645225524902,0.8498343825340271,nan,0.07666905969381332,0.0998343825340271,0.11207694560289383,1.219228744506836,0.7284123301506042,7.862344264984131,0.5899605751037598,0.44308653473854065,-0.11610508367753915,0.10414029145564506,-0.16081807314167307,-0.0077960481931821,nan
Roman-empire,iterative_relation_finetune_feature_only,iterative_relation_finetune,feature_only,undirected,7:0,7,0,181,accuracy,0.8270079493522644,0.8277444243431091,0.8270079493522644,0.8277444243431091,nan,nan,0.7873326288233794,finetuned,0.75,0.8197705149650574,0.8199787735939026,0.8197705149650574,0.8199787735939026,nan,nan,0.7677663567943105,4.76837158203125e-06,261842,156544,95698,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,7.815636396408081,0.7957223057746887,0.06348998099565506,0.6559451818466187,0.8493503928184509,nan,0.07378556579351425,0.09935039281845093,0.08936674147844315,0.9464521408081055,0.7214499115943909,7.552854537963867,0.600464403629303,0.4252941906452179,0.11340912606830042,0.019237914523539332,-0.012695721480283334,0.01068587654238778,nan
Roman-empire,iterative_relation_finetune_feature_only,iterative_relation_finetune,feature_only,undirected,8:0,8,0,150,accuracy,0.834774911403656,0.8222731947898865,0.834774911403656,0.8222731947898865,nan,nan,0.770386952835187,finetuned,0.75,0.826654851436615,0.8169784545898438,0.826654851436615,0.8169784545898438,nan,nan,0.7671161612261157,3.814697265625e-06,261842,156544,95698,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,7.833791494369507,0.8008258938789368,0.051275722682476044,0.6652438640594482,0.8491807579994202,nan,0.06539149582386017,0.09918075799942017,0.07558382302522659,0.8636537790298462,0.6494186520576477,7.085916519165039,0.5430895686149597,0.3839495778083801,-0.0491535067267066,-0.04017106102144675,0.1200450672469567,0.13695481481823465,nan
Roman-empire,iterative_relation_finetune_feature_only,iterative_relation_finetune,feature_only,undirected,9:0,9,0,199,accuracy,0.8351279497146606,0.8277444243431091,0.8351279497146606,0.8277444243431091,nan,nan,0.7805375071418802,finetuned,1.0,0.8218887448310852,0.8095657825469971,0.8218887448310852,0.8095657825469971,nan,nan,0.7566836900069488,5.7220458984375e-06,261842,156544,95698,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,7.8021697998046875,0.9849209189414978,0.029611820355057716,0.9000343680381775,1.0,nan,0.015079112723469734,0.09996563196182251,0.1021014153957367,1.4105454683303833,137483.078125,5.255758762359619,0.47595980763435364,0.35219669342041016,0.15039828885048903,-0.08199852172517144,0.2082088989260521,0.19661489234588544,nan
