dataset,model,family,control_mode,edge_protocol,run,split,seed,best_epoch,primary_metric,best_val_primary,test_primary_at_best_val,best_val_acc,test_acc_at_best_val,best_val_roc_auc,test_roc_auc_at_best_val,test_macro_f1_at_best_val,backbone_training_mode,base_alpha,baseline_val_acc,baseline_test_acc,baseline_val_primary,baseline_test_primary,baseline_val_roc_auc,baseline_test_roc_auc,baseline_macro_f1,initial_max_abs_logit_delta,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters,max_adjustment,lambda_init,relation_steps,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,control_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,elapsed_sec,alpha_mean,alpha_std,alpha_min,alpha_max,proposal_mean,adjustment_mean,adjustment_max,relation_abs_mean,relation_norm_mean,relation_to_base_norm,relation_state_norm_mean,relation_update_gate_mean,relation_update_gate_std,alpha_corr_raw_degree,alpha_corr_raw_local_similarity,alpha_corr_raw_neighbor_variance,alpha_corr_raw_rwse,alpha_corr_control_input_mean
Roman-empire,iterative_relation_finetune_fixed,iterative_relation_finetune,fixed,undirected,0:0,0,0,-1,accuracy,0.8222418427467346,0.8090363144874573,0.8222418427467346,0.8090363144874573,nan,nan,0.7501557865885716,fixed_finetuned,0.75,0.8222418427467346,0.8090363144874573,0.8222418427467346,0.8090363144874573,nan,nan,0.7501557865885716,4.76837158203125e-06,95698,0,95698,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,2.822977304458618,0.75,0.0,0.75,0.75,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan
Roman-empire,iterative_relation_finetune_fixed,iterative_relation_finetune,fixed,undirected,1:0,1,0,29,accuracy,0.8255957365036011,0.8240380883216858,0.8255957365036011,0.8240380883216858,nan,nan,0.7651680245953137,fixed_finetuned,1.0,0.8234774470329285,0.8212142586708069,0.8234774470329285,0.8212142586708069,nan,nan,0.763139597456932,4.76837158203125e-06,95698,0,95698,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,2.6479849815368652,1.0,0.0,1.0,1.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan
Roman-empire,iterative_relation_finetune_fixed,iterative_relation_finetune,fixed,undirected,2:0,2,0,-1,accuracy,0.8213592171669006,0.8155665397644043,0.8213592171669006,0.8155665397644043,nan,nan,0.7659687680704805,fixed_finetuned,0.75,0.8213592171669006,0.8155665397644043,0.8213592171669006,0.8155665397644043,nan,nan,0.7659687680704805,4.76837158203125e-06,95698,0,95698,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,1.8329200744628906,0.75,0.0,0.75,0.75,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan
Roman-empire,iterative_relation_finetune_fixed,iterative_relation_finetune,fixed,undirected,3:0,3,0,163,accuracy,0.8345983624458313,0.821037769317627,0.8345983624458313,0.821037769317627,nan,nan,0.7742762639706373,fixed_finetuned,0.75,0.8233009576797485,0.8166254758834839,0.8233009576797485,0.8166254758834839,nan,nan,0.7676235435434108,4.76837158203125e-06,95698,0,95698,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,5.619505405426025,0.75,0.0,0.75,0.75,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan
Roman-empire,iterative_relation_finetune_fixed,iterative_relation_finetune,fixed,undirected,4:0,4,0,89,accuracy,0.8285966515541077,0.8148605227470398,0.8285966515541077,0.8148605227470398,nan,nan,0.7642810884449552,fixed_finetuned,0.5,0.8225948810577393,0.811683714389801,0.8225948810577393,0.811683714389801,nan,nan,0.7566333462232735,4.76837158203125e-06,95698,0,95698,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,4.300916910171509,0.5,0.0,0.5,0.5,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan
Roman-empire,iterative_relation_finetune_fixed,iterative_relation_finetune,fixed,undirected,5:0,5,0,168,accuracy,0.8296557664871216,0.8400987982749939,0.8296557664871216,0.8400987982749939,nan,nan,0.7883029031854076,fixed_finetuned,0.75,0.8222418427467346,0.8279209136962891,0.8222418427467346,0.8279209136962891,nan,nan,0.7737918670773842,3.814697265625e-06,95698,0,95698,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,5.68567681312561,0.75,0.0,0.75,0.75,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan
Roman-empire,iterative_relation_finetune_fixed,iterative_relation_finetune,fixed,undirected,6:0,6,0,119,accuracy,0.8324801325798035,0.8265089988708496,0.8324801325798035,0.8265089988708496,nan,nan,0.7795590359579525,fixed_finetuned,0.75,0.8270079493522644,0.8206847906112671,0.8270079493522644,0.8206847906112671,nan,nan,0.7680228912639914,4.76837158203125e-06,95698,0,95698,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,5.103507041931152,0.75,0.0,0.75,0.75,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan
Roman-empire,iterative_relation_finetune_fixed,iterative_relation_finetune,fixed,undirected,7:0,7,0,168,accuracy,0.8280670642852783,0.8259795308113098,0.8280670642852783,0.8259795308113098,nan,nan,0.7820665213085146,fixed_finetuned,0.75,0.8197705149650574,0.8199787735939026,0.8197705149650574,0.8199787735939026,nan,nan,0.7677663567943105,4.76837158203125e-06,95698,0,95698,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,5.630892038345337,0.75,0.0,0.75,0.75,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan
Roman-empire,iterative_relation_finetune_fixed,iterative_relation_finetune,fixed,undirected,8:0,8,0,147,accuracy,0.8345983624458313,0.8226261734962463,0.8345983624458313,0.8226261734962463,nan,nan,0.7711330335543634,fixed_finetuned,0.75,0.826654851436615,0.8169784545898438,0.826654851436615,0.8169784545898438,nan,nan,0.7671161612261157,3.814697265625e-06,95698,0,95698,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,5.602177381515503,0.75,0.0,0.75,0.75,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan
Roman-empire,iterative_relation_finetune_fixed,iterative_relation_finetune,fixed,undirected,9:0,9,0,-1,accuracy,0.8218887448310852,0.8095657825469971,0.8218887448310852,0.8095657825469971,nan,nan,0.7566836900069488,fixed_finetuned,1.0,0.8218887448310852,0.8095657825469971,0.8218887448310852,0.8095657825469971,nan,nan,0.7566836900069488,4.76837158203125e-06,95698,0,95698,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,1.8246252536773682,1.0,0.0,1.0,1.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan
