dataset,model,family,control_mode,edge_protocol,run,split,seed,best_epoch,primary_metric,best_val_primary,test_primary_at_best_val,best_val_acc,test_acc_at_best_val,best_val_roc_auc,test_roc_auc_at_best_val,test_macro_f1_at_best_val,backbone_training_mode,base_alpha,baseline_val_acc,baseline_test_acc,baseline_val_primary,baseline_test_primary,baseline_val_roc_auc,baseline_test_roc_auc,baseline_macro_f1,initial_max_abs_logit_delta,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters,max_adjustment,lambda_init,relation_steps,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,control_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,elapsed_sec,alpha_mean,alpha_std,alpha_min,alpha_max,proposal_mean,adjustment_mean,adjustment_max,relation_abs_mean,relation_norm_mean,relation_to_base_norm,relation_state_norm_mean,relation_update_gate_mean,relation_update_gate_std,alpha_corr_raw_degree,alpha_corr_raw_local_similarity,alpha_corr_raw_neighbor_variance,alpha_corr_raw_rwse,alpha_corr_control_input_mean
Roman-empire,iterative_relation_finetune_reliability_only,iterative_relation_finetune,reliability_only,undirected,0:0,0,0,195,accuracy,0.8448367118835449,0.8393928408622742,0.8448367118835449,0.8393928408622742,nan,nan,0.7956288196500362,finetuned,0.75,0.8222418427467346,0.8090363144874573,0.8222418427467346,0.8090363144874573,nan,nan,0.7501557865885716,4.76837158203125e-06,261842,157568,95698,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,8.858407735824585,0.7811883091926575,0.05213969200849533,0.6509681344032288,0.8498041033744812,nan,0.05333205685019493,0.0998041033744812,0.05680393427610397,0.6304327845573425,0.5524902939796448,7.1960554122924805,0.5008981227874756,0.45189937949180603,0.026353273605470347,0.5403327007115788,-0.13771140266511547,-0.3891819315908673,-0.10582780392905687
Roman-empire,iterative_relation_finetune_reliability_only,iterative_relation_finetune,reliability_only,undirected,1:0,1,0,193,accuracy,0.857546329498291,0.8533356785774231,0.857546329498291,0.8533356785774231,nan,nan,0.8108057612866808,finetuned,1.0,0.8234774470329285,0.8212142586708069,0.8234774470329285,0.8212142586708069,nan,nan,0.763139597456932,4.76837158203125e-06,261842,157568,95698,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,7.874352931976318,0.9827280044555664,0.028515512123703957,0.9003264904022217,1.0,nan,0.01727205328643322,0.09967350959777832,0.1379486620426178,1.7296879291534424,375385.9375,5.233334541320801,0.5483701229095459,0.38909822702407837,0.6202367312242302,-0.22224847102580764,0.5356732653688439,0.3746971431966619,0.49757872058513103
Roman-empire,iterative_relation_finetune_reliability_only,iterative_relation_finetune,reliability_only,undirected,2:0,2,0,198,accuracy,0.8464254140853882,0.8438051342964172,0.8464254140853882,0.8438051342964172,nan,nan,0.7997576928360516,finetuned,0.75,0.8213592171669006,0.8155665397644043,0.8213592171669006,0.8155665397644043,nan,nan,0.7659687680704805,4.76837158203125e-06,261842,157568,95698,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,7.8733789920806885,0.7778522372245789,0.050282981246709824,0.6513228416442871,0.8497808575630188,nan,0.04968633875250816,0.0997808575630188,0.055062588304281235,0.6254438161849976,0.5620906949043274,6.953242301940918,0.48451903462409973,0.441058874130249,-0.20568586132533295,0.21682015631945437,-0.4112119979432777,-0.27345807810406736,-0.2712190690877996
Roman-empire,iterative_relation_finetune_reliability_only,iterative_relation_finetune,reliability_only,undirected,3:0,3,0,198,accuracy,0.8458958268165588,0.8409812450408936,0.8458958268165588,0.8409812450408936,nan,nan,0.7987891722306361,finetuned,0.75,0.8233009576797485,0.8166254758834839,0.8233009576797485,0.8166254758834839,nan,nan,0.7676235435434108,3.814697265625e-06,261842,157568,95698,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,7.866624116897583,0.7840679287910461,0.05614781752228737,0.6528584957122803,0.8499172329902649,nan,0.05887145176529884,0.09991723299026489,0.07388519495725632,0.8590613007545471,0.6359989643096924,7.201229095458984,0.4977894425392151,0.44841936230659485,0.16150397360036015,0.4155400917039969,0.0071284790553751845,0.26213812445595386,0.35857830891400416
Roman-empire,iterative_relation_finetune_reliability_only,iterative_relation_finetune,reliability_only,undirected,4:0,4,0,197,accuracy,0.8518975973129272,0.8422167301177979,0.8518975973129272,0.8422167301177979,nan,nan,0.799860140408462,finetuned,0.5,0.8225948810577393,0.811683714389801,0.8225948810577393,0.811683714389801,nan,nan,0.7566333462232735,3.814697265625e-06,261842,157568,95698,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,7.908857107162476,0.5414475202560425,0.05050726607441902,0.4009394645690918,0.5993344187736511,nan,0.05792854726314545,0.09933441877365112,0.04532715678215027,0.5360224843025208,0.5644938349723816,7.3187785148620605,0.5290395021438599,0.4480833113193512,0.5169272716677796,0.2804671539646083,0.2455632323848086,0.10021990250288597,0.37813859299514635
Roman-empire,iterative_relation_finetune_reliability_only,iterative_relation_finetune,reliability_only,undirected,5:0,5,0,184,accuracy,0.8471314907073975,0.8513942360877991,0.8471314907073975,0.8513942360877991,nan,nan,0.8044066903511776,finetuned,0.75,0.8222418427467346,0.8279209136962891,0.8222418427467346,0.8279209136962891,nan,nan,0.7737918670773842,5.7220458984375e-06,261842,157568,95698,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,7.889179229736328,0.7826606035232544,0.052584998309612274,0.6507350206375122,0.8497709035873413,nan,0.054005399346351624,0.09977090358734131,0.06744412332773209,0.7759742140769958,0.597947359085083,7.15647029876709,0.5255004167556763,0.4474346935749054,0.606167513163777,0.33853564875348396,0.36600160811122173,0.07187410942506307,0.4346326503839029
Roman-empire,iterative_relation_finetune_reliability_only,iterative_relation_finetune,reliability_only,undirected,6:0,6,0,194,accuracy,0.8483671545982361,0.8450405597686768,0.8483671545982361,0.8450405597686768,nan,nan,0.8049069587634139,finetuned,0.75,0.8270079493522644,0.8206847906112671,0.8270079493522644,0.8206847906112671,nan,nan,0.7680228912639914,3.814697265625e-06,261842,157568,95698,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,7.855457305908203,0.7828985452651978,0.057900991290807724,0.6522579193115234,0.8497589230537415,nan,0.060946956276893616,0.09975892305374146,0.09979717433452606,1.0752133131027222,0.6683557629585266,7.081182479858398,0.5264331698417664,0.44343551993370056,0.348712764975196,0.4185270814949318,0.010897493730670595,-0.18159322517159313,0.129118626669904
Roman-empire,iterative_relation_finetune_reliability_only,iterative_relation_finetune,reliability_only,undirected,7:0,7,0,176,accuracy,0.8443071246147156,0.8406282663345337,0.8443071246147156,0.8406282663345337,nan,nan,0.7987849462136175,finetuned,0.75,0.8197705149650574,0.8199787735939026,0.8197705149650574,0.8199787735939026,nan,nan,0.7677663567943105,4.76837158203125e-06,261842,157568,95698,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,7.899008512496948,0.782352089881897,0.05624416470527649,0.6534692049026489,0.8493391871452332,nan,0.058254342526197433,0.09933918714523315,0.0763009637594223,0.841962993144989,0.6279160976409912,7.047247409820557,0.5185180902481079,0.43496203422546387,-0.3124640484854521,0.594248759126024,-0.48955827736624935,-0.385210232869629,-0.2760234571364483
Roman-empire,iterative_relation_finetune_reliability_only,iterative_relation_finetune,reliability_only,undirected,8:0,8,0,114,accuracy,0.8451897501945496,0.837274968624115,0.8451897501945496,0.837274968624115,nan,nan,0.7921705711157734,finetuned,0.75,0.826654851436615,0.8169784545898438,0.826654851436615,0.8169784545898438,nan,nan,0.7671161612261157,4.76837158203125e-06,261842,157568,95698,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,6.922915458679199,0.7794421911239624,0.04569359868764877,0.6530296802520752,0.8494720458984375,nan,0.047128207981586456,0.0994720458984375,0.06713328510522842,0.7735974788665771,0.560897946357727,6.6875505447387695,0.552055835723877,0.4236474335193634,0.49682275233898004,0.4198504071917118,0.16364779327218573,0.05359699159268656,0.3667651255010638
Roman-empire,iterative_relation_finetune_reliability_only,iterative_relation_finetune,reliability_only,undirected,9:0,9,0,169,accuracy,0.8556045889854431,0.8482174277305603,0.8556045889854431,0.8482174277305603,nan,nan,0.8039051827384116,finetuned,1.0,0.8218887448310852,0.8095657825469971,0.8218887448310852,0.8095657825469971,nan,nan,0.7566836900069488,4.76837158203125e-06,261842,157568,95698,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,7.908761739730835,0.9836529493331909,0.02682293765246868,0.9000886082649231,1.0,nan,0.016347091645002365,0.0999113917350769,0.12906494736671448,1.656806230545044,191137.515625,5.2555060386657715,0.5595288276672363,0.3853805661201477,0.7226486875810426,-0.035697787493726124,0.626219231162319,0.38226537582580916,0.6160994730423218
