dataset,model,family,control_mode,edge_protocol,run,split,seed,best_epoch,primary_metric,best_val_primary,test_primary_at_best_val,best_val_acc,test_acc_at_best_val,best_val_roc_auc,test_roc_auc_at_best_val,test_macro_f1_at_best_val,backbone_training_mode,base_alpha,baseline_val_acc,baseline_test_acc,baseline_val_primary,baseline_test_primary,baseline_val_roc_auc,baseline_test_roc_auc,baseline_macro_f1,initial_max_abs_logit_delta,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters,max_adjustment,lambda_init,relation_steps,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,control_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,elapsed_sec,alpha_mean,alpha_std,alpha_min,alpha_max,proposal_mean,adjustment_mean,adjustment_max,relation_abs_mean,relation_norm_mean,relation_to_base_norm,relation_state_norm_mean,relation_update_gate_mean,relation_update_gate_std,alpha_corr_raw_degree,alpha_corr_raw_local_similarity,alpha_corr_raw_neighbor_variance,alpha_corr_raw_rwse,alpha_corr_control_input_mean
Roman-empire,iterative_relation_finetune_shuffled_reliability,iterative_relation_finetune,shuffled_reliability,undirected,0:0,0,0,-1,accuracy,0.8222418427467346,0.8090363144874573,0.8222418427467346,0.8090363144874573,nan,nan,0.7501557865885716,finetuned,0.75,0.8222418427467346,0.8090363144874573,0.8222418427467346,0.8090363144874573,nan,nan,0.7501557865885716,4.76837158203125e-06,261842,157568,95698,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,3.465928316116333,0.75,0.0,0.75,0.75,nan,0.0,0.0,0.0,0.0,0.0,3.6853103637695312,0.4453943073749542,0.24147674441337585,nan,nan,nan,nan,nan
Roman-empire,iterative_relation_finetune_shuffled_reliability,iterative_relation_finetune,shuffled_reliability,undirected,1:0,1,0,138,accuracy,0.8293027281761169,0.8282738924026489,0.8293027281761169,0.8282738924026489,nan,nan,0.773200720009998,finetuned,1.0,0.8234774470329285,0.8212142586708069,0.8234774470329285,0.8212142586708069,nan,nan,0.763139597456932,4.76837158203125e-06,261842,157568,95698,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,7.822688817977905,0.984088122844696,0.027579057961702347,0.9006747007369995,1.0,nan,0.015911897644400597,0.09932529926300049,0.10621411353349686,1.3508824110031128,412854.75,4.909155368804932,0.4505865275859833,0.3497529625892639,0.1924191914667752,-0.14476848461482167,0.05878458950290536,-0.1684710772417287,0.027981853625807723
Roman-empire,iterative_relation_finetune_shuffled_reliability,iterative_relation_finetune,shuffled_reliability,undirected,2:0,2,0,194,accuracy,0.827360987663269,0.8233321309089661,0.827360987663269,0.8233321309089661,nan,nan,0.7727263984916215,finetuned,0.75,0.8213592171669006,0.8155665397644043,0.8213592171669006,0.8155665397644043,nan,nan,0.7659687680704805,4.76837158203125e-06,261842,157568,95698,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,7.843690633773804,0.7885100841522217,0.050390809774398804,0.666641891002655,0.8488872051239014,nan,0.055524833500385284,0.09888720512390137,0.06363827735185623,0.7234164476394653,0.434691846370697,6.351505279541016,0.4920717775821686,0.4052254557609558,0.007623425314409151,-0.005337708075754003,0.0068524608152708555,-0.0020705501378251163,-0.5456498763429644
Roman-empire,iterative_relation_finetune_shuffled_reliability,iterative_relation_finetune,shuffled_reliability,undirected,3:0,3,0,125,accuracy,0.8340688347816467,0.8215672373771667,0.8340688347816467,0.8215672373771667,nan,nan,0.7707623647420268,finetuned,0.75,0.8233009576797485,0.8166254758834839,0.8233009576797485,0.8166254758834839,nan,nan,0.7676235435434108,4.76837158203125e-06,261842,157568,95698,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,7.275994062423706,0.7941704392433167,0.0651838481426239,0.654127836227417,0.8496605157852173,nan,0.07422838360071182,0.09966051578521729,0.10397577285766602,1.2349271774291992,0.7389817833900452,7.823764801025391,0.5717049837112427,0.4470750689506531,0.06238351020111146,-0.16798729144509514,0.08737240123840352,0.11300164354021922,-0.2255965293002579
Roman-empire,iterative_relation_finetune_shuffled_reliability,iterative_relation_finetune,shuffled_reliability,undirected,4:0,4,0,106,accuracy,0.8301853537559509,0.820861279964447,0.8301853537559509,0.820861279964447,nan,nan,0.770705073357714,finetuned,0.5,0.8225948810577393,0.811683714389801,0.8225948810577393,0.811683714389801,nan,nan,0.7566333462232735,4.76837158203125e-06,261842,157568,95698,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,6.576412677764893,0.5545920133590698,0.05463549494743347,0.4018493890762329,0.5997324585914612,nan,0.07097961753606796,0.09973245859146118,0.048086896538734436,0.5557698011398315,0.5559371113777161,7.8281354904174805,0.5909358859062195,0.4454946219921112,0.020445006737777792,-0.2105424965607844,0.05872975894719669,0.16807195462129457,0.061903622003601694
Roman-empire,iterative_relation_finetune_shuffled_reliability,iterative_relation_finetune,shuffled_reliability,undirected,5:0,5,0,194,accuracy,0.8301853537559509,0.8383339047431946,0.8301853537559509,0.8383339047431946,nan,nan,0.7870846842120136,finetuned,0.75,0.8222418427467346,0.8279209136962891,0.8222418427467346,0.8279209136962891,nan,nan,0.7737918670773842,4.76837158203125e-06,261842,157568,95698,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,7.825588226318359,0.8009712100028992,0.05695462226867676,0.660692572593689,0.8496311902999878,nan,0.07064454257488251,0.09963119029998779,0.07999058812856674,0.9134171605110168,0.6740565299987793,7.527122974395752,0.502859354019165,0.4399440884590149,-0.11099340181843483,0.026918647496081593,-0.07710242090767973,0.01018828450222719,-0.22721003239254584
Roman-empire,iterative_relation_finetune_shuffled_reliability,iterative_relation_finetune,shuffled_reliability,undirected,6:0,6,0,195,accuracy,0.8340688347816467,0.8288033604621887,0.8340688347816467,0.8288033604621887,nan,nan,0.7836527873944207,finetuned,0.75,0.8270079493522644,0.8206847906112671,0.8270079493522644,0.8206847906112671,nan,nan,0.7680228912639914,3.814697265625e-06,261842,157568,95698,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,7.825802326202393,0.7994193434715271,0.06412090361118317,0.652876615524292,0.8498653769493103,nan,0.0768284797668457,0.0998653769493103,0.11430264264345169,1.2464470863342285,0.7318651080131531,7.667046070098877,0.5011605024337769,0.428826242685318,0.002648039563821434,0.008484788619209207,0.0036709811655116966,0.004533654030039049,-0.38680669980569743
Roman-empire,iterative_relation_finetune_shuffled_reliability,iterative_relation_finetune,shuffled_reliability,undirected,7:0,7,0,122,accuracy,0.8264783620834351,0.8245675563812256,0.8264783620834351,0.8245675563812256,nan,nan,0.7782665946999845,finetuned,0.75,0.8197705149650574,0.8199787735939026,0.8197705149650574,0.8199787735939026,nan,nan,0.7677663567943105,4.76837158203125e-06,261842,157568,95698,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,7.178325414657593,0.7938380241394043,0.06334780156612396,0.6564963459968567,0.8493018746376038,nan,0.07274418324232101,0.09930187463760376,0.09468205273151398,1.016426682472229,0.7166174054145813,7.311487197875977,0.5055462718009949,0.42040640115737915,0.01576683792738366,-0.02036269973803083,-0.0197512293404727,0.03548018320736988,0.22458453287157182
Roman-empire,iterative_relation_finetune_shuffled_reliability,iterative_relation_finetune,shuffled_reliability,undirected,8:0,8,0,160,accuracy,0.833892285823822,0.8231556415557861,0.833892285823822,0.8231556415557861,nan,nan,0.7734927653115296,finetuned,0.75,0.826654851436615,0.8169784545898438,0.826654851436615,0.8169784545898438,nan,nan,0.7671161612261157,3.814697265625e-06,261842,157568,95698,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,7.845743417739868,0.7977215051651001,0.048537880182266235,0.6712116599082947,0.8486273288726807,nan,0.061135854572057724,0.09862732887268066,0.07459612935781479,0.8772085905075073,0.6355480551719666,6.538925647735596,0.5355545878410339,0.3881995379924774,-0.02175649141280951,-0.014477710992647438,-0.015766741759052936,0.023596555363343333,0.04212428109235063
Roman-empire,iterative_relation_finetune_shuffled_reliability,iterative_relation_finetune,shuffled_reliability,undirected,9:0,9,0,138,accuracy,0.8264783620834351,0.8183903694152832,0.8264783620834351,0.8183903694152832,nan,nan,0.7692145855304214,finetuned,1.0,0.8218887448310852,0.8095657825469971,0.8218887448310852,0.8095657825469971,nan,nan,0.7566836900069488,5.7220458984375e-06,261842,157568,95698,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,7.766629695892334,0.9853798747062683,0.02593376114964485,0.9003289341926575,1.0,nan,0.014620187692344189,0.09967106580734253,0.1012706384062767,1.3013746738433838,0.47217869758605957,4.907817363739014,0.47678616642951965,0.34591203927993774,-0.04400299491963128,-0.14431268657048946,0.10552773458887392,0.2167915805961582,0.10197325481583581
