dataset,model,family,control_mode,edge_protocol,run,split,seed,best_epoch,primary_metric,best_val_primary,test_primary_at_best_val,best_val_acc,test_acc_at_best_val,best_val_roc_auc,test_roc_auc_at_best_val,test_macro_f1_at_best_val,backbone_training_mode,base_alpha,baseline_val_acc,baseline_test_acc,baseline_val_primary,baseline_test_primary,baseline_val_roc_auc,baseline_test_roc_auc,baseline_macro_f1,initial_max_abs_logit_delta,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters,max_adjustment,lambda_init,relation_steps,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,control_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,elapsed_sec,alpha_mean,alpha_std,alpha_min,alpha_max,proposal_mean,adjustment_mean,adjustment_max,relation_abs_mean,relation_norm_mean,relation_to_base_norm,relation_state_norm_mean,relation_update_gate_mean,relation_update_gate_std,alpha_corr_raw_degree,alpha_corr_raw_local_similarity,alpha_corr_raw_neighbor_variance,alpha_corr_raw_rwse,alpha_corr_control_input_mean
Roman-empire,iterative_relation_frozen_combined,iterative_relation_frozen,combined,undirected,0:0,0,0,44,accuracy,0.8335392475128174,0.8233321309089661,0.8335392475128174,0.8233321309089661,nan,nan,0.7731010791315386,frozen,0.75,0.8222418427467346,0.8090363144874573,0.8222418427467346,0.8090363144874573,nan,nan,0.7501557865885716,4.76837158203125e-06,166144,166144,0,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,4.7196056842803955,0.7817619442939758,0.05583840236067772,0.6503447890281677,0.8498227000236511,nan,0.05645051226019859,0.09982270002365112,0.07483640313148499,0.8942673802375793,0.5737420916557312,6.255562782287598,0.437466561794281,0.3946872353553772,0.5375039752254545,0.07232713912572923,0.3711568115840535,0.04283696186131798,0.3094889581035677
Roman-empire,iterative_relation_frozen_combined,iterative_relation_frozen,combined,undirected,1:0,1,0,148,accuracy,0.8370696902275085,0.8378044366836548,0.8370696902275085,0.8378044366836548,nan,nan,0.7841026590836786,frozen,1.0,0.8234774470329285,0.8212142586708069,0.8234774470329285,0.8212142586708069,nan,nan,0.763139597456932,3.814697265625e-06,166144,166144,0,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,6.925477504730225,0.9721063375473022,0.035987045615911484,0.9000005125999451,1.0,nan,0.027893707156181335,0.09999948740005493,0.008429968729615211,0.13784079253673553,113170.9921875,5.8330583572387695,0.5389812588691711,0.38854944705963135,0.0837538691984217,0.0020473446089999113,0.17246398247885755,0.19641795481212138,0.1963796299362096
Roman-empire,iterative_relation_frozen_combined,iterative_relation_frozen,combined,undirected,2:0,2,0,56,accuracy,0.828420102596283,0.8272149562835693,0.828420102596283,0.8272149562835693,nan,nan,0.7816200193924838,frozen,0.75,0.8213592171669006,0.8155665397644043,0.8213592171669006,0.8155665397644043,nan,nan,0.7659687680704805,3.814697265625e-06,166144,166144,0,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,4.137006044387817,0.7665596008300781,0.06287144124507904,0.6501496434211731,0.8498603105545044,nan,0.05664565786719322,0.0998603105545044,0.08190994709730148,0.9809384942054749,0.6013640761375427,6.628453254699707,0.4566747546195984,0.4173358976840973,0.450992901743271,-0.16568352150570165,0.2361318739160985,0.035257057732275415,0.16926206911041314
Roman-empire,iterative_relation_frozen_combined,iterative_relation_frozen,combined,undirected,3:0,3,0,75,accuracy,0.8416593074798584,0.8316272497177124,0.8416593074798584,0.8316272497177124,nan,nan,0.7885162661718098,frozen,0.75,0.8233009576797485,0.8166254758834839,0.8233009576797485,0.8166254758834839,nan,nan,0.7676235435434108,3.814697265625e-06,166144,166144,0,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,4.807251214981079,0.7692179679870605,0.06220589578151703,0.6500648260116577,0.8499066829681396,nan,0.0570722296833992,0.09993517398834229,0.08559460192918777,1.0242689847946167,0.6385699510574341,6.438526153564453,0.4714401364326477,0.4193184971809387,0.31293762302929895,0.01232123996985505,0.13389720230597743,0.25197207346699124,0.300620410363851
Roman-empire,iterative_relation_frozen_combined,iterative_relation_frozen,combined,undirected,4:0,4,0,129,accuracy,0.8397175669670105,0.8293328285217285,0.8397175669670105,0.8293328285217285,nan,nan,0.7814335755614732,frozen,0.5,0.8225948810577393,0.811683714389801,0.8225948810577393,0.811683714389801,nan,nan,0.7566333462232735,3.814697265625e-06,166144,166144,0,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,6.57180380821228,0.5130365490913391,0.07033742219209671,0.40000641345977783,0.5999972820281982,nan,0.06469136476516724,0.09999728202819824,0.06734272837638855,0.8269348740577698,0.6729481220245361,6.811694622039795,0.5111986994743347,0.44488537311553955,0.17804164478998952,0.2750645102919147,0.2853963568153653,0.17173948922342058,0.3240186774010648
Roman-empire,iterative_relation_frozen_combined,iterative_relation_frozen,combined,undirected,5:0,5,0,171,accuracy,0.8446601629257202,0.8415107131004333,0.8446601629257202,0.8415107131004333,nan,nan,0.7909722529526335,frozen,0.75,0.8222418427467346,0.8279209136962891,0.8222418427467346,0.8279209136962891,nan,nan,0.7737918670773842,4.76837158203125e-06,166144,166144,0,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,6.924249887466431,0.7570177316665649,0.06649439036846161,0.6500056385993958,0.8499993085861206,nan,0.059263285249471664,0.0999993085861206,0.10849852114915848,1.3243473768234253,0.7863525748252869,6.575127124786377,0.432582288980484,0.4284113645553589,0.13806240515215243,0.007339351045812038,0.27851164559352387,-0.014984662519025164,0.10128316535644889
Roman-empire,iterative_relation_frozen_combined,iterative_relation_frozen,combined,undirected,6:0,6,0,71,accuracy,0.8402470946311951,0.832686185836792,0.8402470946311951,0.832686185836792,nan,nan,0.786584740564722,frozen,0.75,0.8270079493522644,0.8206847906112671,0.8270079493522644,0.8206847906112671,nan,nan,0.7680228912639914,5.7220458984375e-06,166144,166144,0,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,4.648576259613037,0.7740659713745117,0.06008467450737953,0.6506061553955078,0.8499141335487366,nan,0.056430377066135406,0.09991413354873657,0.08081281930208206,0.9726372957229614,0.6027027368545532,6.402915954589844,0.4823077917098999,0.4109535217285156,0.5753021420630111,0.18970858159386828,0.5072555450048274,0.03818152968264029,0.38768357787051555
Roman-empire,iterative_relation_frozen_combined,iterative_relation_frozen,combined,undirected,7:0,7,0,167,accuracy,0.8384819030761719,0.8342745900154114,0.8384819030761719,0.8342745900154114,nan,nan,0.7910605973877368,frozen,0.75,0.8197705149650574,0.8199787735939026,0.8197705149650574,0.8199787735939026,nan,nan,0.7677663567943105,3.814697265625e-06,166144,166144,0,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,6.902445077896118,0.7591463327407837,0.06829655915498734,0.6500068306922913,0.8499935865402222,nan,0.061499033123254776,0.09999358654022217,0.09722573310136795,1.1639336347579956,0.821289598941803,6.77352237701416,0.4494464099407196,0.4399818778038025,0.24470086565620527,0.15569664277714856,0.17194732918658207,-0.04788574156837698,0.13668289678642973
Roman-empire,iterative_relation_frozen_combined,iterative_relation_frozen,combined,undirected,8:0,8,0,44,accuracy,0.8402470946311951,0.8296858072280884,0.8402470946311951,0.8296858072280884,nan,nan,0.7842116016088697,frozen,0.75,0.826654851436615,0.8169784545898438,0.826654851436615,0.8169784545898438,nan,nan,0.7671161612261157,4.76837158203125e-06,166144,166144,0,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,3.756175994873047,0.7643753290176392,0.06021856144070625,0.6503856182098389,0.8496369123458862,nan,0.05378471314907074,0.09963691234588623,0.07778139412403107,0.9241270422935486,0.5715282559394836,6.2796406745910645,0.37491166591644287,0.3909693658351898,0.2767334715649873,-0.07617849799257473,0.20212387586845137,0.01586757753186423,0.12150238430735329
Roman-empire,iterative_relation_frozen_combined,iterative_relation_frozen,combined,undirected,9:0,9,0,164,accuracy,0.8351279497146606,0.8194493055343628,0.8351279497146606,0.8194493055343628,nan,nan,0.7678939865631977,frozen,1.0,0.8218887448310852,0.8095657825469971,0.8218887448310852,0.8095657825469971,nan,nan,0.7566836900069488,4.76837158203125e-06,166144,166144,0,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,6.907131195068359,0.9703271985054016,0.037589892745018005,0.9000005125999451,1.0,nan,0.029672779142856598,0.09999948740005493,0.009860137477517128,0.15585772693157196,8053019.5,6.07101583480835,0.5218576192855835,0.40459227561950684,0.08793447476169071,-0.17959284210019466,0.17636296943995483,0.0940609002858996,0.07324606666346309
