dataset,model,family,control_mode,edge_protocol,run,split,seed,best_epoch,primary_metric,best_val_primary,test_primary_at_best_val,best_val_acc,test_acc_at_best_val,best_val_roc_auc,test_roc_auc_at_best_val,test_macro_f1_at_best_val,backbone_training_mode,base_alpha,baseline_val_acc,baseline_test_acc,baseline_val_primary,baseline_test_primary,baseline_val_roc_auc,baseline_test_roc_auc,baseline_macro_f1,initial_max_abs_logit_delta,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters,max_adjustment,lambda_init,relation_steps,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,control_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,elapsed_sec,alpha_mean,alpha_std,alpha_min,alpha_max,proposal_mean,adjustment_mean,adjustment_max,relation_abs_mean,relation_norm_mean,relation_to_base_norm,relation_state_norm_mean,relation_update_gate_mean,relation_update_gate_std,alpha_corr_raw_degree,alpha_corr_raw_local_similarity,alpha_corr_raw_neighbor_variance,alpha_corr_raw_rwse,alpha_corr_control_input_mean
Roman-empire,iterative_relation_frozen_feature_only,iterative_relation_frozen,feature_only,undirected,0:0,0,0,12,accuracy,0.8243600726127625,0.8130956292152405,0.8243600726127625,0.8130956292152405,nan,nan,0.7590548887239971,frozen,0.75,0.8222418427467346,0.8090363144874573,0.8222418427467346,0.8090363144874573,nan,nan,0.7501557865885716,3.814697265625e-06,166144,156544,0,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,3.5956737995147705,0.7779194712638855,0.04192371666431427,0.660860538482666,0.8411116003990173,nan,0.044372208416461945,0.09111160039901733,0.06230757012963295,0.7156148552894592,0.4272491931915283,5.110869407653809,0.4269602596759796,0.33223798871040344,-0.033238127324273385,-0.0829709067591349,-0.009914197893447843,0.03678450162237623,nan
Roman-empire,iterative_relation_frozen_feature_only,iterative_relation_frozen,feature_only,undirected,1:0,1,0,1,accuracy,0.8236539959907532,0.8212142586708069,0.8236539959907532,0.8212142586708069,nan,nan,0.763410523168893,frozen,1.0,0.8234774470329285,0.8212142586708069,0.8234774470329285,0.8212142586708069,nan,nan,0.763139597456932,4.76837158203125e-06,166144,156544,0,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,2.2562694549560547,0.9997034668922424,0.000741668336559087,0.9884236454963684,1.0,nan,0.0002965689345728606,0.011576354503631592,0.00010460556950420141,0.003204835345968604,5237.6611328125,1.330106258392334,0.4964650571346283,0.07652156800031662,-0.3066442514765307,-0.029924009830558995,-0.27482521697362766,-0.1231386381295804,nan
Roman-empire,iterative_relation_frozen_feature_only,iterative_relation_frozen,feature_only,undirected,2:0,2,0,0,accuracy,0.8215357065200806,0.8206847906112671,0.8215357065200806,0.8206847906112671,nan,nan,0.7723531878455048,frozen,0.75,0.8213592171669006,0.8155665397644043,0.8213592171669006,0.8155665397644043,nan,nan,0.7659687680704805,3.814697265625e-06,166144,156544,0,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,2.2081034183502197,0.7522430419921875,0.00715361163020134,0.7349581718444824,0.7652589082717896,nan,0.006173303350806236,0.01525890827178955,0.01606825925409794,0.1827458292245865,0.07945465296506882,3.609057903289795,0.4349590241909027,0.23815765976905823,0.09105719824266205,-0.07754029370407196,0.20288939837499853,0.18999693187897032,nan
Roman-empire,iterative_relation_frozen_feature_only,iterative_relation_frozen,feature_only,undirected,3:0,3,0,27,accuracy,0.8296557664871216,0.8203317523002625,0.8296557664871216,0.8203317523002625,nan,nan,0.7782285003102388,frozen,0.75,0.8233009576797485,0.8166254758834839,0.8233009576797485,0.8166254758834839,nan,nan,0.7676235435434108,4.76837158203125e-06,166144,156544,0,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,3.125154495239258,0.776218593120575,0.05266883596777916,0.6531238555908203,0.8492823243141174,nan,0.05070384219288826,0.09928232431411743,0.06947282701730728,0.8293622732162476,0.47835788130760193,5.270682334899902,0.43035808205604553,0.34018537402153015,0.19862703419669112,-0.08428450157863313,0.09014277749846766,0.14639971764243648,nan
Roman-empire,iterative_relation_frozen_feature_only,iterative_relation_frozen,feature_only,undirected,4:0,4,0,31,accuracy,0.8227713704109192,0.816272497177124,0.8227713704109192,0.816272497177124,nan,nan,0.7680396412751341,frozen,0.5,0.8225948810577393,0.811683714389801,0.8225948810577393,0.811683714389801,nan,nan,0.7566333462232735,4.76837158203125e-06,166144,156544,0,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,3.245558738708496,0.5376029014587402,0.06576632708311081,0.4003564119338989,0.5996885299682617,nan,0.06809679418802261,0.09968852996826172,0.055228620767593384,0.670063316822052,0.47150492668151855,6.437009811401367,0.43472057580947876,0.36604365706443787,-0.030224332957139662,0.16732731236297554,-0.0898438001695545,-0.05543937661947111,nan
Roman-empire,iterative_relation_frozen_feature_only,iterative_relation_frozen,feature_only,undirected,5:0,5,0,-1,accuracy,0.8222418427467346,0.8279209136962891,0.8222418427467346,0.8279209136962891,nan,nan,0.7737918670773842,frozen,0.75,0.8222418427467346,0.8279209136962891,0.8222418427467346,0.8279209136962891,nan,nan,0.7737918670773842,4.76837158203125e-06,166144,156544,0,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,2.1713318824768066,0.75,0.0,0.75,0.75,nan,0.0,0.0,0.0,0.0,0.0,3.73811411857605,0.4329432249069214,0.24972835183143616,nan,nan,nan,nan,nan
Roman-empire,iterative_relation_frozen_feature_only,iterative_relation_frozen,feature_only,undirected,6:0,6,0,68,accuracy,0.8300088047981262,0.8243910670280457,0.8300088047981262,0.8243910670280457,nan,nan,0.7780771442275392,frozen,0.75,0.8270079493522644,0.8206847906112671,0.8270079493522644,0.8206847906112671,nan,nan,0.7680228912639914,5.7220458984375e-06,166144,156544,0,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,4.4475274085998535,0.7846558094024658,0.05749262124300003,0.6516621112823486,0.8498790860176086,nan,0.05795317143201828,0.09987908601760864,0.08402139693498611,0.9836801886558533,0.4632950723171234,5.177606582641602,0.43074122071266174,0.3528076112270355,-0.0626334503477411,-0.00898057191460746,-0.1358300682753757,-0.09506290336646323,nan
Roman-empire,iterative_relation_frozen_feature_only,iterative_relation_frozen,feature_only,undirected,7:0,7,0,85,accuracy,0.8254192471504211,0.8169784545898438,0.8254192471504211,0.8169784545898438,nan,nan,0.7702621395937028,frozen,0.75,0.8197705149650574,0.8199787735939026,0.8197705149650574,0.8199787735939026,nan,nan,0.7677663567943105,4.76837158203125e-06,166144,156544,0,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,5.01848030090332,0.7714170813560486,0.06258738785982132,0.6500794887542725,0.8498930931091309,nan,0.05707754194736481,0.09992051124572754,0.08574431389570236,1.0071529150009155,0.5059767961502075,5.122785568237305,0.39604243636131287,0.3364813029766083,-0.05235914266812114,0.1997762634002733,0.022403196467624707,-0.007770146664017097,nan
Roman-empire,iterative_relation_frozen_feature_only,iterative_relation_frozen,feature_only,undirected,8:0,8,0,63,accuracy,0.8310679197311401,0.8198022842407227,0.8310679197311401,0.8198022842407227,nan,nan,0.7732702514397736,frozen,0.75,0.826654851436615,0.8169784545898438,0.826654851436615,0.8169784545898438,nan,nan,0.7671161612261157,4.76837158203125e-06,166144,156544,0,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,4.270204067230225,0.765801191329956,0.06584560871124268,0.6502814888954163,0.8497979640960693,nan,0.05872549116611481,0.09979796409606934,0.08738794922828674,1.0578365325927734,0.49592113494873047,5.335018157958984,0.3749808371067047,0.32839542627334595,0.015941271537056875,0.0644815103963791,-0.011812535531918014,0.09189284384942577,nan
Roman-empire,iterative_relation_frozen_feature_only,iterative_relation_frozen,feature_only,undirected,9:0,9,0,67,accuracy,0.8224183320999146,0.8074479103088379,0.8224183320999146,0.8074479103088379,nan,nan,0.7550026699288117,frozen,1.0,0.8218887448310852,0.8095657825469971,0.8218887448310852,0.8095657825469971,nan,nan,0.7566836900069488,4.76837158203125e-06,166144,156544,0,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,4.406597852706909,0.9810429215431213,0.033250726759433746,0.9000043869018555,1.0,nan,0.01895716041326523,0.09999561309814453,0.006654273718595505,0.12150713801383972,2421711.25,4.371833324432373,0.540337085723877,0.29977938532829285,0.05535533862363176,0.09041845830587085,-0.06123839881132201,-0.06084584453988157,nan
