dataset,model,family,control_mode,edge_protocol,run,split,seed,best_epoch,primary_metric,best_val_primary,test_primary_at_best_val,best_val_acc,test_acc_at_best_val,best_val_roc_auc,test_roc_auc_at_best_val,test_macro_f1_at_best_val,backbone_training_mode,base_alpha,baseline_val_acc,baseline_test_acc,baseline_val_primary,baseline_test_primary,baseline_val_roc_auc,baseline_test_roc_auc,baseline_macro_f1,initial_max_abs_logit_delta,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters,max_adjustment,lambda_init,relation_steps,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,control_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,elapsed_sec,alpha_mean,alpha_std,alpha_min,alpha_max,proposal_mean,adjustment_mean,adjustment_max,relation_abs_mean,relation_norm_mean,relation_to_base_norm,relation_state_norm_mean,relation_update_gate_mean,relation_update_gate_std,alpha_corr_raw_degree,alpha_corr_raw_local_similarity,alpha_corr_raw_neighbor_variance,alpha_corr_raw_rwse,alpha_corr_control_input_mean
Roman-empire,iterative_relation_frozen_fixed,iterative_relation_frozen,fixed,undirected,0:0,0,0,-1,accuracy,0.8222418427467346,0.8090363144874573,0.8222418427467346,0.8090363144874573,nan,nan,0.7501557865885716,fixed_frozen,0.75,0.8222418427467346,0.8090363144874573,0.8222418427467346,0.8090363144874573,nan,nan,0.7501557865885716,4.76837158203125e-06,0,0,0,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,39.56475114822388,0.75,0.0,0.75,0.75,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan
Roman-empire,iterative_relation_frozen_fixed,iterative_relation_frozen,fixed,undirected,1:0,1,0,-1,accuracy,0.8234774470329285,0.8212142586708069,0.8234774470329285,0.8212142586708069,nan,nan,0.763139597456932,fixed_frozen,1.0,0.8234774470329285,0.8212142586708069,0.8234774470329285,0.8212142586708069,nan,nan,0.763139597456932,4.76837158203125e-06,0,0,0,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,41.192875146865845,1.0,0.0,1.0,1.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan
Roman-empire,iterative_relation_frozen_fixed,iterative_relation_frozen,fixed,undirected,2:0,2,0,-1,accuracy,0.8213592171669006,0.8155665397644043,0.8213592171669006,0.8155665397644043,nan,nan,0.7659687680704805,fixed_frozen,0.75,0.8213592171669006,0.8155665397644043,0.8213592171669006,0.8155665397644043,nan,nan,0.7659687680704805,4.76837158203125e-06,0,0,0,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,40.613832235336304,0.75,0.0,0.75,0.75,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan
Roman-empire,iterative_relation_frozen_fixed,iterative_relation_frozen,fixed,undirected,3:0,3,0,-1,accuracy,0.8233009576797485,0.8166254758834839,0.8233009576797485,0.8166254758834839,nan,nan,0.7676235435434108,fixed_frozen,0.75,0.8233009576797485,0.8166254758834839,0.8233009576797485,0.8166254758834839,nan,nan,0.7676235435434108,4.76837158203125e-06,0,0,0,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,39.76428294181824,0.75,0.0,0.75,0.75,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan
Roman-empire,iterative_relation_frozen_fixed,iterative_relation_frozen,fixed,undirected,4:0,4,0,-1,accuracy,0.8225948810577393,0.811683714389801,0.8225948810577393,0.811683714389801,nan,nan,0.7566333462232735,fixed_frozen,0.5,0.8225948810577393,0.811683714389801,0.8225948810577393,0.811683714389801,nan,nan,0.7566333462232735,4.76837158203125e-06,0,0,0,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,39.775474309921265,0.5,0.0,0.5,0.5,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan
Roman-empire,iterative_relation_frozen_fixed,iterative_relation_frozen,fixed,undirected,5:0,5,0,-1,accuracy,0.8222418427467346,0.8279209136962891,0.8222418427467346,0.8279209136962891,nan,nan,0.7737918670773842,fixed_frozen,0.75,0.8222418427467346,0.8279209136962891,0.8222418427467346,0.8279209136962891,nan,nan,0.7737918670773842,4.76837158203125e-06,0,0,0,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,40.06435561180115,0.75,0.0,0.75,0.75,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan
Roman-empire,iterative_relation_frozen_fixed,iterative_relation_frozen,fixed,undirected,6:0,6,0,-1,accuracy,0.8270079493522644,0.8206847906112671,0.8270079493522644,0.8206847906112671,nan,nan,0.7680228912639914,fixed_frozen,0.75,0.8270079493522644,0.8206847906112671,0.8270079493522644,0.8206847906112671,nan,nan,0.7680228912639914,4.76837158203125e-06,0,0,0,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,39.322622537612915,0.75,0.0,0.75,0.75,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan
Roman-empire,iterative_relation_frozen_fixed,iterative_relation_frozen,fixed,undirected,7:0,7,0,-1,accuracy,0.8197705149650574,0.8199787735939026,0.8197705149650574,0.8199787735939026,nan,nan,0.7677663567943105,fixed_frozen,0.75,0.8197705149650574,0.8199787735939026,0.8197705149650574,0.8199787735939026,nan,nan,0.7677663567943105,4.76837158203125e-06,0,0,0,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,39.49766993522644,0.75,0.0,0.75,0.75,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan
Roman-empire,iterative_relation_frozen_fixed,iterative_relation_frozen,fixed,undirected,8:0,8,0,-1,accuracy,0.826654851436615,0.8169784545898438,0.826654851436615,0.8169784545898438,nan,nan,0.7671161612261157,fixed_frozen,0.75,0.826654851436615,0.8169784545898438,0.826654851436615,0.8169784545898438,nan,nan,0.7671161612261157,4.76837158203125e-06,0,0,0,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,40.30817222595215,0.75,0.0,0.75,0.75,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan
Roman-empire,iterative_relation_frozen_fixed,iterative_relation_frozen,fixed,undirected,9:0,9,0,-1,accuracy,0.8218887448310852,0.8095657825469971,0.8218887448310852,0.8095657825469971,nan,nan,0.7566836900069488,fixed_frozen,1.0,0.8218887448310852,0.8095657825469971,0.8218887448310852,0.8095657825469971,nan,nan,0.7566836900069488,5.7220458984375e-06,0,0,0,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,40.70348000526428,1.0,0.0,1.0,1.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan
