dataset,model,family,control_mode,edge_protocol,run,split,seed,best_epoch,primary_metric,best_val_primary,test_primary_at_best_val,best_val_acc,test_acc_at_best_val,best_val_roc_auc,test_roc_auc_at_best_val,test_macro_f1_at_best_val,backbone_training_mode,base_alpha,baseline_val_acc,baseline_test_acc,baseline_val_primary,baseline_test_primary,baseline_val_roc_auc,baseline_test_roc_auc,baseline_macro_f1,initial_max_abs_logit_delta,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters,max_adjustment,lambda_init,relation_steps,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,control_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,elapsed_sec,alpha_mean,alpha_std,alpha_min,alpha_max,proposal_mean,adjustment_mean,adjustment_max,relation_abs_mean,relation_norm_mean,relation_to_base_norm,relation_state_norm_mean,relation_update_gate_mean,relation_update_gate_std,alpha_corr_raw_degree,alpha_corr_raw_local_similarity,alpha_corr_raw_neighbor_variance,alpha_corr_raw_rwse,alpha_corr_control_input_mean
Roman-empire,iterative_relation_frozen_reliability_only,iterative_relation_frozen,reliability_only,undirected,0:0,0,0,190,accuracy,0.842894971370697,0.8325096964836121,0.842894971370697,0.8325096964836121,nan,nan,0.7815819524549826,frozen,0.75,0.8222418427467346,0.8090363144874573,0.8222418427467346,0.8090363144874573,nan,nan,0.7501557865885716,4.76837158203125e-06,166144,157568,0,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,7.759846210479736,0.767025351524353,0.07026635855436325,0.6500022411346436,0.8499996066093445,nan,0.06517698615789413,0.09999960660934448,0.09458740055561066,1.1537120342254639,0.7661054134368896,6.901779651641846,0.48223012685775757,0.4549103379249573,0.40601492433799574,-0.052659085678540205,0.23339130688596543,0.10187147905749402,0.23415148926514043
Roman-empire,iterative_relation_frozen_reliability_only,iterative_relation_frozen,reliability_only,undirected,1:0,1,0,84,accuracy,0.833892285823822,0.8312742710113525,0.833892285823822,0.8312742710113525,nan,nan,0.7719111926598896,frozen,1.0,0.8234774470329285,0.8212142586708069,0.8234774470329285,0.8212142586708069,nan,nan,0.763139597456932,5.7220458984375e-06,166144,157568,0,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,5.054739475250244,0.978634774684906,0.032479770481586456,0.9000054597854614,1.0,nan,0.021365223452448845,0.09999454021453857,0.006631966680288315,0.1186363622546196,137464.6875,5.185959815979004,0.5478394031524658,0.3683187663555145,-0.15262564510271967,0.05449198631524078,-0.241603442318742,0.16609891557316897,0.021602920448997677
Roman-empire,iterative_relation_frozen_reliability_only,iterative_relation_frozen,reliability_only,undirected,2:0,2,0,114,accuracy,0.8374227285385132,0.8337451219558716,0.8374227285385132,0.8337451219558716,nan,nan,0.7861914289549187,frozen,0.75,0.8213592171669006,0.8155665397644043,0.8213592171669006,0.8155665397644043,nan,nan,0.7659687680704805,4.76837158203125e-06,166144,157568,0,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,6.1066179275512695,0.7635883092880249,0.06800952553749084,0.6500058770179749,0.8499931693077087,nan,0.06152763590216637,0.09999412298202515,0.08464313298463821,0.9933489561080933,0.6999124884605408,6.934878826141357,0.4658905565738678,0.44938352704048157,0.26229105421735766,-0.049856623323968216,0.16911357532448487,-0.023103151335602194,0.09207840030568157
Roman-empire,iterative_relation_frozen_reliability_only,iterative_relation_frozen,reliability_only,undirected,3:0,3,0,192,accuracy,0.8467784523963928,0.8319802284240723,0.8467784523963928,0.8319802284240723,nan,nan,0.7861033058948362,frozen,0.75,0.8233009576797485,0.8166254758834839,0.8233009576797485,0.8166254758834839,nan,nan,0.7676235435434108,4.76837158203125e-06,166144,157568,0,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,6.849846124649048,0.7636755108833313,0.069620281457901,0.6500052213668823,0.8499975800514221,nan,0.06367533653974533,0.09999758005142212,0.09980215132236481,1.1777141094207764,0.8178046345710754,6.895841598510742,0.4681939482688904,0.4459419846534729,0.13114036980385055,-0.014819252771071444,0.1954278733010615,0.5746710005196823,0.45976236398345055
Roman-empire,iterative_relation_frozen_reliability_only,iterative_relation_frozen,reliability_only,undirected,4:0,4,0,175,accuracy,0.8390114307403564,0.8288033604621887,0.8390114307403564,0.8288033604621887,nan,nan,0.7800418505752578,frozen,0.5,0.8225948810577393,0.811683714389801,0.8225948810577393,0.811683714389801,nan,nan,0.7566333462232735,3.814697265625e-06,166144,157568,0,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,6.828559398651123,0.5135455131530762,0.07369338721036911,0.4000014662742615,0.5999987721443176,nan,0.06827592849731445,0.09999877214431763,0.06465756148099899,0.7813446521759033,0.6862155795097351,7.094952583312988,0.51173335313797,0.45545777678489685,0.42627077821749737,0.37587408426448704,0.3158474013048713,0.0729473722586264,0.3780453128495566
Roman-empire,iterative_relation_frozen_reliability_only,iterative_relation_frozen,reliability_only,undirected,5:0,5,0,140,accuracy,0.8439540863037109,0.8483939170837402,0.8439540863037109,0.8483939170837402,nan,nan,0.8012081524317296,frozen,0.75,0.8222418427467346,0.8279209136962891,0.8222418427467346,0.8279209136962891,nan,nan,0.7737918670773842,3.814697265625e-06,166144,157568,0,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,6.80479621887207,0.7581031322479248,0.06552585959434509,0.650010347366333,0.8499984741210938,nan,0.05815812200307846,0.09999847412109375,0.09810304641723633,1.185530185699463,0.7250226736068726,6.4806809425354,0.43808719515800476,0.4304317235946655,0.09237160595776213,-0.01291763494127549,0.058108303029177175,-0.3883192604820484,-0.21597253007747802
Roman-empire,iterative_relation_frozen_reliability_only,iterative_relation_frozen,reliability_only,undirected,6:0,6,0,98,accuracy,0.8437775373458862,0.8358629941940308,0.8437775373458862,0.8358629941940308,nan,nan,0.790732464944847,frozen,0.75,0.8270079493522644,0.8206847906112671,0.8270079493522644,0.8206847906112671,nan,nan,0.7680228912639914,3.814697265625e-06,166144,157568,0,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,5.4977734088897705,0.7751830816268921,0.06094314530491829,0.6501309871673584,0.8499597311019897,nan,0.05769393593072891,0.09995973110198975,0.0809759572148323,0.9568817615509033,0.6410789489746094,6.631668567657471,0.4847385287284851,0.43649420142173767,0.32582766601478014,0.06886949144652522,0.21910272189248842,-0.11936057370656254,0.09886822104517938
Roman-empire,iterative_relation_frozen_reliability_only,iterative_relation_frozen,reliability_only,undirected,7:0,7,0,72,accuracy,0.8367166519165039,0.8344510793685913,0.8367166519165039,0.8344510793685913,nan,nan,0.7883132521987796,frozen,0.75,0.8197705149650574,0.8199787735939026,0.8197705149650574,0.8199787735939026,nan,nan,0.7677663567943105,4.76837158203125e-06,166144,157568,0,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,4.645337104797363,0.7633405923843384,0.06443559378385544,0.6500982642173767,0.8499011397361755,nan,0.05772515758872032,0.09990173578262329,0.07857184112071991,0.908764660358429,0.6464530825614929,6.44940185546875,0.4396185576915741,0.4201454222202301,0.4734344213091231,0.007989490107687207,0.13663857242332658,-0.28784368191469434,-0.0030488987306510652
Roman-empire,iterative_relation_frozen_reliability_only,iterative_relation_frozen,reliability_only,undirected,8:0,8,0,84,accuracy,0.8436010479927063,0.8319802284240723,0.8436010479927063,0.8319802284240723,nan,nan,0.7865377762296017,frozen,0.75,0.826654851436615,0.8169784545898438,0.826654851436615,0.8169784545898438,nan,nan,0.7671161612261157,4.76837158203125e-06,166144,157568,0,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,5.003746747970581,0.7602722644805908,0.06666266173124313,0.6500226259231567,0.8499569892883301,nan,0.059649478644132614,0.09997737407684326,0.08438602834939957,1.0049355030059814,0.6411837935447693,6.559307098388672,0.4106884002685547,0.42477425932884216,0.22413469019667293,-0.020264268055899405,0.20252818844285478,0.11137096141837856,0.18534619554907916
Roman-empire,iterative_relation_frozen_reliability_only,iterative_relation_frozen,reliability_only,undirected,9:0,9,0,55,accuracy,0.8328331708908081,0.8198022842407227,0.8328331708908081,0.8198022842407227,nan,nan,0.7715386304300982,frozen,1.0,0.8218887448310852,0.8095657825469971,0.8218887448310852,0.8095657825469971,nan,nan,0.7566836900069488,5.7220458984375e-06,166144,157568,0,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,4.027536869049072,0.9790791273117065,0.03136804699897766,0.9000584483146667,1.0,nan,0.02092093788087368,0.09994155168533325,0.007657648529857397,0.13192473351955414,5114485.5,4.835987091064453,0.5834083557128906,0.32868272066116333,0.11256605023883645,0.018032072451199112,0.08320372442305851,-0.06529491191632661,0.01825923835481951
