dataset,family,comparison,n,mean_delta,ci95_low,ci95_high,wins,ties,losses,pvalue
Roman-empire,iterative_relation_frozen,feature_only - fixed,10,0.0018884539604187012,-0.00020399932711586593,0.003980907247953268,6,2,2,0.07157818930196844
Roman-empire,iterative_relation_frozen,reliability_only - fixed,10,0.015954816341400148,0.012988389441658917,0.01892124324114138,10,0,0,6.844470375722917e-07
Roman-empire,iterative_relation_frozen,combined - fixed,10,0.013766318559646606,0.012097723089847034,0.015434914029446179,10,0,0,1.6696836554675897e-08
Roman-empire,iterative_relation_frozen,shuffled_reliability - fixed,10,0.0019766926765441895,-6.500387114365168e-05,0.004018389224232031,6,2,2,0.05623794414932286
Roman-empire,iterative_relation_frozen,constant_reliability - fixed,10,0.006194847822189331,0.003441298832760243,0.008948396811618419,9,1,0,0.0006545218427490406
Roman-empire,iterative_relation_frozen,reliability_only - feature_only,10,0.014066362380981445,0.011457072939254433,0.016675651822708457,10,0,0,6.71114023698921e-07
Roman-empire,iterative_relation_frozen,true reliability - shuffled reliability,10,0.013978123664855957,0.01137444157426745,0.016581805755444462,10,0,0,6.952486790595038e-07
Roman-empire,iterative_relation_frozen,true reliability - constant reliability,10,0.009759968519210816,0.0077424860761532485,0.011777450962268383,10,0,0,1.6811937480974182e-06
Roman-empire,iterative_relation_frozen,combined - feature_only,10,0.011877864599227905,0.009442002985847965,0.014313726212607845,10,0,0,1.5723623416025744e-06
Roman-empire,iterative_relation_finetune,feature_only - fixed,10,0.004747617244720459,0.00042763338686564734,0.009067601102575271,8,1,1,0.03464370865790012
Roman-empire,iterative_relation_finetune,reliability_only - fixed,10,0.02329685688018799,0.017032852418288492,0.029560861342087488,10,0,0,1.4768277651690068e-05
Roman-empire,iterative_relation_finetune,combined - fixed,10,0.022661483287811278,0.01681965405853245,0.028503312517090106,10,0,0,1.0494841515078565e-05
Roman-empire,iterative_relation_finetune,shuffled_reliability - fixed,10,0.002700316905975342,-1.9973852242500482e-05,0.005420607664193184,7,1,2,0.05137563857843193
Roman-empire,iterative_relation_finetune,constant_reliability - fixed,10,0.0038298606872558595,0.0009050160517979624,0.0067547053227137565,7,1,2,0.015904602667072935
Roman-empire,iterative_relation_finetune,reliability_only - feature_only,10,0.018549239635467528,0.014460963397707048,0.022637515873228008,10,0,0,2.879784636729509e-06
Roman-empire,iterative_relation_finetune,true reliability - shuffled reliability,10,0.020596539974212645,0.016195081554411368,0.024997998394013923,10,0,0,2.223611065542222e-06
Roman-empire,iterative_relation_finetune,true reliability - constant reliability,10,0.01946699619293213,0.014462596775514123,0.024471395610350135,10,0,0,1.0259855459427052e-05
Roman-empire,iterative_relation_finetune,combined - feature_only,10,0.01791386604309082,0.01430621071653443,0.02152152136964721,10,0,0,1.3490110134457093e-06
Amazon-ratings,iterative_relation_frozen,feature_only - fixed,10,-0.00047362446784973147,-0.0019973678072712853,0.0010501188715718226,2,6,2,0.4997486097409565
Amazon-ratings,iterative_relation_frozen,reliability_only - fixed,10,-0.000734931230545044,-0.002583223459966337,0.001113360998876249,2,5,3,0.3918200042830373
Amazon-ratings,iterative_relation_frozen,combined - fixed,10,-0.0008492559194564819,-0.0034176575628066604,0.0017191457238936963,3,5,2,0.4735547532215826
Amazon-ratings,iterative_relation_frozen,shuffled_reliability - fixed,10,0.00021231770515441894,-0.0007882402821368844,0.0012128756924457223,2,7,1,0.6426587908798347
Amazon-ratings,iterative_relation_frozen,constant_reliability - fixed,10,-4.8995018005371094e-05,-0.0002956014346327951,0.0001976113986220529,2,7,1,0.6637434807620872
Amazon-ratings,iterative_relation_frozen,reliability_only - feature_only,10,-0.0002613067626953125,-0.0009798167056401094,0.0004572031802494845,1,5,4,0.43193627268128476
Amazon-ratings,iterative_relation_frozen,true reliability - shuffled reliability,10,-0.0009472489356994629,-0.002495036160146023,0.0006005382887470975,0,5,5,0.19958108185819307
Amazon-ratings,iterative_relation_frozen,true reliability - constant reliability,10,-0.0006859362125396729,-0.00246528906555794,0.0010934166404785945,1,5,4,0.4058406242604039
Amazon-ratings,iterative_relation_frozen,combined - feature_only,10,-0.0003756314516067505,-0.001485426959691454,0.0007341640564779532,2,5,3,0.463478604706268
Amazon-ratings,iterative_relation_finetune,feature_only - fixed,10,0.0022211313247680665,-0.002475487359650945,0.0069177500091870785,4,5,1,0.31255046075869103
Amazon-ratings,iterative_relation_finetune,reliability_only - fixed,10,0.0024007827043533323,-0.002995992892139164,0.007797558300845829,5,4,1,0.3405438833146458
Amazon-ratings,iterative_relation_finetune,combined - fixed,10,0.002319124341011047,-0.002461540680165718,0.007099789362187812,4,5,1,0.30096491453813823
Amazon-ratings,iterative_relation_finetune,shuffled_reliability - fixed,10,0.0029724031686782838,0.00011073909098077228,0.005834067246375795,5,4,1,0.043326593628402854
Amazon-ratings,iterative_relation_finetune,constant_reliability - fixed,10,0.0011595577001571656,-0.0028933789288627027,0.005212494329177034,5,4,1,0.5336538332327202
Amazon-ratings,iterative_relation_finetune,reliability_only - feature_only,10,0.00017965137958526612,-0.00640343644079753,0.006762739199968062,4,4,2,0.9521239738286946
Amazon-ratings,iterative_relation_finetune,true reliability - shuffled reliability,10,-0.0005716204643249512,-0.006186072206276587,0.005042831277626685,2,4,4,0.8229964427227165
Amazon-ratings,iterative_relation_finetune,true reliability - constant reliability,10,0.001241225004196167,-0.005176861426214342,0.007659311434606676,3,4,3,0.6720666843601659
Amazon-ratings,iterative_relation_finetune,combined - feature_only,10,9.799301624298095e-05,-0.0005747249552305033,0.0007707109877164651,2,6,2,0.7493005315853671
Roman-empire,iterative_relation_protocol,fixed: finetune - frozen,10,0.004006350040435791,0.001317498794127289,0.006695201286744293,7,3,0,0.008249358209335861
Roman-empire,iterative_relation_protocol,feature_only: finetune - frozen,10,0.006865513324737549,0.0019311990619021195,0.011799827587572979,9,0,1,0.01178442664250258
