dataset,family,control_mode,primary_metric,n,test_primary_mean,test_primary_std,test_acc_mean,test_acc_std,macro_f1_mean,backbone_training_mode,baseline_test_primary_mean,gain_over_own_baseline,base_alpha_mean,alpha_mean,alpha_std,adjustment_mean,adjustment_max,relation_abs_mean,relation_norm_mean,relation_to_base_norm,relation_state_norm_mean,relation_update_gate_mean,relation_update_gate_std,alpha_corr_local_similarity,alpha_corr_degree,alpha_corr_neighbor_variance,alpha_corr_rwse,alpha_corr_control_input_mean,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters
Amazon-ratings,iterative_relation_finetune,combined,accuracy,10,0.47264412641525266,0.010423257168201926,0.47264412641525266,0.010423257168201926,0.37587339176975343,finetuned,0.4664543479681015,0.006189778447151184,0.8,0.8181456327438354,0.024127806723117828,0.027251682430505752,0.03996884822845459,0.01824539378285408,0.2107779264450073,0.2355608880519867,4.571776676177978,0.5039910227060318,0.26091306284070015,-0.1487272784739259,-0.23281611307523614,0.12994442267228565,-0.5799760920221312,-0.5516708526483853,260997.0,166144.0,94853.0
Amazon-ratings,iterative_relation_finetune,constant_reliability,accuracy,10,0.4714845597743988,0.009990090833965458,0.4714845597743988,0.009990090833965458,0.3766094090165401,finetuned,0.4664543479681015,0.005030211806297302,0.8,0.824810528755188,0.031947261467576024,0.03780601546168327,0.04994837641716003,0.02547283060848713,0.29960991740226744,0.2980398178100586,4.927638208866119,0.5275498569011688,0.28067008405923843,-0.036683518576646916,-0.20566577311361708,0.004084543753342583,-0.21028067444951498,nan,260997.0,157568.0,94853.0
Amazon-ratings,iterative_relation_finetune,feature_only,accuracy,10,0.4725461333990097,0.010415626839913733,0.4725461333990097,0.010415626839913733,0.3752156156140364,finetuned,0.4664543479681015,0.006091785430908203,0.8,0.8179932355880737,0.025976059213280677,0.028971557319164277,0.03996469378471375,0.017868922650814058,0.21129090785980226,0.22436763048171998,4.424347591400147,0.5332711666822434,0.24642674177885054,-0.022180584539885227,-0.22597326203582332,-0.04014948261384629,-0.21079719854990844,nan,260997.0,156544.0,94853.0
Amazon-ratings,iterative_relation_finetune,fixed,accuracy,10,0.47032500207424166,0.008899228736710436,0.47032500207424166,0.008899228736710436,0.3700749795982195,fixed_finetuned,0.4664543479681015,0.003870654106140137,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,94853.0,0.0,94853.0
Amazon-ratings,iterative_relation_finetune,reliability_only,accuracy,10,0.47272578477859495,0.012846697045884932,0.47272578477859495,0.012846697045884932,0.37677441863952676,finetuned,0.4664543479681015,0.006271436810493469,0.8,0.82376149892807,0.029232930019497873,0.034046927094459535,0.04995875358581543,0.022895340994000434,0.2642118245363235,0.29212061166763303,4.732828378677368,0.5097611248493195,0.27537145614624026,-0.16174126889357124,-0.1637959213029588,0.12612940334117814,-0.5904272560200186,-0.5436144000165936,260997.0,157568.0,94853.0
Amazon-ratings,iterative_relation_finetune,shuffled_reliability,accuracy,10,0.4732974052429199,0.010474059279671882,0.4732974052429199,0.010474059279671882,0.37853320185342454,finetuned,0.4664543479681015,0.00684305727481842,0.8,0.8294377624988556,0.03605341054499149,0.04244183897972107,0.059940701723098753,0.02727510929107666,0.3174789011478424,0.3451327860355377,5.335775673389435,0.5314953833818435,0.3046757236123085,0.025637403295866418,-0.14832885636975662,-0.04224214905936529,-0.11614970551624232,-0.01951868717897119,260997.0,157568.0,94853.0
Amazon-ratings,iterative_relation_frozen,combined,accuracy,10,0.46560509204864503,0.008306948983128372,0.46560509204864503,0.008306948983128372,0.35921265434593974,frozen,0.4664543479681015,-0.0008492559194564819,0.8,0.7982320070266724,0.00594050632789731,0.004368023679126054,0.016944795846939087,0.004581288644112646,0.06178483162075281,29752833.324792143,3.2063779473304748,0.4912877529859543,0.16866372227668763,-0.26872204077622247,-0.10532612656507268,0.21799842178267373,-0.17894451183601992,-0.20883792740245044,166144.0,166144.0,0.0
Amazon-ratings,iterative_relation_frozen,constant_reliability,accuracy,10,0.4664053529500961,0.00828326509621685,0.4664053529500961,0.00828326509621685,0.36142521098558,frozen,0.4664543479681015,-4.8995018005371094e-05,0.8,0.7998181641101837,0.004120499547570944,0.0036867819260805847,0.008173251152038574,0.004810857120901346,0.05816201344132423,0.033320043608546256,2.7059510350227356,0.4917485147714615,0.1418248802423477,-0.11914308353568125,-0.13038371705063692,0.07095322988015669,-0.1616448241613067,nan,166144.0,157568.0,0.0
Amazon-ratings,iterative_relation_frozen,feature_only,accuracy,10,0.46598072350025177,0.008123620642758952,0.46598072350025177,0.008123620642758952,0.3609315536556215,frozen,0.4664543479681015,-0.00047362446784973147,0.8,0.797415429353714,0.006806332129053771,0.004896707227453589,0.018496745824813844,0.0049165870412252845,0.06593930050730705,24321734.356419697,2.8714675664901734,0.4954230308532715,0.1624766543507576,-0.11379188775077703,-0.16072128741578495,0.07434562300781392,-0.1798963032758297,nan,166144.0,156544.0,0.0
Amazon-ratings,iterative_relation_frozen,fixed,accuracy,10,0.4664543479681015,0.00829634429947219,0.4664543479681015,0.00829634429947219,0.36090331531306136,fixed_frozen,0.4664543479681015,0.0,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0.0
