dataset,family,comparison,n,mean_delta,ci95_low,ci95_high,wins,ties,losses,pvalue
Minesweeper,iterative_relation_frozen,feature_only - fixed,3,0.0003873333333332951,-0.0025431925998058665,0.0033178592664724568,1,1,1,0.6269106700146336
Minesweeper,iterative_relation_frozen,reliability_only - fixed,3,0.0003393333333333211,-0.0018401125867116735,0.002518779253378316,1,0,2,0.5719033381290717
Minesweeper,iterative_relation_frozen,shuffled_reliability - fixed,3,-1.9666666666640076e-05,-0.002049803546087667,0.002010470212754387,1,0,2,0.970539630683687
Minesweeper,iterative_relation_frozen,constant_reliability - fixed,3,0.0004626666666666483,-0.004753231289793069,0.005678564623126366,1,0,2,0.7394478805568075
Minesweeper,iterative_relation_frozen,reliability_only - feature_only,3,-4.799999999997399e-05,-0.000869671498389273,0.0007736714983893251,1,0,2,0.825010870026726
Minesweeper,iterative_relation_frozen,true reliability - shuffled reliability,3,0.0003589999999999612,-0.00026098523554862854,0.0009789852355485509,3,0,0,0.13033752091710024
Minesweeper,iterative_relation_frozen,true reliability - constant reliability,3,-0.00012333333333332716,-0.003219196206352077,0.0029725295396854224,2,0,1,0.8796757320430213
Minesweeper,iterative_relation_finetune,feature_only - fixed,3,-4.333333333332116e-05,-0.00022978161828676827,0.00014311495162012597,0,2,1,0.42264973081037427
Minesweeper,iterative_relation_finetune,reliability_only - fixed,3,-4.333333333332116e-05,-0.00022978161828676827,0.00014311495162012597,0,2,1,0.42264973081037427
Minesweeper,iterative_relation_finetune,shuffled_reliability - fixed,3,-4.333333333332116e-05,-0.00022978161828676827,0.00014311495162012597,0,2,1,0.42264973081037427
Minesweeper,iterative_relation_finetune,constant_reliability - fixed,3,-4.333333333335817e-05,-0.00022978161828696452,0.00014311495162024816,0,2,1,0.42264973081037416
Minesweeper,iterative_relation_finetune,reliability_only - feature_only,3,0.0,0.0,0.0,0,3,0,nan
Minesweeper,iterative_relation_finetune,true reliability - shuffled reliability,3,0.0,0.0,0.0,0,3,0,nan
Minesweeper,iterative_relation_finetune,true reliability - constant reliability,3,3.700743415417188e-17,-1.2222270342832601e-16,1.9623757173666977e-16,1,2,0,0.42264973081037427
Tolokers,iterative_relation_frozen,feature_only - fixed,3,-0.0003524668613369049,-0.0045185525430340165,0.003813618820360207,2,0,1,0.7507238534054612
Tolokers,iterative_relation_frozen,reliability_only - fixed,3,-0.0005288132621531494,-0.002491040898851571,0.001433414374545272,1,0,2,0.3659549875127459
