dataset,family,control_mode,primary_metric,n,test_primary_mean,test_primary_std,test_acc_mean,test_acc_std,macro_f1_mean,baseline_test_primary_mean,gain_over_own_baseline,base_alpha_mean,alpha_mean,alpha_std,adjustment_mean,adjustment_max,relation_abs_mean,relation_norm_mean,relation_to_base_norm,relation_state_norm_mean,relation_update_gate_mean,relation_update_gate_std,alpha_corr_local_similarity,alpha_corr_rwse,alpha_corr_control_input_mean,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters
Minesweeper,iterative_relation_finetune,constant_reliability,roc_auc,3,0.906948,0.0013912996322384347,0.8607999682426453,0.0023551288558550827,0.7659404467448583,0.906948,-3.700743415417188e-17,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,2.6857031186421714,0.49542150894800824,0.14380452036857605,nan,nan,nan,242050.0,157568.0,75906.0
Minesweeper,iterative_relation_finetune,feature_only,roc_auc,3,0.906948,0.0013912996322383872,0.8607999682426453,0.0023551288558550827,0.7659404467448583,0.906948,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,2.7455971240997314,0.4960233171780904,0.1531799634297689,nan,nan,nan,242050.0,156544.0,75906.0
Minesweeper,iterative_relation_finetune,fixed,roc_auc,3,0.9069913333333334,0.0013359204899826944,0.8609333038330078,0.0022231020926113737,0.7670525212150254,0.906948,4.333333333332116e-05,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,75906.0,0.0,75906.0
Minesweeper,iterative_relation_finetune,reliability_only,roc_auc,3,0.906948,0.0013912996322383872,0.8607999682426453,0.0023551288558550827,0.7659404467448583,0.906948,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,2.6574276288350425,0.496019850174586,0.1485061769684156,nan,nan,nan,242050.0,157568.0,75906.0
Minesweeper,iterative_relation_finetune,shuffled_reliability,roc_auc,3,0.906948,0.0013912996322383872,0.8607999682426453,0.0023551288558550827,0.7659404467448583,0.906948,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,2.6572683652242026,0.49599557121594745,0.1485874354839325,nan,nan,nan,242050.0,157568.0,75906.0
Minesweeper,iterative_relation_frozen,constant_reliability,roc_auc,3,0.9074106666666667,0.0028021720543574564,0.8613333106040955,0.00217459381336518,0.7649158544633754,0.906948,0.0004626666666666483,0.6666666666666666,0.6714661518732706,0.02988468048473199,0.025438984235127766,0.06513971090316772,0.022826336789876223,0.258842500547568,0.13507676062484583,4.576704343159993,0.4941730300585429,0.2767510215441386,-0.03038239077107132,-0.011663526950733728,nan,166144.0,157568.0,0.0
Minesweeper,iterative_relation_frozen,feature_only,roc_auc,3,0.9073353333333333,0.0021525565162279687,0.8597333232561747,0.0016110721150817326,0.7628139200376818,0.906948,0.0003873333333332951,0.6666666666666666,0.6711917718251547,0.021758096913496654,0.01856767215455572,0.044540464878082275,0.015112954502304396,0.1762126088142395,0.09966972470283508,4.190375804901123,0.5006851355234782,0.2430391013622284,0.1781897134424768,-0.013644606419271484,nan,166144.0,156544.0,0.0
Minesweeper,iterative_relation_frozen,fixed,roc_auc,3,0.906948,0.0013912996322383872,0.8607999682426453,0.0023551288558550827,0.7659404467448583,0.906948,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
Minesweeper,iterative_relation_frozen,reliability_only,roc_auc,3,0.9072873333333333,0.0019876378498665825,0.8603999813397726,0.0011775610534903026,0.7620447907551127,0.906948,0.0003393333333333211,0.6666666666666666,0.6675880551338196,0.006344052730128169,0.004990475135855377,0.025215546290079754,0.006298534882565339,0.07218314334750175,0.028613788075745106,2.846599896748861,0.4870639344056447,0.18324969708919525,-0.41532569234173783,0.01177962245049745,0.06711430765292277,166144.0,157568.0,0.0
Minesweeper,iterative_relation_frozen,shuffled_reliability,roc_auc,3,0.9069283333333333,0.0018376654271717034,0.8610666592915853,0.002963476178493436,0.7630193387362131,0.906948,-1.9666666666640076e-05,0.6666666666666666,0.6681870619455973,0.008061613577107588,0.006272637944978972,0.033287644386291504,0.007506014158328374,0.08849060783783595,0.03704760378847519,3.185563882191976,0.4827374617258708,0.1917319049437841,-0.058738513730249395,0.0038743546114517213,-0.007199345105739346,166144.0,157568.0,0.0
