dataset,family,comparison,n,mean_delta,ci95_low,ci95_high,wins,ties,losses,pvalue
Roman-empire,iterative_relation_frozen,feature_only - fixed,3,0.0021767218907674155,-0.01414750005866428,0.01850094384019911,2,0,1,0.6240703050912102
Roman-empire,iterative_relation_frozen,reliability_only - fixed,3,0.01970819632212321,0.011478656418400627,0.027937736225845795,3,0,0,0.009287556332123085
Roman-empire,iterative_relation_frozen,combined - fixed,3,0.016707817713419598,0.007697793273725516,0.02571784215311368,3,0,0,0.015347974602439625
Roman-empire,iterative_relation_frozen,shuffled_reliability - fixed,3,0.0044122735659281416,-0.014653083639933433,0.02347763077178972,2,0,1,0.4242859651356766
Roman-empire,iterative_relation_frozen,constant_reliability - fixed,3,0.008295079072316488,-0.006974578414056659,0.023564736558689636,3,0,0,0.14441713859023225
Roman-empire,iterative_relation_frozen,combined_shuffled - fixed,3,0.00423578421274821,-0.011590265366682884,0.020061833792179306,2,0,1,0.3685685974082491
Roman-empire,iterative_relation_frozen,combined_constant - fixed,3,0.002882679303487142,-0.011954963454200818,0.017720322061175103,2,0,1,0.49115603812895725
Roman-empire,iterative_relation_frozen,reliability_only - feature_only,3,0.017531474431355793,0.009105744477340765,0.025957204385370823,3,0,0,0.012248112131442935
Roman-empire,iterative_relation_frozen,true reliability - shuffled reliability,3,0.015295922756195068,0.0043585944278023755,0.02623325108458776,3,0,0,0.026524479292852947
Roman-empire,iterative_relation_frozen,true reliability - constant reliability,3,0.011413117249806723,0.0037395826221855045,0.01908665187742794,3,0,0,0.02355853250514253
Roman-empire,iterative_relation_frozen,combined - feature_only,3,0.014531095822652182,0.007112274443808201,0.021949917201496163,3,0,0,0.013789374146717142
Roman-empire,iterative_relation_frozen,combined - combined_shuffled,3,0.012472033500671387,0.005014382900246919,0.019929684101095854,3,0,0,0.01877123513243149
Roman-empire,iterative_relation_frozen,combined - combined_constant,3,0.013825138409932455,0.007436504705438674,0.020213772114426237,3,0,0,0.011338838286374773
Roman-empire,iterative_relation_finetune,feature_only - fixed,3,0.000647127628326416,-0.0033310303779018283,0.00462528563455466,1,1,1,0.5564371887999684
Roman-empire,iterative_relation_finetune,reliability_only - fixed,3,0.021237770716349285,0.011265753913176935,0.031209787519521637,3,0,0,0.011700406818751166
Roman-empire,iterative_relation_finetune,combined - fixed,3,0.02070830265680949,0.010247114680594816,0.031169490633024162,3,0,0,0.01350616159110881
Roman-empire,iterative_relation_finetune,shuffled_reliability - fixed,3,-0.0016472736994425456,-0.005814295518889597,0.002519748120004505,0,1,2,0.2310688508339036
Roman-empire,iterative_relation_finetune,constant_reliability - fixed,3,-0.0012354453404744465,-0.0077236109921900945,0.005252720311241202,1,1,1,0.49871847196248376
Roman-empire,iterative_relation_finetune,combined_shuffled - fixed,3,5.882978439331055e-05,-0.0010445127289415762,0.0011621722977281973,1,1,1,0.8398718461949128
Roman-empire,iterative_relation_finetune,combined_constant - fixed,3,0.0005882779757181803,-0.006108821697666944,0.007285377649103305,1,1,1,0.7418115741931453
Roman-empire,iterative_relation_finetune,reliability_only - feature_only,3,0.02059064308802287,0.011495702755123646,0.02968558342092209,3,0,0,0.010374982909987184
Roman-empire,iterative_relation_finetune,true reliability - shuffled reliability,3,0.02288504441579183,0.016900350430151617,0.02886973840143204,3,0,0,0.0036737484185344394
Roman-empire,iterative_relation_finetune,true reliability - constant reliability,3,0.02247321605682373,0.017909955864564214,0.027036476249083247,3,0,0,0.0022197267831449837
Roman-empire,iterative_relation_finetune,combined - feature_only,3,0.020061175028483074,0.01107252025158513,0.029049829805381018,3,0,0,0.01067109233313165
Roman-empire,iterative_relation_finetune,combined - combined_shuffled,3,0.02064947287241618,0.010954371416547678,0.030344574328284683,3,0,0,0.011698782435810203
Roman-empire,iterative_relation_finetune,combined - combined_constant,3,0.02012002468109131,0.012326431707770638,0.027913617654411978,3,0,0,0.008007644995851344
