dataset,family,control_mode,n,test_acc_mean,test_acc_std,macro_f1_mean,baseline_test_acc_mean,gain_over_own_baseline,base_alpha_mean,alpha_mean,alpha_std,adjustment_mean,adjustment_max,relation_abs_mean,relation_norm_mean,relation_to_base_norm,relation_state_norm_mean,relation_update_gate_mean,relation_update_gate_std,alpha_corr_local_similarity,alpha_corr_rwse,alpha_corr_control_input_mean,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters
Amazon-ratings,iterative_relation_finetune,combined,3,0.47667263944943744,0.005151374421737811,0.3703779914681616,0.46665578087170917,0.010016858577728271,0.6666666666666666,0.7115244468053182,0.059233338882525764,0.06722146769364674,0.09987884759902954,0.04269360130031904,0.5193458398183187,0.5136776169141134,7.547500451405843,0.5315342048803965,0.45481311281522113,-0.1994081833295092,-0.5264020991130143,-0.4810922180526069,260997.0,166144.0,94853.0
Amazon-ratings,iterative_relation_finetune,combined_constant,3,0.48070117831230164,0.0030065229863150433,0.38412186943971943,0.46665578087170917,0.014045397440592447,0.6666666666666666,0.702134370803833,0.03910058985153834,0.04843968152999878,0.06658343474070232,0.03078584372997284,0.3811245858669281,0.37089163064956665,6.282584587732951,0.5192760328451792,0.36769895752271015,-0.05306323706391271,-0.3481720777926527,nan,260997.0,166144.0,94853.0
Amazon-ratings,iterative_relation_finetune,combined_shuffled,3,0.4784147044022878,0.00362094579034857,0.3780495686958343,0.46665578087170917,0.011758923530578613,0.6666666666666666,0.7118409077326456,0.06045443813006083,0.06827352444330852,0.09988651672999065,0.04534057341516018,0.5506508052349091,0.5433703561623892,7.630822499593099,0.5126478870709738,0.4551781217257182,-0.009537096325034305,-0.21569270680520056,-0.2247311238112923,260997.0,166144.0,94853.0
Amazon-ratings,iterative_relation_finetune,constant_reliability,3,0.4827154378096263,0.0054155727814450055,0.3899298420598721,0.46665578087170917,0.016059656937917072,0.6666666666666666,0.7168625791867574,0.05990667392810186,0.07114735245704651,0.09989831844965617,0.0431592787305514,0.5267741779486338,0.5604798793792725,7.7201008796691895,0.5330104331175486,0.4536234239737193,0.05493766484443377,-0.2623495884764363,nan,260997.0,157568.0,94853.0
Amazon-ratings,iterative_relation_finetune,feature_only,3,0.48151777187983197,0.00665455279894512,0.38110896457738047,0.46665578087170917,0.014861991008122763,0.6666666666666666,0.7134641607602438,0.06072282791137695,0.07011104375123978,0.09988460938135783,0.043320611119270325,0.5357633630434672,0.5277193586031595,7.633772691090901,0.5453836917877197,0.44866477449735004,0.07418148579539048,-0.16817306211275118,nan,260997.0,156544.0,94853.0
Amazon-ratings,iterative_relation_finetune,fixed,3,0.47531166672706604,0.006038132243239688,0.37314129906219207,0.46665578087170917,0.008655885855356852,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,94853.0,0.0,94853.0
Amazon-ratings,iterative_relation_finetune,reliability_only,3,0.4797757069269816,0.003305160548250214,0.38848058937937135,0.46665578087170917,0.01311992605527242,0.6666666666666666,0.6963396668434143,0.040645661453406014,0.04564409703016281,0.0666164755821228,0.030346684157848358,0.3605896433194478,0.36825650930404663,5.95114270846049,0.5427377223968506,0.34983724852403003,-0.19234851391551241,-0.7296202827379227,-0.6276075264505712,260997.0,157568.0,94853.0
Amazon-ratings,iterative_relation_finetune,shuffled_reliability,3,0.4806467394034068,0.0018525513798794185,0.3861267718238348,0.46665578087170917,0.013990958531697592,0.6666666666666666,0.7149947285652161,0.058916972329219185,0.06840534508228302,0.09992072979609172,0.04030883436401685,0.4912550151348114,0.5481237868467966,7.6015909512837725,0.5858956376711527,0.43969332178433734,0.0510512341055114,-0.1352195408665286,-0.30332588901159585,260997.0,157568.0,94853.0
Amazon-ratings,iterative_relation_frozen,combined,3,0.47013991077740985,0.006492242298735252,0.36771783727514273,0.46665578087170917,0.0034841299057006836,0.6666666666666666,0.6669673522313436,0.012551013380289078,0.011557407677173615,0.023275127013524372,0.012736316459874312,0.15221128364404043,0.10118120163679123,4.5750838915507,0.5056373775005341,0.19100296994050345,-0.4044245889327874,-0.5533340548769982,-0.5875518717371984,166144.0,166144.0,0.0
Amazon-ratings,iterative_relation_frozen,combined_constant,3,0.4707931876182556,0.0052148426678214595,0.37012543434176304,0.46665578087170917,0.004137406746546428,0.6666666666666666,0.66764368613561,0.035268401727080345,0.03319035160044829,0.044948707024256386,0.023607073351740837,0.29051945606867474,0.22217861314614615,5.622979243596395,0.567959596713384,0.27184172968069714,0.01847706935223395,0.03775637039063203,nan,166144.0,166144.0,0.0
