dataset,expert_h2_status,expert_h2_delta,expert_h3_status,expert_h3_delta,expert_h4_status,expert_h4_estimate,preference_rel_auc,preference_feature_auc,preference_combined_auc,preference_rel_minus_feature_auc,preference_combined_minus_feature_auc,utility_fixed_alpha,utility_oracle_union,utility_headroom,utility_rel_minus_fixed,utility_combined_minus_fixed,utility_combined_minus_feature_router,repr_frozen_rel_minus_fixed,repr_frozen_true_minus_shuffled,repr_frozen_combined_minus_feature,repr_finetune_rel_minus_fixed,repr_finetune_true_minus_shuffled,repr_finetune_combined_minus_feature,repr_frozen_alpha_corr_degree,repr_frozen_alpha_corr_neighbor_variance,repr_finetune_alpha_corr_degree,repr_finetune_alpha_corr_neighbor_variance,binary_frozen_rel_minus_fixed,binary_frozen_true_minus_shuffled,binary_finetune_rel_minus_fixed,binary_finetune_true_minus_shuffled,diagnosis
Actor,INCONCLUSIVE,-0.000723680853843689,INCONCLUSIVE,0.001381579041481018,SUPPORTED,0.16953947991132737,0.5278884119824858,0.5275906256751638,0.5391535117555102,0.00029778630732202327,0.01156288608034639,0.35348685681819914,0.47309212386608124,0.1196052670478821,-0.0018421024084090964,-0.0009210497140884066,-0.000328943133354187,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,expert-complementarity-with-unrealized-headroom
Amazon-ratings,n/a,nan,n/a,nan,n/a,nan,0.5580038062057461,0.5346381227462809,0.5620291080595547,0.023365683459465214,0.027390985313273886,0.3686428189277649,0.37911154627799987,0.010468727350234963,0.00029397308826445423,4.8992037773143426e-05,-0.0009962469339370728,-0.00034297406673431394,0.00011432170867919922,6.532669067382812e-05,0.001992484927177429,0.0012085586786270142,-0.0011758923530578614,nan,nan,nan,nan,nan,nan,nan,nan,mixed-or-negative
Chameleon,NOT_SUPPORTED,-0.07192981839179993,INCONCLUSIVE,0.002631574869155884,SUPPORTED,0.10021929815411568,0.660625099625662,0.5790521525021723,0.6390641615700154,0.08157294712348961,0.0600120090678431,0.6307017564773559,0.7370614111423492,0.10635965466499331,-0.005263155698776223,-0.00548244714736934,-0.001973676681518488,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,expert-complementarity-with-unrealized-headroom
Citeseer,NOT_SUPPORTED,-0.13540000319480897,INCONCLUSIVE,-0.0010999977588653565,SUPPORTED,0.07650000378489494,nan,nan,nan,nan,nan,0.6929000318050385,0.7695000290870666,0.07659999728202815,-0.0013999998569488303,-0.0013999998569488303,-0.0015999972820281982,9.999871253967285e-05,9.999871253967285e-05,0.0003000020980834961,-0.0009000003337860107,-0.0006999969482421875,-0.0015999972820281982,nan,nan,nan,nan,nan,nan,nan,nan,expert-complementarity-with-unrealized-headroom
Cora,NOT_SUPPORTED,-0.17320001721382142,INCONCLUSIVE,0.0,SUPPORTED,0.050200002267956734,nan,nan,nan,nan,nan,0.8082000434398651,0.8594000399112701,0.05119999647140505,-0.0013999998569488303,0.0,0.0,-9.999871253967285e-05,0.0,-0.00010000467300415039,-0.006800001859664917,-0.0005999982357025146,0.004399996995925903,nan,nan,nan,nan,nan,nan,nan,nan,expert-complementarity-with-unrealized-headroom
Minesweeper,n/a,nan,n/a,nan,n/a,nan,0.5911294121378154,0.5288576567638192,0.5070524972485757,0.06227175537399621,-0.021805159515243533,0.7999999523162842,0.7999999523162842,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0003393333333333211,0.0003589999999999612,-4.333333333332116e-05,0.0,mixed-or-negative
Pubmed,NOT_SUPPORTED,-0.03629999160766602,INCONCLUSIVE,0.0027000010013580322,SUPPORTED,0.0734000027179718,nan,nan,nan,nan,nan,0.7696000277996063,0.8418000400066376,0.0722000122070312,-0.0012000024318695734,-0.0009000003337860107,0.0003999948501587358,-0.0001999974250793457,0.00020000338554382324,0.0,-0.0018000006675720215,0.0011999964714050292,0.0003000020980834961,nan,nan,nan,nan,nan,nan,nan,nan,expert-complementarity-with-unrealized-headroom
Questions,n/a,nan,n/a,nan,n/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000213264251416286,0.0012320993868364012,0.001130085036330386,0.0014595632969992185,mixed-or-negative
Roman-empire,n/a,nan,n/a,nan,n/a,nan,0.6996556940987588,0.7673986865157701,0.8379172169150789,-0.06774299241701132,0.07051853039930878,0.6743028342723847,0.7265266239643097,0.05222378969192498,-0.014048701524734586,-0.008136254549026556,0.0064772248268126775,0.003582775592803955,0.0032121479511260987,0.0023120343685150146,0.010377687215805054,0.008842211961746217,0.010571843385696411,nan,nan,nan,nan,nan,nan,nan,nan,representation-positive
Squirrel,NOT_SUPPORTED,-0.11863592565059662,INCONCLUSIVE,0.0004803091287612915,SUPPORTED,0.12219019904732704,0.6097838665738163,0.5242095737589849,0.5884634362613786,0.08557429281483142,0.06425386250239373,0.44486069679260254,0.5780019044876099,0.13314120769500737,0.0001921236515045055,0.0,0.00038424432277678333,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,expert-complementarity-with-unrealized-headroom
Tolokers,n/a,nan,n/a,nan,n/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0005288132621531494,-0.0001187316254054327,-0.0018627647681355535,0.004080481740860953,mixed-or-negative
