alpha_pearson_test,alpha_spearman_test,component,component_auc_for_local_preference,component_corr_local_advantage,control_mode,dataset,family,seed,split,test_count
nan,nan,degree,nan,nan,combined,Amazon-ratings,iterative_relation_finetune,0,0,6123
nan,nan,local_similarity,nan,nan,combined,Amazon-ratings,iterative_relation_finetune,0,0,6123
nan,nan,neighbor_variance,nan,nan,combined,Amazon-ratings,iterative_relation_finetune,0,0,6123
nan,nan,rwse,nan,nan,combined,Amazon-ratings,iterative_relation_finetune,0,0,6123
-0.31682346188339566,-0.39211953477925404,degree,nan,nan,combined,Amazon-ratings,iterative_relation_finetune,0,1,6123
0.08577219003645511,0.06786780854723999,local_similarity,nan,nan,combined,Amazon-ratings,iterative_relation_finetune,0,1,6123
-0.05376428856463726,-0.04461275648124414,neighbor_variance,nan,nan,combined,Amazon-ratings,iterative_relation_finetune,0,1,6123
-0.6292612774426276,-0.6699385366399871,rwse,nan,nan,combined,Amazon-ratings,iterative_relation_finetune,0,1,6123
nan,nan,degree,nan,nan,combined,Amazon-ratings,iterative_relation_finetune,0,2,6123
nan,nan,local_similarity,nan,nan,combined,Amazon-ratings,iterative_relation_finetune,0,2,6123
nan,nan,neighbor_variance,nan,nan,combined,Amazon-ratings,iterative_relation_finetune,0,2,6123
nan,nan,rwse,nan,nan,combined,Amazon-ratings,iterative_relation_finetune,0,2,6123
nan,nan,degree,nan,nan,combined,Amazon-ratings,iterative_relation_finetune,0,3,6123
nan,nan,local_similarity,nan,nan,combined,Amazon-ratings,iterative_relation_finetune,0,3,6123
nan,nan,neighbor_variance,nan,nan,combined,Amazon-ratings,iterative_relation_finetune,0,3,6123
nan,nan,rwse,nan,nan,combined,Amazon-ratings,iterative_relation_finetune,0,3,6123
nan,nan,degree,nan,nan,combined,Amazon-ratings,iterative_relation_finetune,0,4,6123
nan,nan,local_similarity,nan,nan,combined,Amazon-ratings,iterative_relation_finetune,0,4,6123
nan,nan,neighbor_variance,nan,nan,combined,Amazon-ratings,iterative_relation_finetune,0,4,6123
nan,nan,rwse,nan,nan,combined,Amazon-ratings,iterative_relation_finetune,0,4,6123
-0.5566412662640008,-0.6059076701706771,degree,nan,nan,combined,Amazon-ratings,iterative_relation_finetune,0,5,6123
0.016747965841657386,0.011809256687106725,local_similarity,nan,nan,combined,Amazon-ratings,iterative_relation_finetune,0,5,6123
-0.044580308328313015,-0.043659789043105544,neighbor_variance,nan,nan,combined,Amazon-ratings,iterative_relation_finetune,0,5,6123
-0.6165345379307311,-0.6560375558552112,rwse,nan,nan,combined,Amazon-ratings,iterative_relation_finetune,0,5,6123
nan,nan,degree,nan,nan,combined,Amazon-ratings,iterative_relation_finetune,0,6,6123
nan,nan,local_similarity,nan,nan,combined,Amazon-ratings,iterative_relation_finetune,0,6,6123
nan,nan,neighbor_variance,nan,nan,combined,Amazon-ratings,iterative_relation_finetune,0,6,6123
nan,nan,rwse,nan,nan,combined,Amazon-ratings,iterative_relation_finetune,0,6,6123
nan,nan,degree,nan,nan,combined,Amazon-ratings,iterative_relation_finetune,0,7,6123
nan,nan,local_similarity,nan,nan,combined,Amazon-ratings,iterative_relation_finetune,0,7,6123
nan,nan,neighbor_variance,nan,nan,combined,Amazon-ratings,iterative_relation_finetune,0,7,6123
nan,nan,rwse,nan,nan,combined,Amazon-ratings,iterative_relation_finetune,0,7,6123
-0.216816068406971,-0.31186558630556743,degree,nan,nan,combined,Amazon-ratings,iterative_relation_finetune,0,8,6123
-0.41676442092601657,-0.4320520006432668,local_similarity,nan,nan,combined,Amazon-ratings,iterative_relation_finetune,0,8,6123
0.35391640458257456,0.358868498563275,neighbor_variance,nan,nan,combined,Amazon-ratings,iterative_relation_finetune,0,8,6123
-0.6759723671626878,-0.6951352277866982,rwse,nan,nan,combined,Amazon-ratings,iterative_relation_finetune,0,8,6123
0.1299065112527599,0.04928327470958915,degree,nan,nan,combined,Amazon-ratings,iterative_relation_finetune,0,9,6123
-0.24233963491436172,-0.2684160559228214,local_similarity,nan,nan,combined,Amazon-ratings,iterative_relation_finetune,0,9,6123
0.25432003363674793,0.2705364963200584,neighbor_variance,nan,nan,combined,Amazon-ratings,iterative_relation_finetune,0,9,6123
-0.43820539606266706,-0.4513208251419317,rwse,nan,nan,combined,Amazon-ratings,iterative_relation_finetune,0,9,6123
nan,nan,degree,nan,nan,fixed,Amazon-ratings,iterative_relation_finetune,0,0,6123
nan,nan,local_similarity,nan,nan,fixed,Amazon-ratings,iterative_relation_finetune,0,0,6123
nan,nan,neighbor_variance,nan,nan,fixed,Amazon-ratings,iterative_relation_finetune,0,0,6123
nan,nan,rwse,nan,nan,fixed,Amazon-ratings,iterative_relation_finetune,0,0,6123
nan,nan,degree,nan,nan,fixed,Amazon-ratings,iterative_relation_finetune,0,1,6123
nan,nan,local_similarity,nan,nan,fixed,Amazon-ratings,iterative_relation_finetune,0,1,6123
nan,nan,neighbor_variance,nan,nan,fixed,Amazon-ratings,iterative_relation_finetune,0,1,6123
nan,nan,rwse,nan,nan,fixed,Amazon-ratings,iterative_relation_finetune,0,1,6123
nan,nan,degree,nan,nan,fixed,Amazon-ratings,iterative_relation_finetune,0,2,6123
nan,nan,local_similarity,nan,nan,fixed,Amazon-ratings,iterative_relation_finetune,0,2,6123
nan,nan,neighbor_variance,nan,nan,fixed,Amazon-ratings,iterative_relation_finetune,0,2,6123
nan,nan,rwse,nan,nan,fixed,Amazon-ratings,iterative_relation_finetune,0,2,6123
nan,nan,degree,nan,nan,fixed,Amazon-ratings,iterative_relation_finetune,0,3,6123
nan,nan,local_similarity,nan,nan,fixed,Amazon-ratings,iterative_relation_finetune,0,3,6123
nan,nan,neighbor_variance,nan,nan,fixed,Amazon-ratings,iterative_relation_finetune,0,3,6123
nan,nan,rwse,nan,nan,fixed,Amazon-ratings,iterative_relation_finetune,0,3,6123
nan,nan,degree,nan,nan,fixed,Amazon-ratings,iterative_relation_finetune,0,4,6123
nan,nan,local_similarity,nan,nan,fixed,Amazon-ratings,iterative_relation_finetune,0,4,6123
nan,nan,neighbor_variance,nan,nan,fixed,Amazon-ratings,iterative_relation_finetune,0,4,6123
nan,nan,rwse,nan,nan,fixed,Amazon-ratings,iterative_relation_finetune,0,4,6123
nan,nan,degree,nan,nan,fixed,Amazon-ratings,iterative_relation_finetune,0,5,6123
