alpha_pearson_test,alpha_spearman_test,component,component_auc_for_local_preference,component_corr_local_advantage,control_mode,dataset,family,seed,split,test_count
nan,nan,degree,0.4722222222222222,-0.025179032024849477,combined,Amazon-ratings,iterative_relation_finetune,0,0,6123
nan,nan,local_similarity,0.3472222222222222,-0.031188094769786037,combined,Amazon-ratings,iterative_relation_finetune,0,0,6123
nan,nan,neighbor_variance,0.7083333333333333,0.02106865325068719,combined,Amazon-ratings,iterative_relation_finetune,0,0,6123
nan,nan,rwse,0.2638888888888889,-0.04294996163853893,combined,Amazon-ratings,iterative_relation_finetune,0,0,6123
-0.31682346188339566,-0.39211953477925404,degree,0.5363636363636364,-0.01961692006491941,combined,Amazon-ratings,iterative_relation_finetune,0,1,6123
0.08577219003645511,0.06786780854723999,local_similarity,0.5181818181818182,-0.032304345181239286,combined,Amazon-ratings,iterative_relation_finetune,0,1,6123
-0.05376428856463726,-0.04461275648124414,neighbor_variance,0.5818181818181818,0.013343135839450985,combined,Amazon-ratings,iterative_relation_finetune,0,1,6123
-0.6292612774426276,-0.6699385366399871,rwse,0.5909090909090908,-0.02212349587060006,combined,Amazon-ratings,iterative_relation_finetune,0,1,6123
nan,nan,degree,0.5526315789473684,-0.0015979693265965756,combined,Amazon-ratings,iterative_relation_finetune,0,2,6123
nan,nan,local_similarity,0.4093567251461988,-0.03470584701383879,combined,Amazon-ratings,iterative_relation_finetune,0,2,6123
nan,nan,neighbor_variance,0.7543859649122807,0.025092257441709207,combined,Amazon-ratings,iterative_relation_finetune,0,2,6123
nan,nan,rwse,0.4152046783625731,-0.0490418680769401,combined,Amazon-ratings,iterative_relation_finetune,0,2,6123
nan,nan,degree,0.3324175824175824,-0.008796639985684331,combined,Amazon-ratings,iterative_relation_finetune,0,3,6123
nan,nan,local_similarity,0.45054945054945056,-0.036388072681429455,combined,Amazon-ratings,iterative_relation_finetune,0,3,6123
nan,nan,neighbor_variance,0.5824175824175823,0.013718415037650023,combined,Amazon-ratings,iterative_relation_finetune,0,3,6123
nan,nan,rwse,0.2857142857142857,-0.04578218856786465,combined,Amazon-ratings,iterative_relation_finetune,0,3,6123
nan,nan,degree,0.611111111111111,-0.024035577455282467,combined,Amazon-ratings,iterative_relation_finetune,0,4,6123
