dataset,family,comparison,n,mean_delta,ci95_low,ci95_high,wins,ties,losses,pvalue
Roman-empire,iterative_relation_frozen,reliability_only - fixed,3,0.017060816287994385,0.011867143318185057,0.02225448925780371,3,0,0,0.004968563586415206
Roman-empire,iterative_relation_frozen,combined - fixed,3,0.011118928591410318,0.0030704839957607245,0.01916737318705991,3,0,0,0.02715499821189894
Roman-empire,iterative_relation_frozen,shuffled_reliability - fixed,3,0.002470850944519043,-0.007013850988487948,0.011955552877526034,2,0,1,0.37885622462909396
Roman-empire,iterative_relation_frozen,constant_reliability - fixed,3,0.0055888692537943525,-0.002836860700220676,0.01401459920780938,3,0,0,0.10397334110958195
Roman-empire,iterative_relation_frozen,true reliability - shuffled reliability,3,0.014589965343475342,0.0029049440067335074,0.026274986680217174,3,0,0,0.032945305806333376
Roman-empire,iterative_relation_frozen,true reliability - constant reliability,3,0.011471947034200033,0.0011061279340755324,0.021837766134324532,3,0,0,0.04138381868033556
Roman-empire,iterative_relation_finetune,reliability_only - fixed,3,0.021355430285135906,0.012956352417450355,0.029754508152821456,3,0,0,0.008252244441316297
Roman-empire,iterative_relation_finetune,combined - fixed,3,0.0203553040822347,0.013254195777899963,0.027456412386569436,3,0,0,0.006509798706963526
Roman-empire,iterative_relation_finetune,shuffled_reliability - fixed,3,-0.0026473800341288247,-0.008832188366504503,0.0035374282982468534,0,1,2,0.2068553612392592
Roman-empire,iterative_relation_finetune,constant_reliability - fixed,3,-0.002588550249735514,-0.008747403498320991,0.0035703029988499624,0,1,2,0.21227280140496813
Roman-empire,iterative_relation_finetune,true reliability - shuffled reliability,3,0.02400281031926473,0.014764569094472432,0.03324105154405703,3,0,0,0.007906914319960007
Roman-empire,iterative_relation_finetune,true reliability - constant reliability,3,0.023943980534871418,0.014496573272725199,0.03339138779701764,3,0,0,0.008304693227498184
Amazon-ratings,iterative_relation_frozen,reliability_only - fixed,3,0.0007621546586354574,-0.0025171321637930243,0.004041441481063939,1,2,0,0.42264973081037416
Amazon-ratings,iterative_relation_frozen,combined - fixed,3,0.0007621546586354574,-0.0025171321637930243,0.004041441481063939,1,2,0,0.42264973081037416
Amazon-ratings,iterative_relation_frozen,shuffled_reliability - fixed,3,0.0006532768408457438,-0.002157546541666468,0.0034641002233579553,1,2,0,0.42264973081037427
Amazon-ratings,iterative_relation_frozen,constant_reliability - fixed,3,0.0007077157497406006,-0.002337339352729746,0.003752770852210947,1,2,0,0.42264973081037427
Amazon-ratings,iterative_relation_frozen,true reliability - shuffled reliability,3,0.00010887781778971355,-0.00035958562212655664,0.0005773412577059837,1,2,0,0.42264973081037416
Amazon-ratings,iterative_relation_frozen,true reliability - constant reliability,3,5.443890889485677e-05,-0.00017979281106327832,0.00028867062885299185,1,2,0,0.42264973081037416
Amazon-ratings,iterative_relation_finetune,reliability_only - fixed,3,-0.0030486186345418296,-0.0216861080400388,0.015588870770955143,1,1,1,0.5544596263776004
Amazon-ratings,iterative_relation_finetune,combined - fixed,3,0.0007077157497406006,-0.0034363086814595536,0.004851740180940755,1,1,1,0.5389361215484494
Amazon-ratings,iterative_relation_finetune,shuffled_reliability - fixed,3,-0.0008710324764251709,-0.0053399314406058435,0.0035978664877555017,1,1,1,0.4899379201292158
Amazon-ratings,iterative_relation_finetune,constant_reliability - fixed,3,-0.0025586585203806558,-0.013920836072617229,0.008803519031855918,1,1,1,0.43480036430553193
Amazon-ratings,iterative_relation_finetune,true reliability - shuffled reliability,3,-0.0021775861581166587,-0.024184418581807133,0.019829246265573818,1,1,1,0.7117295478357772
Amazon-ratings,iterative_relation_finetune,true reliability - constant reliability,3,-0.0004899601141611735,-0.008069197681080324,0.007089277452757977,1,1,1,0.8070187453008391
Roman-empire,iterative_relation_protocol,fixed: finetune - frozen,3,0.0038239757219950357,-0.004635908237692568,0.012283859681682639,2,1,0,0.19121926245361118
Roman-empire,iterative_relation_protocol,reliability_only: finetune - frozen,3,0.008118589719136557,0.002027762867344349,0.014209416570928765,3,0,0,0.029083345702050168
Roman-empire,iterative_relation_protocol,combined: finetune - frozen,3,0.013060351212819418,0.003575731412014062,0.022544971013624772,3,0,0,0.027325443198607767
Roman-empire,iterative_relation_protocol,shuffled_reliability: finetune - frozen,3,-0.001294255256652832,-0.01091311401506408,0.008324603501758416,1,1,1,0.6211446563249094
Roman-empire,iterative_relation_protocol,constant_reliability: finetune - frozen,3,-0.004353443781534831,-0.01361589824824485,0.004909010685175187,0,0,3,0.18050382547818272
Amazon-ratings,iterative_relation_protocol,fixed: finetune - frozen,3,0.005443950494130452,-0.007572401388214102,0.018460302376475005,2,1,0,0.21374328955555513
Amazon-ratings,iterative_relation_protocol,reliability_only: finetune - frozen,3,0.0016331772009531658,-0.012842058413893204,0.016108412815799535,1,0,2,0.6753308859452272
Amazon-ratings,iterative_relation_protocol,combined: finetune - frozen,3,0.005389511585235596,-0.013678668780434767,0.02445769195090596,2,0,1,0.34799266060045075
Amazon-ratings,iterative_relation_protocol,shuffled_reliability: finetune - frozen,3,0.003919641176859538,-0.012042710738971046,0.019881993092690124,2,0,1,0.4014949869743828
Amazon-ratings,iterative_relation_protocol,constant_reliability: finetune - frozen,3,0.002177576224009196,-0.008008250184584526,0.012363402632602917,2,0,1,0.45476019087999353
