dataset,family,comparison,n,mean_delta,ci95_low,ci95_high,wins,ties,losses,pvalue
Roman-empire,iterative_relation_frozen,reliability_only - fixed,3,0.01706083615620931,0.010672188903557953,0.023449483408860664,3,0,0,0.007489352936170211
Roman-empire,iterative_relation_frozen,combined - fixed,3,0.010883629322052002,0.005802197826695318,0.015965060817408686,3,0,0,0.011570791771799028
Roman-empire,iterative_relation_frozen,shuffled_reliability - fixed,3,0.0010001262029012044,-0.0031437205450060464,0.005143972950808455,2,0,1,0.40813075360454065
Roman-empire,iterative_relation_frozen,constant_reliability - fixed,3,0.004529933134714763,0.0012392339273905105,0.007820632342039014,3,0,0,0.027341302071248977
Roman-empire,iterative_relation_frozen,true reliability - shuffled reliability,3,0.016060709953308105,0.010327438204451846,0.021793981702164365,3,0,0,0.006813133526185119
Roman-empire,iterative_relation_frozen,true reliability - constant reliability,3,0.012530903021494547,0.006207782088209915,0.018854023954779177,3,0,0,0.013476490597794108
Roman-empire,iterative_relation_finetune,reliability_only - fixed,3,0.020708322525024414,0.01716458467132203,0.0242520603787268,3,0,0,0.0015780899826523286
Roman-empire,iterative_relation_finetune,combined - fixed,3,0.017002006371815998,0.009454772384139016,0.02454924035949298,3,0,0,0.010476965889787068
Roman-empire,iterative_relation_finetune,shuffled_reliability - fixed,3,-0.0013531049092610676,-0.004463612412502377,0.0017574025939802419,0,1,2,0.2021407431503697
Roman-empire,iterative_relation_finetune,constant_reliability - fixed,3,-0.001706083615620931,-0.005684309614008904,0.0022721423827670425,0,1,2,0.20629979970509507
Roman-empire,iterative_relation_finetune,true reliability - shuffled reliability,3,0.02206142743428548,0.019783352984431287,0.024339501884139674,3,0,0,0.0005754677737394343
Roman-empire,iterative_relation_finetune,true reliability - constant reliability,3,0.022414406140645344,0.019973378703801635,0.024855433577489053,3,0,0,0.0006400312195155413
Amazon-ratings,iterative_relation_frozen,reliability_only - fixed,3,-0.003701885541280111,-0.008609668734637291,0.001205897652077069,0,0,3,0.08325577571475949
Amazon-ratings,iterative_relation_frozen,combined - fixed,3,-0.0029941797256469727,-0.009438830745550221,0.0034504712942562757,0,1,2,0.1836383401530306
Amazon-ratings,iterative_relation_frozen,shuffled_reliability - fixed,3,-0.0020142594973246255,-0.01485878800385047,0.01083026900920122,1,0,2,0.5693900118283826
Amazon-ratings,iterative_relation_frozen,constant_reliability - fixed,3,-0.0017965038617451985,-0.01410888846830329,0.010515880744812892,1,0,2,0.5942598399329382
Amazon-ratings,iterative_relation_frozen,true reliability - shuffled reliability,3,-0.001687626043955485,-0.00966191695446552,0.00628666486655455,1,1,1,0.45863358100107865
Amazon-ratings,iterative_relation_frozen,true reliability - constant reliability,3,-0.0019053816795349121,-0.009411853661200086,0.005601090302130261,0,1,2,0.38878067189678056
Amazon-ratings,iterative_relation_finetune,reliability_only - fixed,3,-0.0017965038617451985,-0.01892770207895074,0.015334694355460343,1,0,2,0.6960434871599976
Amazon-ratings,iterative_relation_finetune,combined - fixed,3,-0.0007621546586354574,-0.01994795597199548,0.018423646654724568,2,0,1,0.8800126451304856
Amazon-ratings,iterative_relation_finetune,shuffled_reliability - fixed,3,-0.00375633438428243,-0.018914769889121726,0.011402101120556864,1,0,2,0.39799340371566827
Amazon-ratings,iterative_relation_finetune,constant_reliability - fixed,3,-0.005226194858551025,-0.015172230979556148,0.004719841262454097,0,0,3,0.15220095580724027
Amazon-ratings,iterative_relation_finetune,true reliability - shuffled reliability,3,0.0019598305225372314,-0.01363217674579943,0.017551837790873895,1,1,1,0.6428099053387621
Amazon-ratings,iterative_relation_finetune,true reliability - constant reliability,3,0.0034296909968058267,-0.009277415070087013,0.016136797063698666,2,1,0,0.3653829054313933
Roman-empire,iterative_relation_protocol,fixed: finetune - frozen,3,0.0029415289560953775,-0.010616656221006956,0.016499714133197712,2,0,1,0.4491145627480214
Roman-empire,iterative_relation_protocol,reliability_only: finetune - frozen,3,0.0065890153249104815,-0.0035644685533711548,0.016742499203192117,3,0,0,0.10790169537725909
Roman-empire,iterative_relation_protocol,combined: finetune - frozen,3,0.009059906005859375,0.00024391728268910277,0.017875894729029645,3,0,0,0.047530254440805886
Roman-empire,iterative_relation_protocol,shuffled_reliability: finetune - frozen,3,0.0005882978439331055,-0.012090815400834268,0.013267411088700479,2,0,1,0.8602200249123222
Roman-empire,iterative_relation_protocol,constant_reliability: finetune - frozen,3,-0.003294487794240316,-0.015399666012666808,0.008810690424186175,1,0,2,0.36223645587832654
Amazon-ratings,iterative_relation_protocol,fixed: finetune - frozen,3,0.004953990379969279,-0.0073338436314208276,0.017241824391359385,3,0,0,0.2249359665730417
Amazon-ratings,iterative_relation_protocol,reliability_only: finetune - frozen,3,0.006859372059504191,-0.010824947296636023,0.024543691415644407,2,0,1,0.23707848019334438
Amazon-ratings,iterative_relation_protocol,combined: finetune - frozen,3,0.007186015446980794,-0.012493867094043792,0.02686589798800538,2,0,1,0.2567598912491231
Amazon-ratings,iterative_relation_protocol,shuffled_reliability: finetune - frozen,3,0.0032119154930114746,-0.010512298466374812,0.01693612945239776,2,0,1,0.41997950774917214
Amazon-ratings,iterative_relation_protocol,constant_reliability: finetune - frozen,3,0.0015242993831634521,-0.007330268416312707,0.010378867182639612,2,0,1,0.5360342418739936
