dataset,family,control_mode,primary_metric,n,test_primary_mean,test_primary_std,test_acc_mean,test_acc_std,macro_f1_mean,backbone_training_mode,baseline_test_primary_mean,gain_over_own_baseline,base_alpha_mean,alpha_mean,alpha_std,adjustment_mean,adjustment_max,relation_abs_mean,relation_norm_mean,relation_to_base_norm,relation_relative_strength,relation_to_branch_disagreement,relation_state_norm_mean,relation_update_gate_mean,relation_update_gate_std,alpha_corr_local_similarity,alpha_corr_degree,alpha_corr_neighbor_variance,alpha_corr_rwse,alpha_corr_control_input_mean,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters
Amazon-ratings,iterative_relation_finetune,combined,accuracy,3,0.47814250985781354,0.00863927089343709,0.47814250985781354,0.00863927089343709,0.37732142586670825,finetuned,0.47160977125167847,0.006532738606135051,0.6666666666666666,0.6950463851292928,0.03998702640334765,0.04463369399309158,0.06655224164326985,0.03228898967305819,0.37002646923065186,0.35857609907786053,0.03238567461570104,0.03387506057818731,5.852573315302531,0.5235433479150137,0.34104468921820325,-0.3074391838953553,-0.1661220094946363,0.2753194450666146,-0.556601990990637,-0.5283273783874048,260997.0,166144.0,94853.0
Amazon-ratings,iterative_relation_finetune,constant_reliability,accuracy,3,0.47367846965789795,0.006695849946334237,0.47367846965789795,0.006695849946334237,0.3772297799659558,finetuned,0.47160977125167847,0.0020686984062194824,0.6666666666666666,0.6949566006660461,0.044710891942183174,0.049544485906759896,0.06657334168752034,0.03526374325156212,0.42466193437576294,0.3659464518229167,0.03894001369675001,0.04082822551329931,5.866152207056682,0.5156915883223215,0.33135785162448883,-0.14960327850670732,-0.23015607061913326,0.09797577890809714,-0.23511974245215173,nan,260997.0,157568.0,94853.0
Amazon-ratings,iterative_relation_finetune,fixed,accuracy,3,0.478904664516449,0.0034781679782768097,0.478904664516449,0.0034781679782768097,0.38568089834317715,fixed_finetuned,0.47160977125167847,0.007294893264770508,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,94853.0,0.0,94853.0
Amazon-ratings,iterative_relation_finetune,reliability_only,accuracy,3,0.4771081606547038,0.00790518261010991,0.4771081606547038,0.00790518261010991,0.3831524615312045,finetuned,0.47160977125167847,0.0054983894030253095,0.6666666666666666,0.6954818964004517,0.04111806179086367,0.04590028524398804,0.06661206483840942,0.035144307961066566,0.40275029341379803,0.36543144782384235,0.03457142785191536,0.036211609840393066,5.686235666275024,0.5045377413431803,0.3347427894671758,-0.23356252405517325,-0.22696697085209389,0.23595086624513167,-0.569663328915206,-0.5436956580266021,260997.0,157568.0,94853.0
Amazon-ratings,iterative_relation_finetune,shuffled_reliability,accuracy,3,0.47514833013216656,0.008455146139519627,0.47514833013216656,0.008455146139519627,0.37075267934604067,finetuned,0.47160977125167847,0.0035385588804880777,0.6666666666666666,0.6957834959030151,0.040845500926176705,0.04638295372327169,0.06657799084981282,0.03002367044488589,0.3503277401129405,0.32176944613456726,0.031108138461907704,0.03258589034279188,5.713325262069702,0.5199260314305624,0.32638005415598553,-0.16731602995070322,-0.09254371095351614,0.12333829432248156,-0.12777771519228642,-0.19005946919859162,260997.0,157568.0,94853.0
Amazon-ratings,iterative_relation_frozen,combined,accuracy,3,0.4709564944108327,0.002192503570972604,0.4709564944108327,0.002192503570972604,0.3597442996210484,frozen,0.470303217569987,0.0006532768408457438,0.6666666666666666,0.666652093331019,0.0015304035817583401,0.001414520355562369,0.004309227069218953,0.001327994590004285,0.016857213030258816,0.010251635064681372,0.0019685175890723863,0.0020470505890746913,3.0841634273529053,0.4912138481934865,0.16558627784252167,-0.3679011795247793,-0.38322307987256293,0.2408918696179993,-0.5301052354532849,-0.6005974185610131,166144.0,166144.0,0.0
Amazon-ratings,iterative_relation_frozen,constant_reliability,accuracy,3,0.4721541702747345,0.0038022079576775472,0.4721541702747345,0.0038022079576775472,0.3626979925134992,frozen,0.47160977125167847,0.0005443990230560303,0.6666666666666666,0.6666093369325002,0.00149085046723485,0.0013550867636998494,0.0044542451699574786,0.001349088114996751,0.01705838367342949,0.009579694519440332,0.0019916237021485963,0.0020710163128872714,2.724959929784139,0.4915264348189036,0.15430421630541483,-0.19177054871295712,-0.39458315362021995,0.08315150235050027,-0.35790809951727337,nan,166144.0,157568.0,0.0
Amazon-ratings,iterative_relation_frozen,fixed,accuracy,3,0.4739506741364797,0.0017437733831120465,0.4739506741364797,0.0017437733831120465,0.3668704523726552,fixed_frozen,0.4739506741364797,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0.0
Amazon-ratings,iterative_relation_frozen,reliability_only,accuracy,3,0.4702487885951996,0.0021266322306783877,0.4702487885951996,0.0021266322306783877,0.36067628804931773,frozen,0.470303217569987,-5.4428974787394203e-05,0.6666666666666666,0.6663452287515005,0.0032631244199971357,0.002737837533156077,0.009105821450551351,0.00391725745672981,0.048261016607284546,0.021901375924547512,0.004686851209650437,0.0048663670507570105,2.8044408162434897,0.4910776416460673,0.1579368660847346,-0.0014889600406839676,-0.2610606177611508,-0.04280063398163175,-0.35337380762383763,-0.3731342258441597,166144.0,157568.0,0.0
Amazon-ratings,iterative_relation_frozen,shuffled_reliability,accuracy,3,0.4719364146391551,0.004067331072373072,0.4719364146391551,0.004067331072373072,0.3624751961985966,frozen,0.47160977125167847,0.0003266433874766032,0.6666666666666666,0.6665739715099335,0.0014436224785943825,0.0012537934041271608,0.004203120867411296,0.0013445174942413967,0.01697383200128873,0.008657537400722504,0.001981070420394341,0.002059886076798042,2.7717207272847495,0.49272576967875165,0.1555059403181076,-0.16535882947096486,-0.3885301765086943,0.0640543409177432,-0.3401582671832841,0.10287399949547758,166144.0,157568.0,0.0
