dataset,family,control_mode,primary_metric,n,test_primary_mean,test_primary_std,test_acc_mean,test_acc_std,macro_f1_mean,backbone_training_mode,baseline_test_primary_mean,gain_over_own_baseline,base_alpha_mean,alpha_mean,alpha_std,adjustment_mean,adjustment_max,relation_abs_mean,relation_norm_mean,relation_to_base_norm,relation_relative_strength,relation_to_branch_disagreement,relation_state_norm_mean,relation_update_gate_mean,relation_update_gate_std,alpha_corr_local_similarity,alpha_corr_degree,alpha_corr_neighbor_variance,alpha_corr_rwse,alpha_corr_control_input_mean,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters
Amazon-ratings,iterative_relation_finetune,combined,accuracy,3,0.47569273908933,0.008107286797369544,0.47569273908933,0.008107286797369544,0.37546493990034224,finetuned,0.46850672364234924,0.007186015446980794,0.8333333333333334,0.8664289315541586,0.037792377173900604,0.045149073004722595,0.06660199165344238,0.03564298525452614,0.4202951192855835,0.4129928946495056,0.03061355526248614,0.03183997298280398,5.65380601088206,0.5005309681097666,0.3350941116611163,-0.14035123650224315,-0.21335970231518617,0.2536189501352861,-0.417586897500024,-0.3851897251167322,260997.0,166144.0,94853.0
Amazon-ratings,iterative_relation_finetune,constant_reliability,accuracy,3,0.47623713811238605,0.008436899789309163,0.47623713811238605,0.008436899789309163,0.37934269713937097,finetuned,0.46850672364234924,0.007730414470036824,0.8333333333333334,0.869277278582255,0.03888778015971184,0.049355506896972656,0.06660374005635579,0.03526987135410309,0.40493855873743695,0.40256714820861816,0.03244564930597941,0.03382348890105883,5.643616278966268,0.5296775996685028,0.329561506708463,0.04346434639134539,-0.18797957788396855,-0.02857313712436583,-0.14710760646562313,nan,260997.0,157568.0,94853.0
Amazon-ratings,iterative_relation_finetune,fixed,accuracy,3,0.47258968154589337,0.00680123375440784,0.47258968154589337,0.00680123375440784,0.3639537152888691,fixed_finetuned,0.46850672364234924,0.004082957903544108,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,94853.0,0.0,94853.0
Amazon-ratings,iterative_relation_finetune,reliability_only,accuracy,3,0.4766726593176524,0.008811476927100076,0.4766726593176524,0.008811476927100076,0.3797574715876635,finetuned,0.46850672364234924,0.00816593567530314,0.8333333333333334,0.8652406334877014,0.03800578291217486,0.04450312008460363,0.06662170092264812,0.033643522610267006,0.3951963384946187,0.38944506645202637,0.030970146258672077,0.03229037051399549,5.444371302922566,0.5353785653909048,0.31615859021743137,-0.12087806375522536,-0.22244642443125737,0.207990988126556,-0.4991576792325076,-0.45754950002541156,260997.0,157568.0,94853.0
Amazon-ratings,iterative_relation_finetune,shuffled_reliability,accuracy,3,0.47329739729563397,0.007268443933542086,0.47329739729563397,0.007268443933542086,0.3758061048581388,finetuned,0.46850672364234924,0.004790673653284709,0.8333333333333334,0.8664320508639017,0.03832751388351122,0.04563736915588379,0.06661951541900635,0.032840599616368614,0.3913060228029887,0.3970255454381307,0.029307680825392406,0.030594224731127422,5.57859992980957,0.5476900935173035,0.32257096469402313,0.11723252210267604,-0.010356205421367268,-0.09258219109762009,0.03002766397685948,-0.25209082595645993,260997.0,157568.0,94853.0
Amazon-ratings,iterative_relation_frozen,combined,accuracy,3,0.46741793553034466,0.004757774409302577,0.46741793553034466,0.004757774409302577,0.3470185798880901,frozen,0.46850672364234924,-0.001088788112004598,0.8333333333333334,0.8329957922299703,0.0005013938449944059,0.00033751409500837326,0.006739358107248942,0.00019013097820182642,0.003419420371452967,860742.6666666666,0.0008647964180757602,0.001030637960260113,2.7796706755956015,0.49567516644795734,0.15085595101118088,-0.3740162726480975,-0.14680758555530254,0.3223501566988435,-0.16278322350963148,-0.21747581735184698,166144.0,166144.0,0.0
Amazon-ratings,iterative_relation_frozen,constant_reliability,accuracy,3,0.46850672364234924,0.0033372795492922413,0.46850672364234924,0.0033372795492922413,0.35667871858114647,frozen,0.46850672364234924,0.0,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.429481585820516,0.4959484934806824,0.1345091313123703,nan,nan,nan,nan,nan,166144.0,157568.0,0.0
Amazon-ratings,iterative_relation_frozen,fixed,accuracy,3,0.46850672364234924,0.0033372795492922413,0.46850672364234924,0.0033372795492922413,0.35667871858114647,fixed_frozen,0.46850672364234924,0.0,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0.0
Amazon-ratings,iterative_relation_frozen,reliability_only,accuracy,3,0.46850672364234924,0.0033372795492922413,0.46850672364234924,0.0033372795492922413,0.3562238756733669,frozen,0.46850672364234924,0.0,0.8333333333333334,0.8328506549199423,0.0009387472334007422,0.0004826860191921393,0.008433063824971518,0.00042002225139488775,0.007132369404037793,202181.0,0.001842727263768514,0.0021873805671930313,2.5741708676020303,0.4970710178216298,0.13819421082735062,-0.1503663576272726,-0.10733967311147702,0.18250278148515328,-0.04144792384500136,-0.07113197122106818,166144.0,157568.0,0.0
Amazon-ratings,iterative_relation_frozen,shuffled_reliability,accuracy,3,0.46850672364234924,0.0033372795492922413,0.46850672364234924,0.0033372795492922413,0.35667871858114647,frozen,0.46850672364234924,0.0,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.474617083867391,0.4969128568967183,0.13588139911492667,nan,nan,nan,nan,nan,166144.0,157568.0,0.0
