dataset,family,control_mode,primary_metric,n,test_primary_mean,test_primary_std,test_acc_mean,test_acc_std,macro_f1_mean,backbone_training_mode,baseline_test_primary_mean,gain_over_own_baseline,base_alpha_mean,alpha_mean,alpha_std,adjustment_mean,adjustment_max,relation_abs_mean,relation_norm_mean,relation_to_base_norm,relation_relative_strength,relation_to_branch_disagreement,relation_state_norm_mean,relation_update_gate_mean,relation_update_gate_std,alpha_corr_local_similarity,alpha_corr_degree,alpha_corr_neighbor_variance,alpha_corr_rwse,alpha_corr_control_input_mean,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters
Amazon-ratings,iterative_relation_finetune,combined,accuracy,3,0.4712831377983093,0.003091092436720982,0.4712831377983093,0.003091092436720982,0.3690886601444622,finetuned,0.4712831377983093,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.660912195841471,0.4996682604153951,0.13836036870876947,nan,nan,nan,nan,nan,254181.0,159328.0,94853.0
Amazon-ratings,iterative_relation_finetune,constant_reliability,accuracy,3,0.4712831377983093,0.003091092436720982,0.4712831377983093,0.003091092436720982,0.3690886601444622,finetuned,0.4712831377983093,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4035667975743613,0.49963828921318054,0.13001018265883127,nan,nan,nan,nan,nan,254181.0,150752.0,94853.0
Amazon-ratings,iterative_relation_finetune,fixed,accuracy,3,0.47509391109148663,0.007259876684778245,0.47509391109148663,0.007259876684778245,0.3774166071488322,fixed_finetuned,0.4712831377983093,0.0038107732931772866,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,94853.0,0.0,94853.0
Amazon-ratings,iterative_relation_finetune,reliability_only,accuracy,3,0.4754749834537506,0.007759873838478504,0.4754749834537506,0.007759873838478504,0.3728503243063309,finetuned,0.4712831377983093,0.004191845655441284,0.75,0.7639474670092264,0.018220604707797367,0.01986066872874896,0.03324278195699056,0.010729429622491201,0.12828380862871805,0.16160560647646585,0.011449060092369715,0.011968047668536505,3.802277406056722,0.49148648977279663,0.21906439463297525,-0.04110471628015302,-0.11505512742013681,0.10414574739584453,-0.5128359517257919,-0.434353235369541,254181.0,150752.0,94853.0
Amazon-ratings,iterative_relation_finetune,shuffled_reliability,accuracy,3,0.4712831377983093,0.003091092436720982,0.4712831377983093,0.003091092436720982,0.3690886601444622,finetuned,0.4712831377983093,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.383313775062561,0.49775588512420654,0.12921896825234094,nan,nan,nan,nan,nan,254181.0,150752.0,94853.0
Amazon-ratings,iterative_relation_frozen,combined,accuracy,3,0.4712831377983093,0.003091092436720982,0.4712831377983093,0.003091092436720982,0.3690886601444622,frozen,0.4712831377983093,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.660912195841471,0.49966827034950256,0.13836036870876947,nan,nan,nan,nan,nan,159328.0,159328.0,0.0
Amazon-ratings,iterative_relation_frozen,constant_reliability,accuracy,3,0.4712831377983093,0.003091092436720982,0.4712831377983093,0.003091092436720982,0.3690886601444622,frozen,0.4712831377983093,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4035667975743613,0.49963828921318054,0.1300101801753044,nan,nan,nan,nan,nan,159328.0,150752.0,0.0
Amazon-ratings,iterative_relation_frozen,fixed,accuracy,3,0.4712831377983093,0.003091092436720982,0.4712831377983093,0.003091092436720982,0.3690886601444622,fixed_frozen,0.4712831377983093,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0.0
Amazon-ratings,iterative_relation_frozen,reliability_only,accuracy,3,0.471010943253835,0.003474756836652797,0.471010943253835,0.003474756836652797,0.36909558349536187,frozen,0.4712831377983093,-0.00027219454447428387,0.75,0.7495252887407938,0.0009828667777280013,0.00047470062660674256,0.006789644559224446,0.00029689056100323796,0.005587783331672351,333768.1875,0.0014557332421342533,0.0017302862058083217,2.4451573689778647,0.4995003441969554,0.13398859401543936,0.39722833137525265,-0.09936617671413978,-0.33480130129855823,0.2113256687763918,0.18466330819860735,159328.0,150752.0,0.0
Amazon-ratings,iterative_relation_frozen,shuffled_reliability,accuracy,3,0.4712831377983093,0.003091092436720982,0.4712831377983093,0.003091092436720982,0.3690886601444622,frozen,0.4712831377983093,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.383313775062561,0.497755895058314,0.12921896825234094,nan,nan,nan,nan,nan,159328.0,150752.0,0.0
