dataset,family,comparison,n,mean_delta,ci95_low,ci95_high,wins,ties,losses,pvalue
Roman-empire,iterative_relation_frozen,reliability_only - fixed,3,0.011766095956166586,0.0027559862584562913,0.020776205653876882,3,0,0,0.030245734655755037
Roman-empire,iterative_relation_frozen,combined - fixed,3,0.011766095956166586,0.007374472626756574,0.016157719285576598,3,0,0,0.007441219740716299
Roman-empire,iterative_relation_frozen,shuffled_reliability - fixed,3,0.003412167231241862,-0.0022930368286599207,0.009117371291143645,3,0,0,0.12362340197748369
Roman-empire,iterative_relation_frozen,constant_reliability - fixed,3,0.004882931709289551,-0.002740406718994461,0.012506270137573564,3,0,0,0.11030113371548096
Roman-empire,iterative_relation_frozen,true reliability - shuffled reliability,3,0.008353928724924723,0.003962312786379166,0.01274554466347028,3,0,0,0.014601605593653883
Roman-empire,iterative_relation_frozen,true reliability - constant reliability,3,0.006883164246877034,0.004216250834597545,0.009550077659156523,3,0,0,0.008011711087297547
Roman-empire,iterative_relation_finetune,reliability_only - fixed,3,0.013119180997212728,0.004843063306645801,0.021395298687779656,3,0,0,0.02082726291436772
Roman-empire,iterative_relation_finetune,combined - fixed,3,0.01429577668507894,0.010398896904656495,0.018192656465501385,3,0,0,0.003989705027483236
Roman-empire,iterative_relation_finetune,shuffled_reliability - fixed,3,0.0004706382751464844,-0.007617460065100192,0.00855873661539316,1,0,2,0.8256745465438364
Roman-empire,iterative_relation_finetune,constant_reliability - fixed,3,0.0017648935317993164,-0.005083506057147802,0.008613293120746435,2,0,1,0.3829824476577046
Roman-empire,iterative_relation_finetune,true reliability - shuffled reliability,3,0.012648542722066244,0.007605077967609646,0.01769200747652284,3,0,0,0.008479167888048374
Roman-empire,iterative_relation_finetune,true reliability - constant reliability,3,0.011354287465413412,0.002091843511430014,0.020616731419396808,3,0,0,0.034117698300225735
Amazon-ratings,iterative_relation_frozen,reliability_only - fixed,3,-0.0008165935675303141,-0.004330112109916931,0.002696924974856303,0,2,1,0.42264973081037427
Amazon-ratings,iterative_relation_frozen,combined - fixed,3,-0.0002177556355794271,-0.0011546825154119674,0.0007191712442531133,0,2,1,0.42264973081037416
Amazon-ratings,iterative_relation_frozen,shuffled_reliability - fixed,3,-0.00010887781778971355,-0.0005773412577059837,0.00035958562212655664,0,2,1,0.42264973081037416
Amazon-ratings,iterative_relation_frozen,constant_reliability - fixed,3,-0.0005443990230560303,-0.0028867589656519717,0.0017979609195399112,0,2,1,0.42264973081037427
Amazon-ratings,iterative_relation_frozen,true reliability - shuffled reliability,3,-0.0007077157497406006,-0.003752770852210947,0.002337339352729746,0,2,1,0.42264973081037427
Amazon-ratings,iterative_relation_frozen,true reliability - constant reliability,3,-0.00027219454447428387,-0.0014433531442649592,0.0008989640553163914,0,2,1,0.42264973081037427
Amazon-ratings,iterative_relation_finetune,reliability_only - fixed,3,-0.004191845655441284,-0.02222790180729064,0.01384421049640807,0,2,1,0.42264973081037427
Amazon-ratings,iterative_relation_finetune,combined - fixed,3,-0.004191845655441284,-0.02222790180729064,0.01384421049640807,0,2,1,0.42264973081037427
Amazon-ratings,iterative_relation_finetune,shuffled_reliability - fixed,3,-0.004191845655441284,-0.02222790180729064,0.01384421049640807,0,2,1,0.42264973081037427
Amazon-ratings,iterative_relation_finetune,constant_reliability - fixed,3,-0.0019053916136423747,-0.026390436273092125,0.022579653045807373,1,1,1,0.7696111207002803
Amazon-ratings,iterative_relation_finetune,true reliability - shuffled reliability,3,0.0,0.0,0.0,0,3,0,nan
Amazon-ratings,iterative_relation_finetune,true reliability - constant reliability,3,-0.0022864540417989096,-0.012124271766069766,0.0075513636824719454,0,2,1,0.42264973081037427
Roman-empire,iterative_relation_protocol,fixed: finetune - frozen,3,0.0059418876965840655,-0.0010225622256356433,0.012906337618803774,3,0,0,0.06685251602916834
Roman-empire,iterative_relation_protocol,reliability_only: finetune - frozen,3,0.007294972737630208,0.005885667919070509,0.008704277556189906,3,0,0,0.0020099213006037763
Roman-empire,iterative_relation_protocol,combined: finetune - frozen,3,0.00847156842549642,0.006717798960097579,0.010225337890895261,3,0,0,0.0023069591106228598
Roman-empire,iterative_relation_protocol,shuffled_reliability: finetune - frozen,3,0.003000358740488688,0.0021234369904715392,0.0038772804905058368,3,0,0,0.004582573486359723
Roman-empire,iterative_relation_protocol,constant_reliability: finetune - frozen,3,0.0028238495190938315,-0.004551664973177192,0.010199364011364856,3,0,0,0.24124441174851835
Amazon-ratings,iterative_relation_protocol,fixed: finetune - frozen,3,0.004191845655441284,-0.01384421049640807,0.02222790180729064,1,2,0,0.42264973081037427
Amazon-ratings,iterative_relation_protocol,reliability_only: finetune - frozen,3,0.0008165935675303141,-0.002696924974856303,0.004330112109916931,1,2,0,0.42264973081037427
Amazon-ratings,iterative_relation_protocol,combined: finetune - frozen,3,0.0002177556355794271,-0.0007191712442531133,0.0011546825154119674,1,2,0,0.42264973081037416
Amazon-ratings,iterative_relation_protocol,shuffled_reliability: finetune - frozen,3,0.00010887781778971355,-0.00035958562212655664,0.0005773412577059837,1,2,0,0.42264973081037416
Amazon-ratings,iterative_relation_protocol,constant_reliability: finetune - frozen,3,0.00283085306485494,-0.00607002315699892,0.0117317292867088,2,1,0,0.3046229746594211
