dataset,family,control_mode,primary_metric,n,test_primary_mean,test_primary_std,test_acc_mean,test_acc_std,macro_f1_mean,backbone_training_mode,baseline_test_primary_mean,gain_over_own_baseline,base_alpha_mean,alpha_mean,alpha_std,adjustment_mean,adjustment_max,relation_abs_mean,relation_norm_mean,relation_to_base_norm,relation_relative_strength,relation_to_branch_disagreement,relation_state_norm_mean,relation_update_gate_mean,relation_update_gate_std,alpha_corr_local_similarity,alpha_corr_degree,alpha_corr_neighbor_variance,alpha_corr_rwse,alpha_corr_control_input_mean,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters
Amazon-ratings,iterative_relation_finetune,combined,accuracy,3,0.4712831377983093,0.003091092436720982,0.4712831377983093,0.003091092436720982,0.3690886601444622,finetuned,0.4712831377983093,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.527629017829895,0.4975314935048421,0.12823077042897543,nan,nan,nan,nan,nan,246381.0,151528.0,94853.0
Amazon-ratings,iterative_relation_finetune,constant_reliability,accuracy,3,0.4735695918401082,0.005609118304608908,0.4735695918401082,0.005609118304608908,0.3758616274055826,finetuned,0.4712831377983093,0.0022864540417989096,0.75,0.7809642354647318,0.0022692751760284104,0.030964235464731853,0.033293465773264565,0.02196604013442993,0.2550981243451436,0.22681728998819986,0.02776365727186203,0.028786614537239075,4.065755009651184,0.5306857824325562,0.21989648044109344,-0.03593229828941906,-0.5362064332790496,-0.04152417434789871,-0.505595623299618,nan,246381.0,142952.0,94853.0
Amazon-ratings,iterative_relation_finetune,fixed,accuracy,3,0.4754749834537506,0.007759873838478504,0.4754749834537506,0.007759873838478504,0.37581512779216464,fixed_finetuned,0.4712831377983093,0.004191845655441284,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,94853.0,0.0,94853.0
Amazon-ratings,iterative_relation_finetune,reliability_only,accuracy,3,0.4712831377983093,0.003091092436720982,0.4712831377983093,0.003091092436720982,0.3690886601444622,finetuned,0.4712831377983093,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2347230116526284,0.49152984221776325,0.11635670065879822,nan,nan,nan,nan,nan,246381.0,142952.0,94853.0
Amazon-ratings,iterative_relation_finetune,shuffled_reliability,accuracy,3,0.4712831377983093,0.003091092436720982,0.4712831377983093,0.003091092436720982,0.3690886601444622,finetuned,0.4712831377983093,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2344784339269004,0.4915255606174469,0.11627126485109329,nan,nan,nan,nan,nan,246381.0,142952.0,94853.0
Amazon-ratings,iterative_relation_frozen,combined,accuracy,3,0.4710653821627299,0.003398000852140816,0.4710653821627299,0.003398000852140816,0.368194933515947,frozen,0.4712831377983093,-0.0002177556355794271,0.75,0.7402689456939697,0.014471723387638727,0.009731040025750795,0.03329388300577799,0.005026818563540776,0.07738430798053741,44676.385416666664,0.020168423652648926,0.02400721361239751,3.8652411301930747,0.5197919309139252,0.2176603078842163,-0.22658883344002492,-0.02432026448117458,0.17039157759637363,-0.04217406065714913,-0.07236878080978736,151528.0,151528.0,0.0
Amazon-ratings,iterative_relation_frozen,constant_reliability,accuracy,3,0.4707387387752533,0.003858689588075433,0.4707387387752533,0.003858689588075433,0.36792058236022973,frozen,0.4712831377983093,-0.0005443990230560303,0.75,0.7425119876861572,0.01164062445362409,0.007488014176487923,0.028205653031667072,0.0037995008751749992,0.060374374190966286,0.011118860294421514,0.01567542925477028,0.018642131239175797,3.2038842837015786,0.5139470100402832,0.17765077948570251,-0.11675377212424959,-0.41571098706917364,0.10122431212649843,-0.3990320608832399,nan,151528.0,142952.0,0.0
Amazon-ratings,iterative_relation_frozen,fixed,accuracy,3,0.4712831377983093,0.003091092436720982,0.4712831377983093,0.003091092436720982,0.3690886601444622,fixed_frozen,0.4712831377983093,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0.0
Amazon-ratings,iterative_relation_frozen,reliability_only,accuracy,3,0.470466544230779,0.004242793623899868,0.470466544230779,0.004242793623899868,0.36824242726242773,frozen,0.4712831377983093,-0.0008165935675303141,0.75,0.7402493556340536,0.014694977551698685,0.009750659887989363,0.033303916454315186,0.005147846415638924,0.07983280221621196,119672.19791666667,0.020865832765897114,0.02485755831003189,3.4062980810801187,0.5136555135250092,0.2072779188553492,-0.20207206994040214,-0.08114354638753757,0.145258240723501,-0.10049348311733311,-0.13465665687544387,151528.0,142952.0,0.0
Amazon-ratings,iterative_relation_frozen,shuffled_reliability,accuracy,3,0.4711742599805196,0.0032445219005792494,0.4711742599805196,0.0032445219005792494,0.36896353647520275,frozen,0.4712831377983093,-0.00010887781778971355,0.75,0.7488712271054586,0.001881437220921119,0.0011287510084609191,0.007506668567657471,0.0005984794503698746,0.009958423674106598,169893.51041666666,0.00258721054221193,0.0030789322530229888,2.3994052410125732,0.49332772692044574,0.12093720585107803,-0.13933384618376288,-0.4685518459911663,0.10578304157277094,-0.3918954001678825,0.09020043226587557,151528.0,142952.0,0.0
