dataset,family,comparison,n,mean_delta,ci95_low,ci95_high,wins,ties,losses,pvalue
Roman-empire,iterative_relation_frozen,reliability_only - fixed,3,0.010942439238230387,0.004366007335749672,0.0175188711407111,3,0,0,0.018957947902192192
Roman-empire,iterative_relation_frozen,combined - fixed,3,0.009295205275217691,0.002641295203976158,0.015949115346459226,3,0,0,0.026581135557249745
Roman-empire,iterative_relation_frozen,shuffled_reliability - fixed,3,0.0026473800341288247,-0.005280778334081158,0.010575538402338807,2,0,1,0.287326669705187
Roman-empire,iterative_relation_frozen,constant_reliability - fixed,3,0.004059294859568278,-0.005178946365224019,0.013297536084360576,3,0,0,0.19924237404810943
Roman-empire,iterative_relation_frozen,true reliability - shuffled reliability,3,0.008295059204101562,0.006776314409657684,0.00981380399854544,3,0,0,0.0018058446661011504
Roman-empire,iterative_relation_frozen,true reliability - constant reliability,3,0.006883144378662109,0.0041451882633063986,0.00962110049401782,3,0,0,0.008438825138034952
Roman-empire,iterative_relation_finetune,reliability_only - fixed,3,0.011589586734771729,0.00860529722626778,0.014573876243275677,3,0,0,0.003562442432382005
Roman-empire,iterative_relation_finetune,combined - fixed,3,0.01223673423131307,0.008946123796833431,0.01552734466579271,3,0,0,0.0038834143411747516
Roman-empire,iterative_relation_finetune,shuffled_reliability - fixed,3,0.0028238693873087564,-0.003634597741192409,0.009282336515809921,2,1,0,0.20066536660798132
Roman-empire,iterative_relation_finetune,constant_reliability - fixed,3,0.001470784346262614,-0.00695493276696973,0.009896501459494958,2,0,1,0.5309589434472688
Roman-empire,iterative_relation_finetune,true reliability - shuffled reliability,3,0.008765717347462973,0.005249127597680605,0.01228230709724534,3,0,0,0.008581776692366903
Roman-empire,iterative_relation_finetune,true reliability - constant reliability,3,0.010118802388509115,0.002271872934230021,0.01796573184278821,3,0,0,0.030982219499890874
Amazon-ratings,iterative_relation_frozen,reliability_only - fixed,3,0.00375633438428243,-0.015324779904932443,0.022837448673497303,2,0,1,0.4861743666353341
Amazon-ratings,iterative_relation_frozen,combined - fixed,3,0.003484139839808146,-0.016201294209998246,0.02316957388961454,1,0,2,0.5258856274139978
Amazon-ratings,iterative_relation_frozen,shuffled_reliability - fixed,3,0.0032663742701212564,-0.016761700541526946,0.02329444908176946,1,0,2,0.5555188252523151
Amazon-ratings,iterative_relation_frozen,constant_reliability - fixed,3,0.0033208131790161133,-0.016593251881318268,0.023234878239350495,1,0,2,0.5475518938237891
Amazon-ratings,iterative_relation_frozen,true reliability - shuffled reliability,3,0.0004899601141611735,-0.00197786678362317,0.0029577870119455165,1,1,1,0.4829623676163466
Amazon-ratings,iterative_relation_frozen,true reliability - constant reliability,3,0.0004355212052663167,-0.002172815063592976,0.00304385747412561,1,1,1,0.5470868023110498
Amazon-ratings,iterative_relation_finetune,reliability_only - fixed,3,-0.0008710324764251709,-0.004618782738769924,0.0028767177859195816,0,2,1,0.42264973081037427
Amazon-ratings,iterative_relation_finetune,combined - fixed,3,-0.0008710324764251709,-0.004618782738769924,0.0028767177859195816,0,2,1,0.42264973081037427
Amazon-ratings,iterative_relation_finetune,shuffled_reliability - fixed,3,-0.0008710324764251709,-0.004618782738769924,0.0028767177859195816,0,2,1,0.42264973081037427
Amazon-ratings,iterative_relation_finetune,constant_reliability - fixed,3,-0.0008710324764251709,-0.004618782738769924,0.0028767177859195816,0,2,1,0.42264973081037427
Amazon-ratings,iterative_relation_finetune,true reliability - shuffled reliability,3,0.0,0.0,0.0,0,3,0,nan
Amazon-ratings,iterative_relation_finetune,true reliability - constant reliability,3,0.0,0.0,0.0,0,3,0,nan
Roman-empire,iterative_relation_protocol,fixed: finetune - frozen,3,0.005000571409861247,0.0018900639066199375,0.008111078913102556,3,0,0,0.02026700125690614
Roman-empire,iterative_relation_protocol,reliability_only: finetune - frozen,3,0.005647718906402588,0.004888346509180649,0.006407091303624527,3,0,0,0.0009751137604057473
Roman-empire,iterative_relation_protocol,combined: finetune - frozen,3,0.007942100365956625,0.0050670838401047445,0.010817116891808505,3,0,0,0.007004156193691424
Roman-empire,iterative_relation_protocol,shuffled_reliability: finetune - frozen,3,0.005177060763041179,0.0036372965050669613,0.006716825021015396,3,0,0,0.004744278227514917
Roman-empire,iterative_relation_protocol,constant_reliability: finetune - frozen,3,0.0024120608965555825,-0.005483711940415298,0.010307833733526462,2,0,1,0.3192127548879573
Amazon-ratings,iterative_relation_protocol,fixed: finetune - frozen,3,0.004191845655441284,-0.014066423780952221,0.02245011509183479,2,0,1,0.4273627627446297
Amazon-ratings,iterative_relation_protocol,reliability_only: finetune - frozen,3,-0.0004355212052663167,-0.00304385747412561,0.002172815063592976,1,1,1,0.5470868023110498
Amazon-ratings,iterative_relation_protocol,combined: finetune - frozen,3,-0.00016332666079203287,-0.0028237271142669837,0.0024970737926829183,1,1,1,0.8163948255480551
Amazon-ratings,iterative_relation_protocol,shuffled_reliability: finetune - frozen,3,5.443890889485677e-05,-0.00017979281106327832,0.00028867062885299185,1,2,0,0.42264973081037416
Amazon-ratings,iterative_relation_protocol,constant_reliability: finetune - frozen,3,0.0,0.0,0.0,0,3,0,nan
