dataset,family,control_mode,primary_metric,n,test_primary_mean,test_primary_std,test_acc_mean,test_acc_std,macro_f1_mean,backbone_training_mode,baseline_test_primary_mean,gain_over_own_baseline,base_alpha_mean,alpha_mean,alpha_std,adjustment_mean,adjustment_max,relation_abs_mean,relation_norm_mean,relation_to_base_norm,relation_relative_strength,relation_to_branch_disagreement,relation_state_norm_mean,relation_update_gate_mean,relation_update_gate_std,alpha_corr_local_similarity,alpha_corr_degree,alpha_corr_neighbor_variance,alpha_corr_rwse,alpha_corr_control_input_mean,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters
Amazon-ratings,iterative_relation_finetune,combined,accuracy,3,0.4712831377983093,0.003091092436720982,0.4712831377983093,0.003091092436720982,0.3690886601444622,finetuned,0.4712831377983093,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.622736930847168,0.5180615186691284,0.13680722316106161,nan,nan,nan,nan,nan,245991.0,151138.0,94853.0
Amazon-ratings,iterative_relation_finetune,constant_reliability,accuracy,3,0.4712831377983093,0.003091092436720982,0.4712831377983093,0.003091092436720982,0.3690886601444622,finetuned,0.4712831377983093,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3575559854507446,0.5169270435969034,0.1311755453546842,nan,nan,nan,nan,nan,245991.0,142562.0,94853.0
Amazon-ratings,iterative_relation_finetune,fixed,accuracy,3,0.4721541702747345,0.0037810967756633377,0.4721541702747345,0.0037810967756633377,0.36807801141241675,fixed_finetuned,0.4712831377983093,0.0008710324764251709,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,94853.0,0.0,94853.0
Amazon-ratings,iterative_relation_finetune,reliability_only,accuracy,3,0.4712831377983093,0.003091092436720982,0.4712831377983093,0.003091092436720982,0.3690886601444622,finetuned,0.4712831377983093,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3389633893966675,0.5162143707275391,0.12979009499152502,nan,nan,nan,nan,nan,245991.0,142562.0,94853.0
Amazon-ratings,iterative_relation_finetune,shuffled_reliability,accuracy,3,0.4712831377983093,0.003091092436720982,0.4712831377983093,0.003091092436720982,0.3690886601444622,finetuned,0.4712831377983093,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3373708724975586,0.516153613726298,0.12975255151589712,nan,nan,nan,nan,nan,245991.0,142562.0,94853.0
Amazon-ratings,iterative_relation_frozen,combined,accuracy,3,0.4714464644591014,0.0037818813448016408,0.4714464644591014,0.0037818813448016408,0.3651043616802749,frozen,0.4717730979124705,-0.0003266334533691406,0.75,0.7470734318097433,0.004265468722830216,0.004212376506378253,0.010707596937815348,0.003336326607192556,0.039963082720836006,0.01770988681043188,0.006036484458794196,0.006849981844425201,2.9000279903411865,0.5187495152155558,0.14769736677408218,0.08228011612520417,-0.2709192793291455,-0.11962569491006544,-0.3558303235300508,-0.36976272376046015,151138.0,151138.0,0.0
Amazon-ratings,iterative_relation_frozen,constant_reliability,accuracy,3,0.4712831377983093,0.003091092436720982,0.4712831377983093,0.003091092436720982,0.3690886601444622,frozen,0.4712831377983093,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3575559854507446,0.5169270435969034,0.1311755453546842,nan,nan,nan,nan,nan,151138.0,142562.0,0.0
Amazon-ratings,iterative_relation_frozen,fixed,accuracy,3,0.4679623246192932,0.005467852271938413,0.4679623246192932,0.005467852271938413,0.35620788394581265,fixed_frozen,0.4679623246192932,0.0,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0.0
Amazon-ratings,iterative_relation_frozen,reliability_only,accuracy,3,0.4717186590035756,0.003640535807696833,0.4717186590035756,0.003640535807696833,0.3652893353310966,frozen,0.4717730979124705,-5.443890889485677e-05,0.75,0.7442353566487631,0.006844343772778909,0.006743763107806444,0.01859821875890096,0.004612725538512071,0.05603562047084173,0.018503072982033093,0.01028918894007802,0.011912631336599588,2.9364978472391763,0.5160667896270752,0.14945418884356818,0.15562413948595794,-0.3779102876846989,-0.18325142270547098,-0.3512597688642563,-0.3909528974148496,151138.0,142562.0,0.0
Amazon-ratings,iterative_relation_frozen,shuffled_reliability,accuracy,3,0.4712286988894145,0.0031678005332158614,0.4712286988894145,0.0031678005332158614,0.36857246402522437,frozen,0.4712831377983093,-5.443890889485677e-05,0.75,0.745060384273529,0.005016003114481767,0.004939622866610686,0.014920651912689209,0.0023788862551252046,0.030126412709554035,0.005200347552696864,0.00782193678120772,0.009302300090591112,2.8318721453348794,0.5169385472933451,0.14379481226205826,-0.12056444746225245,-0.3994570951119033,0.08370851252297719,-0.353278232231115,0.058275770905034316,151138.0,142562.0,0.0
Roman-empire,iterative_relation_finetune,combined,accuracy,3,0.8357453544934591,0.0053771292917938794,0.8357453544934591,0.0053771292917938794,0.7887920309685524,finetuned,0.8195081551869711,0.016237199306488037,0.75,0.7972676157951355,0.03845272958278656,0.05477675423026085,0.09773782889048259,0.05649673814574877,0.6488913496335348,0.5924314061800638,0.03215418135126432,0.033010089149077736,7.520589669545491,0.5117274522781372,0.45117629567782086,-0.16842917036744828,0.5687780486785087,0.4792606055161196,0.14126939627655574,0.33204134805618146,246836.0,151138.0,95698.0
Roman-empire,iterative_relation_finetune,constant_reliability,accuracy,3,0.8249794046084086,0.004834132090942886,0.8249794046084086,0.004834132090942886,0.7749950644952787,finetuned,0.8195081551869711,0.005471249421437581,0.75,0.8087348739306132,0.03826768944660822,0.05890525380770365,0.09684789180755615,0.03798575419932604,0.4362377276023229,0.5551533102989197,0.021020646672695875,0.021547599229961634,7.691791852315267,0.5837544004122416,0.439423531293869,-0.029691460185485245,0.20411397960262942,0.2019171645143396,0.0978263202298204,nan,246836.0,142562.0,95698.0
Roman-empire,iterative_relation_finetune,fixed,accuracy,3,0.823508620262146,0.005785741688507039,0.823508620262146,0.005785741688507039,0.7725275450122929,fixed_finetuned,0.8195081551869711,0.004000465075174968,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,95698.0,0.0,95698.0
Roman-empire,iterative_relation_finetune,reliability_only,accuracy,3,0.8350982069969177,0.004831976297794738,0.8350982069969177,0.004831976297794738,0.7872626139299158,finetuned,0.8195081551869711,0.015590051809946695,0.75,0.7874690294265747,0.03552480476597945,0.046184372156858444,0.09718706210454305,0.04930713027715683,0.5645607908566793,0.5486223498980204,0.028171308959523838,0.028914039954543114,6.904353936513265,0.4569483498732249,0.4260365664958954,-0.12192659003818664,0.7169410823904411,0.5923848748288854,0.19937070783973346,0.458755315501083,246836.0,142562.0,95698.0
Roman-empire,iterative_relation_finetune,shuffled_reliability,accuracy,3,0.8263324896494547,0.003676767705781452,0.8263324896494547,0.003676767705781452,0.7768465547851732,finetuned,0.8195081551869711,0.006824334462483724,0.75,0.808939258257548,0.03785395001371702,0.059361411879460015,0.09702243407567342,0.041888583761950336,0.48205872376759845,0.564984122912089,0.022243338481833536,0.022765638772398233,7.647500038146973,0.5629783471425375,0.43964966138203937,-0.010436094071300696,0.20702136320408368,0.18064938344632692,0.01801489715814547,-0.14621907484067945,246836.0,142562.0,95698.0
Roman-empire,iterative_relation_frozen,combined,accuracy,3,0.8278032541275024,0.004659129389620327,0.8278032541275024,0.004659129389620327,0.777602405628843,frozen,0.8195081551869711,0.008295098940531412,0.75,0.7666068871816,0.04791756967703501,0.04042742153008779,0.09893673658370972,0.09240653365850449,1.047814130783081,0.5493720769882202,0.05740350236495336,0.058959840486447014,5.662254333496094,0.4968779981136322,0.38963307936986286,0.006625228251349306,0.17234031093673496,0.16190518782851532,0.05145593948504934,0.12862622179606037,151138.0,151138.0,0.0
Roman-empire,iterative_relation_frozen,constant_reliability,accuracy,3,0.822567343711853,0.003747649067511268,0.822567343711853,0.003747649067511268,0.7722860030665077,frozen,0.8195081551869711,0.0030591885248819986,0.75,0.7680515050888062,0.015118606699009737,0.019784799156089623,0.055840492248535156,0.044423492004474006,0.505202958981196,0.26859986285368603,0.027659631023804348,0.028429962694644928,4.874706745147705,0.45224209626515705,0.3379249970118205,0.042260991424304846,0.23214387892575822,0.1977749984918328,0.07752004740076657,nan,151138.0,142562.0,0.0
Roman-empire,iterative_relation_frozen,fixed,accuracy,3,0.8185080488522848,0.006781083538807535,0.8185080488522848,0.006781083538807535,0.7660638199902242,fixed_frozen,0.8185080488522848,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0.0
Roman-empire,iterative_relation_frozen,reliability_only,accuracy,3,0.8294504880905151,0.004623336034745322,0.8294504880905151,0.004623336034745322,0.7808187264621059,frozen,0.8197434743245443,0.009707013765970865,0.75,0.7606247464815775,0.03605071206887563,0.028954656794667244,0.09750543038050334,0.06903833895921707,0.7825307647387186,0.379364679257075,0.04272471368312836,0.04389010245601336,5.330013116200765,0.4952746331691742,0.38376761476198834,0.006722151596136938,0.2823582134357613,0.23297124267121247,-0.01305989091054316,0.1380222789295268,151138.0,142562.0,0.0
Roman-empire,iterative_relation_frozen,shuffled_reliability,accuracy,3,0.8211554288864136,0.00417986240299901,0.8211554288864136,0.00417986240299901,0.7709456664238412,frozen,0.8195081551869711,0.0016472736994425456,0.75,0.7662184635798136,0.01656462283184131,0.018780979017416637,0.06486552953720093,0.040795370315512024,0.463142454624176,0.25936831533908844,0.0253967580695947,0.026105974490443867,4.648307800292969,0.45917338132858276,0.35122589270273846,0.025656196584359758,0.23071382964737977,0.16601166897740957,0.08896116438027288,-0.3053370227838107,151138.0,142562.0,0.0
