dataset,router,status,status_detail,edge_protocol,run,split,seed,oof_folds,best_epoch,best_val_balanced_accuracy,best_val_preference_auc,decision_threshold,train_preference_count,train_local_preference_count,train_global_preference_count,train_preference_auc,train_balanced_accuracy,train_routing_accuracy,val_preference_count,val_local_preference_count,val_global_preference_count,val_preference_auc,val_balanced_accuracy,val_routing_accuracy,test_preference_count,test_local_preference_count,test_global_preference_count,test_preference_auc,test_balanced_accuracy,test_routing_accuracy,test_routed_node_accuracy,validation_majority_choice,test_majority_routing_accuracy,test_majority_balanced_accuracy,test_majority_routed_node_accuracy,local_expert_test_accuracy,global_expert_test_accuracy,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,router_epochs,patience,data_fingerprint,preprocess_code_hash,oof_cache_hit,elapsed_sec
Actor,reliability_only,ok,,undirected,0:0,0,0,5,-1,0.5458235140089028,0.5304480885048442,0.5862932801246643,1041,420,621,0.5280979219385017,0.5207326892109501,0.5408261287223823,706,304,402,0.5304480885048442,0.5458235140089028,0.5594900849858357,479,204,275,0.5230926916221033,0.5174242424242425,0.5323590814196242,0.34473684430122375,global,0.5741127348643006,0.5,0.35789474844932556,0.31118422746658325,0.35789474844932556,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,500,300,100,b9e1e067010d32c1abc894d5b53684da37fe0c3000d6c6089eb99475573861a0,9f9d1ce40cab8e6e,False,71.09613919258118
Actor,node_feature_only,ok,,undirected,0:0,0,0,5,-1,0.5449397748101596,0.5439701165226498,0.5803939700126648,1041,420,621,0.5151809677171997,0.5011617207269381,0.521613832853026,706,304,402,0.5439701165226498,0.5449397748101596,0.556657223796034,479,204,275,0.49963458110516934,0.5010606060606061,0.5135699373695198,0.3388158082962036,global,0.5741127348643006,0.5,0.35789474844932556,0.31118422746658325,0.35789474844932556,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,500,300,100,b9e1e067010d32c1abc894d5b53684da37fe0c3000d6c6089eb99475573861a0,9f9d1ce40cab8e6e,False,74.57960653305054
Actor,combined,ok,,undirected,0:0,0,0,5,11,0.5272486252945797,0.48399859256349825,0.32135236263275146,1041,420,621,0.8774097078444905,0.6116689671037497,0.5408261287223823,706,304,402,0.48399859256349825,0.5272486252945797,0.471671388101983,479,204,275,0.5602673796791444,0.4953297682709447,0.4321503131524008,0.31315791606903076,global,0.5741127348643006,0.5,0.35789474844932556,0.31118422746658325,0.35789474844932556,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,500,300,100,b9e1e067010d32c1abc894d5b53684da37fe0c3000d6c6089eb99475573861a0,9f9d1ce40cab8e6e,False,78.30491471290588
Actor,reliability_only,ok,,undirected,1:0,1,0,5,-1,0.5436206946370781,0.534500693481276,0.6015910506248474,1095,436,659,0.5547256755439852,0.5421196976235887,0.5908675799086758,757,309,448,0.534500693481276,0.5436206946370781,0.5852047556142669,441,186,255,0.5454353784524563,0.515022137887413,0.5510204081632653,0.3276315927505493,global,0.5782312925170068,0.5,0.33552631735801697,0.2901315987110138,0.33552631735801697,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,500,300,100,b9e1e067010d32c1abc894d5b53684da37fe0c3000d6c6089eb99475573861a0,9f9d1ce40cab8e6e,False,69.20698118209839
Actor,node_feature_only,ok,,undirected,1:0,1,0,5,4,0.5646418458159963,0.5515343273231622,0.5343859791755676,1095,436,659,0.811989252551127,0.7230408876390417,0.708675799086758,757,309,448,0.5515343273231622,0.5646418458159963,0.5548216644649934,441,186,255,0.5476597090449082,0.5351992409867172,0.5306122448979592,0.3217105269432068,global,0.5782312925170068,0.5,0.33552631735801697,0.2901315987110138,0.33552631735801697,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,500,300,100,b9e1e067010d32c1abc894d5b53684da37fe0c3000d6c6089eb99475573861a0,9f9d1ce40cab8e6e,False,72.64211201667786
Actor,combined,ok,,undirected,1:0,1,0,5,19,0.5487965210355987,0.5312066574202496,0.39502987265586853,1095,436,659,0.9473329760131419,0.8692208099567039,0.8575342465753425,757,309,448,0.5312066574202496,0.5487965210355987,0.5455746367239102,441,186,255,0.5305819101834282,0.5277988614800759,0.5170068027210885,0.31776317954063416,global,0.5782312925170068,0.5,0.33552631735801697,0.2901315987110138,0.33552631735801697,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,500,300,100,b9e1e067010d32c1abc894d5b53684da37fe0c3000d6c6089eb99475573861a0,9f9d1ce40cab8e6e,False,76.52578258514404
Actor,reliability_only,ok,,undirected,2:0,2,0,5,0,0.5449139207700852,0.5322874244107121,0.5054912567138672,1060,426,634,0.5177426282193688,0.4946201922364894,0.46132075471698114,734,296,438,0.5322874244107121,0.5449139207700852,0.5163487738419619,442,167,275,0.5217419706042461,0.5293413173652695,0.497737556561086,0.3348684310913086,global,0.6221719457013575,0.5,0.37105265259742737,0.30000001192092896,0.37105265259742737,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,500,300,100,b9e1e067010d32c1abc894d5b53684da37fe0c3000d6c6089eb99475573861a0,9f9d1ce40cab8e6e,False,71.87726950645447
Actor,node_feature_only,ok,,undirected,2:0,2,0,5,8,0.5342002961865976,0.5218746143403677,0.45302873849868774,1060,426,634,0.8612950045171129,0.7902097125338784,0.7877358490566038,734,296,438,0.5218746143403677,0.5342002961865976,0.5395095367847411,442,167,275,0.5197822536744692,0.5258356015242243,0.5475113122171946,0.34934210777282715,global,0.6221719457013575,0.5,0.37105265259742737,0.30000001192092896,0.37105265259742737,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,500,300,100,b9e1e067010d32c1abc894d5b53684da37fe0c3000d6c6089eb99475573861a0,9f9d1ce40cab8e6e,False,75.48635458946228
Actor,combined,ok,,undirected,2:0,2,0,5,200,0.5533290139454523,0.5441811674688387,0.11721374839544296,1060,426,634,0.9999611232061137,0.9921135646687698,0.9905660377358491,734,296,438,0.5441811674688387,0.5533290139454523,0.5544959128065395,442,167,275,0.5238432226456179,0.4858356015242243,0.497737556561086,0.3348684310913086,global,0.6221719457013575,0.5,0.37105265259742737,0.30000001192092896,0.37105265259742737,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,500,300,100,b9e1e067010d32c1abc894d5b53684da37fe0c3000d6c6089eb99475573861a0,9f9d1ce40cab8e6e,False,85.09240412712097
Actor,reliability_only,ok,,undirected,3:0,3,0,5,1,0.5464705882352942,0.514075878872259,0.4641261100769043,1141,466,675,0.5096455253536799,0.5194913368303926,0.48729184925503943,767,325,442,0.514075878872259,0.5464705882352942,0.5228161668839635,485,208,277,0.5802641627325742,0.5410910163843377,0.5175257731958763,0.33355265855789185,global,0.5711340206185567,0.5,0.3506579101085663,0.3052631616592407,0.3506579101085663,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,500,300,100,b9e1e067010d32c1abc894d5b53684da37fe0c3000d6c6089eb99475573861a0,9f9d1ce40cab8e6e,False,66.25774502754211
