dataset,router,status,status_detail,edge_protocol,run,split,seed,oof_folds,best_epoch,best_val_balanced_accuracy,best_val_preference_auc,decision_threshold,train_preference_count,train_local_preference_count,train_global_preference_count,train_preference_auc,train_balanced_accuracy,train_routing_accuracy,val_preference_count,val_local_preference_count,val_global_preference_count,val_preference_auc,val_balanced_accuracy,val_routing_accuracy,test_preference_count,test_local_preference_count,test_global_preference_count,test_preference_auc,test_balanced_accuracy,test_routing_accuracy,test_routed_node_accuracy,validation_majority_choice,test_majority_routing_accuracy,test_majority_balanced_accuracy,test_majority_routed_node_accuracy,local_expert_test_accuracy,global_expert_test_accuracy,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,router_epochs,patience,data_fingerprint,preprocess_code_hash,oof_cache_hit,elapsed_sec
Amazon-ratings,reliability_only,ok,,undirected,0:0,0,0,5,4,0.545818621259356,0.5549902444461998,0.4322815239429474,2993,1418,1575,0.5600626860993574,0.5432623637137036,0.5349148012028065,2346,1027,1319,0.5549902444461998,0.545818621259356,0.5277067348678602,2345,1017,1328,0.5677799694352632,0.5407259569250453,0.5232409381663113,0.4045402407646179,global,0.5663113006396588,0.5,0.42103543877601624,0.3702433407306671,0.42103543877601624,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,500,300,100,41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,False,191.7481427192688
Amazon-ratings,node_feature_only,ok,,undirected,0:0,0,0,5,147,0.5399018022121447,0.5391536180444156,0.43621009588241577,2993,1418,1575,0.9179781494167953,0.8143058633890792,0.8105579685933846,2346,1027,1319,0.5391536180444156,0.5399018022121447,0.5302642796248934,2345,1017,1328,0.531325153119854,0.5374988153202782,0.5279317697228145,0.4063367545604706,global,0.5663113006396588,0.5,0.42103543877601624,0.3702433407306671,0.42103543877601624,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,500,300,100,41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,False,200.11796498298645
Amazon-ratings,combined,ok,,undirected,0:0,0,0,5,13,0.546446844966053,0.5522514548435605,0.46099916100502014,2993,1418,1575,0.593225423690868,0.5582783710569325,0.5476110925492816,2346,1027,1319,0.5522514548435605,0.546446844966053,0.5234441602728048,2345,1017,1328,0.559898147160915,0.5454994757792231,0.5223880597014925,0.4042136073112488,global,0.5663113006396588,0.5,0.42103543877601624,0.3702433407306671,0.42103543877601624,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,500,300,100,41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,False,204.21271967887878
Amazon-ratings,reliability_only,ok,,undirected,1:0,1,0,5,8,0.5598342738342739,0.568854172854173,0.5555601119995117,3654,1937,1717,0.5883026457463688,0.5512828530871552,0.5377668308702791,1837,875,962,0.568854172854173,0.5598342738342739,0.5694066412629287,1811,904,907,0.5800442233952249,0.5429671873627928,0.5433462175593595,0.43655070662498474,global,0.5008282716731087,0.5,0.4239751696586609,0.4234852194786072,0.4239751696586609,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,500,300,100,41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,False,289.0056474208832
Amazon-ratings,node_feature_only,ok,,undirected,1:0,1,0,5,274,0.5882886842886843,0.5902055242055242,0.33637768030166626,3654,1937,1717,0.9959671708918287,0.9565902215658111,0.9586754241926656,1837,875,962,0.5902055242055242,0.5882886842886843,0.5846488840500816,1811,904,907,0.5855453161741031,0.5639074406533257,0.5637769188293761,0.4425934851169586,global,0.5008282716731087,0.5,0.4239751696586609,0.4234852194786072,0.4239751696586609,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,500,300,100,41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,False,298.9678168296814
Amazon-ratings,combined,ok,,undirected,1:0,1,0,5,2,0.5578728838728839,0.5761461241461241,0.4369576871395111,3654,1937,1717,0.5746564240073678,0.546238697178959,0.5552818828680898,1837,875,962,0.5761461241461241,0.5578728838728839,0.5508982035928144,1811,904,907,0.5851294259983804,0.548008483671737,0.5477636664826063,0.4378572404384613,global,0.5008282716731087,0.5,0.4239751696586609,0.4234852194786072,0.4239751696586609,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,500,300,100,41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,False,302.6238784790039
Amazon-ratings,reliability_only,ok,,undirected,2:0,2,0,5,9,0.5731141792479606,0.5777652142863682,0.536598801612854,3131,1488,1643,0.5716693172075733,0.5437905761817813,0.5499840306611307,1870,914,956,0.5777652142863682,0.5731141792479606,0.5759358288770053,1885,956,929,0.576818101976751,0.556434687048205,0.5549071618037136,0.4362240731716156,global,0.49283819628647213,0.5,0.4171157777309418,0.42152538895606995,0.4171157777309418,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,500,300,100,41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,False,234.667875289917
Amazon-ratings,node_feature_only,ok,,undirected,2:0,2,0,5,272,0.5616170586781173,0.5484616335387236,0.1984490305185318,3131,1488,1643,0.996171849946662,0.9167300669506999,0.9128074097732354,1870,914,956,0.5484616335387236,0.5616170586781173,0.5588235294117647,1885,956,929,0.547349244024483,0.5330032743175502,0.5347480106100796,0.43001794815063477,global,0.49283819628647213,0.5,0.4171157777309418,0.42152538895606995,0.4171157777309418,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,500,300,100,41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,False,244.71604299545288
Amazon-ratings,combined,ok,,undirected,2:0,2,0,5,14,0.566884950971865,0.5778802312699706,0.5054248571395874,3131,1488,1643,0.5894152612255316,0.5685040068979509,0.569466624081763,1870,914,956,0.5778802312699706,0.566884950971865,0.567379679144385,1885,956,929,0.5823218379415487,0.5604183650030852,0.560212201591512,0.4378572404384613,global,0.49283819628647213,0.5,0.4171157777309418,0.42152538895606995,0.4171157777309418,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,500,300,100,41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,False,248.6433825492859
Amazon-ratings,reliability_only,ok,,undirected,3:0,3,0,5,2,0.5583599116424056,0.5651579036846328,0.47616443037986755,3497,1767,1730,0.5323229993686435,0.5205540889329421,0.5190162996854447,1856,879,977,0.5651579036846328,0.5583599116424056,0.5646551724137931,1829,917,912,0.5642852359907402,0.532286106487593,0.5319846910880263,0.4213620722293854,global,0.4986331328594861,0.5,0.41139963269233704,0.4122162163257599,0.41139963269233704,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,500,300,100,41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,False,246.22404050827026
Amazon-ratings,node_feature_only,ok,,undirected,3:0,3,0,5,-1,0.5331294401496071,0.5181518497688008,0.5885939598083496,3497,1767,1730,0.5139693350474825,0.513375761798679,0.5132971118101229,1856,879,977,0.5181518497688008,0.5331294401496071,0.5328663793103449,1829,917,912,0.5019771518490883,0.5117678499684326,0.5117550574084199,0.4153192937374115,global,0.4986331328594861,0.5,0.41139963269233704,0.4122162163257599,0.41139963269233704,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,500,300,100,41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,False,249.87502145767212
Amazon-ratings,combined,ok,,undirected,3:0,3,0,5,5,0.5634572412355624,0.564856314109618,0.49826735258102417,3497,1767,1730,0.5537205871288327,0.53832824649728,0.5390334572490706,1856,879,977,0.564856314109618,0.5634572412355624,0.5587284482758621,1829,917,912,0.5542266926859133,0.5508947703227534,0.5511208310552215,0.4270782172679901,global,0.4986331328594861,0.5,0.41139963269233704,0.4122162163257599,0.41139963269233704,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,500,300,100,41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,False,253.53903222084045
Amazon-ratings,reliability_only,ok,,undirected,4:0,4,0,5,3,0.5603113821363658,0.561547885843356,0.423968642950058,2824,1363,1461,0.5539422389814311,0.5315761774842405,0.5279745042492918,1783,854,929,0.561547885843356,0.5603113821363658,0.5558048233314639,1838,861,977,0.5736527828796346,0.5572131141694514,0.5505984766050055,0.43426424264907837,global,0.5315560391730142,0.5,0.42854809761047363,0.4096031188964844,0.42854809761047363,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,500,300,100,41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,False,212.75204467773438
Amazon-ratings,node_feature_only,ok,,undirected,4:0,4,0,5,297,0.5606283858899928,0.5629154765896194,0.27925190329551697,2824,1363,1461,0.9986127452678921,0.9771912724226817,0.976628895184136,1783,854,929,0.5629154765896194,0.5606283858899928,0.559730790802019,1838,861,977,0.5333275083006715,0.5318944313876535,0.5310119695321001,0.42838478088378906,global,0.5315560391730142,0.5,0.42854809761047363,0.4096031188964844,0.42854809761047363,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,500,300,100,41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,False,222.857182264328
Amazon-ratings,combined,ok,,undirected,4:0,4,0,5,1,0.5682547525353998,0.570754229447695,0.4672478437423706,2824,1363,1461,0.5478636779299197,0.5346514889700067,0.5357648725212465,1783,854,929,0.570754229447695,0.5682547525353998,0.5703869882220975,1838,861,977,0.5663619817949898,0.5657081515982582,0.5701849836779108,0.4401437044143677,global,0.5315560391730142,0.5,0.42854809761047363,0.4096031188964844,0.42854809761047363,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,500,300,100,41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,False,226.60288739204407
Amazon-ratings,reliability_only,ok,,undirected,5:0,5,0,5,2,0.5652887139107612,0.5311543088363955,0.43664178252220154,3015,1460,1555,0.5474087125049553,0.5432497907765493,0.5393034825870647,542,288,254,0.5311543088363955,0.5652887139107612,0.566420664206642,584,273,311,0.4822091092187555,0.5101233171972722,0.5068493150684932,0.36534377932548523,local,0.4674657534246575,0.5,0.3615874648094177,0.3615874648094177,0.36779356002807617,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,500,300,100,41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,False,182.13067984580994
