dataset,router,status,status_detail,edge_protocol,run,split,seed,oof_folds,best_epoch,best_val_balanced_accuracy,best_val_preference_auc,decision_threshold,train_preference_count,train_local_preference_count,train_global_preference_count,train_preference_auc,train_balanced_accuracy,train_routing_accuracy,val_preference_count,val_local_preference_count,val_global_preference_count,val_preference_auc,val_balanced_accuracy,val_routing_accuracy,test_preference_count,test_local_preference_count,test_global_preference_count,test_preference_auc,test_balanced_accuracy,test_routing_accuracy,test_routed_node_accuracy,validation_majority_choice,test_majority_routing_accuracy,test_majority_balanced_accuracy,test_majority_routed_node_accuracy,local_expert_test_accuracy,global_expert_test_accuracy,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,router_epochs,patience,data_fingerprint,preprocess_code_hash,oof_cache_hit,elapsed_sec
Chameleon,reliability_only,ok,,undirected,0:0,0,0,5,214,0.6957391064533922,0.6801227247655819,0.460932195186615,420,312,108,0.9356303418803419,0.8541666666666666,0.8238095238095238,270,196,74,0.6801227247655819,0.6957391064533922,0.6925925925925925,168,125,43,0.6909767441860466,0.6114418604651162,0.6488095238095238,0.6162281036376953,local,0.7440476190476191,0.5,0.6513158082962036,0.6513158082962036,0.4714912176132202,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,500,300,100,abec22f7a6e6818e16d1c945b3e711867850e016842f545f7a0b18cdff6376fd,9f9d1ce40cab8e6e,False,123.10985136032104
Chameleon,node_feature_only,ok,,undirected,0:0,0,0,5,4,0.6351351351351351,0.6290678433535576,0.6248697638511658,420,312,108,0.9880846391263057,0.907051282051282,0.861904761904762,270,196,74,0.6290678433535576,0.6351351351351351,0.5740740740740741,168,125,43,0.5173023255813953,0.48493023255813955,0.5059523809523809,0.5635964870452881,local,0.7440476190476191,0.5,0.6513158082962036,0.6513158082962036,0.4714912176132202,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,500,300,100,abec22f7a6e6818e16d1c945b3e711867850e016842f545f7a0b18cdff6376fd,9f9d1ce40cab8e6e,False,126.56486511230469
Chameleon,combined,ok,,undirected,0:0,0,0,5,44,0.695876999448428,0.7092526199669057,0.8484416604042053,420,312,108,0.9989613010446343,0.9793447293447293,0.9738095238095238,270,196,74,0.7092526199669057,0.695876999448428,0.7111111111111111,168,125,43,0.6126511627906976,0.5769302325581396,0.6428571428571429,0.6140350699424744,local,0.7440476190476191,0.5,0.6513158082962036,0.6513158082962036,0.4714912176132202,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,500,300,100,abec22f7a6e6818e16d1c945b3e711867850e016842f545f7a0b18cdff6376fd,9f9d1ce40cab8e6e,False,131.26358723640442
Chameleon,reliability_only,ok,,undirected,1:0,1,0,5,2,0.6192310514344412,0.5725291657495049,0.5657554864883423,412,293,119,0.6766283305130927,0.6090716149941205,0.4830097087378641,254,177,77,0.5725291657495049,0.6192310514344412,0.5,164,123,41,0.6702359706523895,0.6097560975609756,0.47560975609756095,0.5657894611358643,local,0.75,0.5,0.6644737124443054,0.6644737124443054,0.484649121761322,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,500,300,100,abec22f7a6e6818e16d1c945b3e711867850e016842f545f7a0b18cdff6376fd,9f9d1ce40cab8e6e,False,113.28297257423401
Chameleon,node_feature_only,ok,,undirected,1:0,1,0,5,0,0.6017316017316017,0.5920463717073886,0.43953678011894226,412,293,119,0.911865087331861,0.7367998393896809,0.6504854368932039,254,177,77,0.5920463717073886,0.6017316017316017,0.49606299212598426,164,123,41,0.6086654768986715,0.5934959349593496,0.43902439024390244,0.5526315569877625,local,0.75,0.5,0.6644737124443054,0.6644737124443054,0.484649121761322,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,500,300,100,abec22f7a6e6818e16d1c945b3e711867850e016842f545f7a0b18cdff6376fd,9f9d1ce40cab8e6e,False,116.52055978775024
Chameleon,combined,ok,,undirected,1:0,1,0,5,1,0.6155624036979969,0.5910925232959131,0.574941098690033,412,293,119,0.7745719448188833,0.6556772879800384,0.5315533980582524,254,177,77,0.5910925232959131,0.6155624036979969,0.5,164,123,41,0.7019631171921474,0.6382113821138211,0.5060975609756098,0.5767543911933899,local,0.75,0.5,0.6644737124443054,0.6644737124443054,0.484649121761322,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,500,300,100,abec22f7a6e6818e16d1c945b3e711867850e016842f545f7a0b18cdff6376fd,9f9d1ce40cab8e6e,False,119.95647716522217
Chameleon,reliability_only,ok,,undirected,2:0,2,0,5,3,0.6787878787878787,0.6965488215488216,0.4545188844203949,431,312,119,0.6814802844214609,0.6366758241758241,0.665893271461717,301,220,81,0.6965488215488216,0.6787878787878787,0.6843853820598007,173,124,49,0.7425938117182357,0.6445852534562212,0.6763005780346821,0.6140350699424744,local,0.7167630057803468,0.5,0.6293859481811523,0.6293859481811523,0.4649122953414917,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,500,300,100,abec22f7a6e6818e16d1c945b3e711867850e016842f545f7a0b18cdff6376fd,9f9d1ce40cab8e6e,False,103.10701131820679
Chameleon,node_feature_only,ok,,undirected,2:0,2,0,5,1,0.5905162738496071,0.5743827160493827,0.4864853620529175,431,312,119,0.9740896358543418,0.8355419090713209,0.765661252900232,301,220,81,0.5743827160493827,0.5905162738496071,0.4983388704318937,173,124,49,0.6107636603028308,0.6197333772218565,0.5433526011560693,0.5635964870452881,local,0.7167630057803468,0.5,0.6293859481811523,0.6293859481811523,0.4649122953414917,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,500,300,100,abec22f7a6e6818e16d1c945b3e711867850e016842f545f7a0b18cdff6376fd,9f9d1ce40cab8e6e,False,106.46944975852966
Chameleon,combined,ok,,undirected,2:0,2,0,5,8,0.6638608305274971,0.6618406285072952,0.550391674041748,431,312,119,0.9503070458952811,0.8806695755225167,0.8723897911832946,301,220,81,0.6618406285072952,0.6638608305274971,0.6511627906976745,173,124,49,0.694700460829493,0.636520737327189,0.6647398843930635,0.609649121761322,local,0.7167630057803468,0.5,0.6293859481811523,0.6293859481811523,0.4649122953414917,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,500,300,100,abec22f7a6e6818e16d1c945b3e711867850e016842f545f7a0b18cdff6376fd,9f9d1ce40cab8e6e,False,110.12770295143127
Chameleon,reliability_only,ok,,undirected,3:0,3,0,5,46,0.6728340490022733,0.6627304874968427,0.5716935396194458,421,317,104,0.773386314001456,0.7024083960203834,0.6199524940617577,288,214,74,0.6627304874968427,0.6728340490022733,0.5729166666666666,172,113,59,0.5650217489125543,0.560221988900555,0.5232558139534884,0.5855263471603394,local,0.6569767441860465,0.5,0.6359649300575256,0.6359649300575256,0.5175438523292542,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,500,300,100,abec22f7a6e6818e16d1c945b3e711867850e016842f545f7a0b18cdff6376fd,9f9d1ce40cab8e6e,False,110.84163165092468
