dataset,router,status,status_detail,edge_protocol,run,split,seed,oof_folds,best_epoch,best_val_balanced_accuracy,best_val_preference_auc,decision_threshold,train_preference_count,train_local_preference_count,train_global_preference_count,train_preference_auc,train_balanced_accuracy,train_routing_accuracy,val_preference_count,val_local_preference_count,val_global_preference_count,val_preference_auc,val_balanced_accuracy,val_routing_accuracy,test_preference_count,test_local_preference_count,test_global_preference_count,test_preference_auc,test_balanced_accuracy,test_routing_accuracy,test_routed_node_accuracy,validation_majority_choice,test_majority_routing_accuracy,test_majority_balanced_accuracy,test_majority_routed_node_accuracy,local_expert_test_accuracy,global_expert_test_accuracy,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,router_epochs,patience,data_fingerprint,preprocess_code_hash,oof_cache_hit,elapsed_sec
Minesweeper,reliability_only,ok,,undirected,0:0,0,0,5,1,0.7571428571428571,0.6928571428571428,0.5377485156059265,64,30,34,0.5808823529411765,0.5254901960784314,0.53125,24,14,10,0.6928571428571428,0.7571428571428571,0.75,22,12,10,0.49166666666666664,0.5416666666666667,0.5454545454545454,0.8007999658584595,local,0.5454545454545454,0.5,0.8007999658584595,0.8007999658584595,0.7999999523162842,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,500,300,100,bc9ce8460d0bd5cf0eafdbd10bc072ab8fb6095b8903fed262cd5be2d3061fba,9f9d1ce40cab8e6e,False,68.55854296684265
Minesweeper,node_feature_only,ok,,undirected,0:0,0,0,5,2,0.6571428571428571,0.6357142857142858,0.4320928752422333,64,30,34,0.6544117647058822,0.603921568627451,0.59375,24,14,10,0.6357142857142858,0.6571428571428571,0.6666666666666666,22,12,10,0.6666666666666666,0.5833333333333333,0.5909090909090909,0.8011999726295471,local,0.5454545454545454,0.5,0.8007999658584595,0.8007999658584595,0.7999999523162842,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,500,300,100,bc9ce8460d0bd5cf0eafdbd10bc072ab8fb6095b8903fed262cd5be2d3061fba,9f9d1ce40cab8e6e,False,71.85542130470276
Minesweeper,combined,ok,,undirected,0:0,0,0,5,1,0.6642857142857144,0.5428571428571429,0.45778679847717285,64,30,34,0.6784313725490196,0.5872549019607842,0.578125,24,14,10,0.5428571428571429,0.6642857142857144,0.7083333333333334,22,12,10,0.675,0.6583333333333333,0.6818181818181818,0.8019999861717224,local,0.5454545454545454,0.5,0.8007999658584595,0.8007999658584595,0.7999999523162842,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,500,300,100,bc9ce8460d0bd5cf0eafdbd10bc072ab8fb6095b8903fed262cd5be2d3061fba,9f9d1ce40cab8e6e,False,75.19249415397644
Minesweeper,reliability_only,insufficient_validation_labels,validation preference labels do not contain both classes,undirected,1:0,1,0,5,-1,nan,nan,nan,20,13,7,nan,nan,nan,4,4,0,nan,nan,nan,5,3,2,nan,nan,nan,nan,local,0.6,0.5,0.8003999590873718,0.8003999590873718,0.7999999523162842,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,500,300,100,bc9ce8460d0bd5cf0eafdbd10bc072ab8fb6095b8903fed262cd5be2d3061fba,9f9d1ce40cab8e6e,False,55.89951276779175
Minesweeper,node_feature_only,insufficient_validation_labels,validation preference labels do not contain both classes,undirected,1:0,1,0,5,-1,nan,nan,nan,20,13,7,nan,nan,nan,4,4,0,nan,nan,nan,5,3,2,nan,nan,nan,nan,local,0.6,0.5,0.8003999590873718,0.8003999590873718,0.7999999523162842,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,500,300,100,bc9ce8460d0bd5cf0eafdbd10bc072ab8fb6095b8903fed262cd5be2d3061fba,9f9d1ce40cab8e6e,False,55.97908115386963
Minesweeper,combined,insufficient_validation_labels,validation preference labels do not contain both classes,undirected,1:0,1,0,5,-1,nan,nan,nan,20,13,7,nan,nan,nan,4,4,0,nan,nan,nan,5,3,2,nan,nan,nan,nan,local,0.6,0.5,0.8003999590873718,0.8003999590873718,0.7999999523162842,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,500,300,100,bc9ce8460d0bd5cf0eafdbd10bc072ab8fb6095b8903fed262cd5be2d3061fba,9f9d1ce40cab8e6e,False,56.05878162384033
Minesweeper,reliability_only,ok,,undirected,2:0,2,0,5,5,0.5833333333333334,0.16666666666666666,0.5405852198600769,30,18,12,0.9166666666666667,0.6944444444444444,0.6333333333333333,7,6,1,0.16666666666666666,0.5833333333333334,0.2857142857142857,5,3,2,0.6666666666666666,0.6666666666666666,0.6,0.8003999590873718,local,0.6,0.5,0.8003999590873718,0.8003999590873718,0.7999999523162842,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,500,300,100,bc9ce8460d0bd5cf0eafdbd10bc072ab8fb6095b8903fed262cd5be2d3061fba,9f9d1ce40cab8e6e,False,65.7170639038086
Minesweeper,node_feature_only,ok,,undirected,2:0,2,0,5,3,0.75,0.6666666666666667,0.5604849457740784,30,18,12,0.5925925925925926,0.5694444444444444,0.5666666666666667,7,6,1,0.6666666666666667,0.75,0.5714285714285714,5,3,2,0.16666666666666666,0.5,0.4,0.7999999523162842,local,0.6,0.5,0.8003999590873718,0.8003999590873718,0.7999999523162842,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,500,300,100,bc9ce8460d0bd5cf0eafdbd10bc072ab8fb6095b8903fed262cd5be2d3061fba,9f9d1ce40cab8e6e,False,69.06676506996155
Minesweeper,combined,ok,,undirected,2:0,2,0,5,19,0.9166666666666667,0.8333333333333334,0.3982950448989868,30,18,12,0.9305555555555555,0.8611111111111112,0.8666666666666667,7,6,1,0.8333333333333334,0.9166666666666667,0.8571428571428571,5,3,2,0.16666666666666666,0.41666666666666663,0.4,0.7999999523162842,local,0.6,0.5,0.8003999590873718,0.8003999590873718,0.7999999523162842,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,500,300,100,bc9ce8460d0bd5cf0eafdbd10bc072ab8fb6095b8903fed262cd5be2d3061fba,9f9d1ce40cab8e6e,False,73.09972023963928
Minesweeper,reliability_only,insufficient_validation_labels,validation preference labels do not contain both classes,undirected,3:0,3,0,5,-1,nan,nan,nan,10,8,2,nan,nan,nan,3,3,0,nan,nan,nan,1,1,0,nan,nan,nan,nan,local,1.0,nan,0.8003999590873718,0.8003999590873718,0.7999999523162842,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,500,300,100,bc9ce8460d0bd5cf0eafdbd10bc072ab8fb6095b8903fed262cd5be2d3061fba,9f9d1ce40cab8e6e,False,55.51233458518982
Minesweeper,node_feature_only,insufficient_validation_labels,validation preference labels do not contain both classes,undirected,3:0,3,0,5,-1,nan,nan,nan,10,8,2,nan,nan,nan,3,3,0,nan,nan,nan,1,1,0,nan,nan,nan,nan,local,1.0,nan,0.8003999590873718,0.8003999590873718,0.7999999523162842,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,500,300,100,bc9ce8460d0bd5cf0eafdbd10bc072ab8fb6095b8903fed262cd5be2d3061fba,9f9d1ce40cab8e6e,False,55.59194278717041
Minesweeper,combined,insufficient_validation_labels,validation preference labels do not contain both classes,undirected,3:0,3,0,5,-1,nan,nan,nan,10,8,2,nan,nan,nan,3,3,0,nan,nan,nan,1,1,0,nan,nan,nan,nan,local,1.0,nan,0.8003999590873718,0.8003999590873718,0.7999999523162842,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,500,300,100,bc9ce8460d0bd5cf0eafdbd10bc072ab8fb6095b8903fed262cd5be2d3061fba,9f9d1ce40cab8e6e,False,55.67178654670715
Minesweeper,reliability_only,insufficient_validation_labels,validation preference labels do not contain both classes,undirected,4:0,4,0,5,-1,nan,nan,nan,18,12,6,nan,nan,nan,5,5,0,nan,nan,nan,2,2,0,nan,nan,nan,nan,local,1.0,nan,0.8007999658584595,0.8007999658584595,0.7999999523162842,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,500,300,100,bc9ce8460d0bd5cf0eafdbd10bc072ab8fb6095b8903fed262cd5be2d3061fba,9f9d1ce40cab8e6e,False,55.973671197891235
Minesweeper,node_feature_only,insufficient_validation_labels,validation preference labels do not contain both classes,undirected,4:0,4,0,5,-1,nan,nan,nan,18,12,6,nan,nan,nan,5,5,0,nan,nan,nan,2,2,0,nan,nan,nan,nan,local,1.0,nan,0.8007999658584595,0.8007999658584595,0.7999999523162842,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,500,300,100,bc9ce8460d0bd5cf0eafdbd10bc072ab8fb6095b8903fed262cd5be2d3061fba,9f9d1ce40cab8e6e,False,56.05331826210022
Minesweeper,combined,insufficient_validation_labels,validation preference labels do not contain both classes,undirected,4:0,4,0,5,-1,nan,nan,nan,18,12,6,nan,nan,nan,5,5,0,nan,nan,nan,2,2,0,nan,nan,nan,nan,local,1.0,nan,0.8007999658584595,0.8007999658584595,0.7999999523162842,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,500,300,100,bc9ce8460d0bd5cf0eafdbd10bc072ab8fb6095b8903fed262cd5be2d3061fba,9f9d1ce40cab8e6e,False,56.13302993774414
Minesweeper,reliability_only,ok,,undirected,5:0,5,0,5,0,0.7638888888888888,0.6388888888888888,0.5494915246963501,65,33,32,0.5833333333333333,0.5525568181818181,0.5538461538461539,13,9,4,0.6388888888888888,0.7638888888888888,0.7692307692307693,17,8,9,0.5555555555555556,0.4583333333333333,0.47058823529411764,0.7996000051498413,local,0.47058823529411764,0.5,0.7996000051498413,0.7996000051498413,0.7999999523162842,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,500,300,100,bc9ce8460d0bd5cf0eafdbd10bc072ab8fb6095b8903fed262cd5be2d3061fba,9f9d1ce40cab8e6e,False,62.30746531486511
