dataset,router,status,status_detail,edge_protocol,run,split,seed,oof_folds,best_epoch,best_val_balanced_accuracy,best_val_preference_auc,decision_threshold,train_preference_count,train_local_preference_count,train_global_preference_count,train_preference_auc,train_balanced_accuracy,train_routing_accuracy,val_preference_count,val_local_preference_count,val_global_preference_count,val_preference_auc,val_balanced_accuracy,val_routing_accuracy,test_preference_count,test_local_preference_count,test_global_preference_count,test_preference_auc,test_balanced_accuracy,test_routing_accuracy,test_routed_node_accuracy,validation_majority_choice,test_majority_routing_accuracy,test_majority_balanced_accuracy,test_majority_routed_node_accuracy,local_expert_test_accuracy,global_expert_test_accuracy,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,router_epochs,patience,data_fingerprint,preprocess_code_hash,oof_cache_hit,elapsed_sec
Roman-empire,reliability_only,ok,,undirected,0:0,0,0,5,31,0.6518879207244148,0.6936950594735336,0.5169413089752197,4635,763,3872,0.7162607773794178,0.655455405207803,0.6379719525350593,2377,426,1951,0.6936950594735336,0.6518879207244148,0.642406394615061,2371,414,1957,0.698242898649466,0.6483563277124851,0.6364403205398566,0.5811859965324402,global,0.8253901307465205,0.5,0.6602541208267212,0.38792797923088074,0.6602541208267212,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,500,300,100,6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,False,207.03683352470398
Roman-empire,node_feature_only,ok,,undirected,0:0,0,0,5,39,0.7162674492194926,0.7701172866689288,0.5281491875648499,4635,763,3872,0.8264439115929941,0.7532098583234947,0.683495145631068,2377,426,1951,0.7701172866689288,0.7162674492194926,0.659234328986117,2371,414,1957,0.7706609989163142,0.7043531334315809,0.654997891185154,0.5889516472816467,global,0.8253901307465205,0.5,0.6602541208267212,0.38792797923088074,0.6602541208267212,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,500,300,100,6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,False,211.7144923210144
Roman-empire,combined,ok,,undirected,0:0,0,0,5,65,0.7798137707158722,0.8448682871189206,0.3305923342704773,4635,763,3872,0.9495825796388765,0.8639406621318632,0.792017259978425,2377,426,1951,0.8448682871189206,0.7798137707158722,0.7454774926377787,2371,414,1957,0.8537974667920681,0.7701068133962315,0.7368199072121467,0.6231909394264221,global,0.8253901307465205,0.5,0.6602541208267212,0.38792797923088074,0.6602541208267212,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,500,300,100,6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,False,217.4295175075531
Roman-empire,reliability_only,ok,,undirected,1:0,1,0,5,100,0.6404578877005347,0.680177193828351,0.49503642320632935,4831,671,4160,0.755512366731629,0.6940679453742978,0.6367211757400124,2326,374,1952,0.680177193828351,0.6404578877005347,0.6087704213241617,2364,415,1949,0.6809528519413723,0.6380714237143545,0.6205583756345178,0.5806565284729004,global,0.8244500846023689,0.5,0.6657253503799438,0.39498764276504517,0.6657253503799438,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,500,300,100,6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,False,225.33526849746704
Roman-empire,node_feature_only,ok,,undirected,1:0,1,0,5,38,0.7220086898395721,0.7675680229245201,0.44566282629966736,4831,671,4160,0.8261637696320073,0.7538241215751462,0.6363071827778928,2326,374,1952,0.7675680229245201,0.7220086898395721,0.6349957007738607,2364,415,1949,0.7638424400526683,0.7146346288179913,0.6357868020304569,0.5870102047920227,global,0.8244500846023689,0.5,0.6657253503799438,0.39498764276504517,0.6657253503799438,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,500,300,100,6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,False,230.11449265480042
Roman-empire,combined,ok,,undirected,1:0,1,0,5,48,0.7743011418427281,0.8414843955465943,0.454666405916214,4831,671,4160,0.9087813825518745,0.8251701679468073,0.7559511488304699,2326,374,1952,0.8414843955465943,0.7743011418427281,0.7463456577815993,2364,415,1949,0.8313549735112847,0.7490526497987846,0.7191201353637902,0.6217790246009827,global,0.8244500846023689,0.5,0.6657253503799438,0.39498764276504517,0.6657253503799438,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,500,300,100,6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,False,235.26599407196045
Roman-empire,reliability_only,ok,,undirected,2:0,2,0,5,55,0.6485112563543936,0.6900552281404055,0.5072034597396851,4896,665,4231,0.717791879841414,0.6513463995607074,0.6098856209150327,2254,391,1863,0.6900552281404055,0.6485112563543936,0.6060337178349601,2323,378,1945,0.6762666449041772,0.6348431060513322,0.6026689625484287,0.5612424612045288,global,0.8372793801119243,0.5,0.6574302911758423,0.3808683156967163,0.6574302911758423,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,500,300,100,6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,False,210.24282026290894
Roman-empire,node_feature_only,ok,,undirected,2:0,2,0,5,27,0.6926210097565596,0.7420195131192574,0.3605515956878662,4896,665,4231,0.8137604114280027,0.720631109800026,0.5806781045751634,2254,391,1863,0.7420195131192574,0.6926210097565596,0.5820763087843833,2323,378,1945,0.7736755484827464,0.7098849308360876,0.5944898837709858,0.5578891634941101,global,0.8372793801119243,0.5,0.6574302911758423,0.3808683156967163,0.6574302911758423,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,500,300,100,6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,False,214.23182153701782
Roman-empire,combined,ok,,undirected,2:0,2,0,5,128,0.7561333712228853,0.8130232979560233,0.02293366566300392,4896,665,4231,0.9957478190868332,0.8973056015126448,0.8225081699346405,2254,391,1863,0.8130232979560233,0.7561333712228853,0.7555456965394853,2323,378,1945,0.8478733967165843,0.7661171638035391,0.7653895824365046,0.627956211566925,global,0.8372793801119243,0.5,0.6574302911758423,0.3808683156967163,0.6574302911758423,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,500,300,100,6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,False,222.0439374446869
Roman-empire,reliability_only,ok,,undirected,3:0,3,0,5,63,0.6416264011644484,0.6807858525532329,0.49291351437568665,4784,649,4135,0.7236045408898073,0.6560874044898393,0.5873745819397993,2353,412,1941,0.6807858525532329,0.6416264011644484,0.5932851678708032,2331,379,1952,0.7074051645832432,0.6621062491889788,0.6014586014586014,0.5610659718513489,global,0.8374088374088374,0.5,0.658136248588562,0.38051533699035645,0.658136248588562,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,500,300,100,6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,False,203.89512586593628
Roman-empire,node_feature_only,ok,,undirected,3:0,3,0,5,44,0.7043668062203948,0.7609010719126864,0.39601588249206543,4784,649,4135,0.8293546205398316,0.7626123717448292,0.6446488294314381,2353,412,1941,0.7609010719126864,0.7043668062203948,0.6179345516362091,2331,379,1952,0.769387462693023,0.7046943260954194,0.6104676104676104,0.5647723078727722,global,0.8374088374088374,0.5,0.658136248588562,0.38051533699035645,0.658136248588562,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,500,300,100,6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,False,208.7779622077942
Roman-empire,combined,ok,,undirected,3:0,3,0,5,40,0.7740842724448913,0.8371910685613962,0.49142494797706604,4784,649,4135,0.8871473739713036,0.7966327137089337,0.7719481605351171,2353,412,1941,0.8371910685613962,0.7740842724448913,0.7692307692307693,2331,379,1952,0.831841504822873,0.7635541924391194,0.7589017589017589,0.6258383393287659,global,0.8374088374088374,0.5,0.658136248588562,0.38051533699035645,0.658136248588562,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,500,300,100,6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,False,213.72732949256897
