dataset,router,status,status_detail,edge_protocol,run,split,seed,oof_folds,best_epoch,best_val_balanced_accuracy,best_val_preference_auc,decision_threshold,train_preference_count,train_local_preference_count,train_global_preference_count,train_preference_auc,train_balanced_accuracy,train_routing_accuracy,val_preference_count,val_local_preference_count,val_global_preference_count,val_preference_auc,val_balanced_accuracy,val_routing_accuracy,test_preference_count,test_local_preference_count,test_global_preference_count,test_preference_auc,test_balanced_accuracy,test_routing_accuracy,test_routed_node_accuracy,validation_majority_choice,test_majority_routing_accuracy,test_majority_balanced_accuracy,test_majority_routed_node_accuracy,local_expert_test_accuracy,global_expert_test_accuracy,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,router_epochs,patience,data_fingerprint,preprocess_code_hash,oof_cache_hit,elapsed_sec
Squirrel,reliability_only,ok,,undirected,0:0,0,0,5,25,0.6045783454569753,0.6027120682742426,0.5157541036605835,1046,723,323,0.6313862518145498,0.5913291282881354,0.5688336520076482,695,474,221,0.6027120682742426,0.6045783454569753,0.5841726618705037,427,294,133,0.6296353127717251,0.5769781596849266,0.5620608899297423,0.419788658618927,local,0.6885245901639344,0.5,0.47166183590888977,0.47166183590888977,0.3170028626918793,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,500,300,100,ac22b882828dbbd36263f4c827c77aa0795a6bd7f65b00c41b0e235875f7978d,9f9d1ce40cab8e6e,False,135.75696778297424
Squirrel,node_feature_only,ok,,undirected,0:0,0,0,5,23,0.5658781526242435,0.5334307043167803,0.5613285303115845,1046,723,323,0.9995760697814833,0.9937759336099585,0.9913957934990439,695,474,221,0.5334307043167803,0.5658781526242435,0.6302158273381295,427,294,133,0.4917907012429032,0.4931972789115646,0.5714285714285714,0.42363110184669495,local,0.6885245901639344,0.5,0.47166183590888977,0.47166183590888977,0.3170028626918793,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,500,300,100,ac22b882828dbbd36263f4c827c77aa0795a6bd7f65b00c41b0e235875f7978d,9f9d1ce40cab8e6e,False,139.8612244129181
Squirrel,combined,ok,,undirected,0:0,0,0,5,6,0.6084922771445482,0.6220669377780323,0.5164495706558228,1046,723,323,0.8371037430040809,0.736666538202964,0.7093690248565966,695,474,221,0.6220669377780323,0.6084922771445482,0.5928057553956835,427,294,133,0.6046749526878421,0.5680272108843537,0.5667447306791569,0.42170989513397217,local,0.6885245901639344,0.5,0.47166183590888977,0.47166183590888977,0.3170028626918793,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,500,300,100,ac22b882828dbbd36263f4c827c77aa0795a6bd7f65b00c41b0e235875f7978d,9f9d1ce40cab8e6e,False,143.25928950309753
Squirrel,reliability_only,ok,,undirected,1:0,1,0,5,3,0.5925466687495118,0.5779602436928845,0.4590076506137848,1062,718,344,0.6099003206581588,0.5920475157090108,0.5988700564971752,689,472,217,0.5779602436928845,0.5925466687495118,0.6037735849056604,436,312,124,0.6346670802315963,0.5875723738626965,0.5940366972477065,0.44188278913497925,local,0.7155963302752294,0.5,0.4927953779697418,0.4927953779697418,0.31219980120658875,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,500,300,100,ac22b882828dbbd36263f4c827c77aa0795a6bd7f65b00c41b0e235875f7978d,9f9d1ce40cab8e6e,False,135.61328053474426
Squirrel,node_feature_only,ok,,undirected,1:0,1,0,5,121,0.5724439584472389,0.5548699523549168,0.7337928414344788,1062,718,344,0.9998178078642224,0.9958217270194987,0.9943502824858758,689,472,217,0.5548699523549168,0.5724439584472389,0.6052249637155298,436,312,124,0.5437086435070306,0.5261579818031431,0.5756880733944955,0.43419787287712097,local,0.7155963302752294,0.5,0.4927953779697418,0.4927953779697418,0.31219980120658875,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,500,300,100,ac22b882828dbbd36263f4c827c77aa0795a6bd7f65b00c41b0e235875f7978d,9f9d1ce40cab8e6e,False,142.84305095672607
Squirrel,combined,ok,,undirected,1:0,1,0,5,32,0.5838377723970944,0.5796248926032961,0.9934507608413696,1062,718,344,0.9999109282891754,0.9616991643454039,0.948210922787194,689,472,217,0.5796248926032961,0.5838377723970944,0.5355587808417998,436,312,124,0.5999663978494624,0.5654466501240695,0.5206422018348624,0.41114312410354614,local,0.7155963302752294,0.5,0.4927953779697418,0.4927953779697418,0.31219980120658875,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,500,300,100,ac22b882828dbbd36263f4c827c77aa0795a6bd7f65b00c41b0e235875f7978d,9f9d1ce40cab8e6e,False,147.45900082588196
Squirrel,reliability_only,ok,,undirected,2:0,2,0,5,35,0.5933709568733153,0.5873858191075172,0.4415302276611328,1028,702,326,0.6557687938056036,0.5866848443535561,0.6498054474708171,701,477,224,0.5873858191075172,0.5933709568733153,0.644793152639087,422,317,105,0.629202343397927,0.567447799308998,0.6611374407582938,0.4582132399082184,local,0.7511848341232228,0.5,0.494716614484787,0.494716614484787,0.2910662591457367,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,500,300,100,ac22b882828dbbd36263f4c827c77aa0795a6bd7f65b00c41b0e235875f7978d,9f9d1ce40cab8e6e,False,135.17617750167847
Squirrel,node_feature_only,ok,,undirected,2:0,2,0,5,19,0.5193639562743336,0.4817310572027553,0.08684204518795013,1028,702,326,0.9996154720081101,0.992768251970706,0.9912451361867705,701,477,224,0.4817310572027553,0.5193639562743336,0.6262482168330956,422,317,105,0.5327625056331681,0.5100946372239747,0.6658767772511849,0.46013447642326355,local,0.7511848341232228,0.5,0.494716614484787,0.494716614484787,0.2910662591457367,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,500,300,100,ac22b882828dbbd36263f4c827c77aa0795a6bd7f65b00c41b0e235875f7978d,9f9d1ce40cab8e6e,False,139.30075812339783
Squirrel,combined,ok,,undirected,2:0,2,0,5,1,0.5795335429769393,0.5698281671159029,0.4780716300010681,1028,702,326,0.6585784699281632,0.5804450037578872,0.6614785992217899,701,477,224,0.5698281671159029,0.5795335429769393,0.6533523537803139,422,317,105,0.617575484452456,0.575364278203395,0.6682464454976303,0.46109509468078613,local,0.7511848341232228,0.5,0.494716614484787,0.494716614484787,0.2910662591457367,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,500,300,100,ac22b882828dbbd36263f4c827c77aa0795a6bd7f65b00c41b0e235875f7978d,9f9d1ce40cab8e6e,False,142.50895857810974
Squirrel,reliability_only,ok,,undirected,3:0,3,0,5,23,0.6437698664971392,0.6216041534223352,0.4640195071697235,1053,739,314,0.6584384130732699,0.6163907156339692,0.6723646723646723,679,484,195,0.6216041534223352,0.6437698664971392,0.695139911634757,428,299,129,0.6548572761919577,0.6259884369085582,0.677570093457944,0.47358307242393494,local,0.6985981308411215,0.5,0.4822286069393158,0.4822286069393158,0.31892409920692444,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,500,300,100,ac22b882828dbbd36263f4c827c77aa0795a6bd7f65b00c41b0e235875f7978d,9f9d1ce40cab8e6e,False,134.58592247962952
Squirrel,node_feature_only,ok,,undirected,3:0,3,0,5,10,0.5491205763933037,0.5246609451154906,0.300275593996048,1053,739,314,0.9897455676891651,0.9195482792204994,0.9449192782526116,679,484,195,0.5246609451154906,0.5491205763933037,0.6671575846833578,428,299,129,0.5124834720385781,0.4810609006766742,0.6074766355140186,0.444764643907547,local,0.6985981308411215,0.5,0.4822286069393158,0.4822286069393158,0.31892409920692444,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,500,300,100,ac22b882828dbbd36263f4c827c77aa0795a6bd7f65b00c41b0e235875f7978d,9f9d1ce40cab8e6e,False,138.19209790229797
Squirrel,combined,ok,,undirected,3:0,3,0,5,3,0.626981351981352,0.6273892773892774,0.5020110607147217,1053,739,314,0.709678253449747,0.6338376873550934,0.6467236467236467,679,484,195,0.6273892773892774,0.626981351981352,0.6406480117820325,428,299,129,0.6168624095823287,0.579541624536569,0.5911214953271028,0.4380403459072113,local,0.6985981308411215,0.5,0.4822286069393158,0.4822286069393158,0.31892409920692444,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,500,300,100,ac22b882828dbbd36263f4c827c77aa0795a6bd7f65b00c41b0e235875f7978d,9f9d1ce40cab8e6e,False,141.90149664878845
Squirrel,reliability_only,ok,,undirected,4:0,4,0,5,38,0.5969789008645314,0.5819019689987432,0.5035954713821411,1025,722,303,0.6606648199445984,0.6220276459778942,0.6253658536585366,701,484,217,0.5819019689987432,0.5969789008645314,0.5891583452211127,399,276,123,0.5902556851655473,0.5870890774125133,0.5939849624060151,0.44668588042259216,local,0.6917293233082706,0.5,0.48414984345436096,0.48414984345436096,0.33717578649520874,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,500,300,100,ac22b882828dbbd36263f4c827c77aa0795a6bd7f65b00c41b0e235875f7978d,9f9d1ce40cab8e6e,False,139.81885409355164
Squirrel,node_feature_only,ok,,undirected,4:0,4,0,5,95,0.6031724873367101,0.6056194538599231,0.999541163444519,1025,722,303,0.999744018723202,0.9681440443213296,0.9551219512195122,701,484,217,0.6056194538599231,0.6031724873367101,0.5748930099857347,399,276,123,0.5035200895487215,0.5196182396606575,0.5037593984962406,0.4121037423610687,local,0.6917293233082706,0.5,0.48414984345436096,0.48414984345436096,0.33717578649520874,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,500,300,100,ac22b882828dbbd36263f4c827c77aa0795a6bd7f65b00c41b0e235875f7978d,9f9d1ce40cab8e6e,False,146.2817256450653
Squirrel,combined,ok,,undirected,4:0,4,0,5,6,0.599192596260045,0.599135468636935,0.5914700627326965,1025,722,303,0.8218644579139355,0.7241436054962838,0.6478048780487805,701,484,217,0.599135468636935,0.599192596260045,0.5378031383737518,399,276,123,0.5741722634617651,0.550238600212089,0.49624060150375937,0.409221887588501,local,0.6917293233082706,0.5,0.48414984345436096,0.48414984345436096,0.33717578649520874,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,500,300,100,ac22b882828dbbd36263f4c827c77aa0795a6bd7f65b00c41b0e235875f7978d,9f9d1ce40cab8e6e,False,149.93679690361023
