dataset,comparison,metric,n,mean_delta,ci95_low,ci95_high,wins,ties,losses
Chameleon,reliability_only - node_feature_only,test_preference_auc,10,0.08157294712348967,0.04769753887777386,0.11544835536920547,10,0,0
Chameleon,reliability_only - node_feature_only,test_balanced_accuracy,10,0.055040667009028064,0.019961917505331522,0.0901194165127246,9,0,1
Chameleon,reliability_only - node_feature_only,test_routing_accuracy,10,0.09958863375415858,0.06133525501945226,0.1378420124888649,10,0,0
Chameleon,combined - node_feature_only,test_preference_auc,10,0.06001200906784308,0.031577455292713275,0.08844656284297289,9,0,1
Chameleon,combined - node_feature_only,test_balanced_accuracy,10,0.03835147362325625,0.014931177818294655,0.06177176942821784,9,0,1
Chameleon,combined - node_feature_only,test_routing_accuracy,10,0.09698846654604598,0.04704674601933424,0.14693018707275773,9,0,1
Squirrel,reliability_only - node_feature_only,test_preference_auc,10,0.08557429281483143,0.059915517156569745,0.11123306847309312,10,0,0
Squirrel,reliability_only - node_feature_only,test_balanced_accuracy,10,0.06303709954488296,0.03582137605452208,0.09025282303524383,10,0,0
Squirrel,reliability_only - node_feature_only,test_routing_accuracy,10,0.03840721483793818,-0.009450303315659776,0.08626473299153614,6,0,4
Squirrel,combined - node_feature_only,test_preference_auc,10,0.06425386250239373,0.03669219453999799,0.09181553046478948,10,0,0
Squirrel,combined - node_feature_only,test_balanced_accuracy,10,0.05148712871891181,0.028058112210784185,0.07491614522703943,9,0,1
Squirrel,combined - node_feature_only,test_routing_accuracy,10,0.001584043746731345,-0.025088920133134934,0.02825700762659762,4,0,6
Actor,reliability_only - node_feature_only,test_preference_auc,10,0.00029778630732206214,-0.027228121290300077,0.0278236939049442,4,0,6
Actor,reliability_only - node_feature_only,test_balanced_accuracy,10,-0.0003969944103151768,-0.027408412942760717,0.026614424122130366,5,0,5
Actor,reliability_only - node_feature_only,test_routing_accuracy,10,0.0024306121851268903,-0.040213759730746056,0.04507498410099984,6,0,4
Actor,combined - node_feature_only,test_preference_auc,10,0.01156288608034639,-0.02288398086454884,0.04600975302524162,5,0,5
Actor,combined - node_feature_only,test_balanced_accuracy,10,0.003390645970070738,-0.02900274194402782,0.03578403388416929,2,0,8
Actor,combined - node_feature_only,test_routing_accuracy,10,-0.0032400389611495772,-0.04998151006900401,0.043501432146704856,3,0,7
Roman-empire,reliability_only - node_feature_only,test_preference_auc,10,-0.0677429924170113,-0.08085920709438928,-0.05462677773963333,0,0,10
Roman-empire,reliability_only - node_feature_only,test_balanced_accuracy,10,-0.05796442429639955,-0.07079645151888456,-0.045132397073914546,0,0,10
Roman-empire,reliability_only - node_feature_only,test_routing_accuracy,10,-0.004429940966916046,-0.01876047375926769,0.009900591825435599,4,0,6
Roman-empire,combined - node_feature_only,test_preference_auc,10,0.07051853039930875,0.05944960639407892,0.08158745440453857,10,0,0
Roman-empire,combined - node_feature_only,test_balanced_accuracy,10,0.05192390658798,0.041680999992270325,0.06216681318368967,10,0,0
Roman-empire,combined - node_feature_only,test_routing_accuracy,10,0.10548352231495871,0.08009528684381084,0.13087175778610657,10,0,0
Amazon-ratings,reliability_only - node_feature_only,test_preference_auc,10,0.023365683459465197,0.005028721154926502,0.04170264576400389,8,0,2
Amazon-ratings,reliability_only - node_feature_only,test_balanced_accuracy,10,0.009771243859427714,-0.0047963102209323035,0.02433879793978773,7,0,3
Amazon-ratings,reliability_only - node_feature_only,test_routing_accuracy,10,0.00948277982316344,-0.003600149986721342,0.02256570963304822,6,0,4
Amazon-ratings,combined - node_feature_only,test_preference_auc,10,0.027390985313273823,0.00832779993722313,0.04645417068932452,8,0,2
Amazon-ratings,combined - node_feature_only,test_balanced_accuracy,10,0.015563882267679963,0.0006182383327261003,0.030509526202633825,8,0,2
Amazon-ratings,combined - node_feature_only,test_routing_accuracy,10,0.01578318496057645,0.0010206049889773527,0.030545764932175548,7,0,3
Minesweeper,reliability_only - node_feature_only,test_preference_auc,7,0.06227175537399631,-0.13290766533081033,0.25745117607880297,5,0,2
Minesweeper,reliability_only - node_feature_only,test_balanced_accuracy,7,0.0842851670582763,-0.0019811125139990865,0.17055144663055166,5,0,2
Minesweeper,reliability_only - node_feature_only,test_routing_accuracy,7,0.08684058389940742,-0.008494897074684926,0.18217606487349977,5,0,2
Minesweeper,combined - node_feature_only,test_preference_auc,7,-0.021805159515243495,-0.0897936862096447,0.04618336717915772,3,1,3
Minesweeper,combined - node_feature_only,test_balanced_accuracy,7,-0.013050488260572297,-0.09591559644885299,0.06981461992770839,4,0,3
Minesweeper,combined - node_feature_only,test_routing_accuracy,7,0.01662184529831589,-0.07150621755999348,0.10474990815662527,4,2,1
