dataset,router,n,successful_n,status_counts,test_preference_count_mean,test_preference_auc_mean,test_preference_auc_std,test_preference_auc_ci95_low,test_preference_auc_ci95_high,decision_threshold_mean,test_balanced_accuracy_mean,test_routing_accuracy_mean,test_routed_node_accuracy_mean,test_majority_routing_accuracy_mean,test_majority_balanced_accuracy_mean,test_majority_routed_node_accuracy_mean
Actor,reliability_only,10,10,ok:10,440.8,0.5278884119824858,0.025349075220954184,0.5097547759627583,0.5460220480022133,0.5215013086795807,0.5170904882317899,0.5166053591679822,0.33296054005622866,0.5846459920274599,0.5,0.35263159275054934
Actor,node_feature_only,10,10,ok:10,440.8,0.5275906256751638,0.040202748826665594,0.49883131166229394,0.5563499396880337,0.5231439501047135,0.5174874826421051,0.5141747469828554,0.33223685026168825,0.5846459920274599,0.5,0.35263159275054934
Actor,combined,10,10,ok:10,440.8,0.5391535117555102,0.01822011407874016,0.5261196273213881,0.5521873961896323,0.4973198227584362,0.5208781286121759,0.5109347080217057,0.3311184376478195,0.5846459920274599,0.5,0.35263159275054934
Amazon-ratings,reliability_only,10,10,ok:10,1834.0,0.5580038062057461,0.028318004085833775,0.5377463264191389,0.5782612859923533,0.4706030339002609,0.5415324868004984,0.5389273242024458,0.42054547369480133,0.5133779000637416,0.5,0.4141597241163254
Amazon-ratings,node_feature_only,10,10,ok:10,1834.0,0.5346381227462809,0.03337664566686813,0.5107619087697609,0.5585143367228008,0.3995512828230858,0.5317612429410707,0.5294445443792825,0.41793238520622256,0.5133779000637416,0.5,0.4141597241163254
Amazon-ratings,combined,10,10,ok:10,1834.0,0.5620291080595547,0.025765232546284468,0.5435977710231746,0.5804604450959349,0.47151935696601865,0.5473251252087507,0.5452277293398589,0.4224726349115372,0.5133779000637416,0.5,0.4141597241163254
Chameleon,reliability_only,10,10,ok:10,168.3,0.660625099625662,0.05419212292326619,0.6218583902423345,0.6993918090089895,0.5273356288671494,0.6184531861587751,0.5931461374080065,0.5940789520740509,0.7286485123562313,0.5,0.6436403512954711
Chameleon,node_feature_only,10,10,ok:10,168.3,0.5790521525021723,0.03947613108584228,0.5508126295082141,0.6072916754961306,0.6966750144958496,0.563412519149747,0.4935575036538478,0.557675439119339,0.7286485123562313,0.5,0.6436403512954711
Chameleon,combined,10,10,ok:10,168.3,0.6390641615700154,0.04883293314664944,0.6041311856038929,0.673997137536138,0.5669286906719208,0.6017639927730033,0.5905459701998939,0.5927631556987762,0.7286485123562313,0.5,0.6436403512954711
Minesweeper,reliability_only,10,7,insufficient_validation_labels:3;ok:7,19.1,0.5911294121378154,0.08470656717289887,0.5127889036333434,0.6694699206422875,0.3909902593919209,0.611411565403162,0.6029675014969132,0.8014856917517525,0.633574998795587,0.5,0.8004399716854096
Minesweeper,node_feature_only,10,7,insufficient_validation_labels:3;ok:7,19.1,0.5288576567638192,0.17021814663660034,0.3714321275603826,0.6862831859672559,0.48970041956220356,0.5271263983448857,0.5161269175975058,0.8005714075905936,0.633574998795587,0.5,0.8004399716854096
Minesweeper,combined,10,7,insufficient_validation_labels:3;ok:7,19.1,0.5070524972485757,0.1910746113438117,0.3303379553357293,0.6837670391614221,0.42469251808610614,0.5140759100843134,0.5327487628958217,0.8009142705372402,0.633574998795587,0.5,0.8004399716854096
Roman-empire,reliability_only,10,10,ok:10,2340.3,0.6996556940987588,0.013687898761228603,0.6898639611914447,0.709447427006073,0.5156722068786621,0.6472386931722554,0.6240462108251208,0.5738439619541168,0.8324503456544565,0.5,0.6599364459514618
Roman-empire,node_feature_only,10,10,ok:10,2340.3,0.7673986865157701,0.015559820076018862,0.7562678617684541,0.7785295112630862,0.4094541326165199,0.7052031174686548,0.6284761517920368,0.575697124004364,0.8324503456544565,0.5,0.6599364459514618
Roman-empire,combined,10,10,ok:10,2340.3,0.8379172169150789,0.013931655725830312,0.8279511107797543,0.8478833230504036,0.2525569898076355,0.7571270240566349,0.7339596741069955,0.6191846013069153,0.8324503456544565,0.5,0.6599364459514618
Squirrel,reliability_only,10,10,ok:10,425.1,0.6097838665738163,0.03264656751315046,0.5864299190464696,0.6331378141011631,0.4835860848426819,0.5761853927648869,0.5954571737484163,0.43054753839969634,0.7007906737597671,0.5,0.4735830783843994
Squirrel,node_feature_only,10,10,ok:10,425.1,0.5242095737589849,0.018877820358115645,0.5107051945957997,0.5377139529221702,0.6146518813911825,0.5131482932200039,0.5570499589104781,0.41498557925224305,0.7007906737597671,0.5,0.4735830783843994
Squirrel,combined,10,10,ok:10,425.1,0.5884634362613786,0.03778872563053451,0.5614310104130772,0.6154958621096801,0.6680482298135757,0.5646354219389157,0.5586340026572095,0.41565801203250885,0.7007906737597671,0.5,0.4735830783843994
