dataset,model,run,split,seed,best_epoch,best_val_acc,best_val_loss,test_acc_at_best_val,reliability_components,normalize_features,rw_steps,rw_samples,qk_strength_init,fixed_qk_strength,elapsed_sec,training_profile,optimizer,effective_hidden_dim,effective_dropout,effective_lr,effective_weight_decay,effective_epochs,effective_patience,selection_metric,early_stopping_rule,qk_strength_mean,qk_strength_layer1,qk_strength_layer2,qk_gamma_q_abs_dev_mean,qk_gamma_k_abs_dev_mean,qk_gamma_q_std,qk_gamma_k_std,qk_gamma_q_abs_dev_max,qk_gamma_k_abs_dev_max,gate_corr_degree,gate_corr_local_similarity,gate_corr_neighbor_variance,gate_corr_rwse_mean,gate_corr_layer1_local_similarity,gate_corr_layer2_local_similarity,gate_mean,gate_std,gate_min,gate_max,local_branch_norm_mean,global_branch_norm_mean,mixed_branch_norm_mean,local_global_cosine_mean
Actor,gcn,0:0,0,0,70,0.2865954041481018,1.5601352453231812,0.27565789222717285,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,1.1300089359283447,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Actor,gcn,1:0,1,0,66,0.2849506735801697,1.5628080368041992,0.2763158082962036,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,0.5357871055603027,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Actor,gcn,2:0,2,0,108,0.29893091320991516,1.5748755931854248,0.2605263292789459,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,0.6522209644317627,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Actor,gcn,3:0,3,0,54,0.296875,1.5619148015975952,0.2763158082962036,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,0.48687267303466797,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Actor,gcn,4:0,4,0,69,0.2956414520740509,1.5594568252563477,0.2743421196937561,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,0.5376992225646973,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Actor,gcn,5:0,5,0,78,0.28330591320991516,1.56879723072052,0.2815789580345154,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,0.5505311489105225,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Actor,gcn,6:0,6,0,69,0.29646381735801697,1.5588587522506714,0.27368423342704773,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,0.5348386764526367,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Actor,gcn,7:0,7,0,109,0.2849506735801697,1.5812394618988037,0.2638157904148102,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,0.6502013206481934,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Actor,gcn,8:0,8,0,89,0.29358553886413574,1.5651317834854126,0.25592106580734253,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,0.5921452045440674,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Actor,gcn,9:0,9,0,52,0.28865131735801697,1.5686336755752563,0.30657896399497986,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,0.48364973068237305,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
