dataset,model,run,split,seed,best_epoch,best_val_acc,best_val_loss,test_acc_at_best_val,reliability_components,normalize_features,rw_steps,rw_samples,qk_strength_init,fixed_qk_strength,elapsed_sec,training_profile,optimizer,effective_hidden_dim,effective_dropout,effective_lr,effective_weight_decay,effective_epochs,effective_patience,selection_metric,early_stopping_rule,qk_strength_mean,qk_strength_layer1,qk_strength_layer2,qk_gamma_q_abs_dev_mean,qk_gamma_k_abs_dev_mean,qk_gamma_q_std,qk_gamma_k_std,qk_gamma_q_abs_dev_max,qk_gamma_k_abs_dev_max,gate_corr_degree,gate_corr_local_similarity,gate_corr_neighbor_variance,gate_corr_rwse_mean,gate_corr_layer1_local_similarity,gate_corr_layer2_local_similarity,gate_mean,gate_std,gate_min,gate_max,local_branch_norm_mean,global_branch_norm_mean,mixed_branch_norm_mean,local_global_cosine_mean
Actor,gcn_pyg,0:0,0,0,72,0.3059210479259491,1.5516128540039062,0.27763158082962036,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,0.8892247676849365,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Actor,gcn_pyg,1:0,1,0,61,0.2956414520740509,1.5555791854858398,0.28223684430122375,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,0.3484632968902588,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Actor,gcn_pyg,2:0,2,0,57,0.31208881735801697,1.5417051315307617,0.3013158142566681,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,0.32526206970214844,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Actor,gcn_pyg,3:0,3,0,69,0.30550986528396606,1.5586442947387695,0.27763158082962036,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,0.34034204483032227,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Actor,gcn_pyg,4:0,4,0,58,0.30016446113586426,1.5449833869934082,0.28026315569877625,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,0.3154270648956299,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Actor,gcn_pyg,5:0,5,0,87,0.29851973056793213,1.5796810388565063,0.2763158082962036,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,0.37336254119873047,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Actor,gcn_pyg,6:0,6,0,42,0.3059210479259491,1.5456743240356445,0.27565789222717285,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,0.2802395820617676,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Actor,gcn_pyg,7:0,7,0,67,0.2919407784938812,1.5635641813278198,0.27763158082962036,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,0.33321404457092285,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Actor,gcn_pyg,8:0,8,0,74,0.30509868264198303,1.561997652053833,0.28684210777282715,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,0.35459375381469727,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Actor,gcn_pyg,9:0,9,0,42,0.2837170958518982,1.5509141683578491,0.3059210777282715,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,0.2872951030731201,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
