dataset,model,run,split,seed,best_epoch,best_val_acc,best_val_loss,test_acc_at_best_val,reliability_components,normalize_features,rw_steps,rw_samples,qk_strength_init,fixed_qk_strength,elapsed_sec,training_profile,optimizer,effective_hidden_dim,effective_dropout,effective_lr,effective_weight_decay,effective_epochs,effective_patience,selection_metric,early_stopping_rule,qk_strength_mean,qk_strength_layer1,qk_strength_layer2,qk_gamma_q_abs_dev_mean,qk_gamma_k_abs_dev_mean,qk_gamma_q_std,qk_gamma_k_std,qk_gamma_q_abs_dev_max,qk_gamma_k_abs_dev_max,gate_corr_degree,gate_corr_local_similarity,gate_corr_neighbor_variance,gate_corr_rwse_mean,gate_corr_layer1_local_similarity,gate_corr_layer2_local_similarity,gate_mean,gate_std,gate_min,gate_max,local_branch_norm_mean,global_branch_norm_mean,mixed_branch_norm_mean,local_global_cosine_mean,local_branch_norm_mean_layer1,global_branch_norm_mean_layer1,mixed_branch_norm_mean_layer1,local_global_cosine_mean_layer1,gate_mean_layer1,gate_std_layer1,gate_min_layer1,gate_max_layer1,local_branch_norm_mean_layer2,global_branch_norm_mean_layer2,mixed_branch_norm_mean_layer2,local_global_cosine_mean_layer2,gate_mean_layer2,gate_std_layer2,gate_min_layer2,gate_max_layer2
Actor,reliability_gt,0:0,0,0,31,0.37294408679008484,1.5702217817306519,0.35789474844932556,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,2.8852949142456055,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,0.006634776247665286,0.006691535469144583,0.006578017026185989,5.335700188879855e-05,0.0001120225788326934,7.8865050454624e-05,0.00016390468226745725,0.0005491375923156738,0.0010644793510437012,-0.02594906348599478,-0.19834562868806255,-0.07624283581784534,-0.008561376507398723,-0.6713715406986377,-0.18350415005558704,0.47355663776397705,0.07108784466981888,0.33773568272590637,0.624434769153595,2.1721994876861572,0.9904069900512695,1.1317262649536133,-0.3012498617172241,0.48502635955810547,0.40630751848220825,0.16651089489459991,-0.7534153461456299,0.4882766008377075,0.003148434218019247,0.4813031256198883,0.4964751601219177,3.859372615814209,1.5745065212249756,2.0969417095184326,0.15091562271118164,0.4588366746902466,0.13902725279331207,0.19416823983192444,0.7523943781852722
Actor,reliability_gt,1:0,1,0,39,0.3622532784938812,1.7450302839279175,0.3414473831653595,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,2.3530938625335693,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,0.00663158786483109,0.006688264664262533,0.006574911065399647,8.077798702288419e-05,0.00012415420496836305,0.0001238951663253829,0.00017751072300598025,0.0010000169277191162,0.0012086033821105957,-0.26645652119694996,-0.21309312099989663,-0.26804958468536494,-0.006013642779549152,-0.26967533152041595,-0.19480059648962994,0.4248986840248108,0.06269664317369461,0.2591996192932129,0.5195157527923584,1.69705331325531,0.8743714094161987,0.7175313234329224,-0.5059933066368103,0.41676855087280273,0.4262564778327942,0.09595519304275513,-0.9233208894729614,0.4926088750362396,0.009949726052582264,0.4777030050754547,0.512562096118927,2.9773380756378174,1.3224862813949585,1.3391075134277344,-0.08866571635007858,0.35718852281570435,0.11544355750083923,0.04069624841213226,0.5264694690704346
Actor,reliability_gt,2:0,2,0,25,0.36924341320991516,1.4365676641464233,0.3546052873134613,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,2.1178946495056152,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,0.006637915736064315,0.006691931746900082,0.006583899725228548,5.22691298101563e-05,0.00010371892130933702,7.92448190622963e-05,0.00014978140825405717,0.0005257129669189453,0.001008152961730957,-0.2779758870543301,-0.3767439083799739,-0.26659088947347914,0.24226396033992925,-0.5204168925208642,-0.1648645254930786,0.48264020681381226,0.003408334217965603,0.4736764430999756,0.50462806224823,2.4482579231262207,1.3181207180023193,1.3399968147277832,-0.18872253596782684,0.5179457664489746,0.5249835848808289,0.29743656516075134,-0.37563538551330566,0.48461127281188965,0.0021364532876759768,0.4784645438194275,0.49144744873046875,4.378570079803467,2.111257791519165,2.3825571537017822,-0.0018096966668963432,0.4806691110134125,0.004680215381085873,0.46888837218284607,0.5178086161613464
Actor,reliability_gt,3:0,3,0,30,0.36883223056793213,1.5846561193466187,0.3486842215061188,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,2.2014760971069336,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,0.006654503755271435,0.006691354792565107,0.006617652717977762,4.7489382268395275e-05,0.00010571453458396718,7.349158840952441e-05,0.00015049958892632276,0.0005237758159637451,0.0010251998901367188,-0.32871363744842086,-0.32294397751272785,-0.23645848468591063,0.30371032629612676,0.08703639330703145,-0.3225173889295072,0.44504863023757935,0.04510758817195892,0.32697340846061707,0.6176367998123169,2.110318422317505,1.0121923685073853,0.9666830897331238,-0.40549319982528687,0.48085981607437134,0.4200933873653412,0.16157540678977966,-0.7725067138671875,0.4861774742603302,0.007286418695002794,0.45946204662323,0.4956934154033661,3.739777088165283,1.604291319847107,1.7717907428741455,-0.038479700684547424,0.4039197564125061,0.08292875438928604,0.19448477029800415,0.7395801544189453
Actor,reliability_gt,4:0,4,0,22,0.3647204041481018,1.463922381401062,0.34210526943206787,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,2.066267728805542,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,0.006646802183240652,0.006691931746900082,0.0066016726195812225,4.8237994633382186e-05,9.799237886909395e-05,7.461799395969138e-05,0.0001422689383616671,0.000536799430847168,0.0009667277336120605,0.4462757360275128,-0.03736806791795493,0.3472609155637478,-0.25858468867424117,-0.06353092114874491,-0.03191732788429999,0.5178619623184204,0.011507085524499416,0.48161956667900085,0.5580466389656067,2.715482234954834,1.78031587600708,1.9181429147720337,0.1140265017747879,0.5397006869316101,0.6480799913406372,0.4011327922344208,-0.1345522105693817,0.4782907962799072,0.002028090413659811,0.4651715159416199,0.4805834889411926,4.891263961791992,2.9125518798828125,3.435153007507324,0.3626052141189575,0.5574331283569336,0.020986080169677734,0.49806761741638184,0.6355097889900208
Actor,reliability_gt,5:0,5,0,33,0.3700657784938812,1.5835260152816772,0.3500000238418579,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,2.2367336750030518,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,0.006651691859588027,0.0066908542066812515,0.0066125295124948025,5.1803115638904274e-05,0.00011094778164988384,7.482460932806134e-05,0.00015913613606244326,0.0005105733871459961,0.00104600191116333,-0.30453180282705633,-0.2996604720066841,-0.26262025087490104,0.10657298006786237,-0.5831848014323928,-0.29187379728516466,0.38866639137268066,0.053948886692523956,0.28931158781051636,0.5458947420120239,2.1718177795410156,0.9132072925567627,0.8567736744880676,-0.3680533766746521,0.4670740067958832,0.4008117616176605,0.13454917073249817,-0.838949978351593,0.48552438616752625,0.0016332154627889395,0.4812442362308502,0.4902676045894623,3.8765616416931152,1.4256027936935425,1.5789982080459595,0.10284323990345001,0.2918083965778351,0.10626456141471863,0.09737896919250488,0.601521909236908
Actor,reliability_gt,6:0,6,0,32,0.37294408679008484,1.5499255657196045,0.3526315987110138,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,2.2444989681243896,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,0.00664351275190711,0.006691329646855593,0.006595695856958628,5.719940963899717e-05,0.00011274748976575211,8.053710917010903e-05,0.00016744121967349201,0.000580906867980957,0.00112229585647583,-0.14422029776288933,-0.2470380274946674,-0.15077144287679808,0.060157239295376586,-0.487257338126978,-0.21217060725074963,0.40983718633651733,0.06322842836380005,0.2918164134025574,0.5364035964012146,2.1534080505371094,1.1087777614593506,0.969323456287384,-0.3857784569263458,0.48039722442626953,0.4116203784942627,0.15830694139003754,-0.7799831032752991,0.4896338880062103,0.008794588036835194,0.4811221957206726,0.5178686380386353,3.82641863822937,1.8059351444244385,1.7803399562835693,0.008426202461123466,0.33004045486450195,0.11766227334737778,0.10251060873270035,0.554938554763794
Actor,reliability_gt,7:0,7,0,25,0.35485199093818665,1.4809449911117554,0.347368448972702,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,2.2013354301452637,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,0.006653439253568649,0.006692058872431517,0.006614819634705782,4.673293005907908e-05,0.0001023123404593207,7.225079025374725e-05,0.0001468294212827459,0.00045102834701538086,0.0009849369525909424,0.05613115226663883,-0.2633608669393946,0.10333016481184243,0.41331067060555166,-0.5984053102789803,-0.23559643431974867,0.5426541566848755,0.022397475317120552,0.4847586750984192,0.6211216449737549,2.371066093444824,1.4211567640304565,1.5641930103302002,-0.136317640542984,0.5171753764152527,0.534779965877533,0.30157288908958435,-0.37032970786094666,0.4816456139087677,0.002173453103750944,0.4738926589488983,0.4885397255420685,4.22495698928833,2.3075335025787354,2.826813220977783,0.09769444167613983,0.6036627292633057,0.04262149706482887,0.4956246614456177,0.7537035346031189
Actor,reliability_gt,8:0,8,0,40,0.3737664520740509,1.7340985536575317,0.3592105507850647,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,2.3986871242523193,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,0.006644036620855331,0.006688382942229509,0.0065996902994811535,8.188055653590709e-05,0.00012594832514878362,0.00012173250433988869,0.0001805769425118342,0.000849306583404541,0.0011546313762664795,-0.20496976159559913,-0.1468348008019459,-0.24967061901854976,-0.06319551891015235,-0.6371889183094912,-0.1232562482839351,0.43137243390083313,0.041045740246772766,0.2971036434173584,0.5311562418937683,1.650418758392334,0.9287978410720825,0.7311457395553589,-0.5092846155166626,0.4253832697868347,0.407886803150177,0.09260537475347519,-0.9297147989273071,0.48510149121284485,0.003139381529763341,0.47496578097343445,0.49129727482795715,2.8754541873931885,1.4497089385986328,1.3696861267089844,-0.08885449171066284,0.3776433765888214,0.07895209640264511,0.11924148350954056,0.5710152387619019
Actor,reliability_gt,9:0,9,0,27,0.3552631735801697,1.5112117528915405,0.3638158142566681,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,2.1505889892578125,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,0.00664631649851799,0.006692033261060715,0.0066005997359752655,4.797945803147741e-05,0.0001033721273415722,7.413240382447839e-05,0.00014612716040574014,0.00048041343688964844,0.0010241568088531494,-0.08179490756064145,-0.2177782112823479,-0.11087407782183453,-0.010372664683376645,-0.3259442053688239,-0.18528863538986,0.4780464470386505,0.026975590735673904,0.40680938959121704,0.5517352819442749,2.3132948875427246,1.0965203046798706,1.1801759004592896,-0.2806321680545807,0.5065112113952637,0.46167612075805664,0.2365502566099167,-0.5488677620887756,0.4915134906768799,0.0047041187062859535,0.48277029395103455,0.5069881677627563,4.1200785636901855,1.7313644886016846,2.1238014698028564,-0.012396595440804958,0.46457940340042114,0.04924706369638443,0.33084845542907715,0.5964823365211487
