dataset,model,run,split,seed,best_epoch,best_val_acc,best_val_loss,test_acc_at_best_val,reliability_components,normalize_features,rw_steps,rw_samples,qk_strength_init,fixed_qk_strength,elapsed_sec,training_profile,optimizer,effective_hidden_dim,effective_dropout,effective_lr,effective_weight_decay,effective_epochs,effective_patience,selection_metric,early_stopping_rule,qk_strength_mean,qk_strength_layer1,qk_strength_layer2,qk_gamma_q_abs_dev_mean,qk_gamma_k_abs_dev_mean,qk_gamma_q_std,qk_gamma_k_std,qk_gamma_q_abs_dev_max,qk_gamma_k_abs_dev_max,gate_corr_degree,gate_corr_local_similarity,gate_corr_neighbor_variance,gate_corr_rwse_mean,gate_corr_layer1_local_similarity,gate_corr_layer2_local_similarity,gate_mean,gate_std,gate_min,gate_max,local_branch_norm_mean,global_branch_norm_mean,mixed_branch_norm_mean,local_global_cosine_mean,local_branch_norm_mean_layer1,global_branch_norm_mean_layer1,mixed_branch_norm_mean_layer1,local_global_cosine_mean_layer1,gate_mean_layer1,gate_std_layer1,gate_min_layer1,gate_max_layer1,local_branch_norm_mean_layer2,global_branch_norm_mean_layer2,mixed_branch_norm_mean_layer2,local_global_cosine_mean_layer2,gate_mean_layer2,gate_std_layer2,gate_min_layer2,gate_max_layer2
Chameleon,gate_gt,0:0,0,0,104,0.588477373123169,2.568159341812134,0.6030701994895935,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,3.094153881072998,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.010015834568740872,0.13689470593351866,0.09477316775611808,-0.12435158335041925,0.3506057130312705,0.09238597033831582,0.5719568729400635,0.1531677097082138,0.25118690729141235,0.9710304737091064,1.9751638174057007,0.8618059158325195,1.2252334356307983,-0.4378856420516968,0.2796105444431305,0.47443443536758423,0.09148004651069641,-0.8985844254493713,0.6687798500061035,0.038021739572286606,0.5018348693847656,0.9485499858856201,3.6707170009613037,1.2491774559020996,2.3589868545532227,0.02281316928565502,0.47513389587402344,0.2683136761188507,0.0005389630678109825,0.9935110211372375
Chameleon,gate_gt,1:0,1,0,72,0.5528120994567871,2.8793628215789795,0.5614035129547119,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,2.1036558151245117,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.2596051797275135,0.03457895928268378,-0.2655493536319528,-0.06024229214100046,-0.08599419182451067,0.051730087623444825,0.5901764631271362,0.1329168826341629,0.2610560357570648,0.8913880586624146,2.1498594284057617,0.7749994993209839,1.16576087474823,-0.5322859287261963,0.2869088649749756,0.5020132660865784,0.08030019700527191,-0.936650812625885,0.6685420274734497,0.038917623460292816,0.47903117537498474,0.8279116153717041,4.012809753417969,1.0479857921600342,2.2512216567993164,-0.12792102992534637,0.511810839176178,0.2269161492586136,0.04308091104030609,0.9548644423484802
Chameleon,gate_gt,2:0,2,0,255,0.5857338905334473,3.32533597946167,0.5767543911933899,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,4.132970333099365,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.13514059138940232,0.2614597386702013,0.11172118451566256,0.12198276221848524,0.3004698341106438,0.22710160474622879,0.48603615164756775,0.15406495332717896,0.2755813002586365,0.9795488119125366,2.5016121864318848,1.0339208841323853,1.3348116874694824,-0.4844919443130493,0.251836895942688,0.4954461455345154,0.10428415238857269,-0.8280512690544128,0.6689792275428772,0.03424994647502899,0.5501507520675659,0.9603292942047119,4.751387596130371,1.5723955631256104,2.5653393268585205,-0.1409325897693634,0.3030930757522583,0.2738799750804901,0.001011820393614471,0.9987682700157166
Chameleon,gate_gt,3:0,3,0,63,0.5843621492385864,2.630397081375122,0.6074561476707458,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,1.8049252033233643,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.21668833338461305,-0.0910687918661941,-0.08078301734409514,-0.16584229723299201,0.2963896093720212,-0.13094915741919746,0.5876032114028931,0.14598138630390167,0.2738269865512848,0.9006060361862183,2.074291706085205,0.9305449724197388,1.2211968898773193,-0.5189132690429688,0.31903353333473206,0.4653480052947998,0.08351966738700867,-0.9374622702598572,0.6195657849311829,0.035305947065353394,0.5464659333229065,0.8330845236778259,3.829549789428711,1.3957419395446777,2.3588740825653076,-0.10036426037549973,0.555640697479248,0.25665682554244995,0.0011880124220624566,0.9681276082992554
Chameleon,gate_gt,4:0,4,0,167,0.5733882188796997,3.113365411758423,0.5657894611358643,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,2.9382686614990234,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.049966069544549484,0.06300843822656768,0.07980086920033744,0.008337119705814662,0.29633079425727815,0.029630677263516633,0.5573949813842773,0.15748201310634613,0.27009519934654236,0.9400798082351685,2.204822301864624,1.016090750694275,1.285860538482666,-0.4658988416194916,0.27161821722984314,0.49622225761413574,0.08759628236293793,-0.9024139046669006,0.6776286363601685,0.03192499652504921,0.5331876873970032,0.8813685178756714,4.138026237487793,1.535959243774414,2.4841248989105225,-0.029383784160017967,0.4371613562107086,0.28303903341293335,0.007002697791904211,0.9987910389900208
Chameleon,gate_gt,5:0,5,0,97,0.6104252338409424,2.533015251159668,0.609649121761322,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,2.1570708751678467,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.018692849658138645,0.16813996788312816,0.04216882247206419,0.06071821542299381,0.035932057999285366,0.1655435468901189,0.5738821029663086,0.1533934473991394,0.2532930374145508,0.8976979851722717,2.0467848777770996,0.9038350582122803,1.309213638305664,-0.5193668603897095,0.2718254029750824,0.5018454790115356,0.08264663815498352,-0.9245099425315857,0.6642057299613953,0.023071445524692535,0.4916316866874695,0.7953959703445435,3.821744203567505,1.305824637413025,2.535780668258667,-0.11422382295131683,0.48355841636657715,0.28371545672416687,0.0149544021114707,1.0
Chameleon,gate_gt,6:0,6,0,225,0.6172839403152466,2.886850357055664,0.5416666865348816,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,3.6064634323120117,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.3911540578741528,0.04440260514926033,-0.06323017697794985,-0.024386469217808345,0.17105095579127377,0.027238368894229155,0.539415717124939,0.12440461665391922,0.29324182868003845,0.9263021945953369,2.001265287399292,1.2375812530517578,1.0976605415344238,-0.34815433621406555,0.24379703402519226,0.5642343163490295,0.10321803390979767,-0.8471816182136536,0.6938816905021667,0.022635633125901222,0.5787075757980347,0.8943496346473694,3.7587337493896484,1.9109282493591309,2.0921030044555664,0.15087296068668365,0.3849497139453888,0.22617359459400177,0.007776104845106602,0.9582547545433044
Chameleon,gate_gt,7:0,7,0,118,0.5843621492385864,2.8727641105651855,0.5767543911933899,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,2.589724540710449,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.022142065348660655,0.24227439033936624,-0.05592545218688014,0.023044441763991824,0.10039850492489258,0.230524857251413,0.5358383655548096,0.14024955034255981,0.2740658223628998,0.922092080116272,2.139376163482666,0.9821510314941406,1.1963493824005127,-0.4495873749256134,0.26335081458091736,0.48137766122817993,0.09157182276248932,-0.8856676816940308,0.6875394582748413,0.03493192791938782,0.5409868359565735,0.844184398651123,4.015401363372803,1.4829243421554565,2.3011269569396973,-0.013507043942809105,0.3841373324394226,0.24556715786457062,0.007144835311919451,0.9999997615814209
Chameleon,gate_gt,8:0,8,0,156,0.604938268661499,2.8587708473205566,0.594298243522644,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,2.8945212364196777,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.029326060215371208,0.2795547440950157,-0.03551631838754919,0.09749167700527517,0.31238916753075646,0.2555527586071985,0.5217318534851074,0.14880074560642242,0.29304221272468567,0.9394858479499817,2.3967185020446777,1.2493261098861694,1.352403998374939,-0.5318020582199097,0.2702116072177887,0.4855897128582001,0.08789072185754776,-0.8975551724433899,0.6696251630783081,0.025086261332035065,0.5730676054954529,0.8789883852005005,4.5232253074646,2.0130624771118164,2.616917371749878,-0.16604892909526825,0.37383848428726196,0.2725152373313904,0.01301683858036995,0.9999833106994629
Chameleon,gate_gt,9:0,9,0,92,0.5939643383026123,2.6901559829711914,0.5767543911933899,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,2.133493661880493,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.24961545359742973,0.13152237683205573,0.023300424814346958,0.03697002491444819,0.5280777808329913,0.08384694559778659,0.5527359247207642,0.17214643955230713,0.2620089650154114,0.9216153621673584,1.985678791999817,0.9735115766525269,1.160982370376587,-0.5156340003013611,0.3156101405620575,0.4660658538341522,0.08600730448961258,-0.9361743330955505,0.6238160729408264,0.028849318623542786,0.49865666031837463,0.8432307839393616,3.655747413635254,1.480957269668579,2.235957384109497,-0.09509368240833282,0.4816557466983795,0.31544357538223267,0.025361279025673866,1.0
