dataset,model,run,split,seed,best_epoch,best_val_acc,best_val_loss,test_acc_at_best_val,reliability_components,normalize_features,rw_steps,rw_samples,qk_strength_init,fixed_qk_strength,elapsed_sec,training_profile,optimizer,effective_hidden_dim,effective_dropout,effective_lr,effective_weight_decay,effective_epochs,effective_patience,selection_metric,early_stopping_rule,qk_strength_mean,qk_strength_layer1,qk_strength_layer2,qk_gamma_q_abs_dev_mean,qk_gamma_k_abs_dev_mean,qk_gamma_q_std,qk_gamma_k_std,qk_gamma_q_abs_dev_max,qk_gamma_k_abs_dev_max,gate_corr_degree,gate_corr_local_similarity,gate_corr_neighbor_variance,gate_corr_rwse_mean,gate_corr_layer1_local_similarity,gate_corr_layer2_local_similarity,gate_mean,gate_std,gate_min,gate_max,local_branch_norm_mean,global_branch_norm_mean,mixed_branch_norm_mean,local_global_cosine_mean
Chameleon,gcn_pyg,0:0,0,0,33,0.4348422586917877,1.4689407348632812,0.45394736528396606,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,0.7367308139801025,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Chameleon,gcn_pyg,1:0,1,0,23,0.4101508855819702,1.5062164068222046,0.42105263471603394,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,0.24393987655639648,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Chameleon,gcn_pyg,2:0,2,0,31,0.43621399998664856,1.4409312009811401,0.4166666567325592,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,0.2520127296447754,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Chameleon,gcn_pyg,3:0,3,0,50,0.458161860704422,1.5000793933868408,0.46271929144859314,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,0.28550052642822266,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Chameleon,gcn_pyg,4:0,4,0,21,0.4307270348072052,1.4874553680419922,0.44078949093818665,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,0.22263002395629883,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Chameleon,gcn_pyg,5:0,5,0,43,0.44307270646095276,1.488425612449646,0.4166666567325592,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,0.2799975872039795,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Chameleon,gcn_pyg,6:0,6,0,35,0.4170095920562744,1.4904032945632935,0.42105263471603394,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,0.2653796672821045,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Chameleon,gcn_pyg,7:0,7,0,26,0.42524003982543945,1.4881277084350586,0.4013157784938812,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,0.23527765274047852,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Chameleon,gcn_pyg,8:0,8,0,32,0.44581618905067444,1.4612812995910645,0.41885966062545776,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,0.2446756362915039,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Chameleon,gcn_pyg,9:0,9,0,33,0.4485596716403961,1.4651386737823486,0.41447368264198303,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,0.2551426887512207,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
