dataset,model,run,split,seed,best_epoch,best_val_acc,best_val_loss,test_acc_at_best_val,reliability_components,normalize_features,rw_steps,rw_samples,qk_strength_init,fixed_qk_strength,elapsed_sec,training_profile,optimizer,effective_hidden_dim,effective_dropout,effective_lr,effective_weight_decay,effective_epochs,effective_patience,selection_metric,early_stopping_rule,qk_strength_mean,qk_strength_layer1,qk_strength_layer2,qk_gamma_q_abs_dev_mean,qk_gamma_k_abs_dev_mean,qk_gamma_q_std,qk_gamma_k_std,qk_gamma_q_abs_dev_max,qk_gamma_k_abs_dev_max,gate_corr_degree,gate_corr_local_similarity,gate_corr_neighbor_variance,gate_corr_rwse_mean,gate_corr_layer1_local_similarity,gate_corr_layer2_local_similarity,gate_mean,gate_std,gate_min,gate_max,local_branch_norm_mean,global_branch_norm_mean,mixed_branch_norm_mean,local_global_cosine_mean,local_branch_norm_mean_layer1,global_branch_norm_mean_layer1,mixed_branch_norm_mean_layer1,local_global_cosine_mean_layer1,gate_mean_layer1,gate_std_layer1,gate_min_layer1,gate_max_layer1,local_branch_norm_mean_layer2,global_branch_norm_mean_layer2,mixed_branch_norm_mean_layer2,local_global_cosine_mean_layer2,gate_mean_layer2,gate_std_layer2,gate_min_layer2,gate_max_layer2
Chameleon,reliability_gt,0:0,0,0,131,0.5843621492385864,2.905534267425537,0.5679824352264404,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,3.9388999938964844,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,0.006901951506733894,0.006702672224491835,0.007101230788975954,0.00046695442870259285,0.00045639992458745837,0.0005060088587924838,0.0005698001477867365,0.00282365083694458,0.0033975839614868164,0.03323807698675131,-0.14040440181943994,0.34581127697323616,-0.2028429249668815,0.06784309768429757,-0.14952319815413362,0.5229904651641846,0.17209556698799133,0.2799105942249298,0.9160456657409668,1.959500789642334,1.3652904033660889,1.3275246620178223,-0.49179381132125854,0.28064534068107605,0.5460906028747559,0.08453930914402008,-0.9282615780830383,0.6996215581893921,0.033344924449920654,0.5598173141479492,0.8322899341583252,3.6383562088012695,2.184490203857422,2.570509910583496,-0.05532604455947876,0.34635934233665466,0.310846209526062,3.903022843587678e-06,0.9998013377189636
Chameleon,reliability_gt,1:0,1,0,14,0.5486968159675598,1.3672831058502197,0.5723684430122375,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,1.5218992233276367,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,0.006650164257735014,0.006693979259580374,0.006606349255889654,4.6493103582179174e-05,7.199472020147368e-05,7.8835706517566e-05,0.00011481212277431041,0.00207674503326416,0.0028758347034454346,0.2014861546304275,0.2680191285357134,-0.44085277105018733,0.11589321641041653,0.37073987077914905,0.1429321974088095,0.6532132625579834,0.08875495195388794,0.37654584646224976,0.9340071678161621,2.3927724361419678,1.5747463703155518,1.6727445125579834,-0.3694041073322296,0.43820396065711975,0.5260857343673706,0.20764268934726715,-0.7291647791862488,0.653939425945282,0.06470775604248047,0.40919065475463867,0.997138500213623,4.347341060638428,2.6234068870544434,3.1378462314605713,-0.009643441997468472,0.65248703956604,0.11280214041471481,0.3439010679721832,0.8708757758140564
Chameleon,reliability_gt,2:0,2,0,126,0.5788751840591431,3.0224311351776123,0.5745614171028137,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,2.9841129779815674,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,0.0070263182278722525,0.006693243980407715,0.00735939247533679,0.0004919286002404988,0.0004649722541216761,0.0005475658108480275,0.0005664696800522506,0.00314486026763916,0.0034545958042144775,0.06279213331287183,-0.146826973351431,0.3199767683051899,-0.16206753061522372,0.1687448564874912,-0.16796447294143643,0.5015648007392883,0.14551787078380585,0.2765151262283325,0.9838376045227051,2.2756693363189697,1.2783712148666382,1.3458212614059448,-0.3960117697715759,0.29611000418663025,0.5400259494781494,0.09026842564344406,-0.9258475303649902,0.6955003142356873,0.033406101167201996,0.5530298352241516,0.9684412479400635,4.255228519439697,2.016716480255127,2.6013741493225098,0.13382399082183838,0.3076293170452118,0.2576296329498291,4.3025519858019834e-07,0.9992339611053467
Chameleon,reliability_gt,3:0,3,0,134,0.6063100099563599,2.7973225116729736,0.5964912176132202,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,3.145155191421509,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,0.006987956585362554,0.006709094624966383,0.007266818545758724,0.0005264245555736125,0.0004181381082162261,0.0005021975375711918,0.000547184026800096,0.002739131450653076,0.0034231841564178467,-0.00819318105075171,-0.19040456917201068,0.3281389939591824,-0.1432845077943634,0.31307369131104634,-0.21586031636794067,0.5090659856796265,0.13766488432884216,0.2975921928882599,0.9239782094955444,2.049452781677246,1.1449401378631592,1.173628568649292,-0.4520236849784851,0.29911482334136963,0.5425611734390259,0.09388785064220428,-0.9246965050697327,0.694730818271637,0.02233169972896576,0.595115602016449,0.8499172925949097,3.799790620803833,1.7473191022872925,2.2533693313598633,0.020649131387472153,0.32340118288993835,0.2529980540275574,6.878280692035332e-05,0.9980390667915344
Chameleon,reliability_gt,4:0,4,0,253,0.5912208557128906,3.3787612915039062,0.5745614171028137,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,4.687103986740112,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,0.007224710658192635,0.006690762005746365,0.007758659310638905,0.000759535760153085,0.0010107114212587476,0.0008827405399642885,0.0008136074175126851,0.00316619873046875,0.0035382509231567383,0.13698640727828496,-0.19789276111746787,0.3438773099660977,-0.1414596317126097,0.059193785391198815,-0.20081227724510692,0.529468297958374,0.13920331001281738,0.2769003212451935,0.9413355588912964,2.2427380084991455,1.383406639099121,1.4490511417388916,-0.38388416171073914,0.22767867147922516,0.5433619022369385,0.08912435919046402,-0.8685787916183472,0.7297290563583374,0.024942368268966675,0.5537935495376587,0.8832698464393616,4.2577972412109375,2.2234513759613037,2.8089778423309326,0.1008104458451271,0.3292075991630554,0.2534642517566681,7.098727110133041e-06,0.9994012117385864
Chameleon,reliability_gt,5:0,5,0,150,0.6090534925460815,2.827603578567505,0.5877193212509155,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,3.3824589252471924,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,0.006896010134369135,0.006696183234453201,0.0070958370342850685,0.00047752869431860745,0.0003667421406134963,0.0005191503441892564,0.0004802719922736287,0.002625584602355957,0.0033588409423828125,0.15522582074047384,-0.14171840043931608,0.3943764330312327,-0.10880964987774594,0.4573413710523666,-0.18503738881616547,0.5025991201400757,0.15400739014148712,0.27882063388824463,0.9933449029922485,2.2825117111206055,1.1385078430175781,1.2375074625015259,-0.4912557005882263,0.28374406695365906,0.547607421875,0.09539206326007843,-0.9094964265823364,0.7036020755767822,0.028136437758803368,0.5576409697532654,0.9871145486831665,4.281279563903809,1.7294081449508667,2.3796229362487793,-0.07301498204469681,0.30159613490104675,0.2798783481121063,3.2128519933394273e-07,0.9995751976966858
Chameleon,reliability_gt,6:0,6,0,40,0.604938268661499,2.2233710289001465,0.5635964870452881,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,1.861368179321289,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,0.006707055494189262,0.006684693042188883,0.006729417946189642,0.00019377762509975582,0.00016693241195753217,0.00024545853375457227,0.00024299674259964377,0.0022736787796020508,0.0031427741050720215,0.1218143492267619,-0.20499605041262195,0.5045494568949207,-0.17995622986125595,-0.06734430771274282,-0.1998740848776261,0.5295260548591614,0.12893763184547424,0.26412856578826904,0.8621804714202881,1.9848910570144653,0.789260983467102,1.0720524787902832,-0.46371039748191833,0.3333447575569153,0.5220724940299988,0.08261626958847046,-0.9507869482040405,0.6411215662956238,0.016116991639137268,0.527423083782196,0.7301129102706909,3.63643741607666,1.05644953250885,2.061488628387451,0.023366134613752365,0.41793057322502136,0.2417582869529724,0.0008340385393239558,0.9942480325698853
Chameleon,reliability_gt,7:0,7,0,171,0.6021947860717773,2.971111297607422,0.5986841917037964,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,3.70070219039917,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,0.0071640582755208015,0.006689402740448713,0.00763871381059289,0.0005955252563580871,0.00044648273615166545,0.0006046233465895057,0.0005690138204954565,0.0028635263442993164,0.0034321248531341553,-0.016372840724785745,0.07063088159549928,0.15555627881591033,0.026794726915004112,0.4147852489713187,0.030226677759747637,0.5591251850128174,0.16296130418777466,0.2932772636413574,0.9834496974945068,2.2219038009643555,0.9964761734008789,1.4284220933914185,-0.39406871795654297,0.24157999455928802,0.5235912203788757,0.08898773789405823,-0.8762155771255493,0.7032768130302429,0.028871791437268257,0.5776764154434204,0.9669199585914612,4.202227592468262,1.4693611860275269,2.7678563594818115,0.08807812631130219,0.41497355699539185,0.297050803899765,0.008878111839294434,0.9999794960021973
Chameleon,reliability_gt,8:0,8,0,78,0.5912208557128906,2.7112176418304443,0.5855263471603394,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,2.401803493499756,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,0.00705358199775219,0.006698425859212875,0.007408738136291504,0.0005154311656951904,0.00036051723873242736,0.00044623774010688066,0.000469168066047132,0.0026851892471313477,0.00342404842376709,-0.06792057659167952,-0.12214776125235433,0.3345268404309165,-0.10842910991409004,0.5217590213944726,-0.16230624304033567,0.5272766351699829,0.1898416429758072,0.2624989449977875,0.9592469930648804,2.0611202716827393,1.0178110599517822,1.2235134840011597,-0.49045175313949585,0.3060757517814636,0.5112550258636475,0.0838858112692833,-0.9416458010673523,0.6571966409683228,0.028020935133099556,0.5247244834899902,0.9187555313110352,3.81616473197937,1.5243672132492065,2.3631410598754883,-0.03925768658518791,0.39735665917396545,0.3516623377799988,0.00027338939253240824,0.9997385144233704
Chameleon,reliability_gt,9:0,9,0,184,0.6035665273666382,2.953969955444336,0.5789473652839661,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,3.6353392601013184,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,0.006978143006563187,0.006705256644636393,0.007251029368489981,0.0005668798112310469,0.0006302150432020426,0.0006332268239930272,0.0007269962225109339,0.0026702284812927246,0.0034002959728240967,-0.05617773308316476,0.06070268264020644,0.29232571305471494,-0.009433465017757226,0.6424372407762364,-0.011432243503858755,0.5582374930381775,0.16493776440620422,0.30004778504371643,0.9982941150665283,2.425844669342041,1.6164590120315552,1.6986455917358398,-0.29923635721206665,0.2776845097541809,0.5302035212516785,0.11131887882947922,-0.8757524490356445,0.7138568162918091,0.03292350843548775,0.5881229639053345,0.9970844388008118,4.574004650115967,2.702714443206787,3.2859723567962646,0.2772797644138336,0.4026181995868683,0.2969520092010498,0.011972627602517605,0.9995038509368896
