dataset,model,run,split,seed,best_epoch,best_val_acc,best_val_loss,test_acc_at_best_val,reliability_components,normalize_features,rw_steps,rw_samples,qk_strength_init,fixed_qk_strength,elapsed_sec,training_profile,optimizer,effective_hidden_dim,effective_dropout,effective_lr,effective_weight_decay,effective_epochs,effective_patience,selection_metric,early_stopping_rule,qk_strength_mean,qk_strength_layer1,qk_strength_layer2,qk_gamma_q_abs_dev_mean,qk_gamma_k_abs_dev_mean,qk_gamma_q_std,qk_gamma_k_std,qk_gamma_q_abs_dev_max,qk_gamma_k_abs_dev_max,gate_corr_degree,gate_corr_local_similarity,gate_corr_neighbor_variance,gate_corr_rwse_mean,gate_corr_layer1_local_similarity,gate_corr_layer2_local_similarity,gate_mean,gate_std,gate_min,gate_max,local_branch_norm_mean,global_branch_norm_mean,mixed_branch_norm_mean,local_global_cosine_mean,local_branch_norm_mean_layer1,global_branch_norm_mean_layer1,mixed_branch_norm_mean_layer1,local_global_cosine_mean_layer1,gate_mean_layer1,gate_std_layer1,gate_min_layer1,gate_max_layer1,local_branch_norm_mean_layer2,global_branch_norm_mean_layer2,mixed_branch_norm_mean_layer2,local_global_cosine_mean_layer2,gate_mean_layer2,gate_std_layer2,gate_min_layer2,gate_max_layer2
Citeseer,gate_gt,0:0,0,0,176,0.6480000019073486,2.3626046180725098,0.6190000176429749,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,3.6794416904449463,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.36387354139858347,0.10803264290317187,-0.3122641984629855,0.30377228243846677,0.12417729195426051,0.09289742943106108,0.6075712442398071,0.13831277191638947,0.27700796723365784,0.8880699872970581,3.1644022464752197,1.0310468673706055,1.807937741279602,-0.48521560430526733,0.3245253562927246,0.6551108360290527,0.06935705989599228,-0.9587864279747009,0.6845303177833557,0.03897308185696602,0.48264646530151367,0.8144391775131226,6.004279136657715,1.4069828987121582,3.546518325805664,-0.011644778773188591,0.5306121110916138,0.23765245079994202,0.0713694617152214,0.9617007374763489
Citeseer,gate_gt,0:1,0,1,39,0.6420000195503235,1.6726642847061157,0.6130000352859497,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,1.5925111770629883,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.4204766700772507,0.033935321349662415,-0.3785153273779585,0.26058859371832677,-0.1916749650134676,0.08190480784986387,0.6283535957336426,0.16995851695537567,0.30616894364356995,0.9179025888442993,3.1264090538024902,1.297736644744873,1.9355058670043945,-0.49551907181739807,0.37452369928359985,0.6975148916244507,0.09692211449146271,-0.935036301612854,0.6611546277999878,0.06768061965703964,0.5205284357070923,0.8383489847183228,5.878294467926025,1.8979583978652954,3.7740895748138428,-0.05600183084607124,0.5955526232719421,0.2722364068031311,0.0918094739317894,0.9974561333656311
Citeseer,gate_gt,0:2,0,2,59,0.6640000343322754,1.624532699584961,0.6650000214576721,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,1.8043467998504639,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.023957302830226793,-0.08706699682441073,0.06850086196258505,-0.06816859899833409,0.4042756172510292,-0.1513823082270781,0.6475033760070801,0.14901995658874512,0.31324538588523865,0.9229303598403931,3.488213300704956,0.9687350392341614,2.1651899814605713,-0.5106242299079895,0.3466606140136719,0.6631302833557129,0.08069759607315063,-0.9496700763702393,0.6801455616950989,0.04079993814229965,0.5263183116912842,0.8473039865493774,6.62976598739624,1.2743397951126099,4.249682426452637,-0.07157835364341736,0.614861249923706,0.25723996758461,0.10017247498035431,0.9985567927360535
Citeseer,gate_gt,0:3,0,3,183,0.6460000276565552,2.157348871231079,0.6370000243186951,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,3.2255468368530273,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.019225024343431416,-0.04341625813624321,0.030710191676627856,-0.03291326159436944,-0.002024407512223311,-0.04073213186612832,0.5860985517501831,0.08258728682994843,0.381742388010025,0.8757903575897217,3.095841884613037,0.9961203336715698,1.4038103818893433,-0.4752536118030548,0.30714499950408936,0.7273435592651367,0.08241250365972519,-0.943204402923584,0.7290086150169373,0.048855338245630264,0.5406326055526733,0.9686405062675476,5.884538650512695,1.264897108078003,2.725208282470703,-0.007302832789719105,0.44318848848342896,0.11631923168897629,0.22285215556621552,0.7829402089118958
Citeseer,gate_gt,0:4,0,4,42,0.64000004529953,1.6034785509109497,0.6420000195503235,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,1.5667879581451416,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.06247892352953306,0.049418758492622034,-0.057420179431686307,-0.010416173149269148,0.27618948185224357,-0.04193121585783765,0.6006767749786377,0.08591068536043167,0.3681109547615051,0.8880743980407715,3.111762285232544,1.4113996028900146,1.9397345781326294,-0.3570098876953125,0.44514182209968567,0.723979651927948,0.10253581404685974,-0.9396511912345886,0.6175934672355652,0.043430835008621216,0.5102328658103943,0.8308113217353821,5.778382778167725,2.0988194942474365,3.776933431625366,0.22563141584396362,0.583760142326355,0.12839053571224213,0.22598907351493835,0.9453374743461609
Citeseer,gate_gt,0:5,0,5,62,0.6380000114440918,1.7934656143188477,0.6050000190734863,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,1.757322072982788,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.41510113640891894,0.10925114471269591,-0.3715539823357069,0.4126416239006626,-0.13705835397531516,0.1459391904085608,0.5595149993896484,0.12575224041938782,0.3379368185997009,0.9077131748199463,2.8704745769500732,1.134346604347229,1.4459854364395142,-0.48289430141448975,0.36916953325271606,0.6643816232681274,0.06811035424470901,-0.9658190011978149,0.6557701230049133,0.04526564106345177,0.539321780204773,0.8307334780693054,5.371779441833496,1.6043115854263306,2.8238604068756104,3.0418112146435305e-05,0.46325987577438354,0.20623883605003357,0.13655182719230652,0.9846928119659424
Citeseer,gate_gt,0:6,0,6,68,0.6460000276565552,1.8954551219940186,0.6210000514984131,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,1.845360517501831,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.4093164725808843,0.11929102072962346,-0.38097128275079806,0.3172990825441436,-0.06249614523162547,0.13171943496055497,0.6758589744567871,0.18457560241222382,0.30036699771881104,0.9529913663864136,2.890054225921631,1.9355769157409668,2.2166085243225098,-0.5926257967948914,0.32564881443977356,0.6300773024559021,0.07314737141132355,-0.9547830820083618,0.6764127612113953,0.051708947867155075,0.5745680332183838,0.906120777130127,5.4544596672058105,3.2410764694213867,4.360069751739502,-0.23046846687793732,0.6753052473068237,0.31744226813316345,0.026165932416915894,0.9998619556427002
Citeseer,gate_gt,0:7,0,7,153,0.6580000519752502,1.9174352884292603,0.6390000581741333,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,2.8284189701080322,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.033242840817308925,-0.19502109904810858,0.028776015153092468,0.11280132346614685,-0.48155049568076025,-0.09791610146168411,0.5802926421165466,0.12957453727722168,0.3307424485683441,0.9311043620109558,3.2878217697143555,1.6727514266967773,1.6703461408615112,-0.5245808959007263,0.3385029137134552,0.6429266929626465,0.11852101236581802,-0.8878338932991028,0.7130861282348633,0.048391006886959076,0.6159974932670593,0.8667030334472656,6.237140655517578,2.702576160430908,3.2221713066101074,-0.16132786870002747,0.4474991261959076,0.21075807511806488,0.04548739641904831,0.995505690574646
Citeseer,gate_gt,0:8,0,8,131,0.6480000019073486,2.061922550201416,0.6350000500679016,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,2.60486102104187,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.23074397270415828,0.013944709250992865,0.22285911652316298,-0.2132577610472931,-0.043208780275232506,0.021961931934402327,0.601488471031189,0.12690353393554688,0.2076641172170639,0.8574932217597961,2.8529951572418213,0.944128155708313,1.6015042066574097,-0.4474368691444397,0.358562171459198,0.5988128781318665,0.06766354292631149,-0.9651468992233276,0.651260495185852,0.04165571182966232,0.3418278396129608,0.7281889319419861,5.347428321838379,1.2894433736801147,3.135344982147217,0.07027316093444824,0.5517165064811707,0.21215136349201202,0.07350040227174759,0.9867975115776062
Citeseer,gate_gt,0:9,0,9,92,0.6140000224113464,2.22760009765625,0.5960000157356262,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,2.155421257019043,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.11127914250167326,0.14406556569680867,-0.10508285243274697,0.21845412478946158,0.14996397692353283,0.12496490423261096,0.5800102353096008,0.11053550988435745,0.35590606927871704,0.8760896921157837,3.0351815223693848,0.9276424646377563,1.5144609212875366,-0.49984487891197205,0.3229358196258545,0.6322100758552551,0.06919600069522858,-0.9590227603912354,0.6772063970565796,0.031749069690704346,0.6109021902084351,0.8362926840782166,5.747426986694336,1.2230747938156128,2.959725856781006,-0.04066697880625725,0.48281410336494446,0.18932195007801056,0.10090997815132141,0.9158867001533508
