dataset,model,run,split,seed,best_epoch,best_val_acc,best_val_loss,test_acc_at_best_val,reliability_components,normalize_features,rw_steps,rw_samples,qk_strength_init,fixed_qk_strength,elapsed_sec,training_profile,optimizer,effective_hidden_dim,effective_dropout,effective_lr,effective_weight_decay,effective_epochs,effective_patience,selection_metric,early_stopping_rule,qk_strength_mean,qk_strength_layer1,qk_strength_layer2,qk_gamma_q_abs_dev_mean,qk_gamma_k_abs_dev_mean,qk_gamma_q_std,qk_gamma_k_std,qk_gamma_q_abs_dev_max,qk_gamma_k_abs_dev_max,gate_corr_degree,gate_corr_local_similarity,gate_corr_neighbor_variance,gate_corr_rwse_mean,gate_corr_layer1_local_similarity,gate_corr_layer2_local_similarity,gate_mean,gate_std,gate_min,gate_max,local_branch_norm_mean,global_branch_norm_mean,mixed_branch_norm_mean,local_global_cosine_mean
Citeseer,gcn,0:0,0,0,105,0.7080000042915344,1.2644506692886353,0.6930000185966492,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,1.200873851776123,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Citeseer,gcn,0:1,0,1,87,0.7200000286102295,1.3449397087097168,0.7010000348091125,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,0.5798413753509521,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Citeseer,gcn,0:2,0,2,104,0.7040000557899475,1.3068046569824219,0.6850000619888306,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,0.6417026519775391,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Citeseer,gcn,0:3,0,3,73,0.6940000057220459,1.4302210807800293,0.6770000457763672,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,0.5371367931365967,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Citeseer,gcn,0:4,0,4,87,0.6980000138282776,1.299111008644104,0.6890000104904175,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,0.5755946636199951,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Citeseer,gcn,0:5,0,5,84,0.706000030040741,1.3372509479522705,0.6910000443458557,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,0.5653445720672607,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Citeseer,gcn,0:6,0,6,81,0.7120000123977661,1.3764920234680176,0.6930000185966492,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,0.5628640651702881,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Citeseer,gcn,0:7,0,7,114,0.7020000219345093,1.229103684425354,0.6880000233650208,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,0.6517884731292725,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Citeseer,gcn,0:8,0,8,79,0.6680000424385071,1.5191892385482788,0.6350000500679016,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,0.5499980449676514,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Citeseer,gcn,0:9,0,9,97,0.7120000123977661,1.2360813617706299,0.690000057220459,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,0.6090149879455566,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
