dataset,model,run,split,seed,best_epoch,best_val_acc,best_val_loss,test_acc_at_best_val,reliability_components,normalize_features,rw_steps,rw_samples,qk_strength_init,fixed_qk_strength,elapsed_sec,training_profile,optimizer,effective_hidden_dim,effective_dropout,effective_lr,effective_weight_decay,effective_epochs,effective_patience,selection_metric,early_stopping_rule,qk_strength_mean,qk_strength_layer1,qk_strength_layer2,qk_gamma_q_abs_dev_mean,qk_gamma_k_abs_dev_mean,qk_gamma_q_std,qk_gamma_k_std,qk_gamma_q_abs_dev_max,qk_gamma_k_abs_dev_max,gate_corr_degree,gate_corr_local_similarity,gate_corr_neighbor_variance,gate_corr_rwse_mean,gate_corr_layer1_local_similarity,gate_corr_layer2_local_similarity,gate_mean,gate_std,gate_min,gate_max,local_branch_norm_mean,global_branch_norm_mean,mixed_branch_norm_mean,local_global_cosine_mean
Citeseer,gcn_pyg,0:0,0,0,84,0.7020000219345093,1.2109804153442383,0.6970000267028809,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,0.8841898441314697,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Citeseer,gcn_pyg,0:1,0,1,67,0.690000057220459,1.3456320762634277,0.6920000314712524,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,0.3512434959411621,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Citeseer,gcn_pyg,0:2,0,2,55,0.7100000381469727,1.4298967123031616,0.6830000281333923,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,0.32875967025756836,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Citeseer,gcn_pyg,0:3,0,3,62,0.7240000367164612,1.3802855014801025,0.6880000233650208,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,0.32343506813049316,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Citeseer,gcn_pyg,0:4,0,4,25,0.706000030040741,1.681979775428772,0.7000000476837158,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,0.24664711952209473,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Citeseer,gcn_pyg,0:5,0,5,60,0.7200000286102295,1.387138843536377,0.6980000138282776,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,0.311077356338501,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Citeseer,gcn_pyg,0:6,0,6,45,0.7100000381469727,1.5208837985992432,0.6950000524520874,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,0.28647756576538086,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Citeseer,gcn_pyg,0:7,0,7,76,0.706000030040741,1.2659847736358643,0.6930000185966492,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,0.3377716541290283,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Citeseer,gcn_pyg,0:8,0,8,8,0.7140000462532043,1.7634961605072021,0.6910000443458557,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,0.20827436447143555,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Citeseer,gcn_pyg,0:9,0,9,47,0.7240000367164612,1.5075064897537231,0.6940000057220459,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,0.2885136604309082,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
