dataset,model,run,split,seed,best_epoch,best_val_acc,best_val_loss,test_acc_at_best_val,reliability_components,normalize_features,rw_steps,rw_samples,qk_strength_init,fixed_qk_strength,elapsed_sec,training_profile,optimizer,effective_hidden_dim,effective_dropout,effective_lr,effective_weight_decay,effective_epochs,effective_patience,selection_metric,early_stopping_rule,qk_strength_mean,qk_strength_layer1,qk_strength_layer2,qk_gamma_q_abs_dev_mean,qk_gamma_k_abs_dev_mean,qk_gamma_q_std,qk_gamma_k_std,qk_gamma_q_abs_dev_max,qk_gamma_k_abs_dev_max,gate_corr_degree,gate_corr_local_similarity,gate_corr_neighbor_variance,gate_corr_rwse_mean,gate_corr_layer1_local_similarity,gate_corr_layer2_local_similarity,gate_mean,gate_std,gate_min,gate_max,local_branch_norm_mean,global_branch_norm_mean,mixed_branch_norm_mean,local_global_cosine_mean
Cora,gcn,0:0,0,0,192,0.796000063419342,0.7699677348136902,0.815000057220459,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,1.5244801044464111,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Cora,gcn,0:1,0,1,235,0.7940000295639038,0.7160705924034119,0.8060000538825989,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,0.9746286869049072,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Cora,gcn,0:2,0,2,175,0.7880000472068787,0.8193373084068298,0.8030000329017639,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,0.8115568161010742,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Cora,gcn,0:3,0,3,168,0.7940000295639038,0.7965756058692932,0.8140000104904175,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,0.7842082977294922,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Cora,gcn,0:4,0,4,133,0.7900000214576721,0.9141983985900879,0.8070000410079956,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,0.6963768005371094,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Cora,gcn,0:5,0,5,169,0.7900000214576721,0.7904729843139648,0.8100000619888306,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,0.8033912181854248,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Cora,gcn,0:6,0,6,121,0.800000011920929,0.9798900485038757,0.815000057220459,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,0.6492719650268555,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Cora,gcn,0:7,0,7,140,0.7940000295639038,0.9056366086006165,0.8100000619888306,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,0.6978468894958496,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Cora,gcn,0:8,0,8,100,0.7940000295639038,1.1604912281036377,0.7990000247955322,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,0.5962255001068115,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Cora,gcn,0:9,0,9,168,0.8020000457763672,0.8228590488433838,0.8090000152587891,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,0.7908868789672852,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
