dataset,model,run,split,seed,best_epoch,best_val_acc,best_val_loss,test_acc_at_best_val,reliability_components,normalize_features,rw_steps,rw_samples,qk_strength_init,fixed_qk_strength,elapsed_sec,training_profile,optimizer,effective_hidden_dim,effective_dropout,effective_lr,effective_weight_decay,effective_epochs,effective_patience,selection_metric,early_stopping_rule,qk_strength_mean,qk_strength_layer1,qk_strength_layer2,qk_gamma_q_abs_dev_mean,qk_gamma_k_abs_dev_mean,qk_gamma_q_std,qk_gamma_k_std,qk_gamma_q_abs_dev_max,qk_gamma_k_abs_dev_max,gate_corr_degree,gate_corr_local_similarity,gate_corr_neighbor_variance,gate_corr_rwse_mean,gate_corr_layer1_local_similarity,gate_corr_layer2_local_similarity,gate_mean,gate_std,gate_min,gate_max,local_branch_norm_mean,global_branch_norm_mean,mixed_branch_norm_mean,local_global_cosine_mean
Pubmed,gcn,0:0,0,0,196,0.7860000133514404,0.5625201463699341,0.7610000371932983,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,1.6167528629302979,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Pubmed,gcn,0:1,0,1,160,0.7800000309944153,0.5751283168792725,0.76500004529953,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,0.9503955841064453,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Pubmed,gcn,0:2,0,2,163,0.7800000309944153,0.5692031383514404,0.7610000371932983,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,0.960594892501831,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Pubmed,gcn,0:3,0,3,170,0.7800000309944153,0.5709881782531738,0.7640000581741333,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,0.9656727313995361,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Pubmed,gcn,0:4,0,4,186,0.7760000228881836,0.5700912475585938,0.7630000114440918,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,1.0096752643585205,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Pubmed,gcn,0:5,0,5,131,0.7780000567436218,0.5902605652809143,0.76500004529953,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,0.8209536075592041,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Pubmed,gcn,0:6,0,6,154,0.784000039100647,0.5699642300605774,0.7600000500679016,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,0.9031083583831787,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Pubmed,gcn,0:7,0,7,182,0.784000039100647,0.5637514591217041,0.7670000195503235,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,1.0214409828186035,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Pubmed,gcn,0:8,0,8,141,0.7800000309944153,0.5793573260307312,0.7670000195503235,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,0.9079372882843018,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Pubmed,gcn,0:9,0,9,177,0.784000039100647,0.5608894228935242,0.7690000534057617,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,0.9932317733764648,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
