dataset,model,run,split,seed,best_epoch,best_val_acc,best_val_loss,test_acc_at_best_val,reliability_components,normalize_features,rw_steps,rw_samples,qk_strength_init,fixed_qk_strength,elapsed_sec,training_profile,optimizer,effective_hidden_dim,effective_dropout,effective_lr,effective_weight_decay,effective_epochs,effective_patience,selection_metric,early_stopping_rule,qk_strength_mean,qk_strength_layer1,qk_strength_layer2,qk_gamma_q_abs_dev_mean,qk_gamma_k_abs_dev_mean,qk_gamma_q_std,qk_gamma_k_std,qk_gamma_q_abs_dev_max,qk_gamma_k_abs_dev_max,gate_corr_degree,gate_corr_local_similarity,gate_corr_neighbor_variance,gate_corr_rwse_mean,gate_corr_layer1_local_similarity,gate_corr_layer2_local_similarity,gate_mean,gate_std,gate_min,gate_max,local_branch_norm_mean,global_branch_norm_mean,mixed_branch_norm_mean,local_global_cosine_mean
Pubmed,gcn_pyg,0:0,0,0,124,0.7860000133514404,0.5629080533981323,0.7680000066757202,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,1.011965274810791,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Pubmed,gcn_pyg,0:1,0,1,142,0.7880000472068787,0.5505506992340088,0.7670000195503235,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,0.5689949989318848,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Pubmed,gcn_pyg,0:2,0,2,142,0.7900000214576721,0.5491757392883301,0.7710000276565552,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,0.5628447532653809,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Pubmed,gcn_pyg,0:3,0,3,105,0.7820000648498535,0.5805838108062744,0.7710000276565552,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,0.4761800765991211,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Pubmed,gcn_pyg,0:4,0,4,101,0.784000039100647,0.5876514911651611,0.7680000066757202,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,0.46767306327819824,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Pubmed,gcn_pyg,0:5,0,5,119,0.7920000553131104,0.5610259771347046,0.76500004529953,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,0.507866621017456,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Pubmed,gcn_pyg,0:6,0,6,115,0.784000039100647,0.5631433725357056,0.7760000228881836,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,0.5017280578613281,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Pubmed,gcn_pyg,0:7,0,7,129,0.7880000472068787,0.5643397569656372,0.76500004529953,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,0.569197416305542,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Pubmed,gcn_pyg,0:8,0,8,130,0.7860000133514404,0.5671606659889221,0.7670000195503235,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,0.6031250953674316,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Pubmed,gcn_pyg,0:9,0,9,119,0.784000039100647,0.568253219127655,0.7690000534057617,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,0.5819971561431885,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
