dataset,model,run,split,seed,best_epoch,best_val_acc,best_val_loss,test_acc_at_best_val,reliability_components,normalize_features,rw_steps,rw_samples,qk_strength_init,fixed_qk_strength,elapsed_sec,training_profile,optimizer,effective_hidden_dim,effective_dropout,effective_lr,effective_weight_decay,effective_epochs,effective_patience,selection_metric,early_stopping_rule,qk_strength_mean,qk_strength_layer1,qk_strength_layer2,qk_gamma_q_abs_dev_mean,qk_gamma_k_abs_dev_mean,qk_gamma_q_std,qk_gamma_k_std,qk_gamma_q_abs_dev_max,qk_gamma_k_abs_dev_max,gate_corr_degree,gate_corr_local_similarity,gate_corr_neighbor_variance,gate_corr_rwse_mean,gate_corr_layer1_local_similarity,gate_corr_layer2_local_similarity,gate_mean,gate_std,gate_min,gate_max,local_branch_norm_mean,global_branch_norm_mean,mixed_branch_norm_mean,local_global_cosine_mean,local_branch_norm_mean_layer1,global_branch_norm_mean_layer1,mixed_branch_norm_mean_layer1,local_global_cosine_mean_layer1,gate_mean_layer1,gate_std_layer1,gate_min_layer1,gate_max_layer1,local_branch_norm_mean_layer2,global_branch_norm_mean_layer2,mixed_branch_norm_mean_layer2,local_global_cosine_mean_layer2,gate_mean_layer2,gate_std_layer2,gate_min_layer2,gate_max_layer2
Pubmed,reliability_gt,0:0,0,0,47,0.7360000610351562,1.3898056745529175,0.7430000305175781,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,5.415597200393677,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,0.0067697386257350445,0.0066940560936927795,0.006845421157777309,0.00018178696336690336,0.0001902175572467968,0.00024224197841249406,0.0002484950528014451,0.0021744966506958008,0.0021834969520568848,-0.4271904668405462,0.6279521504327471,-0.44358527768717354,0.03669449421433262,0.5152190701647643,0.44999694048167355,0.6535864472389221,0.13710886240005493,0.16178292036056519,0.9989166259765625,3.460106134414673,1.201075792312622,2.0319740772247314,-0.3979276418685913,0.26998013257980347,0.6190670132637024,0.14916616678237915,-0.7642072439193726,0.7464335560798645,0.1378071904182434,0.17955172061920166,0.9978331923484802,6.650232315063477,1.7830846309661865,3.9147818088531494,-0.03164801001548767,0.5607393383979797,0.13641053438186646,0.1440141201019287,1.0
Pubmed,reliability_gt,0:1,0,1,53,0.734000027179718,1.500126838684082,0.7280000448226929,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,4.906012296676636,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,0.006826659664511681,0.0066916365176439285,0.006961682811379433,0.0003466840134933591,0.00034311364288441837,0.00039318660856224597,0.00046347599709406495,0.002197742462158203,0.0026096701622009277,-0.17735697462989816,0.3297134663864825,-0.13486791264294407,-0.021219587294730557,0.590759216488599,0.19282863673640221,0.6295530796051025,0.1998816728591919,0.29460811614990234,0.9998287558555603,3.0855278968811035,1.4444314241409302,1.8417986631393433,-0.14922773838043213,0.2286713719367981,0.7409239411354065,0.1823856383562088,-0.4734059274196625,0.8166735172271729,0.09220890700817108,0.5349712371826172,0.9999977350234985,5.942384243011475,2.1479389667510986,3.501211643218994,0.17495043575763702,0.442432701587677,0.3075544238090515,0.05424496904015541,0.9996597766876221
Pubmed,reliability_gt,0:2,0,2,163,0.7400000095367432,1.9542624950408936,0.7380000352859497,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,8.343288660049438,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,0.006860313238576055,0.006693050265312195,0.007027576211839914,0.000242379421251826,0.0002714731963351369,0.0003614684974309057,0.00038269226206466556,0.0023404955863952637,0.002255082130432129,-0.20701717361045596,-0.034003670942944174,-0.21695037615500123,-0.04866026990248011,0.2965366737575004,-0.08064728151595323,0.6540558338165283,0.24971166253089905,0.21129819750785828,0.9395924806594849,3.3832695484161377,1.691911220550537,2.780622720718384,-0.4019711911678314,0.3122093081474304,0.553058922290802,0.11741016805171967,-0.8509865999221802,0.6624132990837097,0.06725846230983734,0.4225890040397644,0.8791849613189697,6.454329967498779,2.830763578414917,5.443835258483887,0.04704422131180763,0.6456983685493469,0.43216487765312195,7.378755071840715e-06,1.0
Pubmed,reliability_gt,0:3,0,3,31,0.7360000610351562,1.2591766119003296,0.7470000386238098,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,4.231919765472412,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,0.006817793473601341,0.006692176219075918,0.006943410728126764,0.0001784407504601404,0.00027012391365133226,0.0002564001188147813,0.0003825657186098397,0.0020471811294555664,0.002149432897567749,-0.1611546280791335,0.35225168449438965,-0.10364459969679894,-0.1969803840716484,0.47760925883114086,0.2521566169557842,0.5979761481285095,0.2640138268470764,0.1402081698179245,0.9966733455657959,2.7871341705322266,1.5009633302688599,1.8834336996078491,-0.4284946322441101,0.3050794303417206,0.6055282950401306,0.15042898058891296,-0.7698730230331421,0.6915993094444275,0.12082014232873917,0.28041476011276245,0.9937864542007446,5.26918888092041,2.3963983058929443,3.616438388824463,-0.08711627125740051,0.5043529868125916,0.40720751881599426,1.5928544598864391e-06,0.9995602965354919
Pubmed,reliability_gt,0:4,0,4,73,0.7600000500679016,1.4242650270462036,0.737000048160553,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,5.577519655227661,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,0.006792864995077252,0.006693921983242035,0.00689180800691247,0.00017512845806777477,0.0002717495954129845,0.0002622126485221088,0.0003488158399704844,0.002429872751235962,0.0024025142192840576,0.053361504619659945,0.015774346775668316,0.0740753646023536,0.04357373002228824,-0.5889335899520223,0.13192640122737032,0.7519570589065552,0.11715379357337952,0.36098647117614746,0.991527259349823,3.0152127742767334,1.2589526176452637,2.1293270587921143,-0.3668895661830902,0.3255167007446289,0.6015208959579468,0.22277086973190308,-0.704406201839447,0.8404302000999451,0.03870585188269615,0.6596870422363281,0.9878425598144531,5.704908847808838,1.9163844585418701,4.03588342666626,-0.02937294915318489,0.6634839177131653,0.19560173153877258,0.062285907566547394,0.9952119588851929
Pubmed,reliability_gt,0:5,0,5,315,0.7440000176429749,1.4554352760314941,0.703000009059906,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,13.268532752990723,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,0.00670129107311368,0.006685551255941391,0.006717030890285969,0.00041204155422747135,0.0005515883094631135,0.000647913315333426,0.0007343982579186559,0.0026844441890716553,0.0026569664478302,-0.002463045912047575,0.022763455669680212,0.04452005918283281,0.11001108167716668,0.037018484319812896,0.018331490005174617,0.5864400863647461,0.1910707950592041,0.3826320767402649,0.9993687868118286,4.273248195648193,2.5276505947113037,2.6549017429351807,-0.017543770372867584,0.3227793872356415,0.6395185589790344,0.31094270944595337,0.12971706688404083,0.873993992805481,0.041127823293209076,0.7652108073234558,0.9996340274810791,8.223716735839844,4.415782451629639,4.998860836029053,-0.164804607629776,0.29888615012168884,0.34101375937461853,5.3330226364778355e-05,0.9991036057472229
Pubmed,reliability_gt,0:6,0,6,24,0.734000027179718,0.9230527281761169,0.7350000143051147,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,3.9638335704803467,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,0.00660019600763917,0.006690616253763437,0.006509775761514902,0.00010065142123494297,0.00012639493797905743,0.0001624693104531616,0.00019031830015592277,0.0020159482955932617,0.0021083950996398926,0.06855185716969185,0.48303606431241247,-0.004615062735474428,0.16073647175054298,0.6639446178145768,-0.030230434218403022,0.6444312334060669,0.10060292482376099,0.3556380867958069,0.9743154048919678,2.3289549350738525,1.4625743627548218,1.6231125593185425,-0.3073929250240326,0.43262526392936707,0.6053767204284668,0.20767807960510254,-0.7504892349243164,0.6512182354927063,0.09440823644399643,0.37537649273872375,0.9999945163726807,4.225284576416016,2.3197720050811768,3.0385470390319824,0.13570336997509003,0.6376442313194275,0.10679761320352554,0.33589968085289,0.9486363530158997
Pubmed,reliability_gt,0:7,0,7,77,0.7220000624656677,1.8063111305236816,0.7210000157356262,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,5.7301177978515625,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,0.006656571524217725,0.006692254915833473,0.006620888132601976,0.00024393622879870236,0.00026870545116253197,0.00031251637847162783,0.0003586937382351607,0.002400219440460205,0.0025797784328460693,-0.21215423341653528,0.4048306095133587,-0.11961800999385333,-0.21061444500083773,0.253030451702569,0.3657904557711717,0.5034673810005188,0.21209901571273804,0.07688088715076447,0.99379962682724,2.981499671936035,1.234600305557251,1.4229134321212769,-0.29910969734191895,0.3016984760761261,0.5384144186973572,0.11598159372806549,-0.8512403964996338,0.650410532951355,0.124483123421669,0.14744217693805695,0.9876011610031128,5.6613006591796875,1.9307861328125,2.7298452854156494,0.2530210316181183,0.3565242290496826,0.29971492290496826,0.0063195908442139626,0.9999980926513672
Pubmed,reliability_gt,0:8,0,8,154,0.7500000596046448,1.6126794815063477,0.7480000257492065,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,7.998646974563599,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,0.007125198841094971,0.006694873329252005,0.007555524352937937,0.00032682978780940175,0.0003587558458093554,0.0003944443888030946,0.000497454428113997,0.002420663833618164,0.0025835633277893066,-0.09654773535048448,0.22815571458526615,-0.04383442089943696,-0.10693113348154228,0.26131841753597734,0.18187138442977532,0.5859982967376709,0.184283047914505,0.23083095252513885,0.9920310974121094,3.1909351348876953,1.407152771949768,1.924045443534851,-0.3641935884952545,0.2715844213962555,0.6191087365150452,0.13622096180915833,-0.7542431354522705,0.7050666213035583,0.07155811041593552,0.45782968401908875,0.9881395101547241,6.110285758972168,2.1951968669891357,3.711869955062866,0.025855964049696922,0.46692991256713867,0.2970079779624939,0.003832214279100299,0.9959226846694946
Pubmed,reliability_gt,0:9,0,9,48,0.7500000596046448,1.3703886270523071,0.7400000095367432,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,4.75947904586792,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,0.006660553859546781,0.006692575290799141,0.00662853242829442,9.464727918384597e-05,0.0001228958717547357,0.00014195640687830746,0.00018889096099883318,0.0019890666007995605,0.002005070447921753,0.03993883033824487,0.15613173491718585,-0.012996265628854383,-0.11011761441333003,0.7411979435831748,-0.008234370091919112,0.7059266567230225,0.1866813600063324,0.26029813289642334,0.9694180488586426,3.544158935546875,1.587100863456726,2.8192474842071533,-0.506056547164917,0.31506040692329407,0.702913761138916,0.1410166621208191,-0.8671900629997253,0.6674482226371765,0.06736521422863007,0.5091685652732849,0.9388362765312195,6.773257255554199,2.471287965774536,5.497478485107422,-0.14492303133010864,0.7444050312042236,0.30599749088287354,0.0114276809617877,0.9999998807907104
