dataset,model,run,split,seed,best_epoch,best_val_acc,best_val_loss,test_acc_at_best_val,reliability_components,normalize_features,rw_steps,rw_samples,qk_strength_init,fixed_qk_strength,elapsed_sec,training_profile,optimizer,effective_hidden_dim,effective_dropout,effective_lr,effective_weight_decay,effective_epochs,effective_patience,selection_metric,early_stopping_rule,qk_strength_mean,qk_strength_layer1,qk_strength_layer2,qk_gamma_q_abs_dev_mean,qk_gamma_k_abs_dev_mean,qk_gamma_q_std,qk_gamma_k_std,qk_gamma_q_abs_dev_max,qk_gamma_k_abs_dev_max,gate_corr_degree,gate_corr_local_similarity,gate_corr_neighbor_variance,gate_corr_rwse_mean,gate_corr_layer1_local_similarity,gate_corr_layer2_local_similarity,gate_mean,gate_std,gate_min,gate_max,local_branch_norm_mean,global_branch_norm_mean,mixed_branch_norm_mean,local_global_cosine_mean,local_branch_norm_mean_layer1,global_branch_norm_mean_layer1,mixed_branch_norm_mean_layer1,local_global_cosine_mean_layer1,gate_mean_layer1,gate_std_layer1,gate_min_layer1,gate_max_layer1,local_branch_norm_mean_layer2,global_branch_norm_mean_layer2,mixed_branch_norm_mean_layer2,local_global_cosine_mean_layer2,gate_mean_layer2,gate_std_layer2,gate_min_layer2,gate_max_layer2
Squirrel,gate_gt,0:0,0,0,344,0.41826924681663513,4.604643821716309,0.419788658618927,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,6.6231606006622314,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.32817691597476756,-0.018153790151370714,0.1937907713233506,-0.1341578365601038,-0.09124754070602722,-0.007353660216075977,0.5534785985946655,0.1427236795425415,0.2144392877817154,0.8244573473930359,1.4946792125701904,1.8865865468978882,1.1332430839538574,-0.6799373030662537,0.24970656633377075,0.3148959279060364,0.05928001180291176,-0.9316049218177795,0.5791265368461609,0.029824677854776382,0.4288078844547272,0.6789790391921997,2.739651918411255,3.4582772254943848,2.2072062492370605,-0.4282696843147278,0.5278306007385254,0.2556226849555969,7.068036939017475e-05,0.9699356555938721
Squirrel,gate_gt,1:0,1,0,222,0.4056490659713745,4.6830525398254395,0.4140249490737915,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,4.262444972991943,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.32688229912472677,0.022629211081235327,0.1419966542406615,-0.14003344377275234,-0.0005666683917810101,0.022555931705949328,0.5151512622833252,0.15256580710411072,0.07780727744102478,0.8257675170898438,1.5141912698745728,1.5538437366485596,1.1624375581741333,-0.6482619643211365,0.2687140107154846,0.3214382529258728,0.06210784241557121,-0.9360630512237549,0.562950074672699,0.033572398126125336,0.15415455400943756,0.6531611084938049,2.7596685886383057,2.7862491607666016,2.2627673149108887,-0.3604608476161957,0.4673524796962738,0.2715592086315155,0.0014600049471482635,0.9983739852905273
Squirrel,gate_gt,2:0,2,0,482,0.44110578298568726,4.5339179039001465,0.4140249490737915,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,6.585200786590576,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3653516376034177,0.06097676960830292,0.17901666202028468,-0.07161806985155636,-0.03761871116887054,0.06648761222785889,0.5512250065803528,0.1490234136581421,0.14785729348659515,0.8251224756240845,1.7180052995681763,1.9506927728652954,1.3352218866348267,-0.642497181892395,0.22029325366020203,0.2703634798526764,0.06439900398254395,-0.8908035755157471,0.5756850242614746,0.03056413121521473,0.295253187417984,0.6555593013763428,3.215717315673828,3.6310219764709473,2.6060447692871094,-0.3941907286643982,0.526764988899231,0.2674826979637146,0.00046139972982928157,0.9946856498718262
Squirrel,gate_gt,3:0,3,0,422,0.42007213830947876,4.890419006347656,0.4370797276496887,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,6.5818328857421875,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.2757404482036182,-0.010846331759703379,0.13485839153268675,-0.1696200814629206,-0.09342945507220002,0.0011505630054621894,0.5489562749862671,0.15214097499847412,0.1286419779062271,0.8168796300888062,1.6328479051589966,1.9462916851043701,1.3545715808868408,-0.6571780443191528,0.21789176762104034,0.2988235354423523,0.06183559447526932,-0.9010802507400513,0.5833349227905273,0.03488471731543541,0.2571953237056732,0.6513794660568237,3.047804117202759,3.593759775161743,2.6473076343536377,-0.4132757782936096,0.5145776271820068,0.26939722895622253,8.861840615281835e-05,0.9823797941207886
Squirrel,gate_gt,4:0,4,0,372,0.42608174681663513,4.648860454559326,0.4399615526199341,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,6.231031894683838,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.46313303719764287,0.08624745248368883,0.33993251683814174,-0.1538350805586328,-0.005269259237693894,0.08493037868780343,0.5826023817062378,0.148667573928833,0.12639862298965454,0.8215218782424927,1.7813246250152588,1.3225877285003662,1.268761157989502,-0.6596798300743103,0.23316222429275513,0.28988879919052124,0.05479108542203903,-0.9266027212142944,0.5707740187644958,0.036543894559144974,0.2524866759777069,0.644900381565094,3.3294870853424072,2.3552865982055664,2.482731342315674,-0.3927569091320038,0.5944307446479797,0.26079124212265015,0.0003105657815467566,0.9981433153152466
Squirrel,gate_gt,5:0,5,0,381,0.42788463830947876,4.846426963806152,0.4207492768764496,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,6.3286144733428955,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3381372457913368,0.1671246605713328,0.17608431229533428,-0.0772830601321466,0.22314594052845968,0.1453544262928853,0.5381399393081665,0.14462727308273315,0.15201537311077118,0.8360966444015503,1.3973172903060913,1.6258691549301147,1.1685267686843872,-0.6660288572311401,0.2170364111661911,0.29180723428726196,0.0624321810901165,-0.9003228545188904,0.5813257098197937,0.030161993578076363,0.3035748302936554,0.6760901808738708,2.5775980949401855,2.9599311351776123,2.2746212482452393,-0.4317348003387451,0.49495410919189453,0.2590925395488739,0.0004559024528134614,0.9961031675338745
Squirrel,gate_gt,6:0,6,0,404,0.44170674681663513,4.594780921936035,0.3909702003002167,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,6.628861904144287,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.32497576253579313,0.015100804843903434,0.2538445907902105,-0.15515533981864402,-0.011646055002144372,0.016608378487134333,0.5367308259010315,0.1357092261314392,0.18677738308906555,0.8325710296630859,1.5689388513565063,2.0002691745758057,1.2565606832504272,-0.6994985938072205,0.22485950589179993,0.26352864503860474,0.058435700833797455,-0.9080864191055298,0.5724819302558899,0.029423411935567856,0.3734094798564911,0.6700224876403809,2.913018226623535,3.7370097637176514,2.454685688018799,-0.49091073870658875,0.5009797215461731,0.24199503660202026,0.00014528457541018724,0.995119571685791
Squirrel,gate_gt,7:0,7,0,188,0.4116586744785309,4.5652079582214355,0.4390009343624115,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,3.837303400039673,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3148091522367348,0.09544056590454099,0.16208581253350013,-0.10483912562372423,0.10409938528967679,0.0823636160101057,0.5356146097183228,0.1556529849767685,0.189954936504364,0.8745056986808777,1.459620714187622,1.6096432209014893,1.1972565650939941,-0.6672935485839844,0.27180424332618713,0.3174058198928833,0.06194134056568146,-0.9479563236236572,0.584144115447998,0.03305978700518608,0.37976253032684326,0.7544255256652832,2.64743709564209,2.9018807411193848,2.3325717449188232,-0.38663074374198914,0.48708510398864746,0.2782461941242218,0.0001473394368076697,0.9945858716964722
Squirrel,gate_gt,8:0,8,0,181,0.4302884638309479,4.176695823669434,0.409221887588501,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,3.7721805572509766,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.25189500839658957,0.03610012163670988,0.03924979731631807,-0.13717191374855353,0.06168414895709909,0.02774671231222415,0.5365270376205444,0.13568903505802155,0.20302918553352356,0.8119871616363525,1.4777511358261108,1.8514195680618286,1.2143086194992065,-0.636814296245575,0.28000035881996155,0.328870952129364,0.06155957654118538,-0.9460840225219727,0.5578421354293823,0.030634436756372452,0.40561607480049133,0.6500532031059265,2.675501823425293,3.3739681243896484,2.3670575618743896,-0.32754459977149963,0.5152119398117065,0.24074363708496094,0.00044229498598724604,0.9739210605621338
Squirrel,gate_gt,9:0,9,0,175,0.42848560214042664,4.197818279266357,0.4063400328159332,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,3.677536964416504,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3389537951712516,-0.06947570846454332,0.20411256545319728,-0.22400701489948333,-0.08664925944731862,-0.05744203642139653,0.5333740711212158,0.1488487273454666,0.14743682742118835,0.8219362497329712,1.4200140237808228,1.6343920230865479,1.1396913528442383,-0.6541423797607422,0.27514609694480896,0.32966920733451843,0.06162126734852791,-0.9407922625541687,0.5663570761680603,0.03429470583796501,0.2948262095451355,0.6542353630065918,2.5648820400238037,2.939114809036255,2.217761516571045,-0.36749255657196045,0.5003910660743713,0.2634027600288391,4.744963371194899e-05,0.9896370768547058
