dataset,model,run,split,seed,best_epoch,best_val_acc,best_val_loss,test_acc_at_best_val,reliability_components,normalize_features,rw_steps,rw_samples,qk_strength_init,fixed_qk_strength,elapsed_sec,training_profile,optimizer,effective_hidden_dim,effective_dropout,effective_lr,effective_weight_decay,effective_epochs,effective_patience,selection_metric,early_stopping_rule,qk_strength_mean,qk_strength_layer1,qk_strength_layer2,qk_gamma_q_abs_dev_mean,qk_gamma_k_abs_dev_mean,qk_gamma_q_std,qk_gamma_k_std,qk_gamma_q_abs_dev_max,qk_gamma_k_abs_dev_max,gate_corr_degree,gate_corr_local_similarity,gate_corr_neighbor_variance,gate_corr_rwse_mean,gate_corr_layer1_local_similarity,gate_corr_layer2_local_similarity,gate_mean,gate_std,gate_min,gate_max,local_branch_norm_mean,global_branch_norm_mean,mixed_branch_norm_mean,local_global_cosine_mean
Squirrel,gcn,0:0,0,0,488,0.47295674681663513,1.432443380355835,0.47934678196907043,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,2.519554853439331,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Squirrel,gcn,1:0,1,0,487,0.46514424681663513,1.461460828781128,0.4630163311958313,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,1.9386515617370605,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Squirrel,gcn,2:0,2,0,487,0.48557692766189575,1.401077389717102,0.4630163311958313,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,1.9411780834197998,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Squirrel,gcn,3:0,3,0,450,0.48497599363327026,1.4215047359466553,0.49183475971221924,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,1.9925127029418945,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Squirrel,gcn,4:0,4,0,436,0.4717548191547394,1.473098874092102,0.47742554545402527,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,1.9520692825317383,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Squirrel,gcn,5:0,5,0,497,0.49038463830947876,1.4054845571517944,0.4755043089389801,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,1.9205090999603271,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Squirrel,gcn,6:0,6,0,492,0.4993990659713745,1.4600611925125122,0.4620557129383087,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,1.9165430068969727,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Squirrel,gcn,7:0,7,0,485,0.4945913553237915,1.4119280576705933,0.48030737042427063,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,1.9157276153564453,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Squirrel,gcn,8:0,8,0,496,0.4603365659713745,1.476409673690796,0.4457252621650696,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,1.9502863883972168,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Squirrel,gcn,9:0,9,0,438,0.473557710647583,1.4167386293411255,0.4495677053928375,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,1.9555103778839111,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
