dataset,model,run,split,seed,best_epoch,best_val_acc,best_val_loss,test_acc_at_best_val,reliability_components,normalize_features,rw_steps,rw_samples,qk_strength_init,fixed_qk_strength,elapsed_sec,training_profile,optimizer,effective_hidden_dim,effective_dropout,effective_lr,effective_weight_decay,effective_epochs,effective_patience,selection_metric,early_stopping_rule,qk_strength_mean,qk_strength_layer1,qk_strength_layer2,qk_gamma_q_abs_dev_mean,qk_gamma_k_abs_dev_mean,qk_gamma_q_std,qk_gamma_k_std,qk_gamma_q_abs_dev_max,qk_gamma_k_abs_dev_max,gate_corr_degree,gate_corr_local_similarity,gate_corr_neighbor_variance,gate_corr_rwse_mean,gate_corr_layer1_local_similarity,gate_corr_layer2_local_similarity,gate_mean,gate_std,gate_min,gate_max,local_branch_norm_mean,global_branch_norm_mean,mixed_branch_norm_mean,local_global_cosine_mean
Squirrel,gcn_pyg,0:0,0,0,30,0.2866586744785309,1.5858895778656006,0.26224783062934875,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,0.9079163074493408,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Squirrel,gcn_pyg,1:0,1,0,42,0.296875,1.5758737325668335,0.3035542666912079,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,0.4259610176086426,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Squirrel,gcn_pyg,2:0,2,0,37,0.2890625,1.577848196029663,0.2958693504333496,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,0.407745361328125,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Squirrel,gcn_pyg,3:0,3,0,29,0.3149038553237915,1.5744112730026245,0.30547550320625305,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,0.38425540924072266,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Squirrel,gcn_pyg,4:0,4,0,49,0.2842548191547394,1.5829963684082031,0.294908732175827,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,0.4393177032470703,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Squirrel,gcn_pyg,5:0,5,0,28,0.29266828298568726,1.5823895931243896,0.284341961145401,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,0.3801712989807129,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Squirrel,gcn_pyg,6:0,6,0,46,0.3052884638309479,1.56997811794281,0.3035542666912079,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,0.43273448944091797,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Squirrel,gcn_pyg,7:0,7,0,30,0.2914663553237915,1.5756704807281494,0.30643612146377563,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,0.38605237007141113,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Squirrel,gcn_pyg,8:0,8,0,20,0.28786060214042664,1.5888381004333496,0.2603265941143036,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,0.35622620582580566,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Squirrel,gcn_pyg,9:0,9,0,24,0.29807692766189575,1.5768879652023315,0.27473580837249756,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,0.36714792251586914,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
