dataset,model,run,split,seed,best_epoch,best_val_acc,best_val_loss,test_acc_at_best_val,reliability_components,normalize_features,rw_steps,rw_samples,qk_strength_init,fixed_qk_strength,elapsed_sec,training_profile,optimizer,effective_hidden_dim,effective_dropout,effective_lr,effective_weight_decay,effective_epochs,effective_patience,selection_metric,early_stopping_rule,qk_strength_mean,qk_strength_layer1,qk_strength_layer2,qk_gamma_q_abs_dev_mean,qk_gamma_k_abs_dev_mean,qk_gamma_q_std,qk_gamma_k_std,qk_gamma_q_abs_dev_max,qk_gamma_k_abs_dev_max,gate_corr_degree,gate_corr_local_similarity,gate_corr_neighbor_variance,gate_corr_rwse_mean,gate_corr_layer1_local_similarity,gate_corr_layer2_local_similarity,gate_mean,gate_std,gate_min,gate_max,local_branch_norm_mean,global_branch_norm_mean,mixed_branch_norm_mean,local_global_cosine_mean,local_branch_norm_mean_layer1,global_branch_norm_mean_layer1,mixed_branch_norm_mean_layer1,local_global_cosine_mean_layer1,gate_mean_layer1,gate_std_layer1,gate_min_layer1,gate_max_layer1,local_branch_norm_mean_layer2,global_branch_norm_mean_layer2,mixed_branch_norm_mean_layer2,local_global_cosine_mean_layer2,gate_mean_layer2,gate_std_layer2,gate_min_layer2,gate_max_layer2
Squirrel,local_only_gt,0:0,0,0,202,0.4507211744785309,4.038385391235352,0.4457252621650696,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,4.06524920463562,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.2098325490951538,1.0133192539215088,1.2098325490951538,-0.12728962302207947,0.06296666711568832,0.7231462001800537,0.06296666711568832,-0.19507455825805664,nan,nan,nan,nan,2.356698513031006,1.3034924268722534,2.356698513031006,-0.05950469896197319,nan,nan,nan,nan
Squirrel,local_only_gt,1:0,1,0,147,0.43389424681663513,4.1046833992004395,0.4380403459072113,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,2.849313259124756,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.2284647226333618,1.045580267906189,1.2284647226333618,-0.12992984056472778,0.06640580296516418,0.7229225039482117,0.06640580296516418,-0.07826464623212814,nan,nan,nan,nan,2.390523672103882,1.368238091468811,2.390523672103882,-0.18159502744674683,nan,nan,nan,nan
Squirrel,local_only_gt,2:0,2,0,134,0.442307710647583,3.8173654079437256,0.4073006510734558,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,2.701140880584717,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.190057396888733,1.0328243970870972,1.190057396888733,-0.07494624704122543,0.06803863495588303,0.7231704592704773,0.06803863495588303,-0.09137438237667084,nan,nan,nan,nan,2.3120760917663574,1.3424783945083618,2.3120760917663574,-0.05851811543107033,nan,nan,nan,nan
Squirrel,local_only_gt,3:0,3,0,220,0.44411060214042664,4.259492874145508,0.4639769196510315,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,3.6925902366638184,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.181443214416504,0.9450371265411377,1.181443214416504,-0.11680374294519424,0.06143151968717575,0.722137451171875,0.06143151968717575,-0.15682563185691833,nan,nan,nan,nan,2.301455020904541,1.1679368019104004,2.301455020904541,-0.07678185403347015,nan,nan,nan,nan
Squirrel,local_only_gt,4:0,4,0,264,0.4459134638309479,4.414016246795654,0.44284340739250183,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,4.20304536819458,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.1310995817184448,0.9382986426353455,1.1310995817184448,-0.11461661756038666,0.060230690985918045,0.7224181890487671,0.060230690985918045,-0.05807315558195114,nan,nan,nan,nan,2.2019684314727783,1.1541790962219238,2.2019684314727783,-0.17116008698940277,nan,nan,nan,nan
Squirrel,local_only_gt,5:0,5,0,223,0.4447115659713745,4.20710563659668,0.43515849113464355,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,3.643486261367798,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.1674193143844604,1.0010504722595215,1.1674193143844604,-0.09295658767223358,0.06339429318904877,0.7221885323524475,0.06339429318904877,-0.13386625051498413,nan,nan,nan,nan,2.271444320678711,1.2799123525619507,2.271444320678711,-0.05204693228006363,nan,nan,nan,nan
Squirrel,local_only_gt,6:0,6,0,161,0.45913463830947876,3.884941577911377,0.41786742210388184,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,3.035017490386963,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.1589045524597168,1.0078378915786743,1.1589045524597168,-0.06705719232559204,0.06348735094070435,0.7230013012886047,0.06348735094070435,-0.05648432672023773,nan,nan,nan,nan,2.254321813583374,1.2926744222640991,2.254321813583374,-0.07763005048036575,nan,nan,nan,nan
Squirrel,local_only_gt,7:0,7,0,54,0.4242788553237915,2.8787312507629395,0.46589815616607666,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,1.7302677631378174,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.4222941398620605,1.0698257684707642,1.4222941398620605,-0.11100772023200989,0.08577127754688263,0.7260152697563171,0.08577127754688263,-0.11052995920181274,nan,nan,nan,nan,2.758816957473755,1.4136362075805664,2.758816957473755,-0.11148547381162643,nan,nan,nan,nan
Squirrel,local_only_gt,8:0,8,0,394,0.45432692766189575,4.476590633392334,0.4121037423610687,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,5.651975631713867,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.240416407585144,0.9856242537498474,1.240416407585144,-0.0822683572769165,0.06272835284471512,0.7224785089492798,0.06272835284471512,-0.08460462838411331,nan,nan,nan,nan,2.418104410171509,1.248769998550415,2.418104410171509,-0.07993209362030029,nan,nan,nan,nan
Squirrel,local_only_gt,9:0,9,0,92,0.4447115659713745,3.5689730644226074,0.41690680384635925,"degree,local_similarity,neighbor_variance,rwse",True,4,128,-5.0,nan,2.2082607746124268,standard,adamw,64,0.3,0.003,0.0001,500,100,val_acc,patience,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.1891496181488037,0.9916555285453796,1.1891496181488037,-0.05889035016298294,0.06840085238218307,0.7238667011260986,0.06840085238218307,-0.061552468687295914,nan,nan,nan,nan,2.3098983764648438,1.2594443559646606,2.3098983764648438,-0.056228235363960266,nan,nan,nan,nan
